NCU00919	YGL171W
NCU07887	YGR180C
NCU04302	YDL064W
NCU07779	YAL021C
NCU04209	YDL003W
NCU03190	YDL003W
NCU12069	YKL024C
NCU02812	YKL024C
NCU11085	YDR246W
NCU09233	YDL045C
NCU08824	YMR178W
NCU01902	YFL017C
NCU01843	YJL014W
NCU01563	YNL025C
NCU04110	YLR116W
NCU00777	YCR047C
NCU00065	YML080W
NCU02121	YPL181W
NCU06233	YPL181W
NCU04389	YJL105W
NCU04389	YKR029C
NCU03995	YOR085W
NCU03080	YGR101W
NCU03650	YBR114W
NCU09516	YLR032W
NCU08883	YOR191W
NCU04445	YOR191W
NCU04786	YOR191W
NCU00631	YOR191W
NCU06661	YLR061W
NCU06661	YFL034C-A
NCU08552	YKL170W
NCU02905	YER117W
NCU02905	YBL087C
NCU17017	YMR150C
NCU00443	YDR002W
NCU06481	YDL164C
NCU11370	YLR455W
NCU00667	YPL234C
NCU01332	YEL027W
NCU02626	YPL155C
NCU09223	YCL043C
NCU09223	YDR518W
NCU05453	YOR307C
NCU05453	YJL193W
NCU10058	YKL127W
NCU10058	YMR105C
NCU00650	YDR324C
NCU03888	YFR024C-A
NCU03888	YHR016C
NCU08535	YMR207C
NCU08535	YNR016C
NCU05516	YDL141W
NCU06374	YDR107C
NCU06374	YLR083C
NCU07330	YDR107C
NCU07330	YLR083C
NCU06618	YCL057W
NCU01219	YDR513W
NCU01219	YCL035C
NCU10352	YDR378C
NCU01614	YPR182W
NCU07830	YJL191W
NCU07830	YCR031C
NCU06003	YDL055C
NCU07289	YPR086W
NCU06300	YDR454C
NCU05606	YDR221W
NCU02808	YJL041W
NCU00112	YLL029W
NCU06342	YKR031C
NCU10400	YKR031C
NCU03955	YKR031C
NCU05389	YPL020C
NCU01221	YNL069C
NCU01221	YIL133C
NCU01803	YGL017W
NCU07407	YHR120W
NCU02230	YOL090W
NCU07366	YMR085W
NCU07366	YKL104C
NCU09063	YLR086W
NCU00198	YEL020W-A
NCU04303	YGR124W
NCU04303	YPR145W
NCU06673	YHR144C
NCU01454	YGR031W
NCU11246	YPR105C
NCU03269	YPL152W
NCU04810	YIL153W
NCU03204	YNL240C
NCU02508	YER029C
NCU03702	YDL014W
NCU06702	YPR028W
NCU04137	YKR078W
NCU04137	YOR069W
NCU06345	YBR223C
NCU03406	YPL046C
NCU05513	YGL097W
NCU00743	YPR184W
NCU01702	YFR002W
NCU03559	YPR191W
NCU02751	YDL101C
NCU02814	YDL101C
NCU07521	YIL046W
NCU00324	YOL078W
NCU02451	YML030W
NCU06032	YBR041W
NCU11181	YPL218W
NCU00671	YCR032W
NCU06396	YMR292W
NCU05503	YBR126C
NCU01810	YBR126C
NCU09715	YBR126C
NCU05041	YDR074W
NCU00793	YML100W
NCU00793	YMR261C
NCU03097	YML038C
NCU01474	YML025C
NCU05302	YHR168W
NCU05810	YMR116C
NCU05810	YPR178W
NCU05623	YJL143W
NCU03040	YML060W
NCU02556	YGR274C
NCU07659	YNL071W
NCU00258	YNL096C
NCU00258	YOR096W
NCU06993	YLR015W
NCU06211	YDL078C
NCU06211	YOL126C
NCU04899	YKL085W
NCU07544	YDL074C
NCU04775	YLR285W
NCU08993	YJL207C
NCU08828	YKR009C
NCU02294	YJL004C
NCU07459	YBR034C
NCU06048	YLR287C-A
NCU06048	YOR182C
NCU09089	YLR287C-A
NCU09089	YOR182C
NCU04728	YGL253W
NCU04728	YFR053C
NCU06996	YGL253W
NCU06996	YFR053C
NCU02542	YGL253W
NCU02542	YFR053C
NCU06202	YBR059C
NCU06202	YIL095W
NCU06202	YNL020C
NCU00075	YLR008C
NCU09475	YJR123W
NCU06594	YPR045C
NCU05245	YMR026C
NCU07182	YER074W
NCU07182	YIL069C
NCU06694	YLR372W
NCU05454	YIL155C
NCU04087	YNL281W
NCU04087	YDR214W
NCU04041	YBR142W
NCU00706	YNL162W
NCU00706	YHR141C
NCU09708	YOL022C
NCU09485	YKL073W
NCU08005	YDR376W
NCU06572	YOR258W
NCU03834	YFL024C
NCU01447	YKL160W
NCU05259	YGL055W
NCU03546	YDR017C
NCU02158	YDR198C
NCU00019	YCR065W
NCU06173	YCR065W
NCU01271	YKL184W
NCU03043	YPR015C
NCU03089	YLR337C
NCU04944	YOR143C
NCU11356	YHR029C
NCU05971	YER078C
NCU11288	YFR006W
NCU00154	YFR006W
NCU01948	YPL079W
NCU01948	YBR191W
NCU09897	YKL080W
NCU03989	YPR011C
NCU08326	YHR002W
NCU05592	YER100W
NCU08983	YKR002W
NCU06144	YGL216W
NCU08003	YFR037C
NCU08003	YJL176C
NCU02044	YHL014C
NCU02044	YBR025C
NCU04797	YLR377C
NCU02737	YER163C
NCU04648	YHR074W
NCU04770	YER148W
NCU06821	YOR035C
NCU07914	YCR012W
NCU02533	YPR110C
NCU07446	YOR332W
NCU00424	YMR076C
NCU04100	YKR001C
NCU09808	YLL001W
NCU10185	YOR274W
NCU08516	YHR210C
NCU08516	YNR071C
NCU08398	YHR210C
NCU08398	YNR071C
NCU09705	YHR210C
NCU09705	YNR071C
NCU06336	YDR120C
NCU03713	YEL042W
NCU07066	YML095C
NCU08151	YMR156C
NCU04293	YML067C
NCU09564	YBR296C
NCU07027	YPR160W
NCU07465	YER053C
NCU06498	YDR482C
NCU09461	YJL024C
NCU09121	YLR396C
NCU08035	YEL051W
NCU00078	YPR098C
NCU10273	YOR007C
NCU03336	YGL082W
NCU03336	YPL191C
NCU06718	YKL059C
NCU09006	YPR180W
NCU02585	YPL104W
NCU02103	YDL140C
NCU03986	YOR116C
NCU04101	YCL039W
NCU10397	YNL267W
NCU01114	YBR261C
NCU04047	YKR092C
NCU09064	YDR507C
NCU09064	YCL024W
NCU06877	YLR380W
NCU05862	YBR293W
NCU01095	YBR293W
NCU09551	YMR088C
NCU07918	YMR088C
NCU06040	YMR088C
NCU04322	YMR088C
NCU01767	YOR090C
NCU10715	YHR001W
NCU07993	YDR435C
NCU01276	YPR131C
NCU09109	YOR234C
NCU09109	YPL143W
NCU04759	YER009W
NCU00768	YBR212W
NCU00768	YHR086W
NCU04442	YBR019C
NCU00410	YBR143C
NCU01165	YNL323W
NCU01165	YNR048W
NCU01165	YCR094W
NCU06089	YDR263C
NCU06089	YOR033C
NCU08515	YBR127C
NCU03711	YML001W
NCU02090	YML022W
NCU02090	YDR441C
NCU08389	YOR312C
NCU08389	YMR242C
NCU06035	YAL003W
NCU03719	YML068W
NCU07080	YML051W
NCU03062	YPR152C
NCU03062	YKL012W
NCU04176	YGR200C
NCU01272	YDR430C
NCU03877	YBR084W
NCU03877	YGR204W
NCU01195	YAL062W
NCU01195	YOR375C
NCU05423	YDR311W
NCU02943	YPL063W
NCU04633	YOL013C
NCU05008	YKL192C
NCU09192	YPR113W
NCU03846	YGR169C
NCU03846	YOL066C
NCU03846	YDL036C
NCU06542	YNR036C
NCU08336	YJL045W
NCU08336	YKL148C
NCU00213	YBL084C
NCU08076	YBL084C
NCU04370	YKL210W
NCU01827	YHR010W
NCU01827	YDR471W
NCU03880	YGR202C
NCU03296	YNL315C
NCU09195	YDR352W
NCU00300	YOL092W
NCU00300	YBR147W
NCU04306	YBL091C
NCU01658	YJR033C
NCU05778	YOR226C
NCU05778	YPL135W
NCU11278	YML054C
NCU07362	YML054C
NCU08272	YML054C
NCU04539	YML054C
NCU03890	YIL044C
NCU02348	YBR073W
NCU02348	YGL163C
NCU01100	YBL058W
NCU04203	YBR229C
NCU01907	YLR026C
NCU03623	YMR022W
NCU07264	YDR054C
NCU01188	YDR054C
NCU07548	YIL061C
NCU03782	YOL005C
NCU09000	YIL097W
NCU01674	YBL050W
NCU01290	YLR175W
NCU09754	YDL120W
NCU01331	YEL026W
NCU04385	YGL009C
NCU02366	YLR304C
NCU04280	YJL200C
NCU06372	YJR099W
NCU04040	YBR061C
NCU08162	YHR018C
NCU04597	YDR005C
NCU09269	YLR293C
NCU09269	YOR185C
NCU06767	YOR217W
NCU08445	YDR057W
NCU06438	YIL143C
NCU03661	YDL234C
NCU05780	YNL229C
NCU04109	YNL229C
NCU09217	YDR517W
NCU01956	YNL243W
NCU01409	YGL227W
NCU02505	YGL062W
NCU02505	YBR218C
NCU06713	YJR044C
NCU01019	YDL189W
NCU07271	YPL103C
NCU06482	YER178W
NCU04766	YCR093W
NCU10810	YML046W
NCU03777	YDR036C
NCU00294	YPL220W
NCU00294	YGL135W
NCU07461	YCR014C
NCU09594	YHR011W
NCU03579	YBL036C
NCU00087	YHR163W
NCU00087	YGR248W
NCU09696	YPR088C
NCU09119	YBR039W
NCU01207	YDL227C
NCU01207	YDL185W
NCU01439	YER081W
NCU01439	YIL074C
NCU10789	YLR207W
NCU02707	YLR448W
NCU02707	YML073C
NCU07320	YMR079W
NCU07320	YKL091C
NCU02263	YMR079W
NCU02263	YKL091C
NCU03146	YLR097C
NCU09111	YNL241C
NCU08941	YEL006W
NCU08941	YIL006W
NCU04180	YIL134W
NCU03214	YBL040C
NCU06771	YBL040C
NCU07927	YNL003C
NCU01568	YNL003C
NCU06843	YOR063W
NCU01102	YER154W
NCU07941	YLR027C
NCU03100	YGR256W
NCU03100	YHR183W
NCU10067	YFR052W
NCU03393	YLR048W
NCU03393	YGR214W
NCU08685	YGR061C
NCU00568	YKL100C
NCU07014	YML024W
NCU07014	YDR447C
NCU00413	YIL018W
NCU00413	YFR031C-A
NCU04081	YDR336W
NCU09747	YHR026W
NCU02475	YMR189W
NCU03985	YMR114C
NCU00927	YEL061C
NCU00901	YNL250W
NCU04535	YLR045C
NCU03652	YLR247C
NCU07719	YPL117C
NCU06212	YOR115C
NCU08687	YBR020W
NCU08687	YDR009W
NCU04514	YOL112W
NCU04514	YNL293W
NCU02510	YGL206C
NCU02511	YNL061W
NCU04800	YGL141W
NCU01180	YBR058C
NCU05777	YBR058C
NCU03971	YBR236C
NCU09841	YPR073C
NCU03397	YNR032C-A
NCU10893	YBR252W
NCU04429	YGR046W
NCU04127	YDR086C
NCU04172	YBR101C
NCU03538	YBL055C
NCU03362	YDL015C
NCU02554	YAL002W
NCU16396	YER014W
NCU03155	YHR162W
NCU03155	YGR243W
NCU03922	YML126C
NCU05523	YPL122C
NCU02969	YPL087W
NCU02969	YBR183W
NCU04333	YER151C
NCU03234	YGR184C
NCU03234	YLR024C
NCU00576	YOR253W
NCU06353	YER183C
NCU05296	YHR172W
NCU04315	YKR071C
NCU02963	YML094W
NCU04318	YKL216W
NCU03633	YMR208W
NCU08730	YMR224C
NCU04636	YCL017C
NCU11146	YER152C
NCU09116	YGL202W
NCU03756	YHR137W
NCU00472	YDR168W
NCU08948	YHR004C
NCU01914	YOR357C
NCU03319	YGR284C
NCU06091	YDR372C
NCU04255	YLR238W
NCU04255	YDR200C
NCU00528	YLR238W
NCU00528	YDR200C
NCU06847	YLL028W
NCU09444	YHR048W
NCU10314	YHR048W
NCU06860	YOR273C
NCU06860	YBR008C
NCU06519	YOR273C
NCU06519	YBR008C
NCU03402	YOR273C
NCU03402	YBR008C
NCU07740	YOR273C
NCU07740	YBR008C
NCU03242	YNL161W
NCU07296	YNL161W
NCU07757	YGL112C
NCU01831	YLR005W
NCU11321	YKR060W
NCU11321	YHR052W
NCU09248	YBL021C
NCU01342	YML012W
NCU01366	YIL031W
NCU10763	YJL212C
NCU03171	YJL212C
NCU06352	YJL212C
NCU08397	YPR194C
NCU07894	YPR194C
NCU17261	YPR194C
NCU07971	YLR241W
NCU00789	YLR241W
NCU06194	YOR175C
NCU08290	YMR284W
NCU01947	YPR091C
NCU02004	YGR208W
NCU04462	YBR159W
NCU01990	YBR187W
NCU09247	YKL125W
NCU02109	YDL103C
NCU09318	YIR002C
NCU08963	YGL030W
NCU08004	YPR004C
NCU05347	YOL012C
NCU16367	YDR437W
NCU10066	YDL145C
NCU09643	YBR029C
NCU02573	YHR122W
NCU06866	YCR024C
NCU07471	YIL034C
NCU08273	YBR086C
NCU04149	YMR023C
NCU08317	YPR162C
NCU11012	YPR187W
NCU05422	YMR231W
NCU16019	Q0255
NCU16013	Q0120
NCU16013	Q0105
NCU16014	Q0110
NCU16014	Q0115
NCU16015	Q0110
NCU16015	Q0115
NCU02539	YPR019W
NCU06684	YDL167C
NCU08731	YGL240W
NCU03274	YCR087C-A
NCU02079	YBR135W
NCU08291	YOR176W
NCU03302	YPL249C-A
NCU03302	YMR194W
NCU00397	YOR126C
NCU10498	YDL136W
NCU10498	YDL191W
NCU06749	YGR220C
NCU03911	YKL007W
NCU06464	YKL056C
NCU07509	YPR176C
NCU00334	YDR280W
NCU00535	YNL040W
NCU06969	YNL128W
NCU06435	YML097C
NCU07301	YML097C
NCU03809	YHR058C
NCU05942	YGR135W
NCU06338	YNL088W
NCU02536	YGR255C
NCU04331	YPL131W
NCU01791	YKL041W
NCU06892	YHL015W
NCU01822	YHR012W
NCU06569	YGR261C
NCU09230	YAL012W
NCU07987	YGL184C
NCU01652	YLR303W
NCU01187	YDR283C
NCU00812	YGR195W
NCU08026	YGR158C
NCU07492	YPL183C
NCU03695	YNL169C
NCU00464	YBL092W
NCU09748	YKL058W
NCU08666	YKL033W-A
NCU11283	YPR085C
NCU06395	YEL044W
NCU08794	YGL080W
NCU02507	YGL080W
NCU07683	YER112W
NCU03766	YER146W
NCU10220	YDL166C
NCU07172	YPL042C
NCU01192	YDL102W
NCU08998	YGR019W
NCU03963	YLR017W
NCU03937	YML104C
NCU08276	YML059C
NCU07709	YMR243C
NCU07709	YOR316C
NCU03145	YMR243C
NCU03145	YOR316C
NCU08218	YOR034C
NCU08218	YDR264C
NCU07913	YDR363W-A
NCU03207	YMR235C
NCU05279	YOR286W
NCU05279	YOR285W
NCU16698	YGR080W
NCU03238	YLR023C
NCU16784	YLR242C
NCU08960	YDL130W
NCU08960	YDL081C
NCU05804	YBR084C-A
NCU05804	YBL027W
NCU03365	YHR040W
NCU00813	YOR288C
NCU06654	YAL015C
NCU06654	YOL043C
NCU08980	YMR145C
NCU08980	YDL085W
NCU05225	YML120C
NCU09141	YPR127W
NCU02930	YPR127W
NCU07402	YPR127W
NCU07723	YOL165C
NCU07723	YCR107W
NCU07723	YJR155W
NCU07723	YNL331C
NCU07723	YDL243C
NCU03806	YGL103W
NCU10721	YPL244C
NCU07068	YJL094C
NCU06103	YOL023W
NCU01808	YJR048W
NCU01808	YEL039C
NCU00119	YOR154W
NCU09862	YML110C
NCU04470	YBR242W
NCU04470	YGL101W
NCU02091	YHR204W
NCU02977	YPR114W
NCU02977	YJR116W
NCU04319	YNL126W
NCU02407	YFL018C
NCU02162	YGR112W
NCU08030	YOR224C
NCU09572	YLR370C
NCU03151	YLR109W
NCU08195	YDR341C
NCU08195	YHR091C
NCU03311	YGL044C
NCU05364	YOR208W
NCU06099	YGR054W
NCU00978	YDL028C
NCU07936	YDL040C
NCU11174	YBR254C
NCU07829	YPL198W
NCU07829	YGL076C
NCU02157	YDR204W
NCU08620	YMR143W
NCU08620	YDL083C
NCU08861	YNL005C
NCU02181	YHR203C
NCU02181	YJR145C
NCU01379	YHR099W
NCU06029	YGR277C
NCU04855	YKR023W
NCU06215	YJL062W
NCU09510	YMR281W
NCU09220	YGL124C
NCU05514	YGR172C
NCU09162	YMR102C
NCU09162	YKL121W
NCU05753	YCL008C
NCU00173	YJL068C
NCU03635	YLR325C
NCU09308	YDL104C
NCU02680	YBR170C
NCU01747	YPL110C
NCU01083	YOL052C
NCU01569	YOL087C
NCU02391	YIL109C
NCU02391	YNL049C
NCU03177	YBR037C
NCU03177	YBR024W
NCU05599	YOR167C
NCU05599	YLR264W
NCU01502	YER082C
NCU05217	YOL080C
NCU05305	YBR154C
NCU00664	YJR050W
NCU11263	YLR427W
NCU03738	YLR388W
NCU03738	YDL061C
NCU05554	YDL082W
NCU05554	YMR142C
NCU00950	YNR015W
NCU00372	YMR259C
NCU00117	YGL233W
NCU01512	YPR047W
NCU07549	YPR100W
NCU03122	YPL120W
NCU03823	YGL119W
NCU08158	YIR026C
NCU02374	YDR427W
NCU00205	YGR098C
NCU07457	YDR386W
NCU05385	YPL164C
NCU06441	YDL178W
NCU06441	YEL071W
NCU09542	YCR059C
NCU10904	YDL177C
NCU00894	YKR016W
NCU05944	YOL135C
NCU07399	YPL236C
NCU05231	YGL231C
NCU02375	YMR223W
NCU00614	YCL045C
NCU09658	YNL313C
NCU00651	YPL096W
NCU11311	YJR135W-A
NCU00333	YPL051W
NCU09118	YOL006C
NCU08293	YDR305C
NCU08503	YIL103W
NCU04446	YNL125C
NCU08568	YBR111C
NCU00548	YBR111C
NCU08956	YER120W
NCU08956	YBL091C-A
NCU03281	YHR175W
NCU08329	YDR405W
NCU01500	YNL129W
NCU02271	YDR282C
NCU09018	YFR018C
NCU11249	YFR018C
NCU03818	YIL048W
NCU06108	YGL221C
NCU04003	YAR002C-A
NCU04003	YGL002W
NCU04003	YHR110W
NCU07756	YMR118C
NCU07756	YKL141W
NCU01241	YPR021C
NCU09837	YPR021C
NCU16927	YPR021C
NCU06473	YOR079C
NCU03515	YCR002C
NCU00423	YMR075W
NCU04275	YML032C
NCU06717	YDL100C
NCU00435	YKL002W
NCU02810	YER025W
NCU07313	YMR078C
NCU06994	YMR213W
NCU08707	YLL027W
NCU04288	YER107C
NCU08609	YCR044C
NCU02305	YBR003W
NCU01183	YGR173W
NCU00389	YAL036C
NCU01580	YPR056W
NCU01070	YHR189W
NCU05169	YDR256C
NCU08791	YGR088W
NCU00355	YGR088W
NCU08325	YML123C
NCU08267	YGR271W
NCU02685	YER172C
NCU05270	YAL035W
NCU04755	YGL083W
NCU03280	YLR151C
NCU08353	YPR107C
NCU00843	YDR408C
NCU03485	YML105C
NCU02566	YOR335C
NCU01981	YNL244C
NCU06317	YDR525W-A
NCU06317	YJL151C
NCU07337	YDR276C
NCU00519	YJL121C
NCU01120	YHL022C
NCU01119	YHR072W
NCU05273	YDR484W
NCU03114	YNL222W
NCU09438	YPR189W
NCU08295	YDL051W
NCU03606	YAR007C
NCU00035	YCR048W
NCU00035	YNR019W
NCU03991	YCR048W
NCU03991	YNR019W
NCU04144	YCR048W
NCU04144	YNR019W
NCU16773	YJR084W
NCU07550	YDR050C
NCU08378	YBL067C
NCU08378	YER098W
NCU09608	YNL072W
NCU16377	YLR059C
NCU00979	YDR382W
NCU00979	YOL039W
NCU08806	YDR076W
NCU06929	YML010W
NCU06113	YOR289W
NCU05210	YCR066W
NCU06231	YJR001W
NCU06226	YOL127W
NCU04552	YER131W
NCU04552	YGL189C
NCU04279	YOR112W
NCU02123	YMR097C
NCU01422	YOR298C-A
NCU02509	YPR102C
NCU02509	YGR085C
NCU02757	YEL050C
NCU05288	YER136W
NCU06254	YOL102C
NCU10008	YPL262W
NCU04566	YDR477W
NCU01858	YMR048W
NCU02797	YKL035W
NCU00414	YJR105W
NCU07562	YJR094W-A
NCU07562	YPR043W
NCU08926	YNL242W
NCU02746	YPR036W
NCU01115	YLR105C
NCU03102	YBR048W
NCU03102	YDR025W
NCU03787	YBR123C
NCU08627	YKR057W
NCU08627	YJL136C
NCU11228	YLR039C
NCU07654	YJR093C
NCU03438	YIL062C
NCU03387	YBR080C
NCU01606	YDR298C
NCU03575	YBL076C
NCU04584	YMR039C
NCU11410	YDL017W
NCU02743	YJL053W
NCU01613	YBR133C
NCU08505	YCR090C
NCU02935	YML036W
NCU01783	YNL038W
NCU06859	YDR527W
NCU08985	YJL097W
NCU06750	YMR132C
NCU02974	YML071C
NCU04460	YBR018C
NCU05634	YNL297C
NCU00088	YDL236W
NCU03317	YOR002W
NCU07733	YGR207C
NCU00210	YPL178W
NCU04428	YGL086W
NCU03629	YOL086W-A
NCU07022	YLR070C
NCU07022	YDL246C
NCU07022	YJR159W
NCU01905	YLR070C
NCU01905	YDL246C
NCU01905	YJR159W
NCU00643	YLR070C
NCU00643	YDL246C
NCU00643	YJR159W
NCU00891	YLR070C
NCU00891	YDL246C
NCU00891	YJR159W
NCU02011	YLR347C
NCU05796	YKR068C
NCU11053	YIL007C
NCU04503	YHR066W
NCU04503	YDR312W
NCU01190	YOR164C
NCU00463	YLR231C
NCU09183	YLR231C
NCU09621	YDL238C
NCU07309	YDL238C
NCU00326	YBR053C
NCU06678	YGL173C
NCU09258	YMR001C
NCU08779	YIL045W
NCU08779	YER054C
NCU02725	YHL023C
NCU01444	YCR027C
NCU16385	YDR286C
NCU02112	YDR128W
NCU01514	YLR348C
NCU04802	YOL147C
NCU07884	YKL120W
NCU01343	YOL071W
NCU01481	YEL064C
NCU03761	YCL064C
NCU02048	YML002W
NCU03889	YKL006C-A
NCU00580	YJR019C
NCU00158	YGR006W
NCU03906	YDR068W
NCU04009	YHR069C
NCU11197	YKL144C
NCU04749	YHR164C
NCU02284	YNL132W
NCU05960	YBR004C
NCU06039	YPL247C
NCU06923	YLR244C
NCU08023	YJR031C
NCU08023	YEL022W
NCU00771	YDR330W
NCU01913	YJL203W
NCU01966	YDR500C
NCU01966	YLR185W
NCU02113	YDR092W
NCU01854	YKR035W-A
NCU04426	YDL108W
NCU03659	YDL108W
NCU08607	YAL042W
NCU03657	YGL027C
NCU03050	YNR035C
NCU02204	YOR295W
NCU02204	YMR233W
NCU04336	YNL185C
NCU04090	YPL006W
NCU01888	YJL035C
NCU07413	YPR062W
NCU02396	YGR029W
NCU06176	YML077W
NCU09381	YDR152W
NCU04344	YKR026C
NCU03095	YMR227C
NCU06959	YGR013W
NCU06568	YOL069W
NCU10046	YEL012W
NCU04376	YGL100W
NCU01950	YDR088C
NCU00487	YIL064W
NCU06308	YFL036W
NCU06469	YGL068W
NCU02349	YOR336W
NCU02477	YIR012W
NCU02269	YPR058W
NCU07832	YHR165C
NCU10061	YGL011C
NCU03557	YEL053C
NCU00136	YGL236C
NCU01992	YNL287W
NCU09476	YGR027C
NCU09476	YLR333C
NCU02504	YFL046W
NCU03610	YLR306W
NCU10043	YGR188C
NCU06856	YGR048W
NCU11313	YJR010C-A
NCU00898	YDR255C
NCU09880	YFL017W-A
NCU07717	YNL312W
NCU08990	YJL189W
NCU02748	YOR004W
NCU02629	YLR028C
NCU02629	YMR120C
NCU11314	YMR274C
NCU06307	YGL105W
NCU00592	YNL245C
NCU00163	YOR067C
NCU01738	YOL001W
NCU08772	YIL050W
NCU08772	YER059W
NCU09288	YIL050W
NCU09288	YER059W
NCU04779	YLL045C
NCU04779	YHL033C
NCU01501	YBL057C
NCU02670	YLR143W
NCU06722	YOL097C
NCU06314	YOR250C
NCU06428	YOR243C
NCU03426	YBR276C
NCU03710	YDR438W
NCU03710	YML018C
NCU03800	YGL200C
NCU08339	YGL200C
NCU16791	YMR035W
NCU03009	YGR285C
NCU04020	YDR037W
NCU03187	YAR018C
NCU06405	YER159C
NCU10226	YIL051C
NCU10226	YER057C
NCU09331	YIL051C
NCU09331	YER057C
NCU16790	YLR418C
NCU07831	YMR309C
NCU04378	YLR103C
NCU00959	YLL041C
NCU08605	YOR157C
NCU06868	YHR098C
NCU07679	YFR031C
NCU07286	YPL170W
NCU03859	YER156C
NCU06440	YOL038W
NCU00422	YDR101C
NCU05313	YIL065C
NCU04449	YHR020W
NCU08894	YGL245W
NCU00135	YDL142C
NCU01928	YDL091C
NCU01928	YML013W
NCU01175	YJL167W
NCU00913	YJL091C
NCU03898	YJR102C
NCU11248	YMR149W
NCU09547	YFR005C
NCU07843	YPL002C
NCU05459	YGR028W
NCU07988	YGR028W
NCU08126	YDL174C
NCU02179	YDL174C
NCU00904	YDL174C
NCU10430	YMR077C
NCU06855	YHR156C
NCU00037	YNL317W
NCU04662	YPL149W
NCU07458	YEL058W
NCU03548	YOR260W
NCU01067	YPR025C
NCU06672	YHR171W
NCU03816	YNL063W
NCU07404	YGL156W
NCU03957	YOR125C
NCU03727	YNL127W
NCU03037	YDR469W
NCU00428	YML061C
NCU00428	YHR031C
NCU01993	YHR123W
NCU01993	YNL130C
NCU03149	YGL243W
NCU16651	YOR236W
NCU01141	YCL004W
NCU02621	YLR403W
NCU09219	YDR141C
NCU05421	YJL046W
NCU05715	YMR004W
NCU04699	YJR073C
NCU02669	YBL017C
NCU02669	YIL173W
NCU02669	YJL222W
NCU02669	YNR065C
NCU02669	YCR099C
NCU02669	YCR100C
NCU02669	YNR066C
NCU02669	YCR101C
NCU16971	YHR079C-A
NCU09882	YOR197W
NCU02400	YOR197W
NCU07382	YBL026W
NCU06402	YGR060W
NCU04452	YPL171C
NCU04452	YHR179W
NCU11409	YPL008W
NCU05289	YPL093W
NCU05600	YPL109C
NCU09090	YIL083C
NCU01756	YJR065C
NCU09683	YMR130W
NCU04463	YER105C
NCU04463	YBL079W
NCU02706	YHL031C
NCU07261	YBR110W
NCU04454	YNL219C
NCU04339	YCR036W
NCU08974	YDR313C
NCU07965	YPR183W
NCU04553	YLR167W
NCU02156	YMR074C
NCU03004	YBR221C
NCU09203	YPR133C
NCU05427	YBR227C
NCU10497	YGL022W
NCU01061	YAL049C
NCU08221	YAL049C
NCU07127	YAL049C
NCU05689	YGL187C
NCU02786	YMR099C
NCU03154	YDR531W
NCU05227	YBR173C
NCU09436	YJL115W
NCU02074	YML130C
NCU16525	YIL049W
NCU00387	YIL049W
NCU02432	YNL227C
NCU00712	YLR450W
NCU00712	YML075C
NCU06192	YGL095C
NCU07852	YOR150W
NCU01377	YKL022C
NCU00936	YBR006W
NCU03944	YMR092C
NCU07262	YDR205W
NCU02226	YPR118W
NCU03268	YGR095C
NCU09465	YBL071W-A
NCU04216	YMR300C
NCU02604	YPL126W
NCU06397	YOR122C
NCU03229	YIL022W
NCU00565	YOR196C
NCU00303	YPL199C
NCU00147	YMR009W
NCU00369	YDR196C
NCU04063	YLR208W
NCU04241	YOR070C
NCU05429	YEL011W
NCU01696	YDR228C
NCU02417	YPR051W
NCU01744	YDL171C
NCU17177	YLR195C
NCU04002	YGR002C
NCU03778	YLR275W
NCU04983	YLR056W
NCU06207	YLR056W
NCU01820	YGR218W
NCU04301	YDL065C
NCU03191	YOR370C
NCU07774	YGR267C
NCU08995	YBR204C
NCU06260	YGL130W
NCU01713	YNL148C
NCU03797	YMR304W
NCU02717	YLR117C
NCU00504	YDR140W
NCU03061	YDR091C
NCU09814	YDL116W
NCU00880	YKL213C
NCU00799	YMR321C
NCU00799	YLL062C
NCU00799	YPL273W
NCU00560	YNL182C
NCU01741	YIL004C
NCU06168	YKL191W
NCU01397	YHL013C
NCU07058	YML093W
NCU03244	YBR175W
NCU09803	YDR098C
NCU09803	YER174C
NCU02729	YLR196W
NCU04507	YJR072C
NCU03836	YKR038C
NCU04008	YEL052W
NCU04481	YEL052W
NCU08561	YJR095W
NCU05075	YBR291C
NCU02402	YLR383W
NCU05430	YJR121W
NCU00925	YGR103W
NCU00193	YGL142C
NCU05213	YDR108W
NCU12087	YER162C
NCU03936	YDL201W
NCU08500	YER102W
NCU08500	YBL072C
NCU10776	YKL113C
NCU07013	YDR066C
NCU07013	YER139C
NCU01443	YDR023W
NCU01250	YCR075C
NCU02232	YIR008C
NCU00385	YDL004W
NCU09191	YPL009C
NCU09227	YPL263C
NCU01229	YPL086C
NCU07773	YJR057W
NCU06355	YOR160W
NCU04806	YJR113C
NCU01762	YMR239C
NCU12046	YHL021C
NCU01157	YJL101C
NCU09300	YMR277W
NCU09101	YBR220C
NCU09101	YBR219C
NCU06777	YOR036W
NCU04355	YJL100W
NCU06695	YHR051W
NCU06687	YLR258W
NCU06687	YFR015C
NCU08385	YKL193C
NCU00636	YKL016C
NCU00968	YOL031C
NCU06544	YBL105C
NCU06107	YGL220W
NCU08002	YML042W
NCU00371	YNR017W
NCU08945	YLR107W
NCU00520	YER049W
NCU02281	YOR124C
NCU05972	YDR052C
NCU02973	YDL119C
NCU10237	YPL206C
NCU05833	YIL112W
NCU08027	YER005W
NCU00584	YBL095W
