AT3G09720.1 YGL171W_mRNA
AT5G45710.1 YOR140W_mRNA
AT4G18880.1 YGL073W_mRNA
AT4G18880.1 YJR147W_mRNA
AT4G18880.1 YOR140W_mRNA
AT4G13980.1 YGL073W_mRNA
AT4G13980.1 YJR147W_mRNA
AT4G13980.1 YOR140W_mRNA
AT3G24520.1 YGL073W_mRNA
AT3G24520.1 YJR147W_mRNA
AT3G24520.1 YOR140W_mRNA
AT5G54070.1 YGL073W_mRNA
AT5G54070.1 YJR147W_mRNA
AT5G54070.1 YOR140W_mRNA
AT5G62020.1 YGL073W_mRNA
AT5G62020.1 YJR147W_mRNA
AT5G62020.1 YOR140W_mRNA
AT4G36990.1 YGL073W_mRNA
AT4G36990.1 YJR147W_mRNA
AT4G36990.1 YOR140W_mRNA
AT1G46264.1 YGL073W_mRNA
AT1G46264.1 YJR147W_mRNA
AT1G46264.1 YOR140W_mRNA
AT4G11660.1 YGL073W_mRNA
AT4G11660.1 YJR147W_mRNA
AT4G11660.1 YOR140W_mRNA
AT2G41690.1 YGL073W_mRNA
AT2G41690.1 YJR147W_mRNA
AT2G41690.1 YOR140W_mRNA
AT3G60250.1 YGL019W_mRNA
AT3G60250.1 YOR039W_mRNA
AT2G44680.1 YGL019W_mRNA
AT2G44680.1 YOR039W_mRNA
AT5G47080.1 YGL019W_mRNA
AT5G47080.1 YOR039W_mRNA
AT4G17640.1 YGL019W_mRNA
AT4G17640.1 YOR039W_mRNA
AT1G18070.3 YDR172W_mRNA
AT1G07920.1 YPR080W_mRNA
AT1G07920.1 YBR118W_mRNA
AT1G07930.1 YPR080W_mRNA
AT1G07930.1 YBR118W_mRNA
AT5G60390.1 YPR080W_mRNA
AT5G60390.1 YBR118W_mRNA
AT1G07940.1 YPR080W_mRNA
AT1G07940.1 YBR118W_mRNA
AT1G47210.2 YDL155W_mRNA
AT1G47210.2 YLR210W_mRNA
AT1G47210.2 YPR120C_mRNA
AT1G47210.2 YGR109C_mRNA
AT1G47210.2 YGR108W_mRNA
AT1G47210.2 YPR119W_mRNA
AT1G47230.2 YDL155W_mRNA
AT1G47230.2 YLR210W_mRNA
AT1G47230.2 YPR120C_mRNA
AT1G47230.2 YGR109C_mRNA
AT1G47230.2 YGR108W_mRNA
AT1G47230.2 YPR119W_mRNA
AT5G43080.1 YDL155W_mRNA
AT5G43080.1 YLR210W_mRNA
AT5G43080.1 YPR120C_mRNA
AT5G43080.1 YGR109C_mRNA
AT5G43080.1 YGR108W_mRNA
AT5G43080.1 YPR119W_mRNA
AT1G47220.1 YDL155W_mRNA
AT1G47220.1 YLR210W_mRNA
AT1G47220.1 YPR120C_mRNA
AT1G47220.1 YGR109C_mRNA
AT1G47220.1 YGR108W_mRNA
AT1G47220.1 YPR119W_mRNA
AT1G15570.1 YDL155W_mRNA
AT1G15570.1 YLR210W_mRNA
AT1G15570.1 YPR120C_mRNA
AT1G15570.1 YGR109C_mRNA
AT1G15570.1 YGR108W_mRNA
AT1G15570.1 YPR119W_mRNA
AT1G80370.1 YDL155W_mRNA
AT1G80370.1 YLR210W_mRNA
AT1G80370.1 YPR120C_mRNA
AT1G80370.1 YGR109C_mRNA
AT1G80370.1 YGR108W_mRNA
AT1G80370.1 YPR119W_mRNA
AT5G11300.1 YDL155W_mRNA
AT5G11300.1 YLR210W_mRNA
AT5G11300.1 YPR120C_mRNA
AT5G11300.1 YGR109C_mRNA
AT5G11300.1 YGR108W_mRNA
AT5G11300.1 YPR119W_mRNA
AT5G25380.4 YDL155W_mRNA
AT5G25380.4 YLR210W_mRNA
AT5G25380.4 YPR120C_mRNA
AT5G25380.4 YGR109C_mRNA
AT5G25380.4 YGR108W_mRNA
AT5G25380.4 YPR119W_mRNA
AT1G77390.1 YDL155W_mRNA
AT1G77390.1 YLR210W_mRNA
AT1G77390.1 YPR120C_mRNA
AT1G77390.1 YGR109C_mRNA
AT1G77390.1 YGR108W_mRNA
AT1G77390.1 YPR119W_mRNA
AT1G44110.1 YDL155W_mRNA
AT1G44110.1 YLR210W_mRNA
AT1G44110.1 YPR120C_mRNA
AT1G44110.1 YGR109C_mRNA
AT1G44110.1 YGR108W_mRNA
AT1G44110.1 YPR119W_mRNA
AT3G21650.1 YOR014W_mRNA
AT4G15415.1 YOR014W_mRNA
AT1G13460.1 YOR014W_mRNA
AT3G26030.1 YOR014W_mRNA
AT3G54930.1 YOR014W_mRNA
AT5G03470.1 YOR014W_mRNA
AT3G09880.1 YOR014W_mRNA
AT5G25510.1 YOR014W_mRNA
AT4G11240.1 YER133W_mRNA
AT1G64040.1 YER133W_mRNA
AT5G27840.4 YER133W_mRNA
AT3G05580.1 YER133W_mRNA
AT5G59160.1 YER133W_mRNA
AT3G46820.1 YER133W_mRNA
AT2G29400.1 YER133W_mRNA
AT2G39840.1 YER133W_mRNA
AT5G43380.1 YER133W_mRNA
AT5G63870.1 YNL217W_mRNA
AT5G10900.2 YNL217W_mRNA
AT5G49890.1 YJR040W_mRNA
AT5G33280.1 YJR040W_mRNA
AT5G40890.1 YJR040W_mRNA
AT3G27170.1 YJR040W_mRNA
AT5G26240.1 YJR040W_mRNA
AT4G29210.1 YLR299W_mRNA
AT4G39650.1 YLR299W_mRNA
AT4G39640.1 YLR299W_mRNA
AT1G69820.1 YLR299W_mRNA
AT4G34460.1 YOR212W_mRNA
AT1G09020.1 YGL115W_mRNA
AT5G45970.1 YLR229C_mRNA
AT1G75840.1 YLR229C_mRNA
AT1G20090.1 YLR229C_mRNA
AT4G35020.1 YLR229C_mRNA
AT2G17800.1 YLR229C_mRNA
AT4G35950.1 YLR229C_mRNA
AT3G51300.1 YLR229C_mRNA
AT3G48040.1 YLR229C_mRNA
AT5G62880.1 YLR229C_mRNA
AT4G28950.1 YLR229C_mRNA
AT2G44690.1 YLR229C_mRNA
AT4G09150.2 YDR006C_mRNA
AT1G22930.1 YDR006C_mRNA
AT3G27440.1 YHR128W_mRNA
AT4G26510.1 YHR128W_mRNA
AT1G55810.4 YHR128W_mRNA
AT5G40870.1 YHR128W_mRNA
AT3G27190.1 YHR128W_mRNA
AT2G15790.1 YLR216C_mRNA
AT5G58710.1 YHR057C_mRNA
AT5G58710.1 YDR304C_mRNA
AT2G29960.1 YHR057C_mRNA
AT2G29960.1 YDR304C_mRNA
AT3G55920.1 YHR057C_mRNA
AT3G55920.1 YDR304C_mRNA
AT4G34960.1 YHR057C_mRNA
AT4G34960.1 YDR304C_mRNA
AT5G13120.1 YHR057C_mRNA
AT5G13120.1 YDR304C_mRNA
AT3G62030.2 YHR057C_mRNA
AT3G62030.2 YDR304C_mRNA
AT4G19800.1 YDR371W_mRNA
AT4G19770.1 YDR371W_mRNA
AT4G19810.1 YDR371W_mRNA
AT4G19820.1 YDR371W_mRNA
AT4G19750.1 YDR371W_mRNA
AT4G19760.1 YDR371W_mRNA
AT4G19730.1 YDR371W_mRNA
AT4G19720.1 YDR371W_mRNA
AT4G19740.1 YDR371W_mRNA
AT1G11910.2 YIL015W_mRNA
AT1G11910.2 YPL154C_mRNA
AT1G62290.1 YIL015W_mRNA
AT1G62290.1 YPL154C_mRNA
AT4G04460.1 YIL015W_mRNA
AT4G04460.1 YPL154C_mRNA
AT3G24170.1 YPL091W_mRNA
AT3G54660.1 YPL091W_mRNA
AT5G43940.2 YDL168W_mRNA
AT1G77120.1 YDL168W_mRNA
AT5G24760.1 YDL168W_mRNA
AT1G64710.1 YDL168W_mRNA
AT1G32780.1 YDL168W_mRNA
AT1G22430.1 YDL168W_mRNA
AT4G22110.1 YDL168W_mRNA
AT1G22440.1 YDL168W_mRNA
AT5G42250.1 YDL168W_mRNA
AT2G20190.1 YBL034C_mRNA
AT3G17609.2 YNL167C_mRNA
AT5G11260.2 YNL167C_mRNA
AT1G71440.1 YER007W_mRNA
AT3G51390.1 YDR126W_mRNA
AT5G05070.1 YLR246W_mRNA
AT3G56920.1 YLR246W_mRNA
AT2G40990.1 YLR246W_mRNA
AT3G56930.1 YLR246W_mRNA
AT3G26935.1 YLR246W_mRNA
AT5G41060.1 YLR246W_mRNA
AT3G48760.1 YLR246W_mRNA
AT5G50020.2 YLR246W_mRNA
AT4G24630.1 YLR246W_mRNA
AT1G10680.1 YKL209C_mRNA
AT4G25960.1 YKL209C_mRNA
AT1G28010.1 YKL209C_mRNA
AT1G27940.1 YKL209C_mRNA
AT3G28860.1 YKL209C_mRNA
AT2G36910.1 YKL209C_mRNA
AT3G55320.1 YKL209C_mRNA
AT2G39480.1 YKL209C_mRNA
AT3G28415.2 YKL209C_mRNA
AT3G28390.1 YKL209C_mRNA
AT3G28360.1 YKL209C_mRNA
AT3G28380.1 YKL209C_mRNA
AT3G28345.1 YKL209C_mRNA
AT3G62150.1 YKL209C_mRNA
AT2G47000.1 YKL209C_mRNA
AT1G02520.1 YKL209C_mRNA
AT1G02530.1 YKL209C_mRNA
AT4G01830.1 YKL209C_mRNA
AT4G01820.1 YKL209C_mRNA
AT5G46540.1 YKL209C_mRNA
AT4G18050.2 YKL209C_mRNA
AT1G08005.1 YFR040W_mRNA
AT1G08005.1 YGL229C_mRNA
AT1G08005.1 YKR028W_mRNA
AT1G08005.1 YJL098W_mRNA
AT1G08620.3 YMR176W_mRNA
AT4G20400.1 YMR176W_mRNA
AT1G30810.1 YMR176W_mRNA
AT2G34880.1 YMR176W_mRNA
AT5G46910.1 YMR176W_mRNA
AT1G63490.4 YJR119C_mRNA
AT1G09100.1 YOR117W_mRNA
AT3G05530.1 YOR117W_mRNA
AT5G43010.1 YOR259C_mRNA
AT1G45000.1 YOR259C_mRNA
AT2G20140.1 YDL007W_mRNA
AT4G29040.1 YDL007W_mRNA
AT5G58290.1 YDR394W_mRNA
AT2G04940.1 YJR100C_mRNA
AT2G16740.1 YDR059C_mRNA
AT2G16740.1 YBR082C_mRNA
AT5G53300.1 YDR059C_mRNA
AT5G53300.1 YBR082C_mRNA
AT4G27960.2 YDR059C_mRNA
AT4G27960.2 YBR082C_mRNA
AT5G41700.4 YDR059C_mRNA
AT5G41700.4 YBR082C_mRNA
AT3G08690.1 YDR059C_mRNA
AT3G08690.1 YBR082C_mRNA
AT5G56150.1 YDR059C_mRNA
AT5G56150.1 YBR082C_mRNA
AT5G25760.1 YGR133W_mRNA
AT1G12550.1 YNL274C_mRNA
AT1G12550.1 YPL113C_mRNA
AT5G28310.1 YNL274C_mRNA
AT5G28310.1 YPL113C_mRNA
AT2G45630.2 YNL274C_mRNA
AT2G45630.2 YPL113C_mRNA
AT1G11250.1 YPL232W_mRNA
AT1G11250.1 YMR183C_mRNA
AT1G61290.1 YPL232W_mRNA
AT1G61290.1 YMR183C_mRNA
AT4G03330.1 YPL232W_mRNA
AT4G03330.1 YMR183C_mRNA
AT3G11820.1 YPL232W_mRNA
AT3G11820.1 YMR183C_mRNA
AT3G52400.1 YPL232W_mRNA
AT3G52400.1 YMR183C_mRNA
AT5G08080.3 YPL232W_mRNA
AT5G08080.3 YMR183C_mRNA
AT3G03800.1 YPL232W_mRNA
AT3G03800.1 YMR183C_mRNA
AT2G18260.1 YPL232W_mRNA
AT2G18260.1 YMR183C_mRNA
AT1G08560.1 YPL232W_mRNA
AT1G08560.1 YMR183C_mRNA
AT3G59290.1 YLR206W_mRNA
AT3G59290.1 YDL161W_mRNA
AT2G43160.1 YLR206W_mRNA
AT2G43160.1 YDL161W_mRNA
AT5G11710.1 YLR206W_mRNA
AT5G11710.1 YDL161W_mRNA
AT3G20250.2 YLL013C_mRNA
AT4G25880.4 YLL013C_mRNA
AT5G39850.1 YPL081W_mRNA
AT5G39850.1 YBR189W_mRNA
AT5G15200.1 YPL081W_mRNA
AT5G15200.1 YBR189W_mRNA
AT5G53580.1 YPL088W_mRNA
AT1G04420.1 YPL088W_mRNA
AT1G04690.1 YPL088W_mRNA
AT1G75780.1 YFL037W_mRNA
AT1G20010.1 YFL037W_mRNA
AT2G29550.1 YFL037W_mRNA
AT5G23860.1 YFL037W_mRNA
AT5G62700.1 YFL037W_mRNA
AT5G62690.1 YFL037W_mRNA
AT5G12250.1 YFL037W_mRNA
AT4G20890.1 YFL037W_mRNA
AT5G44340.1 YFL037W_mRNA
AT4G34240.1 YMR110C_mRNA
AT1G44170.1 YMR110C_mRNA
AT4G36250.1 YMR110C_mRNA
AT5G16150.1 YDR387C_mRNA
AT5G16150.1 YBR241C_mRNA
AT5G16150.1 YGL104C_mRNA
AT3G51030.1 YCR083W_mRNA
AT3G51030.1 YGR209C_mRNA
AT3G51030.1 YLR043C_mRNA
AT5G42980.1 YCR083W_mRNA
AT5G42980.1 YGR209C_mRNA
AT5G42980.1 YLR043C_mRNA
AT1G45145.1 YCR083W_mRNA
AT1G45145.1 YGR209C_mRNA
AT1G45145.1 YLR043C_mRNA
AT1G19730.1 YCR083W_mRNA
AT1G19730.1 YGR209C_mRNA
AT1G19730.1 YLR043C_mRNA
AT1G11530.1 YCR083W_mRNA
AT1G11530.1 YGR209C_mRNA
AT1G11530.1 YLR043C_mRNA
AT1G59730.1 YCR083W_mRNA
AT1G59730.1 YGR209C_mRNA
AT1G59730.1 YLR043C_mRNA
AT1G69880.1 YCR083W_mRNA
AT1G69880.1 YGR209C_mRNA
AT1G69880.1 YLR043C_mRNA
AT5G39950.1 YCR083W_mRNA
AT5G39950.1 YGR209C_mRNA
AT5G39950.1 YLR043C_mRNA
AT4G14300.1 YOL123W_mRNA
AT2G33410.1 YOL123W_mRNA
AT5G47620.4 YOL123W_mRNA
AT5G39040.1 YPL270W_mRNA
AT5G39040.1 YLR188W_mRNA
AT5G58270.1 YMR301C_mRNA
AT4G28630.1 YMR301C_mRNA
AT4G28620.1 YMR301C_mRNA
AT2G26140.1 YPR024W_mRNA
AT5G53170.1 YPR024W_mRNA
AT1G07510.1 YER017C_mRNA
AT1G07510.1 YMR089C_mRNA
AT2G29080.1 YER017C_mRNA
AT2G29080.1 YMR089C_mRNA
AT3G19980.1 YDL047W_mRNA
AT1G50370.1 YDL047W_mRNA
AT5G55260.2 YDR075W_mRNA
AT4G26720.1 YDR075W_mRNA
AT3G58500.1 YDL134C_mRNA
AT3G58500.1 YDL188C_mRNA
AT2G42500.1 YDL134C_mRNA
AT2G42500.1 YDL188C_mRNA
AT1G59830.1 YNR032W_mRNA
AT1G10430.1 YNR032W_mRNA
AT1G69960.1 YNR032W_mRNA
AT1G51660.1 YPL140C_mRNA
AT1G51660.1 YOR231W_mRNA
AT1G51660.1 YJL128C_mRNA
AT1G51660.1 YDL159W_mRNA
AT3G21220.1 YPL140C_mRNA
AT3G21220.1 YOR231W_mRNA
AT3G21220.1 YJL128C_mRNA
AT3G21220.1 YDL159W_mRNA
AT3G06230.1 YPL140C_mRNA
AT3G06230.1 YOR231W_mRNA
AT3G06230.1 YJL128C_mRNA
AT3G06230.1 YDL159W_mRNA
AT1G73500.1 YPL140C_mRNA
AT1G73500.1 YOR231W_mRNA
AT1G73500.1 YJL128C_mRNA
AT1G73500.1 YDL159W_mRNA
AT1G18350.1 YPL140C_mRNA
AT1G18350.1 YOR231W_mRNA
AT1G18350.1 YJL128C_mRNA
AT1G18350.1 YDL159W_mRNA
AT1G32320.1 YPL140C_mRNA
AT1G32320.1 YOR231W_mRNA
AT1G32320.1 YJL128C_mRNA
AT1G32320.1 YDL159W_mRNA
AT5G40440.1 YPL140C_mRNA
AT5G40440.1 YOR231W_mRNA
AT5G40440.1 YJL128C_mRNA
AT5G40440.1 YDL159W_mRNA
AT4G26070.2 YPL140C_mRNA
AT4G26070.2 YOR231W_mRNA
AT4G26070.2 YJL128C_mRNA
AT4G26070.2 YDL159W_mRNA
AT4G29810.2 YPL140C_mRNA
AT4G29810.2 YOR231W_mRNA
AT4G29810.2 YJL128C_mRNA
AT4G29810.2 YDL159W_mRNA
AT5G56580.1 YPL140C_mRNA
AT5G56580.1 YOR231W_mRNA
AT5G56580.1 YJL128C_mRNA
AT5G56580.1 YDL159W_mRNA
AT4G32660.1 YLL019C_mRNA
AT3G53570.1 YLL019C_mRNA
AT4G24740.1 YLL019C_mRNA
AT1G36627.1 YLL019C_mRNA
AT1G69220.1 YAR019C_mRNA
AT3G15220.1 YDR523C_mRNA
AT1G53165.3 YDR523C_mRNA
AT4G14480.1 YDR523C_mRNA
AT2G19480.1 YKR048C_mRNA
AT5G56950.1 YKR048C_mRNA
AT4G26110.1 YKR048C_mRNA
AT3G13782.1 YKR048C_mRNA
AT3G06483.1 YGL059W_mRNA
AT3G06483.1 YIL042C_mRNA
AT1G73700.1 YHR032W_mRNA
AT1G73700.1 YDR338C_mRNA
AT2G34360.1 YHR032W_mRNA
AT2G34360.1 YDR338C_mRNA
AT5G52450.1 YHR032W_mRNA
AT5G52450.1 YDR338C_mRNA
AT1G15160.1 YHR032W_mRNA
AT1G15160.1 YDR338C_mRNA
AT1G15150.1 YHR032W_mRNA
AT1G15150.1 YDR338C_mRNA
AT1G15170.1 YHR032W_mRNA
AT1G15170.1 YDR338C_mRNA
AT1G15180.1 YHR032W_mRNA
AT1G15180.1 YDR338C_mRNA
AT1G71140.1 YHR032W_mRNA
AT1G71140.1 YDR338C_mRNA
AT1G64820.1 YHR032W_mRNA
AT1G64820.1 YDR338C_mRNA
AT1G66780.1 YHR032W_mRNA
AT1G66780.1 YDR338C_mRNA
AT1G66760.2 YHR032W_mRNA
AT1G66760.2 YDR338C_mRNA
AT2G04040.1 YHR032W_mRNA
AT2G04040.1 YDR338C_mRNA
AT2G04070.1 YHR032W_mRNA
AT2G04070.1 YDR338C_mRNA
AT2G04050.1 YHR032W_mRNA
AT2G04050.1 YDR338C_mRNA
AT2G04066.1 YHR032W_mRNA
AT2G04066.1 YDR338C_mRNA
AT2G04080.1 YHR032W_mRNA
AT2G04080.1 YDR338C_mRNA
AT2G04090.1 YHR032W_mRNA
AT2G04090.1 YDR338C_mRNA
AT2G04100.1 YHR032W_mRNA
AT2G04100.1 YDR338C_mRNA
AT4G38640.1 YOR161C_mRNA
AT1G25500.2 YOR161C_mRNA
AT1G64550.1 YFR009W_mRNA
AT5G60790.1 YER036C_mRNA
AT5G11670.1 YKL029C_mRNA
AT5G25880.1 YKL029C_mRNA
AT1G79750.1 YKL029C_mRNA
AT2G19900.1 YKL029C_mRNA
AT4G00570.1 YKL029C_mRNA
AT2G13560.1 YKL029C_mRNA
AT5G14180.1 YKL140W_mRNA
AT2G15230.1 YKL140W_mRNA
AT2G28520.1 YMR054W_mRNA
AT2G28520.1 YOR270C_mRNA
AT4G39080.1 YMR054W_mRNA
AT4G39080.1 YOR270C_mRNA
AT2G21410.1 YMR054W_mRNA
AT2G21410.1 YOR270C_mRNA
AT5G07340.2 YAL058W_mRNA
AT5G61790.1 YAL058W_mRNA
AT5G49310.1 YNL189W_mRNA
AT4G16143.1 YNL189W_mRNA
AT1G02690.2 YNL189W_mRNA
AT3G06720.1 YNL189W_mRNA
AT4G02150.1 YNL189W_mRNA
AT3G05720.1 YNL189W_mRNA
AT1G09270.1 YNL189W_mRNA
AT5G49305.1 YNL189W_mRNA
AT5G52000.1 YNL189W_mRNA
AT1G32880.1 YNL189W_mRNA
AT5G16880.1 YDR358W_mRNA
AT5G16880.1 YHR108W_mRNA
AT1G06210.1 YDR358W_mRNA
AT1G06210.1 YHR108W_mRNA
AT2G38410.1 YDR358W_mRNA
AT2G38410.1 YHR108W_mRNA
AT5G01760.1 YDR358W_mRNA
AT5G01760.1 YHR108W_mRNA
AT3G08790.1 YDR358W_mRNA
AT3G08790.1 YHR108W_mRNA
AT4G32760.2 YDR358W_mRNA
AT4G32760.2 YHR108W_mRNA
AT5G63640.1 YDR358W_mRNA
AT5G63640.1 YHR108W_mRNA
AT1G21380.1 YDR358W_mRNA
AT1G21380.1 YHR108W_mRNA
AT1G76970.1 YDR358W_mRNA
AT1G76970.1 YHR108W_mRNA
AT1G51640.1 YJL085W_mRNA
AT4G31540.1 YJL085W_mRNA
AT5G52340.1 YJL085W_mRNA
AT5G03540.3 YJL085W_mRNA
AT5G52350.1 YJL085W_mRNA
AT2G28640.1 YJL085W_mRNA
AT1G07725.1 YJL085W_mRNA
AT2G28650.1 YJL085W_mRNA
AT5G59730.1 YJL085W_mRNA
AT3G09520.1 YJL085W_mRNA
AT3G09530.1 YJL085W_mRNA
AT3G55150.1 YJL085W_mRNA
AT2G39380.1 YJL085W_mRNA
AT5G13150.1 YJL085W_mRNA
AT5G13990.1 YJL085W_mRNA
AT1G07000.1 YJL085W_mRNA
AT5G58430.1 YJL085W_mRNA
AT3G29400.1 YJL085W_mRNA
AT5G61010.1 YJL085W_mRNA
AT5G50380.1 YJL085W_mRNA
AT1G72470.1 YJL085W_mRNA
AT3G14090.1 YJL085W_mRNA
AT1G54090.1 YJL085W_mRNA
AT5G42190.1 YDR328C_mRNA
AT1G75950.1 YDR328C_mRNA
AT2G25700.1 YDR328C_mRNA
AT1G20140.1 YDR328C_mRNA
AT4G34210.1 YDR328C_mRNA
AT4G34470.1 YDR328C_mRNA
AT3G21850.1 YDR328C_mRNA
AT3G21830.1 YDR328C_mRNA
AT3G21840.1 YDR328C_mRNA
AT3G21860.1 YDR328C_mRNA
AT3G60010.1 YDR328C_mRNA
AT3G53060.1 YDR328C_mRNA
AT3G60020.1 YDR328C_mRNA
AT2G03170.1 YDR328C_mRNA
AT3G25650.1 YDR328C_mRNA
AT2G03160.1 YDR328C_mRNA
AT1G10230.1 YDR328C_mRNA
AT2G20160.1 YDR328C_mRNA
AT2G03190.1 YDR328C_mRNA
AT1G14610.1 YGR094W_mRNA
AT1G27160.1 YGR094W_mRNA
AT4G35570.1 YPR052C_mRNA
AT2G17560.1 YPR052C_mRNA
AT1G20696.2 YPR052C_mRNA
AT1G20693.1 YPR052C_mRNA
AT2G34450.2 YPR052C_mRNA
AT4G35260.1 YNL037C_mRNA
AT2G17130.1 YNL037C_mRNA
AT4G35650.1 YNL037C_mRNA
AT1G32480.1 YNL037C_mRNA
AT5G03290.1 YOR136W_mRNA
AT3G09810.1 YOR136W_mRNA
AT1G50010.1 YML085C_mRNA
AT1G50010.1 YML124C_mRNA
AT1G04820.1 YML085C_mRNA
AT1G04820.1 YML124C_mRNA
AT4G14960.2 YML085C_mRNA
AT4G14960.2 YML124C_mRNA
AT1G64740.1 YML085C_mRNA
AT1G64740.1 YML124C_mRNA
AT5G19770.1 YML085C_mRNA
AT5G19770.1 YML124C_mRNA
AT5G19780.1 YML085C_mRNA
AT5G19780.1 YML124C_mRNA
AT1G63160.1 YOL094C_mRNA
AT1G77470.1 YNL290W_mRNA
AT1G21690.3 YJR068W_mRNA
AT3G52940.1 YGL012W_mRNA
AT3G52940.1 YNL280C_mRNA
AT4G27740.1 YBL049W_mRNA
AT4G27745.1 YBL049W_mRNA
AT3G08990.1 YBL049W_mRNA
AT3G55890.1 YBL049W_mRNA
AT2G40110.1 YBL049W_mRNA
AT3G11230.2 YBL049W_mRNA
AT5G53940.1 YBL049W_mRNA
AT5G56290.1 YMR018W_mRNA
AT5G56290.1 YDR244W_mRNA
AT5G14300.1 YGR132C_mRNA
AT3G27280.1 YGR132C_mRNA
AT5G40770.1 YGR132C_mRNA
AT2G20530.1 YGR231C_mRNA
AT4G28510.1 YGR231C_mRNA
AT1G03860.1 YGR231C_mRNA
AT5G44140.1 YGR231C_mRNA
AT3G28970.1 YLR128W_mRNA
AT3G12760.1 YLR128W_mRNA
AT1G15860.3 YLR128W_mRNA
AT5G21105.1 YMR058W_mRNA
AT5G21105.1 YFL041W_mRNA
AT5G21105.1 YDR506C_mRNA
AT5G21100.1 YMR058W_mRNA
AT5G21100.1 YFL041W_mRNA
AT5G21100.1 YDR506C_mRNA
AT4G39830.1 YMR058W_mRNA
AT4G39830.1 YFL041W_mRNA
AT4G39830.1 YDR506C_mRNA
AT5G01050.1 YMR058W_mRNA
AT5G01050.1 YFL041W_mRNA
AT5G01050.1 YDR506C_mRNA
AT5G01040.1 YMR058W_mRNA
AT5G01040.1 YFL041W_mRNA
AT5G01040.1 YDR506C_mRNA
AT3G09220.1 YMR058W_mRNA
AT3G09220.1 YFL041W_mRNA
AT3G09220.1 YDR506C_mRNA
AT5G09360.1 YMR058W_mRNA
AT5G09360.1 YFL041W_mRNA
AT5G09360.1 YDR506C_mRNA
AT5G48100.1 YMR058W_mRNA
AT5G48100.1 YFL041W_mRNA
AT5G48100.1 YDR506C_mRNA
AT2G30210.1 YMR058W_mRNA
AT2G30210.1 YFL041W_mRNA
AT2G30210.1 YDR506C_mRNA
AT5G07130.1 YMR058W_mRNA
AT5G07130.1 YFL041W_mRNA
AT5G07130.1 YDR506C_mRNA
AT2G40370.1 YMR058W_mRNA
AT2G40370.1 YFL041W_mRNA
AT2G40370.1 YDR506C_mRNA
AT5G05390.1 YMR058W_mRNA
AT5G05390.1 YFL041W_mRNA
AT5G05390.1 YDR506C_mRNA
AT2G38080.1 YMR058W_mRNA
AT2G38080.1 YFL041W_mRNA
AT2G38080.1 YDR506C_mRNA
AT5G01190.1 YMR058W_mRNA
AT5G01190.1 YFL041W_mRNA
AT5G01190.1 YDR506C_mRNA
AT5G58910.2 YMR058W_mRNA
AT5G58910.2 YFL041W_mRNA
AT5G58910.2 YDR506C_mRNA
AT5G03260.1 YMR058W_mRNA
AT5G03260.1 YFL041W_mRNA
AT5G03260.1 YDR506C_mRNA
AT5G60020.1 YMR058W_mRNA
AT5G60020.1 YFL041W_mRNA
AT5G60020.1 YDR506C_mRNA
AT2G29130.1 YMR058W_mRNA
AT2G29130.1 YFL041W_mRNA
AT2G29130.1 YDR506C_mRNA
AT1G18140.1 YMR058W_mRNA
AT1G18140.1 YFL041W_mRNA
AT1G18140.1 YDR506C_mRNA
AT2G46570.1 YMR058W_mRNA
AT2G46570.1 YFL041W_mRNA
AT2G46570.1 YDR506C_mRNA
AT1G47830.1 YJR058C_mRNA
AT2G17380.1 YLR170C_mRNA
AT4G35410.2 YLR170C_mRNA
AT4G39870.1 YPL196W_mRNA
AT2G05590.2 YPL196W_mRNA
AT2G47980.1 YIL026C_mRNA
AT3G25220.1 YDR519W_mRNA
AT5G48580.1 YDR519W_mRNA
AT5G64350.1 YNL135C_mRNA
AT5G18230.4 YIL038C_mRNA
AT5G18230.4 YPR072W_mRNA
AT1G02120.1 YLR072W_mRNA
AT1G02120.1 YFL042C_mRNA
AT1G50440.1 YIL030C_mRNA
AT2G22120.2 YIL030C_mRNA
AT1G11020.1 YIL030C_mRNA
AT4G10590.1 YJL197W_mRNA
AT4G10570.1 YJL197W_mRNA
AT1G32850.1 YJL197W_mRNA
AT2G40930.1 YJL197W_mRNA
AT5G22030.2 YJL197W_mRNA
AT2G41090.1 YBR109C_mRNA
AT4G02690.1 YNL305C_mRNA
AT1G03070.1 YNL305C_mRNA
AT3G63310.1 YNL305C_mRNA
AT4G14730.1 YNL305C_mRNA
AT4G15470.1 YNL305C_mRNA
AT5G48700.1 YDR510W_mRNA
AT5G48710.1 YDR510W_mRNA
AT5G55856.1 YDR510W_mRNA
AT5G55855.2 YDR510W_mRNA
AT2G32765.1 YDR510W_mRNA
AT5G55170.1 YDR510W_mRNA
AT5G55160.2 YDR510W_mRNA
AT4G26840.1 YDR510W_mRNA
AT3G22880.1 YER179W_mRNA
AT5G20850.1 YER095W_mRNA
AT3G02760.1 YPR033C_mRNA
AT5G61530.1 YPL115C_mRNA
AT5G61530.1 YOR134W_mRNA
AT5G61530.1 YDR389W_mRNA
AT5G66590.1 YKR013W_mRNA
AT5G66590.1 YJL079C_mRNA
AT5G66590.1 YJL078C_mRNA
AT2G19980.1 YKR013W_mRNA
AT2G19980.1 YJL079C_mRNA
AT2G19980.1 YJL078C_mRNA
AT2G19970.1 YKR013W_mRNA
AT2G19970.1 YJL079C_mRNA
AT2G19970.1 YJL078C_mRNA
