FBpp0074936 YGL171W_mRNA
FBpp0087506 YGR240C_mRNA
FBpp0305281 YMR205C_mRNA
FBpp0305281 YGR240C_mRNA
FBpp0293464 YMR205C_mRNA
FBpp0293464 YGR240C_mRNA
FBpp0076339 YJL085W_mRNA
FBpp0070122 YDR328C_mRNA
FBpp0070124 YDR328C_mRNA
FBpp0070119 YDR328C_mRNA
FBpp0070118 YDR328C_mRNA
FBpp0070121 YDR328C_mRNA
FBpp0070120 YDR328C_mRNA
FBpp0311474 YDR328C_mRNA
FBpp0099971 YDR328C_mRNA
FBpp0070123 YDR328C_mRNA
FBpp0087127 YDR328C_mRNA
FBpp0074575 YDR328C_mRNA
FBpp0074565 YDR328C_mRNA
FBpp0074566 YDR328C_mRNA
FBpp0071931 YDR328C_mRNA
FBpp0312160 YGR094W_mRNA
FBpp0076287 YGR094W_mRNA
FBpp0086848 YGR094W_mRNA
FBpp0086847 YGR094W_mRNA
FBpp0305353 YGR094W_mRNA
FBpp0288398 YPR052C_mRNA
FBpp0089258 YPR052C_mRNA
FBpp0088319 YPR052C_mRNA
FBpp0088318 YPR052C_mRNA
FBpp0088320 YPR052C_mRNA
FBpp0089257 YPR052C_mRNA
FBpp0308813 YPR052C_mRNA
FBpp0112201 YNL037C_mRNA
FBpp0084275 YNL037C_mRNA
FBpp0112203 YNL037C_mRNA
FBpp0112202 YNL037C_mRNA
FBpp0083588 YNL037C_mRNA
FBpp0290012 YNL037C_mRNA
FBpp0074549 YOR136W_mRNA
FBpp0300338 YOR136W_mRNA
FBpp0307649 YOR136W_mRNA
FBpp0076311 YOR136W_mRNA
FBpp0072545 YJL093C_mRNA
FBpp0083069 YJL093C_mRNA
FBpp0087858 YJL093C_mRNA
FBpp0294058 YJL093C_mRNA
FBpp0081335 YKR090W_mRNA
FBpp0081336 YKR090W_mRNA
FBpp0081334 YKR090W_mRNA
FBpp0297370 YKR090W_mRNA
FBpp0082964 YML085C_mRNA
FBpp0082964 YML124C_mRNA
FBpp0076678 YML085C_mRNA
FBpp0076678 YML124C_mRNA
FBpp0076122 YML085C_mRNA
FBpp0076122 YML124C_mRNA
FBpp0073120 YOL094C_mRNA
FBpp0079609 YNL290W_mRNA
FBpp0074246 YJR068W_mRNA
FBpp0305120 YBL049W_mRNA
FBpp0305119 YBL049W_mRNA
FBpp0305121 YBL049W_mRNA
FBpp0071416 YBL049W_mRNA
FBpp0111887 YBL049W_mRNA
FBpp0099522 YBL049W_mRNA
FBpp0070351 YMR018W_mRNA
FBpp0070351 YDR244W_mRNA
FBpp0070352 YMR018W_mRNA
FBpp0070352 YDR244W_mRNA
FBpp0080707 YGR132C_mRNA
FBpp0312093 YGR132C_mRNA
FBpp0080708 YGR132C_mRNA
FBpp0111775 YGR231C_mRNA
FBpp0085797 YGR231C_mRNA
FBpp0085798 YGR231C_mRNA
FBpp0111776 YGR231C_mRNA
FBpp0085796 YGR231C_mRNA
FBpp0111774 YGR231C_mRNA
FBpp0304267 YLR128W_mRNA
FBpp0075314 YLR128W_mRNA
FBpp0297286 YLR128W_mRNA
FBpp0297284 YLR128W_mRNA
FBpp0297285 YLR128W_mRNA
FBpp0074240 YMR058W_mRNA
FBpp0074240 YFL041W_mRNA
FBpp0074240 YDR506C_mRNA
FBpp0084314 YMR058W_mRNA
FBpp0084314 YFL041W_mRNA
FBpp0084314 YDR506C_mRNA
FBpp0307245 YMR058W_mRNA
FBpp0307245 YFL041W_mRNA
FBpp0307245 YDR506C_mRNA
FBpp0289199 YMR058W_mRNA
FBpp0289199 YFL041W_mRNA
FBpp0289199 YDR506C_mRNA
FBpp0289198 YMR058W_mRNA
FBpp0289198 YFL041W_mRNA
FBpp0289198 YDR506C_mRNA
FBpp0290285 YMR058W_mRNA
FBpp0290285 YFL041W_mRNA
FBpp0290285 YDR506C_mRNA
FBpp0289196 YMR058W_mRNA
FBpp0289196 YFL041W_mRNA
FBpp0289196 YDR506C_mRNA
FBpp0079407 YMR058W_mRNA
FBpp0079407 YFL041W_mRNA
FBpp0079407 YDR506C_mRNA
FBpp0292900 YMR058W_mRNA
FBpp0292900 YFL041W_mRNA
FBpp0292900 YDR506C_mRNA
FBpp0292899 YMR058W_mRNA
FBpp0292899 YFL041W_mRNA
FBpp0292899 YDR506C_mRNA
FBpp0083502 YJR058C_mRNA
FBpp0307231 YLR170C_mRNA
FBpp0293577 YLR170C_mRNA
FBpp0293576 YLR170C_mRNA
FBpp0083884 YLR170C_mRNA
FBpp0078460 YPL196W_mRNA
FBpp0078458 YPL196W_mRNA
FBpp0078457 YPL196W_mRNA
FBpp0305848 YPL196W_mRNA
FBpp0078456 YPL196W_mRNA
FBpp0271939 YPL196W_mRNA
FBpp0089229 YPL196W_mRNA
FBpp0110232 YPL196W_mRNA
FBpp0078455 YPL196W_mRNA
FBpp0300804 YPL196W_mRNA
FBpp0297634 YPL196W_mRNA
FBpp0271940 YPL196W_mRNA
FBpp0271941 YPL196W_mRNA
FBpp0099567 YPL196W_mRNA
FBpp0300805 YPL196W_mRNA
FBpp0078454 YPL196W_mRNA
FBpp0078453 YPL196W_mRNA
FBpp0099569 YPL196W_mRNA
FBpp0110233 YPL196W_mRNA
FBpp0297633 YPL196W_mRNA
FBpp0271942 YPL196W_mRNA
FBpp0078459 YPL196W_mRNA
FBpp0271938 YPL196W_mRNA
FBpp0071620 YDR519W_mRNA
FBpp0309697 YDR519W_mRNA
FBpp0309698 YDR519W_mRNA
FBpp0289626 YDR519W_mRNA
FBpp0297155 YDR519W_mRNA
FBpp0081899 YDR519W_mRNA
FBpp0085703 YNL135C_mRNA
FBpp0304299 YIL038C_mRNA
FBpp0304299 YPR072W_mRNA
FBpp0085398 YIL038C_mRNA
FBpp0085398 YPR072W_mRNA
FBpp0070750 YDR379W_mRNA
FBpp0070750 YOR127W_mRNA
FBpp0070751 YDR379W_mRNA
FBpp0070751 YOR127W_mRNA
FBpp0086883 YER169W_mRNA
FBpp0086883 YDR096W_mRNA
FBpp0291264 YER169W_mRNA
FBpp0291264 YDR096W_mRNA
FBpp0291263 YER169W_mRNA
FBpp0291263 YDR096W_mRNA
FBpp0291262 YER169W_mRNA
FBpp0291262 YDR096W_mRNA
FBpp0302636 YER169W_mRNA
FBpp0302636 YDR096W_mRNA
FBpp0301578 YER169W_mRNA
FBpp0301578 YDR096W_mRNA
FBpp0087961 YER169W_mRNA
FBpp0087961 YDR096W_mRNA
FBpp0297739 YOR219C_mRNA
FBpp0297739 YHR028C_mRNA
FBpp0309549 YOR219C_mRNA
FBpp0309549 YHR028C_mRNA
FBpp0288925 YOR219C_mRNA
FBpp0288925 YHR028C_mRNA
FBpp0305257 YOR219C_mRNA
FBpp0305257 YHR028C_mRNA
FBpp0288926 YOR219C_mRNA
FBpp0288926 YHR028C_mRNA
FBpp0288924 YOR219C_mRNA
FBpp0288924 YHR028C_mRNA
FBpp0309855 YOR219C_mRNA
FBpp0309855 YHR028C_mRNA
FBpp0088584 YOR219C_mRNA
FBpp0088584 YHR028C_mRNA
FBpp0309854 YOR219C_mRNA
FBpp0309854 YHR028C_mRNA
FBpp0311098 YOR219C_mRNA
FBpp0311098 YHR028C_mRNA
FBpp0302889 YAL024C_mRNA
FBpp0302890 YAL024C_mRNA
FBpp0302891 YAL024C_mRNA
FBpp0111548 YAL024C_mRNA
FBpp0308020 YLR176C_mRNA
FBpp0308021 YLR176C_mRNA
FBpp0297137 YLR176C_mRNA
FBpp0308019 YLR176C_mRNA
FBpp0308018 YLR176C_mRNA
FBpp0308017 YLR176C_mRNA
FBpp0298330 YBL103C_mRNA
FBpp0298328 YBL103C_mRNA
FBpp0298327 YBL103C_mRNA
FBpp0298329 YBL103C_mRNA
FBpp0111550 YLR072W_mRNA
FBpp0111550 YFL042C_mRNA
FBpp0297429 YLR072W_mRNA
FBpp0297429 YFL042C_mRNA
FBpp0297431 YLR072W_mRNA
FBpp0297431 YFL042C_mRNA
FBpp0111553 YLR072W_mRNA
FBpp0111553 YFL042C_mRNA
FBpp0111551 YLR072W_mRNA
FBpp0111551 YFL042C_mRNA
FBpp0304682 YLR072W_mRNA
FBpp0304682 YFL042C_mRNA
FBpp0310102 YJL197W_mRNA
FBpp0310101 YJL197W_mRNA
FBpp0072276 YJL197W_mRNA
FBpp0084278 YBR109C_mRNA
FBpp0291175 YBR109C_mRNA
FBpp0072587 YJR138W_mRNA
FBpp0305594 YJR138W_mRNA
FBpp0072589 YJR138W_mRNA
FBpp0072588 YJR138W_mRNA
FBpp0305593 YJR138W_mRNA
FBpp0308697 YPL177C_mRNA
FBpp0308697 YGL096W_mRNA
FBpp0087053 YPL177C_mRNA
FBpp0087053 YGL096W_mRNA
FBpp0087056 YPL177C_mRNA
FBpp0087056 YGL096W_mRNA
FBpp0087055 YPL177C_mRNA
FBpp0087055 YGL096W_mRNA
FBpp0087054 YPL177C_mRNA
FBpp0087054 YGL096W_mRNA
FBpp0300171 YNL305C_mRNA
FBpp0088815 YNL305C_mRNA
FBpp0301213 YNL305C_mRNA
FBpp0088813 YNL305C_mRNA
FBpp0301212 YNL305C_mRNA
FBpp0305105 YNL305C_mRNA
FBpp0088817 YNL305C_mRNA
FBpp0088816 YNL305C_mRNA
FBpp0088814 YNL305C_mRNA
FBpp0088812 YNL305C_mRNA
FBpp0086927 YNL305C_mRNA
FBpp0305107 YNL305C_mRNA
FBpp0305106 YNL305C_mRNA
FBpp0086926 YNL305C_mRNA
FBpp0082367 YNL305C_mRNA
FBpp0293655 YNL305C_mRNA
FBpp0073608 YHR208W_mRNA
FBpp0073608 YJR148W_mRNA
FBpp0078984 YDR510W_mRNA
FBpp0312327 YDR510W_mRNA
FBpp0084956 YER179W_mRNA
FBpp0084956 YER095W_mRNA
FBpp0084955 YER179W_mRNA
FBpp0084955 YER095W_mRNA
FBpp0074365 YPR033C_mRNA
FBpp0305939 YPR033C_mRNA
FBpp0305940 YPR033C_mRNA
FBpp0305938 YPR033C_mRNA
FBpp0292008 YDR481C_mRNA
FBpp0080745 YDR481C_mRNA
FBpp0306281 YDR481C_mRNA
FBpp0306282 YDR481C_mRNA
FBpp0292064 YDR481C_mRNA
FBpp0301587 YDR481C_mRNA
FBpp0077438 YKR013W_mRNA
FBpp0077438 YJL079C_mRNA
FBpp0077438 YJL078C_mRNA
FBpp0077435 YKR013W_mRNA
FBpp0077435 YJL079C_mRNA
FBpp0077435 YJL078C_mRNA
FBpp0077434 YKR013W_mRNA
FBpp0077434 YJL079C_mRNA
FBpp0077434 YJL078C_mRNA
FBpp0291567 YKR013W_mRNA
FBpp0291567 YJL079C_mRNA
FBpp0291567 YJL078C_mRNA
FBpp0081179 YKR013W_mRNA
FBpp0081179 YJL079C_mRNA
FBpp0081179 YJL078C_mRNA
FBpp0083564 YJR063W_mRNA
FBpp0311521 YKR051W_mRNA
FBpp0112035 YKR051W_mRNA
FBpp0072629 YKR051W_mRNA
FBpp0072628 YKR051W_mRNA
FBpp0301150 YKR051W_mRNA
FBpp0301149 YKR051W_mRNA
FBpp0292904 YKR051W_mRNA
FBpp0079486 YKR051W_mRNA
FBpp0301148 YKR051W_mRNA
FBpp0303021 YKR051W_mRNA
FBpp0080687 YIL023C_mRNA
FBpp0088864 YIL023C_mRNA
FBpp0088862 YIL023C_mRNA
FBpp0088863 YIL023C_mRNA
FBpp0088859 YIL023C_mRNA
FBpp0088861 YIL023C_mRNA
FBpp0292153 YIL023C_mRNA
FBpp0292151 YIL023C_mRNA
FBpp0292152 YIL023C_mRNA
FBpp0088860 YIL023C_mRNA
FBpp0077571 YMR323W_mRNA
FBpp0077571 YOR393W_mRNA
FBpp0077571 YPL281C_mRNA
FBpp0077571 YHR174W_mRNA
FBpp0077571 YGR254W_mRNA
FBpp0077572 YMR323W_mRNA
FBpp0077572 YOR393W_mRNA
FBpp0077572 YPL281C_mRNA
FBpp0077572 YHR174W_mRNA
FBpp0077572 YGR254W_mRNA
FBpp0077573 YMR323W_mRNA
FBpp0077573 YOR393W_mRNA
FBpp0077573 YPL281C_mRNA
FBpp0077573 YHR174W_mRNA
FBpp0077573 YGR254W_mRNA
FBpp0077574 YMR323W_mRNA
FBpp0077574 YOR393W_mRNA
FBpp0077574 YPL281C_mRNA
FBpp0077574 YHR174W_mRNA
FBpp0077574 YGR254W_mRNA
FBpp0077575 YMR323W_mRNA
FBpp0077575 YOR393W_mRNA
FBpp0077575 YPL281C_mRNA
FBpp0077575 YHR174W_mRNA
FBpp0077575 YGR254W_mRNA
FBpp0291325 YMR323W_mRNA
FBpp0291325 YOR393W_mRNA
FBpp0291325 YPL281C_mRNA
FBpp0291325 YHR174W_mRNA
FBpp0291325 YGR254W_mRNA
FBpp0311359 YOR061W_mRNA
FBpp0311359 YIL035C_mRNA
FBpp0110433 YOR061W_mRNA
FBpp0110433 YIL035C_mRNA
FBpp0311229 YOR061W_mRNA
FBpp0311229 YIL035C_mRNA
FBpp0311360 YOR061W_mRNA
FBpp0311360 YIL035C_mRNA
FBpp0070041 YOR061W_mRNA
FBpp0070041 YIL035C_mRNA
FBpp0070042 YOR061W_mRNA
FBpp0070042 YIL035C_mRNA
FBpp0070043 YOR061W_mRNA
FBpp0070043 YIL035C_mRNA
FBpp0082927 YML028W_mRNA
FBpp0082927 YDR453C_mRNA
FBpp0308291 YKL067W_mRNA
FBpp0311978 YKL067W_mRNA
FBpp0312191 YKL067W_mRNA
FBpp0072854 YOR171C_mRNA
FBpp0072854 YLR260W_mRNA
FBpp0073346 YOR171C_mRNA
FBpp0073346 YLR260W_mRNA
FBpp0073347 YOR171C_mRNA
FBpp0073347 YLR260W_mRNA
FBpp0072567 YKL129C_mRNA
FBpp0072567 YMR109W_mRNA
FBpp0072568 YKL129C_mRNA
FBpp0072568 YMR109W_mRNA
FBpp0072565 YKL129C_mRNA
FBpp0072565 YMR109W_mRNA
FBpp0072566 YKL129C_mRNA
FBpp0072566 YMR109W_mRNA
FBpp0074446 YJR129C_mRNA
FBpp0310409 YDL240W_mRNA
FBpp0081018 YDL240W_mRNA
FBpp0080751 YDL240W_mRNA
FBpp0297553 YDL240W_mRNA
FBpp0080753 YDL240W_mRNA
FBpp0080754 YDL240W_mRNA
FBpp0306284 YDL240W_mRNA
FBpp0306283 YDL240W_mRNA
FBpp0099871 YDL240W_mRNA
FBpp0080752 YDL240W_mRNA
FBpp0080755 YDL240W_mRNA
FBpp0293271 YLR422W_mRNA
FBpp0083850 YLR422W_mRNA
FBpp0303337 YLR422W_mRNA
FBpp0307741 YLR422W_mRNA
FBpp0307742 YLR422W_mRNA
FBpp0303335 YLR422W_mRNA
FBpp0303336 YLR422W_mRNA
FBpp0112103 YMR068W_mRNA
FBpp0074378 YLL050C_mRNA
FBpp0072097 YLL050C_mRNA
FBpp0087658 YOR156C_mRNA
FBpp0087658 YDR409W_mRNA
FBpp0291667 YOR156C_mRNA
FBpp0291667 YDR409W_mRNA
FBpp0087656 YOR156C_mRNA
FBpp0087656 YDR409W_mRNA
FBpp0087655 YOR156C_mRNA
FBpp0087655 YDR409W_mRNA
FBpp0087657 YOR156C_mRNA
FBpp0087657 YDR409W_mRNA
FBpp0291668 YOR156C_mRNA
FBpp0291668 YDR409W_mRNA
FBpp0087651 YOR156C_mRNA
FBpp0087651 YDR409W_mRNA
FBpp0291669 YOR156C_mRNA
FBpp0291669 YDR409W_mRNA
FBpp0297644 YOR156C_mRNA
FBpp0297644 YDR409W_mRNA
FBpp0087652 YOR156C_mRNA
FBpp0087652 YDR409W_mRNA
FBpp0310445 YOR156C_mRNA
FBpp0310445 YDR409W_mRNA
FBpp0087653 YOR156C_mRNA
FBpp0087653 YDR409W_mRNA
FBpp0087659 YOR156C_mRNA
FBpp0087659 YDR409W_mRNA
FBpp0087654 YOR156C_mRNA
FBpp0087654 YDR409W_mRNA
FBpp0078137 YNL007C_mRNA
FBpp0307363 YNL007C_mRNA
FBpp0077637 YNL007C_mRNA
FBpp0297899 YNL007C_mRNA
FBpp0297900 YNL007C_mRNA
FBpp0076829 YNL007C_mRNA
FBpp0076830 YNL007C_mRNA
FBpp0071393 YNL007C_mRNA
FBpp0311276 YGL087C_mRNA
FBpp0076859 YGL087C_mRNA
FBpp0076860 YGL087C_mRNA
FBpp0075044 YGL001C_mRNA
FBpp0076849 YLR078C_mRNA
FBpp0311457 YJR110W_mRNA
FBpp0078854 YJR110W_mRNA
FBpp0111853 YJR110W_mRNA
FBpp0071937 YJR110W_mRNA
FBpp0071938 YJR110W_mRNA
FBpp0088092 YPR031W_mRNA
FBpp0311524 YPR031W_mRNA
FBpp0311400 YIL106W_mRNA
FBpp0083624 YIL106W_mRNA
FBpp0307973 YIL106W_mRNA
FBpp0304343 YIL114C_mRNA
FBpp0304343 YNL055C_mRNA
FBpp0100039 YIL114C_mRNA
FBpp0100039 YNL055C_mRNA
FBpp0079772 YIL114C_mRNA
FBpp0079772 YNL055C_mRNA
FBpp0293784 YIL114C_mRNA
FBpp0293784 YNL055C_mRNA
FBpp0079771 YIL114C_mRNA
FBpp0079771 YNL055C_mRNA
FBpp0304344 YIL114C_mRNA
FBpp0304344 YNL055C_mRNA
FBpp0079773 YIL114C_mRNA
FBpp0079773 YNL055C_mRNA
FBpp0084420 YNL238W_mRNA
FBpp0290515 YNL238W_mRNA
FBpp0089030 YNL238W_mRNA
FBpp0089028 YNL238W_mRNA
FBpp0089027 YNL238W_mRNA
FBpp0089025 YNL238W_mRNA
FBpp0302738 YNL238W_mRNA
FBpp0307777 YNL238W_mRNA
FBpp0089026 YNL238W_mRNA
FBpp0307776 YNL238W_mRNA
FBpp0307775 YNL238W_mRNA
FBpp0077910 YDR272W_mRNA
FBpp0077910 YOR040W_mRNA
FBpp0077911 YDR272W_mRNA
FBpp0077911 YOR040W_mRNA
FBpp0077912 YDR272W_mRNA
FBpp0077912 YOR040W_mRNA
FBpp0081910 YMR190C_mRNA
FBpp0087320 YPR103W_mRNA
FBpp0087319 YPR103W_mRNA
FBpp0309163 YPR103W_mRNA
FBpp0080578 YPR103W_mRNA
FBpp0071954 YPR103W_mRNA
FBpp0311089 YNR052C_mRNA
FBpp0289500 YNR052C_mRNA
FBpp0075790 YNR052C_mRNA
FBpp0075792 YNR052C_mRNA
FBpp0075791 YNR052C_mRNA
FBpp0085915 YER165W_mRNA
FBpp0085917 YER165W_mRNA
FBpp0085919 YER165W_mRNA
FBpp0081768 YCL033C_mRNA
FBpp0271855 YCL033C_mRNA
FBpp0081769 YCL033C_mRNA
FBpp0081771 YCL033C_mRNA
FBpp0081772 YCL033C_mRNA
FBpp0271853 YCL033C_mRNA
FBpp0271854 YCL033C_mRNA
FBpp0297596 YCL033C_mRNA
FBpp0084809 YER089C_mRNA
FBpp0084809 YBL056W_mRNA
FBpp0084810 YER089C_mRNA
FBpp0084810 YBL056W_mRNA
FBpp0084808 YER089C_mRNA
FBpp0084808 YBL056W_mRNA
FBpp0084811 YER089C_mRNA
FBpp0084811 YBL056W_mRNA
FBpp0084812 YER089C_mRNA
FBpp0084812 YBL056W_mRNA
FBpp0301180 YER089C_mRNA
FBpp0301180 YBL056W_mRNA
FBpp0084399 YER089C_mRNA
FBpp0084399 YBL056W_mRNA
FBpp0072956 YER089C_mRNA
FBpp0072956 YBL056W_mRNA
FBpp0072955 YER089C_mRNA
FBpp0072955 YBL056W_mRNA
FBpp0072452 YER089C_mRNA
FBpp0072452 YBL056W_mRNA
FBpp0304111 YGR127W_mRNA
FBpp0073638 YGR127W_mRNA
FBpp0300867 YGR127W_mRNA
FBpp0309341 YGR127W_mRNA
FBpp0288894 YJL141C_mRNA
FBpp0289736 YJL141C_mRNA
FBpp0289735 YJL141C_mRNA
FBpp0289737 YJL141C_mRNA
FBpp0309627 YJL141C_mRNA
FBpp0082433 YER173W_mRNA
FBpp0290546 YFR028C_mRNA
FBpp0290545 YFR028C_mRNA
FBpp0310069 YFR028C_mRNA
FBpp0079115 YFR028C_mRNA
FBpp0310068 YFR028C_mRNA
FBpp0297092 YDL230W_mRNA
FBpp0303682 YDL230W_mRNA
FBpp0303684 YDL230W_mRNA
FBpp0303683 YDL230W_mRNA
FBpp0080801 YDL230W_mRNA
FBpp0303681 YDL230W_mRNA
FBpp0111712 YDL230W_mRNA
FBpp0089274 YDL230W_mRNA
FBpp0084791 YDL230W_mRNA
FBpp0084792 YDL230W_mRNA
FBpp0292247 YDL230W_mRNA
FBpp0292507 YDL230W_mRNA
FBpp0306611 YHL007C_mRNA
FBpp0306611 YNL298W_mRNA
FBpp0081213 YHL007C_mRNA
FBpp0081213 YNL298W_mRNA
FBpp0306606 YHL007C_mRNA
FBpp0306606 YNL298W_mRNA
FBpp0081212 YHL007C_mRNA
FBpp0081212 YNL298W_mRNA
FBpp0081211 YHL007C_mRNA
FBpp0081211 YNL298W_mRNA
FBpp0306608 YHL007C_mRNA
FBpp0306608 YNL298W_mRNA
FBpp0306607 YHL007C_mRNA
FBpp0306607 YNL298W_mRNA
FBpp0306610 YHL007C_mRNA
FBpp0306610 YNL298W_mRNA
FBpp0306609 YHL007C_mRNA
FBpp0306609 YNL298W_mRNA
FBpp0091101 YPL127C_mRNA
FBpp0091086 YPL127C_mRNA
FBpp0091068 YPL127C_mRNA
FBpp0091083 YPL127C_mRNA
FBpp0091107 YPL127C_mRNA
FBpp0091052 YPL127C_mRNA
FBpp0091057 YPL127C_mRNA
FBpp0091071 YPL127C_mRNA
FBpp0091074 YPL127C_mRNA
FBpp0085248 YPL127C_mRNA
FBpp0091098 YPL127C_mRNA
FBpp0091089 YPL127C_mRNA
FBpp0091092 YPL127C_mRNA
FBpp0091110 YPL127C_mRNA
FBpp0091095 YPL127C_mRNA
FBpp0091077 YPL127C_mRNA
FBpp0091065 YPL127C_mRNA
FBpp0091062 YPL127C_mRNA
FBpp0091050 YPL127C_mRNA
FBpp0091059 YPL127C_mRNA
FBpp0091104 YPL127C_mRNA
FBpp0091054 YPL127C_mRNA
FBpp0091080 YPL127C_mRNA
FBpp0306049 YPR023C_mRNA
FBpp0082579 YPR023C_mRNA
FBpp0070935 YOR358W_mRNA
FBpp0077350 YGL054C_mRNA
FBpp0077350 YBR210W_mRNA
FBpp0080405 YGL054C_mRNA
FBpp0080405 YBR210W_mRNA
FBpp0308005 YGL054C_mRNA
FBpp0308005 YBR210W_mRNA
FBpp0080406 YGL054C_mRNA
FBpp0080406 YBR210W_mRNA
FBpp0305402 YNL016W_mRNA
FBpp0083976 YNL016W_mRNA
FBpp0305403 YNL016W_mRNA
FBpp0305404 YNL016W_mRNA
FBpp0083977 YNL016W_mRNA
FBpp0083979 YNL016W_mRNA
FBpp0291655 YHR046C_mRNA
FBpp0291655 YDR287W_mRNA
FBpp0075270 YHR046C_mRNA
FBpp0075270 YDR287W_mRNA
FBpp0075269 YHR046C_mRNA
FBpp0075269 YDR287W_mRNA
FBpp0305752 YHR046C_mRNA
FBpp0305752 YDR287W_mRNA
FBpp0075268 YHR046C_mRNA
FBpp0075268 YDR287W_mRNA
FBpp0075271 YHR046C_mRNA
FBpp0075271 YDR287W_mRNA
FBpp0305753 YHR046C_mRNA
FBpp0305753 YDR287W_mRNA
FBpp0078071 YHR046C_mRNA
FBpp0078071 YDR287W_mRNA
FBpp0296988 YHR046C_mRNA
FBpp0296988 YDR287W_mRNA
FBpp0078069 YHR046C_mRNA
FBpp0078069 YDR287W_mRNA
FBpp0082953 YNL097C_mRNA
FBpp0082953 YHR090C_mRNA
FBpp0082953 YOR064C_mRNA
FBpp0306666 YOL021C_mRNA
FBpp0083989 YOL021C_mRNA
FBpp0072389 YDR293C_mRNA
FBpp0072388 YDR293C_mRNA
FBpp0084623 YMR186W_mRNA
FBpp0084623 YPL240C_mRNA
FBpp0072904 YMR186W_mRNA
FBpp0072904 YPL240C_mRNA
FBpp0305095 YMR186W_mRNA
FBpp0305095 YPL240C_mRNA
FBpp0303207 YER122C_mRNA
FBpp0303206 YER122C_mRNA
FBpp0303208 YER122C_mRNA
FBpp0078192 YER122C_mRNA
FBpp0078191 YER122C_mRNA
FBpp0112099 YER122C_mRNA
FBpp0304160 YER122C_mRNA
FBpp0076502 YER016W_mRNA
FBpp0289513 YER016W_mRNA
FBpp0089088 YER016W_mRNA
FBpp0305157 YER016W_mRNA
FBpp0085464 YER016W_mRNA
FBpp0085463 YER016W_mRNA
FBpp0085461 YER016W_mRNA
FBpp0271746 YER016W_mRNA
FBpp0087761 YBR196C_mRNA
FBpp0087762 YBR196C_mRNA
FBpp0087760 YBR196C_mRNA
FBpp0305846 YJL059W_mRNA
FBpp0074933 YJL059W_mRNA
FBpp0291628 YAR008W_mRNA
FBpp0291368 YGR003W_mRNA
FBpp0291367 YGR003W_mRNA
FBpp0291366 YGR003W_mRNA
FBpp0291369 YGR003W_mRNA
FBpp0071503 YER171W_mRNA
FBpp0085145 YDL079C_mRNA
FBpp0085145 YMR139W_mRNA
FBpp0089161 YDL079C_mRNA
FBpp0089161 YMR139W_mRNA
FBpp0291178 YDL079C_mRNA
FBpp0291178 YMR139W_mRNA
FBpp0291395 YDL079C_mRNA
FBpp0291395 YMR139W_mRNA
FBpp0089158 YDL079C_mRNA
FBpp0089158 YMR139W_mRNA
FBpp0089159 YDL079C_mRNA
FBpp0089159 YMR139W_mRNA
FBpp0070449 YDL079C_mRNA
FBpp0070449 YMR139W_mRNA
FBpp0070450 YDL079C_mRNA
FBpp0070450 YMR139W_mRNA
FBpp0070453 YDL079C_mRNA
FBpp0070453 YMR139W_mRNA
FBpp0070451 YDL079C_mRNA
FBpp0070451 YMR139W_mRNA
FBpp0070452 YDL079C_mRNA
FBpp0070452 YMR139W_mRNA
FBpp0089162 YDL079C_mRNA
FBpp0089162 YMR139W_mRNA
FBpp0304141 YDL079C_mRNA
FBpp0304141 YMR139W_mRNA
FBpp0089160 YDL079C_mRNA
FBpp0089160 YMR139W_mRNA
FBpp0305265 YPL106C_mRNA
FBpp0305265 YBR169C_mRNA
FBpp0075514 YPL106C_mRNA
FBpp0075514 YBR169C_mRNA
FBpp0075515 YPL106C_mRNA
FBpp0075515 YBR169C_mRNA
FBpp0075513 YPL106C_mRNA
FBpp0075513 YBR169C_mRNA
FBpp0292998 YPL106C_mRNA
FBpp0292998 YBR169C_mRNA
FBpp0292997 YPL106C_mRNA
FBpp0292997 YBR169C_mRNA
FBpp0293000 YPL106C_mRNA
FBpp0293000 YBR169C_mRNA
FBpp0292999 YPL106C_mRNA
FBpp0292999 YBR169C_mRNA
FBpp0077714 YPR010C_mRNA
FBpp0087085 YOR207C_mRNA
FBpp0310926 YOR151C_mRNA
FBpp0082353 YOR151C_mRNA
FBpp0075176 YBR042C_mRNA
FBpp0075176 YDR018C_mRNA
FBpp0075175 YBR042C_mRNA
FBpp0075175 YDR018C_mRNA
FBpp0075178 YBR042C_mRNA
FBpp0075178 YDR018C_mRNA
FBpp0300976 YBR042C_mRNA
FBpp0300976 YDR018C_mRNA
FBpp0075177 YBR042C_mRNA
FBpp0075177 YDR018C_mRNA
FBpp0075180 YBR042C_mRNA
FBpp0075180 YDR018C_mRNA
FBpp0075179 YBR042C_mRNA
FBpp0075179 YDR018C_mRNA
FBpp0303599 YBR042C_mRNA
FBpp0303599 YDR018C_mRNA
FBpp0300841 YDR147W_mRNA
FBpp0300841 YLR133W_mRNA
FBpp0300842 YDR147W_mRNA
FBpp0300842 YLR133W_mRNA
FBpp0310124 YDR147W_mRNA
FBpp0310124 YLR133W_mRNA
FBpp0075810 YIL043C_mRNA
FBpp0291346 YIL043C_mRNA
FBpp0075811 YIL043C_mRNA
FBpp0290358 YIL043C_mRNA
FBpp0110168 YIL043C_mRNA
FBpp0110169 YIL043C_mRNA
FBpp0310443 YIL043C_mRNA
FBpp0081900 YLR205C_mRNA
FBpp0422971 YPL169C_mRNA
