EAA35509 YGL171W_mRNA
ESA43966 YDR084C_mRNA
EAA36183 YGL237C_mRNA
EAA31566 YBR222C_mRNA
EAA29622 YIL147C_mRNA
EAA30861 YLL040C_mRNA
EAA33724 YNL112W_mRNA
EAA28504 YJL168C_mRNA
EAA27220 YJL060W_mRNA
ESA43095 YFL016C_mRNA
ESA42702 YHR013C_mRNA
EAA30202 YNL223W_mRNA
ESA43867 YLR006C_mRNA
EAA33620 YIL113W_mRNA
EAA33620 YNL053W_mRNA
EAA33753 YER129W_mRNA
EAA33753 YGL179C_mRNA
EAA27566 YER129W_mRNA
EAA27566 YGL179C_mRNA
ESA43548 YCR033W_mRNA
EAA35908 YBR011C_mRNA
EAA34328 YMR267W_mRNA
EAA34083 YLR426W_mRNA
EAA34083 YDL114W_mRNA
ESA44030 YLR313C_mRNA
EAA28812 YPR173C_mRNA
ESA41952 YER047C_mRNA
EAA29819 YEL037C_mRNA
EAA34961 YPL037C_mRNA
EAA34961 YDR252W_mRNA
ESA42065 YBR263W_mRNA
EAA30682 YLR058C_mRNA
EAA35550 YPL165C_mRNA
EAA28732 YHR207C_mRNA
EAA33925 YHR207C_mRNA
EAA28531 YHR207C_mRNA
EAA26997 YHR207C_mRNA
EAA36539 YHR193C_mRNA
EAA28467 YKR079C_mRNA
EAA27341 YDR129C_mRNA
EAA34077 YGR244C_mRNA
EAA28452 YER068W_mRNA
EDO65344 YMR192W_mRNA
EDO65344 YPL249C_mRNA
EAA33160 YMR192W_mRNA
EAA33160 YPL249C_mRNA
EAA34192 YMR192W_mRNA
EAA34192 YPL249C_mRNA
ESA42364 YGL150C_mRNA
EAA29066 YDR334W_mRNA
EAA26892 YLR344W_mRNA
EAA26892 YGR034W_mRNA
ESA43935 YDR424C_mRNA
EAA27490 YBL037W_mRNA
ESA43193 YOL049W_mRNA
EAA26564 YPL215W_mRNA
EAA33763 YLR359W_mRNA
EAA34690 YJR143C_mRNA
ESA43861 YDL095W_mRNA
ESA43861 YDL093W_mRNA
EAA27034 YAL023C_mRNA
EAA27034 YOR321W_mRNA
EAA27034 YGR199W_mRNA
EAA28512 YOR367W_mRNA
EDO65311 YMR221C_mRNA
EAA35319 YOR348C_mRNA
EAA35042 YOL020W_mRNA
EAA35042 YBR069C_mRNA
EAA35042 YBR068C_mRNA
EAA35042 YDR046C_mRNA
EAA35042 YDR508C_mRNA
EAA35042 YCL025C_mRNA
EAA35042 YGR191W_mRNA
EAA35042 YKR039W_mRNA
EAA35042 YLL061W_mRNA
EAA35042 YPL274W_mRNA
EAA30854 YOL020W_mRNA
EAA30854 YBR069C_mRNA
EAA30854 YBR068C_mRNA
EAA30854 YDR046C_mRNA
EAA30854 YDR508C_mRNA
EAA30854 YCL025C_mRNA
EAA30854 YGR191W_mRNA
EAA30854 YKR039W_mRNA
EAA30854 YLL061W_mRNA
EAA30854 YPL274W_mRNA
EAA26575 YOL020W_mRNA
EAA26575 YBR069C_mRNA
EAA26575 YBR068C_mRNA
EAA26575 YDR046C_mRNA
EAA26575 YDR508C_mRNA
EAA26575 YCL025C_mRNA
EAA26575 YGR191W_mRNA
EAA26575 YKR039W_mRNA
EAA26575 YLL061W_mRNA
EAA26575 YPL274W_mRNA
EAA28276 YFL055W_mRNA
EAA32636 YNL270C_mRNA
EAA32636 YEL063C_mRNA
EAA32636 YNL268W_mRNA
EDO65186 YPL265W_mRNA
EAA31076 YDR160W_mRNA
EAA32961 YBR132C_mRNA
EAA31204 YOL060C_mRNA
EAA34612 YDR284C_mRNA
ESA42297 YDR284C_mRNA
EAA31403 YDR503C_mRNA
EAA33420 YDR105C_mRNA
EAA33206 YOR168W_mRNA
EAA27264 YLR259C_mRNA
EDO64998 YNR029C_mRNA
EAA36174 YJL029C_mRNA
EAA26759 YKL139W_mRNA
EAA33186 YKR056W_mRNA
EAA34385 YKR056W_mRNA
EAA32748 YDL226C_mRNA
EAA29641 YGR096W_mRNA
EAA36130 YML035C_mRNA
EAA36458 YGL043W_mRNA
ESA44180 YLR340W_mRNA
EAA30970 YDL087C_mRNA
EAA32039 YOL018C_mRNA
EAA32524 YOR349W_mRNA
EAA31511 YGL003C_mRNA
EAA26973 YGL116W_mRNA
EAA35783 YGL116W_mRNA
ESA41924 YHR190W_mRNA
ESA42242 YIR001C_mRNA
EAA35965 YNL200C_mRNA
EAA32661 YBR035C_mRNA
EAA33087 YCL005W-A_mRNA
EDO64952 YDR063W_mRNA
EAA27538 YCL032W_mRNA
EAA33052 YLR087C_mRNA
EAA29248 YPL174C_mRNA
EAA29993 YKR017C_mRNA
EAA31814 YLR419W_mRNA
EAA27560 YMR297W_mRNA
EAA29397 YBR139W_mRNA
EAA31664 YGL203C_mRNA
EAA31726 YGL203C_mRNA
EAA30182 YOR251C_mRNA
EAA29385 YKL001C_mRNA
EAA32577 YJL130C_mRNA
EAA36214 YJR109C_mRNA
EAA32152 YBR177C_mRNA
EAA32152 YPL095C_mRNA
EAA32152 YMR210W_mRNA
ESA42763 YPR035W_mRNA
EAA31668 YPR035W_mRNA
EAA32309 YMR203W_mRNA
EAA30574 YGL123W_mRNA
EAA27012 YBL078C_mRNA
EAA30512 YER003C_mRNA
EAA28154 YER003C_mRNA
EAA27140 YGR278W_mRNA
EAA35752 YKL194C_mRNA
ESA41972 YIL078W_mRNA
EAA32676 YKR094C_mRNA
EAA32676 YIL148W_mRNA
ESA42315 YKR094C_mRNA
ESA42315 YIL148W_mRNA
EAA32178 YBR117C_mRNA
EAA32178 YPR074C_mRNA
ESA43737 YBL030C_mRNA
ESA43737 YBR085W_mRNA
ESA43737 YMR056C_mRNA
EAA32343 YHR008C_mRNA
ESA41862 YHR008C_mRNA
EAA32460 YIL003W_mRNA
EAA28961 YPL175W_mRNA
EDO65467 YPL065W_mRNA
EAA31670 YLR351C_mRNA
EAA30496 YJL126W_mRNA
EAA26972 YJL031C_mRNA
EAA30917 YOR257W_mRNA
EAA34441 YAL054C_mRNA
EAA34441 YLR153C_mRNA
EAA28462 YOR271C_mRNA
ESA44148 YBR274W_mRNA
ESA42238 YJL080C_mRNA
ESA42280 YDR034C_mRNA
EAA29240 YDR207C_mRNA
EAA30506 YDR207C_mRNA
EAA34266 YML099C_mRNA
EAA34266 YBR240C_mRNA
EAA32268 YDL170W_mRNA
EAA27768 YDL170W_mRNA
EAA35205 YDL170W_mRNA
EAA32829 YDL170W_mRNA
EAA30715 YDL170W_mRNA
EAA29033 YDL170W_mRNA
EAA34143 YDL170W_mRNA
EAA30470 YDL170W_mRNA
EAA27167 YDL170W_mRNA
EAA28098 YDL170W_mRNA
EAA28818 YDL170W_mRNA
EAA35928 YOL040C_mRNA
EAA28295 YML127W_mRNA
EAA32168 YPR181C_mRNA
ESA43161 YLR367W_mRNA
ESA43161 YJL190C_mRNA
EAA34547 YJR106W_mRNA
EAA34547 YDL206W_mRNA
EAA27164 YGL234W_mRNA
EAA34454 YDR524C_mRNA
EDO65422 YAL016W_mRNA
EAA31783 YLR179C_mRNA
EAA31783 YLR178C_mRNA
EAA29460 YML015C_mRNA
EAA28313 YNL111C_mRNA
EAA29599 YLR378C_mRNA
EAA35794 YDR182W_mRNA
EAA35455 YGR178C_mRNA
EAA34252 YGR178C_mRNA
EAA26779 YKL189W_mRNA
EAA32230 YBR017C_mRNA
EAA36011 YDL075W_mRNA
EAA36011 YLR406C_mRNA
EAA31835 YNL006W_mRNA
EAA32658 YLR262C_mRNA
EAA28777 YOL002C_mRNA
EAA28777 YDR492W_mRNA
EAA30967 YNL247W_mRNA
EAA31843 YGR007W_mRNA
EAA29528 YPL023C_mRNA
EAA32493 YGL125W_mRNA
EAA36522 YKL156W_mRNA
EAA36522 YHR021C_mRNA
EAA33711 YOL121C_mRNA
EAA33711 YNL302C_mRNA
EAA27449 YBR289W_mRNA
EAA33195 YOR292C_mRNA
EAA32569 YLR251W_mRNA
ESA42650 YDR289C_mRNA
ESA44213 YCR081W_mRNA
ESA42269 YKL010C_mRNA
EAA31717 YDR185C_mRNA
EAA31717 YLR168C_mRNA
EAA28274 YLR092W_mRNA
EAA28274 YBR294W_mRNA
EAA36099 YLR092W_mRNA
EAA36099 YBR294W_mRNA
EAA31314 YOL115W_mRNA
EAA31314 YNL299W_mRNA
EAA34877 YKL025C_mRNA
ESA43877 YOR032C_mRNA
EAA31130 YOR032C_mRNA
EAA35854 YMR036C_mRNA
ESA43334 YOR359W_mRNA
EAA30456 YHL039W_mRNA
EAA30456 YPL208W_mRNA
EAA31550 YLR075W_mRNA
EAA33071 YGL058W_mRNA
EAA35197 YGL058W_mRNA
EAA31879 YNL246W_mRNA
EAA27558 YML026C_mRNA
EAA27558 YDR450W_mRNA
ESA42224 YNL173C_mRNA
ESA42224 YHR146W_mRNA
ESA42224 YDR422C_mRNA
EAA31360 YER027C_mRNA
EAA31360 YGL208W_mRNA
EAA27698 YGR246C_mRNA
EAA27684 YDL125C_mRNA
EAA29987 YDL125C_mRNA
EAA27966 YKL040C_mRNA
ESA42218 YLR174W_mRNA
ESA42218 YNL009W_mRNA
ESA42218 YDL066W_mRNA
EAA30605 YNR074C_mRNA
EAA36409 YBL099W_mRNA
EAA31583 YLR025W_mRNA
EAA35159 YOL059W_mRNA
EAA35159 YDL022W_mRNA
EAA27337 YNL301C_mRNA
EAA27337 YOL120C_mRNA
EAA32686 YMR262W_mRNA
EAA28369 YAL048C_mRNA
EAA28550 YFR032C-A_mRNA
EAA27792 YDR448W_mRNA
ESA41942 YER086W_mRNA
EAA32098 YKL218C_mRNA
EAA35573 YOR241W_mRNA
ESA44238 YOR241W_mRNA
EAA32187 YKL132C_mRNA
EAA32187 YMR113W_mRNA
EAA31241 YJL104W_mRNA
EAA27711 YJL106W_mRNA
EAA35367 YOL139C_mRNA
EAA27491 YFR021W_mRNA
EAA34883 YNL326C_mRNA
EAA32336 YHR119W_mRNA
EAA35921 YIL128W_mRNA
EAA28398 YGR010W_mRNA
EAA28398 YLR328W_mRNA
EAA28534 YLR284C_mRNA
EAA28534 YOR180C_mRNA
EAA31459 YPL069C_mRNA
EAA36585 YGR100W_mRNA
EAA29526 YMR010W_mRNA
EAA36095 YDR375C_mRNA
ESA43090 YDL132W_mRNA
ESA43920 YOL004W_mRNA
EAA36572 YGR070W_mRNA
EAA36572 YLR371W_mRNA
EAA35598 YOR386W_mRNA
EAA31284 YIL160C_mRNA
EAA31186 YIL160C_mRNA
EAA29476 YIL160C_mRNA
EAA33050 YOR133W_mRNA
EAA33050 YDR385W_mRNA
EAA36467 YKL173W_mRNA
EAA35039 YIR009W_mRNA
EAA36116 YLR442C_mRNA
EAA36116 YML065W_mRNA
EAA35035 YJL194W_mRNA
EAA27738 YNL021W_mRNA
EAA27169 YHL017W_mRNA
EAA27169 YKL039W_mRNA
EAA28376 YDR111C_mRNA
EAA28376 YLR089C_mRNA
ESA43432 YPL212C_mRNA
ESA43432 YGL063W_mRNA
EAA32041 YPR029C_mRNA
EAA33882 YIL052C_mRNA
EAA33882 YER056C-A_mRNA
EAA32329 YDR468C_mRNA
EAA31434 YAL044C_mRNA
EAA35893 YGL147C_mRNA
EAA35893 YNL067W_mRNA
EAA31992 YKL088W_mRNA
EAA27509 YGR083C_mRNA
EAA27694 YIR022W_mRNA
EAA27062 YJL050W_mRNA
EAA36252 YLR398C_mRNA
EAA31758 YEL056W_mRNA
EAA30368 YDL149W_mRNA
EAA26938 YNL178W_mRNA
EAA26738 YLR441C_mRNA
EAA26738 YML063W_mRNA
EAA26774 YOL100W_mRNA
EAA26774 YDR490C_mRNA
ESA44089 YNL168C_mRNA
ESA42479 YKL190W_mRNA
EAA33584 YJL026W_mRNA
EAA33584 YGR180C_mRNA
EAA31856 YDL064W_mRNA
ESA42355 YAL021C_mRNA
EAA31933 YDL003W_mRNA
EAA36054 YDL003W_mRNA
ESA42098 YKL024C_mRNA
EAA35232 YKL024C_mRNA
EDO65306 YDR246W_mRNA
EAA34574 YDL045C_mRNA
EAA32799 YMR178W_mRNA
EAA36297 YFL017C_mRNA
EAA27391 YJL014W_mRNA
ESA43662 YNL025C_mRNA
EAA32030 YLR116W_mRNA
EAA35697 YCR047C_mRNA
EAA27139 YML080W_mRNA
ESA43811 YPL181W_mRNA
EAA33848 YPL181W_mRNA
EAA28230 YJL105W_mRNA
EAA28230 YKR029C_mRNA
EAA27344 YOR085W_mRNA
EAA34937 YGR101W_mRNA
EAA32141 YBR114W_mRNA
EAA29275 YLR032W_mRNA
EAA29585 YOR191W_mRNA
EAA28286 YOR191W_mRNA
EAA31176 YOR191W_mRNA
EAA36535 YOR191W_mRNA
EAA31672 YLR061W_mRNA
EAA31672 YFL034C-A_mRNA
EAA33798 YKL170W_mRNA
EAA36351 YER117W_mRNA
EAA36351 YBL087C_mRNA
ESA42619 YMR150C_mRNA
ESA43378 YDR002W_mRNA
EAA27885 YDL164C_mRNA
EDO64997 YLR455W_mRNA
EAA36571 YPL234C_mRNA
EAA32182 YEL027W_mRNA
EAA34815 YPL155C_mRNA
EAA29931 YCL043C_mRNA
EAA29931 YDR518W_mRNA
EAA34208 YOR307C_mRNA
EAA34208 YJL193W_mRNA
EAA34468 YKL127W_mRNA
EAA34468 YMR105C_mRNA
EAA36554 YDR324C_mRNA
EAA28291 YFR024C-A_mRNA
EAA28291 YHR016C_mRNA
EAA33781 YMR207C_mRNA
EAA33781 YNR016C_mRNA
EAA31242 YDL141W_mRNA
EAA33172 YDR107C_mRNA
EAA33172 YLR083C_mRNA
EAA33252 YDR107C_mRNA
EAA33252 YLR083C_mRNA
EAA33124 YCL057W_mRNA
EAA32349 YDR513W_mRNA
EAA32349 YCL035C_mRNA
EDO64904 YDR378C_mRNA
EAA27289 YPR182W_mRNA
EAA33715 YJL191W_mRNA
EAA33715 YCR031C_mRNA
EAA29575 YDL055C_mRNA
ESA43022 YPR086W_mRNA
EAA33326 YDR454C_mRNA
EAA31332 YDR221W_mRNA
EAA35228 YJL041W_mRNA
EAA28000 YLL029W_mRNA
EAA33140 YKR031C_mRNA
EDO64986 YKR031C_mRNA
EAA28358 YKR031C_mRNA
EAA34241 YPL020C_mRNA
ESA42522 YNL069C_mRNA
ESA42522 YIL133C_mRNA
EAA27245 YGL017W_mRNA
EAA28946 YHR120W_mRNA
EAA30407 YOL090W_mRNA
EAA28758 YMR085W_mRNA
EAA28758 YKL104C_mRNA
EAA29331 YLR086W_mRNA
EAA27347 YEL020W-A_mRNA
EAA31713 YGR124W_mRNA
EAA31713 YPR145W_mRNA
EAA31684 YHR144C_mRNA
EAA26606 YGR031W_mRNA
EDO65277 YPR105C_mRNA
EAA35186 YPL152W_mRNA
EAA31200 YIL153W_mRNA
EAA36068 YNL240C_mRNA
EAA36403 YER029C_mRNA
EAA32242 YDL014W_mRNA
EAA31781 YPR028W_mRNA
EAA32057 YKR078W_mRNA
EAA32057 YOR069W_mRNA
EAA33143 YBR223C_mRNA
ESA43508 YPL046C_mRNA
EAA31239 YGL097W_mRNA
EAA35160 YPR184W_mRNA
EAA27672 YFR002W_mRNA
EAA26886 YPR191W_mRNA
EAA34608 YDL101C_mRNA
EAA35234 YDL101C_mRNA
EAA29133 YIL046W_mRNA
EAA28559 YOL078W_mRNA
EAA30270 YML030W_mRNA
EAA30386 YBR041W_mRNA
EDO65417 YPL218W_mRNA
EAA36575 YCR032W_mRNA
EAA32998 YMR292W_mRNA
ESA42201 YBR126C_mRNA
EAA27252 YBR126C_mRNA
EAA29718 YBR126C_mRNA
EAA27113 YDR074W_mRNA
EAA35713 YML100W_mRNA
EAA35713 YMR261C_mRNA
EAA34631 YML038C_mRNA
ESA42616 YML025C_mRNA
EAA32837 YHR168W_mRNA
EAA30834 YMR116C_mRNA
EAA30834 YPR178W_mRNA
EAA30931 YJL143W_mRNA
EAA34809 YML060W_mRNA
EAA36451 YGR274C_mRNA
EAA33550 YNL071W_mRNA
EAA28493 YNL096C_mRNA
EAA28493 YOR096W_mRNA
EAA33397 YLR015W_mRNA
ESA43202 YDL078C_mRNA
ESA43202 YOL126C_mRNA
EAA29172 YKL085W_mRNA
ESA43429 YDL074C_mRNA
EAA30988 YLR285W_mRNA
EAA29785 YJL207C_mRNA
EAA32803 YKR009C_mRNA
EAA30702 YJL004C_mRNA
EAA34674 YBR034C_mRNA
ESA41925 YLR287C-A_mRNA
ESA41925 YOR182C_mRNA
ESA43783 YLR287C-A_mRNA
ESA43783 YOR182C_mRNA
EAA31127 YGL253W_mRNA
EAA31127 YFR053C_mRNA
EAA33400 YGL253W_mRNA
EAA33400 YFR053C_mRNA
ESA43907 YGL253W_mRNA
ESA43907 YFR053C_mRNA
EAA33682 YBR059C_mRNA
EAA33682 YIL095W_mRNA
EAA33682 YNL020C_mRNA
EAA27149 YLR008C_mRNA
EAA33994 YJR123W_mRNA
EAA33100 YPR045C_mRNA
EAA32773 YMR026C_mRNA
EAA28171 YER074W_mRNA
EAA28171 YIL069C_mRNA
EAA31773 YLR372W_mRNA
EAA34209 YIL155C_mRNA
EAA26847 YNL281W_mRNA
EAA26847 YDR214W_mRNA
EAA28420 YBR142W_mRNA
EAA35304 YNL162W_mRNA
EAA35304 YHR141C_mRNA
EAA29711 YOL022C_mRNA
EAA33973 YKL073W_mRNA
EAA33439 YDR376W_mRNA
EAA32506 YOR258W_mRNA
EAA31357 YFL024C_mRNA
EAA26733 YKL160W_mRNA
EAA32588 YGL055W_mRNA
EAA27589 YDR017C_mRNA
ESA43796 YDR198C_mRNA
EAA27770 YCR065W_mRNA
ESA43188 YCR065W_mRNA
EAA31513 YKL184W_mRNA
EAA34812 YPR015C_mRNA
EAA34623 YLR337C_mRNA
EAA30156 YOR143C_mRNA
EDO65041 YHR029C_mRNA
EAA28656 YER078C_mRNA
ESA43463 YFR006W_mRNA
ESA43290 YFR006W_mRNA
EAA34996 YPL079W_mRNA
EAA34996 YBR191W_mRNA
EAA29386 YKL080W_mRNA
EAA27338 YPR011C_mRNA
EAA33303 YHR002W_mRNA
EAA31318 YER100W_mRNA
EAA29775 YKR002W_mRNA
EAA30770 YGL216W_mRNA
EAA33437 YFR037C_mRNA
EAA33437 YJL176C_mRNA
EAA35430 YHL014C_mRNA
EAA35430 YBR025C_mRNA
EAA31187 YLR377C_mRNA
EAA35886 YER163C_mRNA
ESA42395 YHR074W_mRNA
EAA30983 YER148W_mRNA
EAA34426 YOR035C_mRNA
EAA33194 YCR012W_mRNA
EAA36428 YPR110C_mRNA
ESA43772 YOR332W_mRNA
EAA27452 YMR076C_mRNA
EAA31626 YKR001C_mRNA
EAA34832 YLL001W_mRNA
EAA29598 YOR274W_mRNA
EAA33930 YHR210C_mRNA
EAA33930 YNR071C_mRNA
EAA34001 YHR210C_mRNA
EAA34001 YNR071C_mRNA
EAA29708 YHR210C_mRNA
EAA29708 YNR071C_mRNA
EAA33134 YDR120C_mRNA
EAA32253 YEL042W_mRNA
EAA31095 YML095C_mRNA
EAA30326 YMR156C_mRNA
EAA31847 YML067C_mRNA
ESA41860 YBR296C_mRNA
EAA32930 YPR160W_mRNA
ESA43769 YER053C_mRNA
EAA27902 YDR482C_mRNA
EAA33980 YJL024C_mRNA
EAA29657 YLR396C_mRNA
EAA33469 YEL051W_mRNA
EAA27152 YPR098C_mRNA
EDO65234 YOR007C_mRNA
EAA27209 YGL082W_mRNA
EAA27209 YPL191C_mRNA
EAA31662 YKL059C_mRNA
ESA43421 YPR180W_mRNA
EAA36480 YPL104W_mRNA
EAA34861 YDL140C_mRNA
EAA27335 YOR116C_mRNA
EAA31627 YCL039W_mRNA
EDO65106 YNL267W_mRNA
EAA31785 YBR261C_mRNA
EAA28426 YKR092C_mRNA
EAA34556 YDR507C_mRNA
EAA34556 YCL024W_mRNA
ESA41826 YLR380W_mRNA
EAA30617 YBR293W_mRNA
EAA32471 YBR293W_mRNA
EAA29534 YMR088C_mRNA
EAA33198 YMR088C_mRNA
EAA30567 YMR088C_mRNA
EAA31732 YMR088C_mRNA
EAA27954 YOR090C_mRNA
ESA41908 YHR001W_mRNA
EAA33427 YDR435C_mRNA
EAA31518 YPR131C_mRNA
EAA29082 YOR234C_mRNA
EAA29082 YPL143W_mRNA
EAA31056 YER009W_mRNA
EAA35688 YBR212W_mRNA
EAA35688 YHR086W_mRNA
EAA28283 YBR019C_mRNA
EAA28060 YBR143C_mRNA
EAA32295 YNL323W_mRNA
EAA32295 YNR048W_mRNA
EAA32295 YCR094W_mRNA
EAA30315 YDR263C_mRNA
EAA30315 YOR033C_mRNA
EAA33929 YBR127C_mRNA
EAA32251 YML001W_mRNA
EAA34491 YML022W_mRNA
EAA34491 YDR441C_mRNA
ESA44130 YOR312C_mRNA
ESA44130 YMR242C_mRNA
EAA30389 YAL003W_mRNA
EAA32259 YML068W_mRNA
EAA31109 YML051W_mRNA
EAA34634 YPR152C_mRNA
EAA34634 YKL012W_mRNA
EAA31900 YGR200C_mRNA
EAA31514 YDR430C_mRNA
ESA42228 YBR084W_mRNA
ESA42228 YGR204W_mRNA
EAA32325 YAL062W_mRNA
EAA32325 YOR375C_mRNA
EAA34010 YDR311W_mRNA
EAA36389 YPL063W_mRNA
EAA29940 YOL013C_mRNA
EAA26699 YKL192C_mRNA
EAA29900 YPR113W_mRNA
ESA42211 YGR169C_mRNA
ESA42211 YOL066C_mRNA
ESA42211 YDL036C_mRNA
EAA33013 YNR036C_mRNA
EDO65095 YJL045W_mRNA
EDO65095 YKL148C_mRNA
EAA27362 YBL084C_mRNA
EAA35971 YBL084C_mRNA
EAA26907 YKL210W_mRNA
EAA27375 YHR010W_mRNA
EAA27375 YDR471W_mRNA
EAA27317 YGR202C_mRNA
EAA34986 YNL315C_mRNA
EAA29903 YDR352W_mRNA
EAA28535 YOL092W_mRNA
EAA28535 YBR147W_mRNA
EAA31716 YBL091C_mRNA
ESA43653 YJR033C_mRNA
EAA30802 YOR226C_mRNA
EAA30802 YPL135W_mRNA
EDO65219 YML054C_mRNA
EAA28754 YML054C_mRNA
EAA32664 YML054C_mRNA
EAA26743 YML054C_mRNA
EAA28293 YIL044C_mRNA
EAA30234 YBR073W_mRNA
EAA30234 YGL163C_mRNA
EAA32476 YBL058W_mRNA
EAA31927 YBR229C_mRNA
EAA36302 YLR026C_mRNA
EAA32114 YMR022W_mRNA
EAA32882 YDR054C_mRNA
EAA32318 YDR054C_mRNA
EAA29825 YIL061C_mRNA
ESA42468 YOL005C_mRNA
EAA29792 YIL097W_mRNA
EAA27644 YBL050W_mRNA
EAA31591 YLR175W_mRNA
EAA28958 YDL120W_mRNA
EAA32181 YEL026W_mRNA
EAA28226 YGL009C_mRNA
EAA30551 YLR304C_mRNA
EAA31834 YJL200C_mRNA
ESA42897 YJR099W_mRNA
EAA28419 YBR061C_mRNA
EAA30418 YHR018C_mRNA
EAA29604 YDR005C_mRNA
ESA44396 YLR293C_mRNA
ESA44396 YOR185C_mRNA
EAA34303 YOR217W_mRNA
EAA34179 YDR057W_mRNA
EAA28093 YIL143C_mRNA
EAA31505 YDL234C_mRNA
EAA30804 YNL229C_mRNA
EAA32029 YNL229C_mRNA
EAA29925 YDR517W_mRNA
EAA35004 YNL243W_mRNA
EAA31596 YGL227W_mRNA
EAA36400 YGL062W_mRNA
EAA36400 YBR218C_mRNA
EAA31657 YJR044C_mRNA
EAA32395 YDL189W_mRNA
EAA32889 YPL103C_mRNA
EAA27886 YER178W_mRNA
EAA31063 YCR093W_mRNA
EDO65276 YML046W_mRNA
EAA31887 YDR036C_mRNA
EAA28529 YPL220W_mRNA
EAA28529 YGL135W_mRNA
EAA34676 YCR014C_mRNA
EAA33936 YHR011W_mRNA
EAA26782 YBL036C_mRNA
EAA27975 YHR163W_mRNA
EAA27975 YGR248W_mRNA
EAA31407 YPR088C_mRNA
EAA29655 YBR039W_mRNA
EAA32337 YDL227C_mRNA
EAA32337 YDL185W_mRNA
EAA26763 YER081W_mRNA
EAA26763 YIL074C_mRNA
EAA36464 YLR207W_mRNA
EAA36244 YLR448W_mRNA
EAA36244 YML073C_mRNA
EAA33242 YMR079W_mRNA
EAA33242 YKL091C_mRNA
EAA30671 YMR079W_mRNA
EAA30671 YKL091C_mRNA
EAA34959 YLR097C_mRNA
EAA29084 YNL241C_mRNA
EAA31572 YEL006W_mRNA
EAA31572 YIL006W_mRNA
EAA31904 YIL134W_mRNA
EAA36078 YBL040C_mRNA
EAA34376 YBL040C_mRNA
EAA33207 YNL003C_mRNA
EAA26969 YNL003C_mRNA
EAA34081 YOR063W_mRNA
EAA32478 YER154W_mRNA
EAA33221 YLR027C_mRNA
EAA35723 YGR256W_mRNA
EAA35723 YHR183W_mRNA
EAA28646 YFR052W_mRNA
EAA27604 YLR048W_mRNA
EAA27604 YGR214W_mRNA
EAA32798 YGR061C_mRNA
EAA35493 YKL100C_mRNA
EAA32599 YML024W_mRNA
EAA32599 YDR447C_mRNA
EAA28063 YIL018W_mRNA
EAA28063 YFR031C-A_mRNA
EAA26841 YDR336W_mRNA
EAA35213 YHR026W_mRNA
EAA35833 YMR189W_mRNA
EAA27334 YMR114C_mRNA
EAA35517 YEL061C_mRNA
EAA34582 YNL250W_mRNA
EAA27710 YLR045C_mRNA
EAA31496 YLR247C_mRNA
EAA32733 YPL117C_mRNA
EAA33692 YOR115C_mRNA
EAA32530 YBR020W_mRNA
EAA32530 YDR009W_mRNA
EAA27689 YOL112W_mRNA
EAA27689 YNL293W_mRNA
EAA36405 YGL206C_mRNA
EAA36406 YNL061W_mRNA
EAA31190 YGL141W_mRNA
EAA32310 YBR058C_mRNA
EAA30801 YBR058C_mRNA
EAA28374 YBR236C_mRNA
EAA28803 YPR073C_mRNA
ESA43509 YNR032C-A_mRNA
EDO64923 YBR252W_mRNA
EAA28270 YGR046W_mRNA
EAA32047 YDR086C_mRNA
EAA31494 YBR101C_mRNA
EAA27581 YBL055C_mRNA
EAA27061 YDL015C_mRNA
EAA36449 YAL002W_mRNA
ESA44110 YER014W_mRNA
EAA35325 YHR162W_mRNA
EAA35325 YGR243W_mRNA
EAA28325 YML126C_mRNA
EAA31249 YPL122C_mRNA
EAA36120 YPL087W_mRNA
EAA36120 YBR183W_mRNA
EAA31344 YER151C_mRNA
EAA36098 YGR184C_mRNA
EAA36098 YLR024C_mRNA
EAA35501 YOR253W_mRNA
EAA33151 YER183C_mRNA
EAA32831 YHR172W_mRNA
EAA31725 YKR071C_mRNA
EAA36114 YML094W_mRNA
EAA31728 YKL216W_mRNA
EAA32124 YMR208W_mRNA
EAA34355 YMR224C_mRNA
EAA29943 YCL017C_mRNA
EDO65426 YER152C_mRNA
ESA44115 YGL202W_mRNA
EAA31867 YHR137W_mRNA
EAA27555 YDR168W_mRNA
ESA42704 YHR004C_mRNA
EAA36309 YOR357C_mRNA
EAA35260 YGR284C_mRNA
EAA30317 YDR372C_mRNA
EAA32010 YLR238W_mRNA
EAA32010 YDR200C_mRNA
EAA34844 YLR238W_mRNA
EAA34844 YDR200C_mRNA
EAA34085 YLL028W_mRNA
EAA29360 YHR048W_mRNA
EDO65246 YHR048W_mRNA
EAA28790 YOR273C_mRNA
EAA28790 YBR008C_mRNA
EAA32540 YOR273C_mRNA
EAA32540 YBR008C_mRNA
EAA27613 YOR273C_mRNA
EAA27613 YBR008C_mRNA
EAA28955 YOR273C_mRNA
EAA28955 YBR008C_mRNA
EAA34498 YNL161W_mRNA
EAA32914 YNL161W_mRNA
EAA29314 YGL112C_mRNA
EAA27379 YLR005W_mRNA
EDO65101 YKR060W_mRNA
EDO65101 YHR052W_mRNA
ESA44398 YBL021C_mRNA
EAA32192 YML012W_mRNA
ESA42561 YIL031W_mRNA
EDO65397 YJL212C_mRNA
EAA35341 YJL212C_mRNA
EAA33150 YJL212C_mRNA
EAA34000 YPR194C_mRNA
EAA32547 YPR194C_mRNA
