ENSMUSP00000048802 YGL171W_mRNA
ENSMUSP00000092571 YKR054C_mRNA
ENSMUSP00000155722 YKR054C_mRNA
ENSMUSP00000022433 YKR054C_mRNA
ENSMUSP00000146733 YKR054C_mRNA
ENSMUSP00000042857 YKR054C_mRNA
ENSMUSP00000146895 YKR054C_mRNA
ENSMUSP00000043281 YKR054C_mRNA
ENSMUSP00000146843 YKR054C_mRNA
ENSMUSP00000109674 YKR054C_mRNA
ENSMUSP00000068758 YKR054C_mRNA
ENSMUSP00000144791 YKR054C_mRNA
ENSMUSP00000046733 YKR054C_mRNA
ENSMUSP00000116679 YKR054C_mRNA
ENSMUSP00000120007 YKR054C_mRNA
ENSMUSP00000018851 YKR054C_mRNA
ENSMUSP00000107767 YDR488C_mRNA
ENSMUSP00000080410 YDR488C_mRNA
ENSMUSP00000107766 YDR488C_mRNA
ENSMUSP00000107772 YDR488C_mRNA
ENSMUSP00000107768 YDR488C_mRNA
ENSMUSP00000107764 YDR488C_mRNA
ENSMUSP00000097605 YDR488C_mRNA
ENSMUSP00000107770 YDR488C_mRNA
ENSMUSP00000111216 YDR488C_mRNA
ENSMUSP00000111221 YDR488C_mRNA
ENSMUSP00000111218 YDR488C_mRNA
ENSMUSP00000111217 YDR488C_mRNA
ENSMUSP00000013458 YDL168W_mRNA
ENSMUSP00000124163 YDL168W_mRNA
ENSMUSP00000148627 YDL168W_mRNA
ENSMUSP00000148703 YDL168W_mRNA
ENSMUSP00000013455 YDL168W_mRNA
ENSMUSP00000101854 YDL168W_mRNA
ENSMUSP00000004232 YDL168W_mRNA
ENSMUSP00000087633 YDL168W_mRNA
ENSMUSP00000005964 YDL168W_mRNA
ENSMUSP00000140778 YBL034C_mRNA
ENSMUSP00000133632 YNL167C_mRNA
ENSMUSP00000107648 YNL167C_mRNA
ENSMUSP00000107647 YNL167C_mRNA
ENSMUSP00000114828 YNL167C_mRNA
ENSMUSP00000088311 YNL167C_mRNA
ENSMUSP00000107641 YNL167C_mRNA
ENSMUSP00000107638 YNL167C_mRNA
ENSMUSP00000097588 YNL167C_mRNA
ENSMUSP00000058521 YNL167C_mRNA
ENSMUSP00000118560 YNL167C_mRNA
ENSMUSP00000118719 YNL167C_mRNA
ENSMUSP00000118357 YNL167C_mRNA
ENSMUSP00000139054 YNL167C_mRNA
ENSMUSP00000139181 YNL167C_mRNA
ENSMUSP00000139308 YNL167C_mRNA
ENSMUSP00000104456 YNL167C_mRNA
ENSMUSP00000130130 YNL167C_mRNA
ENSMUSP00000138975 YNL167C_mRNA
ENSMUSP00000139243 YNL167C_mRNA
ENSMUSP00000144851 YNL167C_mRNA
ENSMUSP00000144979 YNL167C_mRNA
ENSMUSP00000038532 YNL167C_mRNA
ENSMUSP00000139367 YNL167C_mRNA
ENSMUSP00000114915 YKL092C_mRNA
ENSMUSP00000144248 YKL092C_mRNA
ENSMUSP00000137587 YKL092C_mRNA
ENSMUSP00000155085 YKL092C_mRNA
ENSMUSP00000141245 YKL092C_mRNA
ENSMUSP00000154838 YKL092C_mRNA
ENSMUSP00000080038 YKL092C_mRNA
ENSMUSP00000156340 YKL092C_mRNA
ENSMUSP00000141686 YKL092C_mRNA
ENSMUSP00000144666 YKL092C_mRNA
ENSMUSP00000114964 YKL092C_mRNA
ENSMUSP00000077423 YKL092C_mRNA
ENSMUSP00000108616 YKL092C_mRNA
ENSMUSP00000108611 YKL092C_mRNA
ENSMUSP00000122341 YKL092C_mRNA
ENSMUSP00000121506 YKL092C_mRNA
ENSMUSP00000068832 YKL092C_mRNA
ENSMUSP00000119058 YKL092C_mRNA
ENSMUSP00000108607 YKL092C_mRNA
ENSMUSP00000108610 YKL092C_mRNA
ENSMUSP00000088532 YKL092C_mRNA
ENSMUSP00000048198 YLR246W_mRNA
ENSMUSP00000086325 YLR246W_mRNA
ENSMUSP00000044734 YLR246W_mRNA
ENSMUSP00000081260 YLR246W_mRNA
ENSMUSP00000086589 YLR246W_mRNA
ENSMUSP00000128999 YAL022C_mRNA
ENSMUSP00000112685 YAL022C_mRNA
ENSMUSP00000127754 YAL022C_mRNA
ENSMUSP00000128304 YAL022C_mRNA
ENSMUSP00000129345 YAL022C_mRNA
ENSMUSP00000126934 YAL022C_mRNA
ENSMUSP00000129240 YAL022C_mRNA
ENSMUSP00000133162 YAL022C_mRNA
ENSMUSP00000127343 YAL022C_mRNA
ENSMUSP00000131075 YAL022C_mRNA
ENSMUSP00000131646 YAL022C_mRNA
ENSMUSP00000131217 YAL022C_mRNA
ENSMUSP00000131116 YAL022C_mRNA
ENSMUSP00000131976 YAL022C_mRNA
ENSMUSP00000129242 YAL022C_mRNA
ENSMUSP00000063757 YAL022C_mRNA
ENSMUSP00000126703 YAL022C_mRNA
ENSMUSP00000128763 YAL022C_mRNA
ENSMUSP00000063096 YAL022C_mRNA
ENSMUSP00000094923 YAL022C_mRNA
ENSMUSP00000131483 YAL022C_mRNA
ENSMUSP00000025826 YAL022C_mRNA
ENSMUSP00000123364 YMR176W_mRNA
ENSMUSP00000038138 YJR119C_mRNA
ENSMUSP00000107817 YJR119C_mRNA
ENSMUSP00000080814 YJR119C_mRNA
ENSMUSP00000108207 YJR119C_mRNA
ENSMUSP00000108203 YJR119C_mRNA
ENSMUSP00000061095 YJR119C_mRNA
ENSMUSP00000140663 YJR119C_mRNA
ENSMUSP00000140462 YJR119C_mRNA
ENSMUSP00000139636 YJR119C_mRNA
ENSMUSP00000145375 YJR119C_mRNA
ENSMUSP00000144720 YJR119C_mRNA
ENSMUSP00000145021 YJR119C_mRNA
ENSMUSP00000005108 YJR119C_mRNA
ENSMUSP00000107068 YOR117W_mRNA
ENSMUSP00000121688 YOR117W_mRNA
ENSMUSP00000139782 YOR117W_mRNA
ENSMUSP00000002171 YOR117W_mRNA
ENSMUSP00000071054 YOR117W_mRNA
ENSMUSP00000022380 YOR259C_mRNA
ENSMUSP00000021595 YDL007W_mRNA
ENSMUSP00000032824 YDR394W_mRNA
ENSMUSP00000147018 YDR394W_mRNA
ENSMUSP00000157020 YAR042W_mRNA
ENSMUSP00000157020 YDL019C_mRNA
ENSMUSP00000120439 YAR042W_mRNA
ENSMUSP00000120439 YDL019C_mRNA
ENSMUSP00000073957 YAR042W_mRNA
ENSMUSP00000073957 YDL019C_mRNA
ENSMUSP00000113914 YAR042W_mRNA
ENSMUSP00000113914 YDL019C_mRNA
ENSMUSP00000157209 YAR042W_mRNA
ENSMUSP00000157209 YDL019C_mRNA
ENSMUSP00000112681 YAR042W_mRNA
ENSMUSP00000112681 YDL019C_mRNA
ENSMUSP00000113841 YAR042W_mRNA
ENSMUSP00000113841 YDL019C_mRNA
ENSMUSP00000157342 YAR042W_mRNA
ENSMUSP00000157342 YDL019C_mRNA
ENSMUSP00000157017 YAR042W_mRNA
ENSMUSP00000157017 YDL019C_mRNA
ENSMUSP00000112895 YAR042W_mRNA
ENSMUSP00000112895 YDL019C_mRNA
ENSMUSP00000113735 YAR042W_mRNA
ENSMUSP00000113735 YDL019C_mRNA
ENSMUSP00000113357 YAR042W_mRNA
ENSMUSP00000113357 YDL019C_mRNA
ENSMUSP00000113268 YAR042W_mRNA
ENSMUSP00000113268 YDL019C_mRNA
ENSMUSP00000157046 YAR042W_mRNA
ENSMUSP00000157046 YDL019C_mRNA
ENSMUSP00000122967 YAR042W_mRNA
ENSMUSP00000122967 YDL019C_mRNA
ENSMUSP00000122291 YAR042W_mRNA
ENSMUSP00000122291 YDL019C_mRNA
ENSMUSP00000046538 YAR042W_mRNA
ENSMUSP00000046538 YDL019C_mRNA
ENSMUSP00000119104 YJR100C_mRNA
ENSMUSP00000117673 YJR100C_mRNA
ENSMUSP00000139479 YJR100C_mRNA
ENSMUSP00000091318 YJR100C_mRNA
ENSMUSP00000136481 YJR100C_mRNA
ENSMUSP00000034932 YJR100C_mRNA
ENSMUSP00000108667 YJR100C_mRNA
ENSMUSP00000136181 YJR100C_mRNA
ENSMUSP00000019605 YJR100C_mRNA
ENSMUSP00000104273 YJR100C_mRNA
ENSMUSP00000104272 YJR100C_mRNA
ENSMUSP00000139734 YJR100C_mRNA
ENSMUSP00000096077 YJR100C_mRNA
ENSMUSP00000140686 YJR100C_mRNA
ENSMUSP00000059077 YDR059C_mRNA
ENSMUSP00000059077 YBR082C_mRNA
ENSMUSP00000059077 YGR133W_mRNA
ENSMUSP00000059077 YDR177W_mRNA
ENSMUSP00000060423 YDR059C_mRNA
ENSMUSP00000060423 YBR082C_mRNA
ENSMUSP00000060423 YGR133W_mRNA
ENSMUSP00000060423 YDR177W_mRNA
ENSMUSP00000020085 YDR059C_mRNA
ENSMUSP00000020085 YBR082C_mRNA
ENSMUSP00000020085 YGR133W_mRNA
ENSMUSP00000020085 YDR177W_mRNA
ENSMUSP00000101898 YDR059C_mRNA
ENSMUSP00000101898 YBR082C_mRNA
ENSMUSP00000101898 YGR133W_mRNA
ENSMUSP00000101898 YDR177W_mRNA
ENSMUSP00000143301 YDR059C_mRNA
ENSMUSP00000143301 YBR082C_mRNA
ENSMUSP00000143301 YGR133W_mRNA
ENSMUSP00000143301 YDR177W_mRNA
ENSMUSP00000130096 YDR059C_mRNA
ENSMUSP00000130096 YBR082C_mRNA
ENSMUSP00000130096 YGR133W_mRNA
ENSMUSP00000130096 YDR177W_mRNA
ENSMUSP00000143608 YDR059C_mRNA
ENSMUSP00000143608 YBR082C_mRNA
ENSMUSP00000143608 YGR133W_mRNA
ENSMUSP00000143608 YDR177W_mRNA
ENSMUSP00000143065 YDR059C_mRNA
ENSMUSP00000143065 YBR082C_mRNA
ENSMUSP00000143065 YGR133W_mRNA
ENSMUSP00000143065 YDR177W_mRNA
ENSMUSP00000142974 YDR059C_mRNA
ENSMUSP00000142974 YBR082C_mRNA
ENSMUSP00000142974 YGR133W_mRNA
ENSMUSP00000142974 YDR177W_mRNA
ENSMUSP00000142612 YDR059C_mRNA
ENSMUSP00000142612 YBR082C_mRNA
ENSMUSP00000142612 YGR133W_mRNA
ENSMUSP00000142612 YDR177W_mRNA
ENSMUSP00000143606 YDR059C_mRNA
ENSMUSP00000143606 YBR082C_mRNA
ENSMUSP00000143606 YGR133W_mRNA
ENSMUSP00000143606 YDR177W_mRNA
ENSMUSP00000132446 YDR059C_mRNA
ENSMUSP00000132446 YBR082C_mRNA
ENSMUSP00000132446 YGR133W_mRNA
ENSMUSP00000132446 YDR177W_mRNA
ENSMUSP00000131206 YDR059C_mRNA
ENSMUSP00000131206 YBR082C_mRNA
ENSMUSP00000131206 YGR133W_mRNA
ENSMUSP00000131206 YDR177W_mRNA
ENSMUSP00000072387 YDR059C_mRNA
ENSMUSP00000072387 YBR082C_mRNA
ENSMUSP00000072387 YGR133W_mRNA
ENSMUSP00000072387 YDR177W_mRNA
ENSMUSP00000157117 YFL021W_mRNA
ENSMUSP00000157117 YER040W_mRNA
ENSMUSP00000144251 YNL274C_mRNA
ENSMUSP00000144251 YPL113C_mRNA
ENSMUSP00000033269 YNL274C_mRNA
ENSMUSP00000033269 YPL113C_mRNA
ENSMUSP00000127448 YNL274C_mRNA
ENSMUSP00000127448 YPL113C_mRNA
ENSMUSP00000130294 YNL274C_mRNA
ENSMUSP00000130294 YPL113C_mRNA
ENSMUSP00000132892 YNL274C_mRNA
ENSMUSP00000132892 YPL113C_mRNA
ENSMUSP00000144303 YNL274C_mRNA
ENSMUSP00000144303 YPL113C_mRNA
ENSMUSP00000144672 YNL274C_mRNA
ENSMUSP00000144672 YPL113C_mRNA
ENSMUSP00000127701 YNL274C_mRNA
ENSMUSP00000127701 YPL113C_mRNA
ENSMUSP00000143877 YNL274C_mRNA
ENSMUSP00000143877 YPL113C_mRNA
ENSMUSP00000144024 YNL274C_mRNA
ENSMUSP00000144024 YPL113C_mRNA
ENSMUSP00000144554 YNL274C_mRNA
ENSMUSP00000144554 YPL113C_mRNA
ENSMUSP00000078682 YNL274C_mRNA
ENSMUSP00000078682 YPL113C_mRNA
ENSMUSP00000055901 YPL232W_mRNA
ENSMUSP00000055901 YMR183C_mRNA
ENSMUSP00000112927 YPL232W_mRNA
ENSMUSP00000112927 YMR183C_mRNA
ENSMUSP00000033075 YPL232W_mRNA
ENSMUSP00000033075 YMR183C_mRNA
ENSMUSP00000118220 YPL232W_mRNA
ENSMUSP00000118220 YMR183C_mRNA
ENSMUSP00000031378 YPL232W_mRNA
ENSMUSP00000031378 YMR183C_mRNA
ENSMUSP00000098247 YPL232W_mRNA
ENSMUSP00000098247 YMR183C_mRNA
ENSMUSP00000147398 YPL232W_mRNA
ENSMUSP00000147398 YMR183C_mRNA
ENSMUSP00000074776 YPL232W_mRNA
ENSMUSP00000074776 YMR183C_mRNA
ENSMUSP00000147461 YPL232W_mRNA
ENSMUSP00000147461 YMR183C_mRNA
ENSMUSP00000069529 YPL232W_mRNA
ENSMUSP00000069529 YMR183C_mRNA
ENSMUSP00000101874 YPL232W_mRNA
ENSMUSP00000101874 YMR183C_mRNA
ENSMUSP00000145698 YPL232W_mRNA
ENSMUSP00000145698 YMR183C_mRNA
ENSMUSP00000144082 YPL232W_mRNA
ENSMUSP00000144082 YMR183C_mRNA
ENSMUSP00000117144 YPL232W_mRNA
ENSMUSP00000117144 YMR183C_mRNA
ENSMUSP00000005509 YPL232W_mRNA
ENSMUSP00000005509 YMR183C_mRNA
ENSMUSP00000142681 YPL232W_mRNA
ENSMUSP00000142681 YMR183C_mRNA
ENSMUSP00000096445 YLR206W_mRNA
ENSMUSP00000096445 YDL161W_mRNA
ENSMUSP00000043340 YLR206W_mRNA
ENSMUSP00000043340 YDL161W_mRNA
ENSMUSP00000146638 YLR206W_mRNA
ENSMUSP00000146638 YDL161W_mRNA
ENSMUSP00000117389 YLR206W_mRNA
ENSMUSP00000117389 YDL161W_mRNA
ENSMUSP00000136553 YLR206W_mRNA
ENSMUSP00000136553 YDL161W_mRNA
ENSMUSP00000001063 YLR206W_mRNA
ENSMUSP00000001063 YDL161W_mRNA
ENSMUSP00000104353 YLR206W_mRNA
ENSMUSP00000104353 YDL161W_mRNA
ENSMUSP00000104351 YLR206W_mRNA
ENSMUSP00000104351 YDL161W_mRNA
ENSMUSP00000104352 YLR206W_mRNA
ENSMUSP00000104352 YDL161W_mRNA
ENSMUSP00000136950 YLR206W_mRNA
ENSMUSP00000136950 YDL161W_mRNA
ENSMUSP00000116571 YLR206W_mRNA
ENSMUSP00000116571 YDL161W_mRNA
ENSMUSP00000121390 YLR206W_mRNA
ENSMUSP00000121390 YDL161W_mRNA
ENSMUSP00000129243 YLL013C_mRNA
ENSMUSP00000106752 YLL013C_mRNA
ENSMUSP00000128292 YLL013C_mRNA
ENSMUSP00000131074 YLL013C_mRNA
ENSMUSP00000132122 YLL013C_mRNA
ENSMUSP00000137020 YLL013C_mRNA
ENSMUSP00000020915 YLL013C_mRNA
ENSMUSP00000131914 YLL013C_mRNA
ENSMUSP00000126876 YLL013C_mRNA
ENSMUSP00000106751 YLL013C_mRNA
ENSMUSP00000126616 YLL013C_mRNA
ENSMUSP00000143942 YLL013C_mRNA
ENSMUSP00000101612 YLL013C_mRNA
ENSMUSP00000144101 YLL013C_mRNA
ENSMUSP00000101613 YLL013C_mRNA
ENSMUSP00000143996 YLL013C_mRNA
ENSMUSP00000030315 YLL013C_mRNA
ENSMUSP00000095474 YLL013C_mRNA
ENSMUSP00000144158 YLL013C_mRNA
ENSMUSP00000144210 YLL013C_mRNA
ENSMUSP00000095476 YLL013C_mRNA
ENSMUSP00000104265 YPL081W_mRNA
ENSMUSP00000104265 YBR189W_mRNA
ENSMUSP00000006496 YPL081W_mRNA
ENSMUSP00000006496 YBR189W_mRNA
ENSMUSP00000120736 YPL081W_mRNA
ENSMUSP00000120736 YBR189W_mRNA
ENSMUSP00000114894 YPL081W_mRNA
ENSMUSP00000114894 YBR189W_mRNA
ENSMUSP00000116623 YPL081W_mRNA
ENSMUSP00000116623 YBR189W_mRNA
ENSMUSP00000104263 YPL081W_mRNA
ENSMUSP00000104263 YBR189W_mRNA
ENSMUSP00000018614 YPL088W_mRNA
ENSMUSP00000124156 YPL088W_mRNA
ENSMUSP00000030768 YPL088W_mRNA
ENSMUSP00000125270 YPL088W_mRNA
ENSMUSP00000125058 YPL088W_mRNA
ENSMUSP00000101273 YPL088W_mRNA
ENSMUSP00000124588 YPL088W_mRNA
ENSMUSP00000047480 YPL088W_mRNA
ENSMUSP00000001513 YFL037W_mRNA
ENSMUSP00000016399 YFL037W_mRNA
ENSMUSP00000071134 YFL037W_mRNA
ENSMUSP00000075178 YFL037W_mRNA
ENSMUSP00000060246 YFL037W_mRNA
ENSMUSP00000042342 YFL037W_mRNA
ENSMUSP00000071135 YFL037W_mRNA
ENSMUSP00000001566 YFL037W_mRNA
ENSMUSP00000140893 YMR110C_mRNA
ENSMUSP00000118613 YMR110C_mRNA
ENSMUSP00000030826 YBR241C_mRNA
ENSMUSP00000030826 YGL104C_mRNA
ENSMUSP00000059106 YBR241C_mRNA
ENSMUSP00000059106 YGL104C_mRNA
ENSMUSP00000032476 YBR241C_mRNA
ENSMUSP00000032476 YGL104C_mRNA
ENSMUSP00000030398 YBR241C_mRNA
ENSMUSP00000030398 YGL104C_mRNA
ENSMUSP00000018710 YBR241C_mRNA
ENSMUSP00000018710 YGL104C_mRNA
ENSMUSP00000136726 YBR241C_mRNA
ENSMUSP00000136726 YGL104C_mRNA
ENSMUSP00000136806 YBR241C_mRNA
ENSMUSP00000136806 YGL104C_mRNA
ENSMUSP00000029240 YBR241C_mRNA
ENSMUSP00000029240 YGL104C_mRNA
ENSMUSP00000122748 YGL106W_mRNA
ENSMUSP00000151250 YGL106W_mRNA
ENSMUSP00000128803 YGL106W_mRNA
ENSMUSP00000151915 YGL106W_mRNA
ENSMUSP00000151786 YGL106W_mRNA
ENSMUSP00000151236 YGL106W_mRNA
ENSMUSP00000151693 YGL106W_mRNA
ENSMUSP00000026428 YGL106W_mRNA
ENSMUSP00000102570 YGL106W_mRNA
ENSMUSP00000102569 YGL106W_mRNA
ENSMUSP00000018800 YGL106W_mRNA
ENSMUSP00000114345 YGL106W_mRNA
ENSMUSP00000142791 YGL106W_mRNA
ENSMUSP00000142424 YGL106W_mRNA
ENSMUSP00000142530 YGL106W_mRNA
ENSMUSP00000078715 YGL106W_mRNA
ENSMUSP00000140834 YGL106W_mRNA
ENSMUSP00000027151 YGL106W_mRNA
ENSMUSP00000125748 YGL106W_mRNA
ENSMUSP00000112861 YGL106W_mRNA
ENSMUSP00000112880 YGL106W_mRNA
ENSMUSP00000030051 YCR083W_mRNA
ENSMUSP00000030051 YGR209C_mRNA
ENSMUSP00000030051 YLR043C_mRNA
ENSMUSP00000087453 YOL123W_mRNA
ENSMUSP00000072826 YPL270W_mRNA
ENSMUSP00000072826 YLR188W_mRNA
ENSMUSP00000110729 YPL270W_mRNA
ENSMUSP00000110729 YLR188W_mRNA
ENSMUSP00000075011 YPL270W_mRNA
ENSMUSP00000075011 YLR188W_mRNA
ENSMUSP00000033695 YMR301C_mRNA
ENSMUSP00000028117 YPR024W_mRNA
ENSMUSP00000095924 YER017C_mRNA
ENSMUSP00000095924 YMR089C_mRNA
ENSMUSP00000001520 YER017C_mRNA
ENSMUSP00000001520 YMR089C_mRNA
ENSMUSP00000025408 YER017C_mRNA
ENSMUSP00000025408 YMR089C_mRNA
ENSMUSP00000145157 YDL047W_mRNA
ENSMUSP00000028087 YDL047W_mRNA
ENSMUSP00000146088 YDR075W_mRNA
ENSMUSP00000032936 YDR075W_mRNA
ENSMUSP00000146013 YDR075W_mRNA
ENSMUSP00000146202 YDR075W_mRNA
ENSMUSP00000146245 YDR075W_mRNA
ENSMUSP00000019076 YJL128C_mRNA
ENSMUSP00000097831 YJL128C_mRNA
ENSMUSP00000020949 YJL128C_mRNA
ENSMUSP00000121111 YDL159W_mRNA
ENSMUSP00000117567 YDL159W_mRNA
ENSMUSP00000137918 YDL159W_mRNA
ENSMUSP00000100968 YDL159W_mRNA
ENSMUSP00000151784 YDL159W_mRNA
ENSMUSP00000005066 YDL159W_mRNA
ENSMUSP00000034868 YLL019C_mRNA
ENSMUSP00000104741 YLL019C_mRNA
ENSMUSP00000104739 YLL019C_mRNA
ENSMUSP00000090820 YLL019C_mRNA
ENSMUSP00000113390 YLL019C_mRNA
ENSMUSP00000122634 YLL019C_mRNA
ENSMUSP00000115761 YLL019C_mRNA
ENSMUSP00000113861 YLL019C_mRNA
ENSMUSP00000088445 YLL019C_mRNA
ENSMUSP00000067341 YLL019C_mRNA
ENSMUSP00000150048 YLL019C_mRNA
ENSMUSP00000149250 YLL019C_mRNA
ENSMUSP00000122202 YLL019C_mRNA
ENSMUSP00000099885 YAR019C_mRNA
ENSMUSP00000018476 YAR019C_mRNA
ENSMUSP00000064225 YAR019C_mRNA
ENSMUSP00000154154 YAR019C_mRNA
ENSMUSP00000018353 YAR019C_mRNA
ENSMUSP00000117765 YDR523C_mRNA
ENSMUSP00000110537 YDR523C_mRNA
ENSMUSP00000033444 YDR523C_mRNA
ENSMUSP00000078746 YDR523C_mRNA
ENSMUSP00000027498 YDR523C_mRNA
ENSMUSP00000112677 YKR048C_mRNA
ENSMUSP00000072510 YKR048C_mRNA
ENSMUSP00000147130 YKR048C_mRNA
ENSMUSP00000146474 YKR048C_mRNA
ENSMUSP00000147149 YKR048C_mRNA
ENSMUSP00000151700 YKR048C_mRNA
ENSMUSP00000151750 YKR048C_mRNA
ENSMUSP00000070068 YKR048C_mRNA
ENSMUSP00000151972 YKR048C_mRNA
ENSMUSP00000151507 YKR048C_mRNA
ENSMUSP00000146303 YIL042C_mRNA
ENSMUSP00000116990 YIL042C_mRNA
ENSMUSP00000145617 YIL042C_mRNA
ENSMUSP00000146115 YIL042C_mRNA
ENSMUSP00000070345 YIL042C_mRNA
ENSMUSP00000146249 YIL042C_mRNA
ENSMUSP00000115132 YHR032W_mRNA
ENSMUSP00000115132 YDR338C_mRNA
ENSMUSP00000118265 YHR032W_mRNA
ENSMUSP00000118265 YDR338C_mRNA
ENSMUSP00000010267 YHR032W_mRNA
ENSMUSP00000010267 YDR338C_mRNA
ENSMUSP00000090710 YHR032W_mRNA
ENSMUSP00000090710 YDR338C_mRNA
ENSMUSP00000120907 YHR032W_mRNA
ENSMUSP00000120907 YDR338C_mRNA
ENSMUSP00000149795 YOR161C_mRNA
ENSMUSP00000087394 YOR161C_mRNA
ENSMUSP00000034697 YOR161C_mRNA
ENSMUSP00000151150 YOR161C_mRNA
ENSMUSP00000150147 YOR161C_mRNA
ENSMUSP00000132965 YOR161C_mRNA
ENSMUSP00000007249 YOR161C_mRNA
ENSMUSP00000156298 YFR009W_mRNA
ENSMUSP00000156048 YFR009W_mRNA
ENSMUSP00000003319 YFR009W_mRNA
ENSMUSP00000030795 YER036C_mRNA
ENSMUSP00000146505 YKL029C_mRNA
ENSMUSP00000025439 YKL029C_mRNA
ENSMUSP00000140887 YKL029C_mRNA
ENSMUSP00000034989 YKL029C_mRNA
ENSMUSP00000032856 YKL029C_mRNA
ENSMUSP00000118907 YKL140W_mRNA
ENSMUSP00000108127 YKL140W_mRNA
ENSMUSP00000025694 YKL140W_mRNA
ENSMUSP00000108130 YKL140W_mRNA
ENSMUSP00000121547 YKL140W_mRNA
ENSMUSP00000121321 YKL140W_mRNA
ENSMUSP00000118385 YKL140W_mRNA
ENSMUSP00000053270 YKL140W_mRNA
ENSMUSP00000136967 YKL140W_mRNA
ENSMUSP00000025685 YKL140W_mRNA
ENSMUSP00000120184 YKL140W_mRNA
ENSMUSP00000114551 YKL140W_mRNA
ENSMUSP00000025682 YKL140W_mRNA
ENSMUSP00000152955 YKL140W_mRNA
ENSMUSP00000053913 YKL140W_mRNA
ENSMUSP00000025680 YKL140W_mRNA
ENSMUSP00000153550 YKL140W_mRNA
ENSMUSP00000110558 YMR054W_mRNA
ENSMUSP00000110558 YOR270C_mRNA
ENSMUSP00000039381 YMR054W_mRNA
ENSMUSP00000039381 YOR270C_mRNA
ENSMUSP00000039737 YMR054W_mRNA
ENSMUSP00000039737 YOR270C_mRNA
ENSMUSP00000120531 YMR054W_mRNA
ENSMUSP00000120531 YOR270C_mRNA
ENSMUSP00000122474 YMR054W_mRNA
ENSMUSP00000122474 YOR270C_mRNA
ENSMUSP00000001801 YMR054W_mRNA
ENSMUSP00000001801 YOR270C_mRNA
ENSMUSP00000105457 YAL058W_mRNA
ENSMUSP00000002259 YAL058W_mRNA
ENSMUSP00000114265 YNL189W_mRNA
ENSMUSP00000003828 YNL189W_mRNA
ENSMUSP00000099650 YNL189W_mRNA
ENSMUSP00000004054 YNL189W_mRNA
ENSMUSP00000018506 YNL189W_mRNA
ENSMUSP00000137310 YNL189W_mRNA
ENSMUSP00000114636 YNL189W_mRNA
ENSMUSP00000118679 YNL189W_mRNA
ENSMUSP00000121655 YNL189W_mRNA
ENSMUSP00000141227 YNL189W_mRNA
ENSMUSP00000029353 YNL189W_mRNA
ENSMUSP00000022496 YNL189W_mRNA
ENSMUSP00000148271 YDR358W_mRNA
ENSMUSP00000148271 YHR108W_mRNA
ENSMUSP00000092884 YDR358W_mRNA
ENSMUSP00000092884 YHR108W_mRNA
ENSMUSP00000099744 YDR358W_mRNA
ENSMUSP00000099744 YHR108W_mRNA
ENSMUSP00000121936 YDR358W_mRNA
ENSMUSP00000121936 YHR108W_mRNA
ENSMUSP00000117623 YDR358W_mRNA
ENSMUSP00000117623 YHR108W_mRNA
ENSMUSP00000090736 YDR358W_mRNA
ENSMUSP00000090736 YHR108W_mRNA
ENSMUSP00000090734 YDR358W_mRNA
ENSMUSP00000090734 YHR108W_mRNA
ENSMUSP00000063414 YDR358W_mRNA
ENSMUSP00000063414 YHR108W_mRNA
ENSMUSP00000099743 YDR358W_mRNA
ENSMUSP00000099743 YHR108W_mRNA
ENSMUSP00000148670 YDR358W_mRNA
ENSMUSP00000148670 YHR108W_mRNA
ENSMUSP00000077891 YDR358W_mRNA
ENSMUSP00000077891 YHR108W_mRNA
ENSMUSP00000130854 YDR358W_mRNA
ENSMUSP00000130854 YHR108W_mRNA
ENSMUSP00000123662 YMR205C_mRNA
ENSMUSP00000123662 YGR240C_mRNA
ENSMUSP00000114439 YMR205C_mRNA
ENSMUSP00000114439 YGR240C_mRNA
ENSMUSP00000117030 YMR205C_mRNA
ENSMUSP00000117030 YGR240C_mRNA
ENSMUSP00000021614 YMR205C_mRNA
ENSMUSP00000021614 YGR240C_mRNA
ENSMUSP00000132803 YMR205C_mRNA
ENSMUSP00000132803 YGR240C_mRNA
ENSMUSP00000059801 YMR205C_mRNA
ENSMUSP00000059801 YGR240C_mRNA
ENSMUSP00000155809 YMR205C_mRNA
ENSMUSP00000155809 YGR240C_mRNA
ENSMUSP00000020522 YMR205C_mRNA
ENSMUSP00000020522 YGR240C_mRNA
ENSMUSP00000154896 YMR205C_mRNA
ENSMUSP00000154896 YGR240C_mRNA
ENSMUSP00000155453 YMR205C_mRNA
ENSMUSP00000155453 YGR240C_mRNA
ENSMUSP00000151752 YMR205C_mRNA
ENSMUSP00000151752 YGR240C_mRNA
ENSMUSP00000115313 YMR205C_mRNA
ENSMUSP00000115313 YGR240C_mRNA
ENSMUSP00000115737 YJL085W_mRNA
ENSMUSP00000102021 YJL085W_mRNA
ENSMUSP00000021147 YJL085W_mRNA
ENSMUSP00000102019 YJL085W_mRNA
ENSMUSP00000121794 YJL085W_mRNA
ENSMUSP00000121150 YJL085W_mRNA
ENSMUSP00000131833 YDR328C_mRNA
ENSMUSP00000104700 YDR328C_mRNA
ENSMUSP00000038744 YDR328C_mRNA
ENSMUSP00000047917 YGR094W_mRNA
ENSMUSP00000134669 YGR094W_mRNA
ENSMUSP00000133994 YGR094W_mRNA
