Orthogroup	fly	yeast
OG0000288	FBpp0112201, FBpp0084275, FBpp0112203, FBpp0112202, FBpp0083588, FBpp0290012	YNL037C_mRNA
OG0000288	FBpp0074549, FBpp0300338, FBpp0307649, FBpp0076311	YOR136W_mRNA
OG0000290	FBpp0072545, FBpp0083069, FBpp0087858, FBpp0294058	YJL093C_mRNA
OG0000292	FBpp0081335, FBpp0081336, FBpp0081334, FBpp0297370	YKR090W_mRNA
OG0000296	FBpp0082964, FBpp0076678, FBpp0076122	YML085C_mRNA, YML124C_mRNA
OG0000299	FBpp0073120	YOL094C_mRNA
OG0000299	FBpp0079609	YNL290W_mRNA
OG0000299	FBpp0074246	YJR068W_mRNA
OG0000301	FBpp0305120, FBpp0305119, FBpp0305121, FBpp0071416, FBpp0111887, FBpp0099522	YBL049W_mRNA
OG0000303	FBpp0070351, FBpp0070352	YMR018W_mRNA, YDR244W_mRNA
OG0000310	FBpp0080707, FBpp0312093, FBpp0080708	YGR132C_mRNA
OG0000310	FBpp0111775, FBpp0085797, FBpp0085798, FBpp0111776, FBpp0085796, FBpp0111774	YGR231C_mRNA
OG0000312	FBpp0304267, FBpp0075314, FBpp0297286, FBpp0297284, FBpp0297285	YLR128W_mRNA
OG0000313	FBpp0074240, FBpp0084314, FBpp0307245, FBpp0289199, FBpp0289198, FBpp0290285, FBpp0289196, FBpp0079407, FBpp0292900, FBpp0292899	YMR058W_mRNA, YFL041W_mRNA, YDR506C_mRNA
OG0000315	FBpp0083502	YJR058C_mRNA
OG0000315	FBpp0307231, FBpp0293577, FBpp0293576, FBpp0083884	YLR170C_mRNA
OG0000316	FBpp0078460, FBpp0078458, FBpp0078457, FBpp0305848, FBpp0078456, FBpp0271939, FBpp0089229, FBpp0110232, FBpp0078455, FBpp0300804, FBpp0297634, FBpp0271940, FBpp0271941, FBpp0099567, FBpp0300805, FBpp0078454, FBpp0078453, FBpp0099569, FBpp0110233, FBpp0297633, FBpp0271942, FBpp0078459, FBpp0271938	YPL196W_mRNA
OG0000318	FBpp0071620, FBpp0309697, FBpp0309698, FBpp0289626, FBpp0297155, FBpp0081899	YDR519W_mRNA
OG0000318	FBpp0085703	YNL135C_mRNA
OG0000319	FBpp0304299, FBpp0085398	YIL038C_mRNA, YPR072W_mRNA
OG0000321	FBpp0070750, FBpp0070751	YDR379W_mRNA, YOR127W_mRNA
OG0000325	FBpp0086883, FBpp0291264, FBpp0291263, FBpp0291262, FBpp0302636, FBpp0301578, FBpp0087961	YER169W_mRNA, YDR096W_mRNA
OG0000326	FBpp0297739, FBpp0309549, FBpp0288925, FBpp0305257, FBpp0288926, FBpp0288924, FBpp0309855, FBpp0088584, FBpp0309854, FBpp0311098	YOR219C_mRNA, YHR028C_mRNA
OG0000327	FBpp0302889, FBpp0302890, FBpp0302891, FBpp0111548	YAL024C_mRNA
OG0000328	FBpp0308020, FBpp0308021, FBpp0297137, FBpp0308019, FBpp0308018, FBpp0308017	YLR176C_mRNA
OG0000329	FBpp0298330, FBpp0298328, FBpp0298327, FBpp0298329	YBL103C_mRNA
OG0000339	FBpp0111550, FBpp0297429, FBpp0297431, FBpp0111553, FBpp0111551, FBpp0304682	YLR072W_mRNA, YFL042C_mRNA
OG0000343	FBpp0310102, FBpp0310101, FBpp0072276	YJL197W_mRNA
OG0000344	FBpp0084278, FBpp0291175	YBR109C_mRNA
OG0000345	FBpp0072587, FBpp0305594, FBpp0072589, FBpp0072588, FBpp0305593	YJR138W_mRNA
OG0000347	FBpp0308697, FBpp0087053, FBpp0087056, FBpp0087055, FBpp0087054	YPL177C_mRNA, YGL096W_mRNA
OG0000359	FBpp0300171, FBpp0088815, FBpp0301213, FBpp0088813, FBpp0301212, FBpp0305105, FBpp0088817, FBpp0088816, FBpp0088814, FBpp0088812, FBpp0086927, FBpp0305107, FBpp0305106, FBpp0086926, FBpp0082367, FBpp0293655	YNL305C_mRNA
OG0000360	FBpp0073608	YHR208W_mRNA, YJR148W_mRNA
OG0000363	FBpp0078984, FBpp0312327	YDR510W_mRNA
OG0000364	FBpp0084956, FBpp0084955	YER179W_mRNA, YER095W_mRNA
OG0000365	FBpp0074365, FBpp0305939, FBpp0305940, FBpp0305938	YPR033C_mRNA
OG0000370	FBpp0292008, FBpp0080745, FBpp0306281, FBpp0306282, FBpp0292064, FBpp0301587	YDR481C_mRNA
OG0000378	FBpp0077438, FBpp0077435, FBpp0077434, FBpp0291567, FBpp0081179	YKR013W_mRNA, YJL079C_mRNA, YJL078C_mRNA
OG0000379	FBpp0083564	YJR063W_mRNA
OG0000381	FBpp0311521, FBpp0112035, FBpp0072629, FBpp0072628, FBpp0301150, FBpp0301149, FBpp0292904, FBpp0079486, FBpp0301148, FBpp0303021	YKR051W_mRNA
OG0000382	FBpp0080687, FBpp0088864, FBpp0088862, FBpp0088863, FBpp0088859, FBpp0088861, FBpp0292153, FBpp0292151, FBpp0292152, FBpp0088860	YIL023C_mRNA
OG0000383	FBpp0077571, FBpp0077572, FBpp0077573, FBpp0077574, FBpp0077575, FBpp0291325	YMR323W_mRNA, YOR393W_mRNA, YPL281C_mRNA, YHR174W_mRNA, YGR254W_mRNA
OG0000384	FBpp0311359, FBpp0110433, FBpp0311229, FBpp0311360, FBpp0070041, FBpp0070042, FBpp0070043	YOR061W_mRNA, YIL035C_mRNA
OG0000387	FBpp0082927	YML028W_mRNA, YDR453C_mRNA
OG0000388	FBpp0308291, FBpp0311978, FBpp0312191	YKL067W_mRNA
OG0000389	FBpp0072854, FBpp0073346, FBpp0073347	YOR171C_mRNA, YLR260W_mRNA
OG0000390	FBpp0072567, FBpp0072568, FBpp0072565, FBpp0072566	YKL129C_mRNA, YMR109W_mRNA
OG0000391	FBpp0074446	YJR129C_mRNA
OG0000392	FBpp0310409, FBpp0081018, FBpp0080751, FBpp0297553, FBpp0080753, FBpp0080754, FBpp0306284, FBpp0306283, FBpp0099871, FBpp0080752, FBpp0080755	YDL240W_mRNA
OG0000394	FBpp0293271, FBpp0083850, FBpp0303337, FBpp0307741, FBpp0307742, FBpp0303335, FBpp0303336	YLR422W_mRNA
OG0000396	FBpp0112103	YMR068W_mRNA
OG0000400	FBpp0074378, FBpp0072097	YLL050C_mRNA
OG0000402	FBpp0087658, FBpp0291667, FBpp0087656, FBpp0087655, FBpp0087657, FBpp0291668, FBpp0087651, FBpp0291669, FBpp0297644, FBpp0087652, FBpp0310445, FBpp0087653, FBpp0087659, FBpp0087654	YOR156C_mRNA, YDR409W_mRNA
OG0000403	FBpp0078137, FBpp0307363, FBpp0077637, FBpp0297899, FBpp0297900, FBpp0076829, FBpp0076830, FBpp0071393	YNL007C_mRNA
OG0000405	FBpp0311276, FBpp0076859, FBpp0076860	YGL087C_mRNA
OG0000406	FBpp0075044	YGL001C_mRNA
OG0000407	FBpp0076849	YLR078C_mRNA
OG0000408	FBpp0311457, FBpp0078854, FBpp0111853, FBpp0071937, FBpp0071938	YJR110W_mRNA
OG0000409	FBpp0088092, FBpp0311524	YPR031W_mRNA
OG0000410	FBpp0311400, FBpp0083624, FBpp0307973	YIL106W_mRNA
OG0000411	FBpp0304343, FBpp0100039, FBpp0079772, FBpp0293784, FBpp0079771, FBpp0304344, FBpp0079773	YIL114C_mRNA, YNL055C_mRNA
OG0000413	FBpp0084420, FBpp0290515, FBpp0089030, FBpp0089028, FBpp0089027, FBpp0089025, FBpp0302738, FBpp0307777, FBpp0089026, FBpp0307776, FBpp0307775	YNL238W_mRNA
OG0000419	FBpp0077910, FBpp0077911, FBpp0077912	YDR272W_mRNA, YOR040W_mRNA
OG0000421	FBpp0081910	YMR190C_mRNA
OG0000422	FBpp0087320, FBpp0087319, FBpp0309163, FBpp0080578, FBpp0071954	YPR103W_mRNA
OG0000423	FBpp0311089, FBpp0289500, FBpp0075790, FBpp0075792, FBpp0075791	YNR052C_mRNA
OG0000424	FBpp0085915, FBpp0085917, FBpp0085919	YER165W_mRNA
OG0000425	FBpp0081768, FBpp0271855, FBpp0081769, FBpp0081771, FBpp0081772, FBpp0271853, FBpp0271854, FBpp0297596	YCL033C_mRNA
OG0000426	FBpp0084809, FBpp0084810, FBpp0084808, FBpp0084811, FBpp0084812, FBpp0301180, FBpp0084399, FBpp0072956, FBpp0072955, FBpp0072452	YER089C_mRNA, YBL056W_mRNA
OG0000429	FBpp0304111, FBpp0073638, FBpp0300867, FBpp0309341	YGR127W_mRNA
OG0000431	FBpp0288894, FBpp0289736, FBpp0289735, FBpp0289737, FBpp0309627	YJL141C_mRNA
OG0000432	FBpp0082433	YER173W_mRNA
OG0000434	FBpp0290546, FBpp0290545, FBpp0310069, FBpp0079115, FBpp0310068	YFR028C_mRNA
OG0000435	FBpp0297092, FBpp0303682, FBpp0303684, FBpp0303683, FBpp0080801, FBpp0303681, FBpp0111712, FBpp0089274, FBpp0084791, FBpp0084792, FBpp0292247, FBpp0292507	YDL230W_mRNA
OG0000436	FBpp0306611, FBpp0081213, FBpp0306606, FBpp0081212, FBpp0081211, FBpp0306608, FBpp0306607, FBpp0306610, FBpp0306609	YHL007C_mRNA, YNL298W_mRNA
OG0000437	FBpp0091101, FBpp0091086, FBpp0091068, FBpp0091083, FBpp0091107, FBpp0091052, FBpp0091057, FBpp0091071, FBpp0091074, FBpp0085248, FBpp0091098, FBpp0091089, FBpp0091092, FBpp0091110, FBpp0091095, FBpp0091077, FBpp0091065, FBpp0091062, FBpp0091050, FBpp0091059, FBpp0091104, FBpp0091054, FBpp0091080	YPL127C_mRNA
OG0000445	FBpp0306049, FBpp0082579	YPR023C_mRNA
OG0000446	FBpp0070935	YOR358W_mRNA
OG0000448	FBpp0077350, FBpp0080405, FBpp0308005, FBpp0080406	YGL054C_mRNA, YBR210W_mRNA
OG0000449	FBpp0305402, FBpp0083976, FBpp0305403, FBpp0305404, FBpp0083977, FBpp0083979	YNL016W_mRNA
OG0000450	FBpp0291655, FBpp0075270, FBpp0075269, FBpp0305752, FBpp0075268, FBpp0075271, FBpp0305753, FBpp0078071, FBpp0296988, FBpp0078069	YHR046C_mRNA, YDR287W_mRNA
OG0000453	FBpp0082953	YNL097C_mRNA, YHR090C_mRNA, YOR064C_mRNA
OG0000454	FBpp0306666, FBpp0083989	YOL021C_mRNA
OG0000454	FBpp0072389, FBpp0072388	YDR293C_mRNA
OG0000455	FBpp0084623, FBpp0072904, FBpp0305095	YMR186W_mRNA, YPL240C_mRNA
OG0000457	FBpp0303207, FBpp0303206, FBpp0303208, FBpp0078192, FBpp0078191, FBpp0112099, FBpp0304160	YER122C_mRNA
OG0000458	FBpp0076502, FBpp0289513, FBpp0089088, FBpp0305157, FBpp0085464, FBpp0085463, FBpp0085461, FBpp0271746	YER016W_mRNA
OG0000459	FBpp0087761, FBpp0087762, FBpp0087760	YBR196C_mRNA
OG0000464	FBpp0305846, FBpp0074933	YJL059W_mRNA
OG0000469	FBpp0291628	YAR008W_mRNA
OG0000477	FBpp0291368, FBpp0291367, FBpp0291366, FBpp0291369	YGR003W_mRNA
OG0000478	FBpp0071503	YER171W_mRNA
OG0000481	FBpp0085145, FBpp0089161, FBpp0291178, FBpp0291395, FBpp0089158, FBpp0089159, FBpp0070449, FBpp0070450, FBpp0070453, FBpp0070451, FBpp0070452, FBpp0089162, FBpp0304141, FBpp0089160	YDL079C_mRNA, YMR139W_mRNA
OG0000482	FBpp0305265, FBpp0075514, FBpp0075515, FBpp0075513, FBpp0292998, FBpp0292997, FBpp0293000, FBpp0292999	YPL106C_mRNA, YBR169C_mRNA
OG0000484	FBpp0077714	YPR010C_mRNA
OG0000484	FBpp0087085	YOR207C_mRNA
OG0000484	FBpp0310926, FBpp0082353	YOR151C_mRNA
OG0000485	FBpp0075176, FBpp0075175, FBpp0075178, FBpp0300976, FBpp0075177, FBpp0075180, FBpp0075179, FBpp0303599	YBR042C_mRNA, YDR018C_mRNA
OG0000486	FBpp0300841, FBpp0300842, FBpp0310124	YDR147W_mRNA, YLR133W_mRNA
OG0000488	FBpp0075810, FBpp0291346, FBpp0075811, FBpp0290358, FBpp0110168, FBpp0110169, FBpp0310443	YIL043C_mRNA
OG0000489	FBpp0081900	YLR205C_mRNA
OG0000492	FBpp0422971, FBpp0422972, FBpp0073267, FBpp0081102	YPL169C_mRNA
OG0000494	FBpp0088460, FBpp0088459, FBpp0088461, FBpp0088464, FBpp0112329, FBpp0089013, FBpp0088462, FBpp0088463, FBpp0305364	YOR291W_mRNA
OG0000507	FBpp0084170, FBpp0112193, FBpp0084169, FBpp0306574	YDR374C_mRNA
OG0000508	FBpp0081592	YPL259C_mRNA
OG0000508	FBpp0083646, FBpp0083645, FBpp0291080	YOL062C_mRNA
OG0000510	FBpp0081664, FBpp0081665, FBpp0311386, FBpp0081667, FBpp0081669, FBpp0081668, FBpp0081671, FBpp0081670, FBpp0081666	YGL190C_mRNA
OG0000511	FBpp0082202, FBpp0401591	YER116C_mRNA
OG0000513	FBpp0305539, FBpp0305540, FBpp0271755, FBpp0271758, FBpp0271756, FBpp0289556, FBpp0290667	YDR456W_mRNA
OG0000514	FBpp0076937, FBpp0076938, FBpp0309380	YGR012W_mRNA, YGR155W_mRNA
OG0000515	FBpp0084671, FBpp0084672, FBpp0084668	YGR159C_mRNA
OG0000516	FBpp0075395	YGR091W_mRNA
OG0000517	FBpp0070891, FBpp0309042, FBpp0080787	YLR234W_mRNA
OG0000518	FBpp0307729, FBpp0081440	YGR223C_mRNA
OG0000519	FBpp0310178, FBpp0288798, FBpp0310177, FBpp0310176, FBpp0288797, FBpp0288799, FBpp0310179, FBpp0288801, FBpp0310180, FBpp0288800	YLR410W_mRNA
OG0000520	FBpp0087517	YKL165C_mRNA
OG0000522	FBpp0300332, FBpp0300334, FBpp0300333, FBpp0289604, FBpp0073511, FBpp0309352, FBpp0309353	YPR032W_mRNA, YBL106C_mRNA
OG0000524	FBpp0077715	YBR103W_mRNA
OG0000526	FBpp0075284, FBpp0079448, FBpp0089382, FBpp0307466	YPL203W_mRNA, YKL166C_mRNA, YJL164C_mRNA
OG0000528	FBpp0308388, FBpp0087828, FBpp0290175, FBpp0087827, FBpp0087837, FBpp0312227, FBpp0271830, FBpp0087831, FBpp0087836, FBpp0311600, FBpp0087838, FBpp0087826, FBpp0292313, FBpp0292312, FBpp0079860, FBpp0079859	YIL172C_mRNA, YJL221C_mRNA, YOL157C_mRNA, YGR287C_mRNA, YBR299W_mRNA, YGR292W_mRNA, YJL216C_mRNA
OG0000529	FBpp0308841, FBpp0288702, FBpp0304728, FBpp0288701, FBpp0290657, FBpp0080528, FBpp0080529, FBpp0304727, FBpp0290655, FBpp0290656, FBpp0304724, FBpp0304726, FBpp0080530, FBpp0304725	YCL029C_mRNA
OG0000542	FBpp0083414, FBpp0083413	YER031C_mRNA, YGL210W_mRNA
OG0000544	FBpp0311361, FBpp0078391, FBpp0078390, FBpp0080292	YDL165W_mRNA
OG0000546	FBpp0074665, FBpp0304185	YDL135C_mRNA
OG0000548	FBpp0072082, FBpp0072081	YEL034W_mRNA, YJR047C_mRNA
OG0000549	FBpp0074663, FBpp0303214	YLR200W_mRNA
OG0000551	FBpp0293653, FBpp0085134, FBpp0085135, FBpp0293652, FBpp0297347, FBpp0085136	Q0130_mRNA
OG0000554	FBpp0089304, FBpp0089305, FBpp0076902, FBpp0300180, FBpp0300182, FBpp0300181, FBpp0089306, FBpp0300184, FBpp0076904, FBpp0300179, FBpp0300183, FBpp0076905, FBpp0076903, FBpp0076906	YLR142W_mRNA
OG0000555	FBpp0085117, FBpp0072636, FBpp0072631, FBpp0072635, FBpp0072633, FBpp0290113, FBpp0290114, FBpp0075023, FBpp0075028, FBpp0075026, FBpp0075024, FBpp0305416, FBpp0111773, FBpp0075029, FBpp0075027	YIL125W_mRNA
OG0000556	FBpp0087867, FBpp0303797	YMR167W_mRNA
OG0000558	FBpp0072060	YDR232W_mRNA
OG0000559	FBpp0072572	YDL205C_mRNA
OG0000566	FBpp0086815, FBpp0086816, FBpp0086813, FBpp0086814, FBpp0086817	YPR154W_mRNA, YGR136W_mRNA
OG0000583	FBpp0083503	YFL038C_mRNA
OG0000583	FBpp0074690, FBpp0300990, FBpp0077029	YFL005W_mRNA
OG0000587	FBpp0311231, FBpp0084900	YPR141C_mRNA
OG0000591	FBpp0072000, FBpp0311636	YJR085C_mRNA
OG0000592	FBpp0088216, FBpp0088215, FBpp0088214, FBpp0088213, FBpp0300567, FBpp0088217	YPL147W_mRNA
OG0000592	FBpp0307155, FBpp0074564, FBpp0307154, FBpp0307156	YKL188C_mRNA
OG0000593	FBpp0084842, FBpp0083105	YLR277C_mRNA
OG0000594	FBpp0072931, FBpp0072930, FBpp0072932, FBpp0085780	YKL026C_mRNA, YIR037W_mRNA, YBR244W_mRNA
OG0000595	FBpp0310095, FBpp0072227	YLR253W_mRNA
OG0000597	FBpp0303850, FBpp0071083	YMR101C_mRNA, YBR002C_mRNA
OG0000598	FBpp0082025	YPR001W_mRNA
OG0000598	FBpp0070871, FBpp0070872	YNR001C_mRNA, YCR005C_mRNA
OG0000599	FBpp0076338, FBpp0076337	YPR048W_mRNA
OG0000599	FBpp0078881, FBpp0078880, FBpp0303666, FBpp0303665	YFR030W_mRNA, YHR042W_mRNA
OG0000600	FBpp0083612, FBpp0077406, FBpp0083610, FBpp0083611	YAL038W_mRNA, YOR347C_mRNA
OG0000601	FBpp0073173	YNL330C_mRNA
OG0000601	FBpp0078414	YGL194C_mRNA
OG0000602	FBpp0081704	YDR190C_mRNA
OG0000602	FBpp0074756, FBpp0311247, FBpp0304236	YPL235W_mRNA
OG0000603	FBpp0082758, FBpp0077489, FBpp0306799	YBR201W_mRNA, YDR411C_mRNA
OG0000604	FBpp0087141, FBpp0074126	YGL246C_mRNA
OG0000605	FBpp0308265, FBpp0087910, FBpp0311746, FBpp0087912, FBpp0087911, FBpp0308264, FBpp0087913	YLR099C_mRNA, YDR125C_mRNA, YGR110W_mRNA
OG0000606	FBpp0304400, FBpp0075714, FBpp0304399, FBpp0075715	YNL083W_mRNA
OG0000607	FBpp0070636, FBpp0305387, FBpp0305388	YOR244W_mRNA
OG0000608	FBpp0078755, FBpp0078756, FBpp0078754	YDL084W_mRNA
OG0000611	FBpp0074067, FBpp0305092, FBpp0293728, FBpp0074068, FBpp0294044, FBpp0074069, FBpp0301546, FBpp0085094, FBpp0306613, FBpp0293124	YLR433C_mRNA, YML057W_mRNA
OG0000613	FBpp0089129, FBpp0086353, FBpp0086354, FBpp0089130, FBpp0086356, FBpp0086355	YPR165W_mRNA, YNL090W_mRNA
OG0000623	FBpp0308238, FBpp0308233, FBpp0308237, FBpp0308236, FBpp0308235, FBpp0308234	YJL137C_mRNA, YKR058W_mRNA
OG0000627	FBpp0079147, FBpp0079146, FBpp0303678, FBpp0303677, FBpp0303676	YDL006W_mRNA
OG0000627	FBpp0080672	YBR125C_mRNA
OG0000629	FBpp0084785	YJR131W_mRNA
OG0000630	FBpp0311740, FBpp0310804, FBpp0310803	YBL039C_mRNA, YJR103W_mRNA
OG0000631	FBpp0089139, FBpp0089137, FBpp0089138, FBpp0089136, FBpp0073947, FBpp0073948, FBpp0089140	YPR041W_mRNA
OG0000632	FBpp0082460, FBpp0082459	YLR163C_mRNA, YBL045C_mRNA
OG0000632	FBpp0087958	YHR024C_mRNA
OG0000634	FBpp0089421, FBpp0310418, FBpp0082994	YMR260C_mRNA
OG0000635	FBpp0086516, FBpp0086515, FBpp0306790, FBpp0292632, FBpp0306789, FBpp0297552, FBpp0297549, FBpp0078148, FBpp0306791	YMR216C_mRNA
OG0000640	FBpp0308261, FBpp0308260, FBpp0308259, FBpp0088001, FBpp0088002, FBpp0088003	YOR245C_mRNA
OG0000641	FBpp0309273, FBpp0298004	YGR216C_mRNA
OG0000642	FBpp0074558	YJR005W_mRNA, YKL135C_mRNA
OG0000643	FBpp0084782	YGL047W_mRNA
OG0000646	FBpp0308470, FBpp0081806, FBpp0081807, FBpp0308469	YER170W_mRNA
OG0000646	FBpp0072072	YDR226W_mRNA
OG0000647	FBpp0297555, FBpp0291344, FBpp0112349, FBpp0304415, FBpp0078184, FBpp0078185, FBpp0078183	YGL167C_mRNA
OG0000652	FBpp0308677, FBpp0081297, FBpp0081295, FBpp0311482	YMR067C_mRNA
OG0000653	FBpp0085264	YBL060W_mRNA, YPR095C_mRNA
OG0000654	FBpp0085526, FBpp0085527, FBpp0307640, FBpp0307638, FBpp0307639, FBpp0307637, FBpp0089194	YLR429W_mRNA
OG0000671	FBpp0304882, FBpp0304887, FBpp0304883, FBpp0304888, FBpp0304886, FBpp0304884, FBpp0075691, FBpp0304881, FBpp0304885	YPR129W_mRNA
OG0000673	FBpp0070894, FBpp0311816, FBpp0089269, FBpp0073035, FBpp0073034, FBpp0305348	YLL039C_mRNA
OG0000674	FBpp0078997	YOR310C_mRNA
OG0000674	FBpp0083625	YLR197W_mRNA
OG0000675	FBpp0073572	YNR023W_mRNA, YCR052W_mRNA
OG0000676	FBpp0111655, FBpp0079303, FBpp0305611, FBpp0307833	YDL008W_mRNA
OG0000677	FBpp0071123	YHR188C_mRNA
OG0000678	FBpp0071026, FBpp0304122, FBpp0293664	YKL179C_mRNA
OG0000680	FBpp0082223, FBpp0082222, FBpp0082221, FBpp0082220, FBpp0082219	YMR214W_mRNA, YPR061C_mRNA, YNL064C_mRNA
OG0000684	FBpp0291808, FBpp0291810, FBpp0297589, FBpp0291809, FBpp0291807, FBpp0297588, FBpp0292619, FBpp0291813, FBpp0291806	YKR003W_mRNA
OG0000686	FBpp0305993, FBpp0305992, FBpp0297350, FBpp0297352, FBpp0290650, FBpp0297351, FBpp0076146, FBpp0305991	YIL129C_mRNA
OG0000706	FBpp0311796, FBpp0077904	YHR116W_mRNA
OG0000707	FBpp0088446, FBpp0088445, FBpp0088450, FBpp0088449, FBpp0088448, FBpp0088926, FBpp0088451, FBpp0088447, FBpp0088452	YLR180W_mRNA, YDR502C_mRNA
OG0000712	FBpp0080733, FBpp0309711	YDR139C_mRNA
OG0000713	FBpp0099914, FBpp0087977, FBpp0073922, FBpp0304864, FBpp0086215	YGR192C_mRNA, YJR009C_mRNA, YJL052W_mRNA
OG0000714	FBpp0070578, FBpp0080847, FBpp0074305, FBpp0309975, FBpp0074304, FBpp0309976, FBpp0076785	YIL047C_mRNA
OG0000717	FBpp0303097, FBpp0303096, FBpp0303094, FBpp0076658, FBpp0303095, FBpp0303098	YNL265C_mRNA
OG0000718	FBpp0311459, FBpp0070943, FBpp0070940, FBpp0070942, FBpp0070941	YJL177W_mRNA, YKL180W_mRNA
OG0000719	FBpp0076624, FBpp0076625	YGR037C_mRNA
OG0000721	FBpp0075111, FBpp0075112, FBpp0075110	YPL010W_mRNA
OG0000722	FBpp0271765, FBpp0306530	YDR270W_mRNA
OG0000723	FBpp0072858, FBpp0072857, FBpp0072859, FBpp0072856, FBpp0072428, FBpp0072429, FBpp0072652, FBpp0311803, FBpp0072650, FBpp0072651, FBpp0072654, FBpp0072653	YHL032C_mRNA
OG0000725	FBpp0089217, FBpp0070336	YDR211W_mRNA
OG0000726	FBpp0111932	YNL155W_mRNA
OG0000727	FBpp0308320, FBpp0081235, FBpp0074507, FBpp0074506, FBpp0074508, FBpp0310500	YGR257C_mRNA
OG0000729	FBpp0072886, FBpp0089085, FBpp0082821, FBpp0304841, FBpp0073847, FBpp0312000	YER043C_mRNA
OG0000731	FBpp0303520, FBpp0077470, FBpp0077471, FBpp0077475, FBpp0303518, FBpp0303519, FBpp0077472, FBpp0077473, FBpp0077474	YOR089C_mRNA
OG0000734	FBpp0300655, FBpp0291015, FBpp0300653, FBpp0112467, FBpp0112466, FBpp0300654, FBpp0112465, FBpp0300652	YMR121C_mRNA, YLR029C_mRNA
OG0000735	FBpp0311513, FBpp0085374	YFR044C_mRNA
OG0000738	FBpp0075276, FBpp0305756	YLL010C_mRNA, YLR019W_mRNA
OG0000741	FBpp0082627, FBpp0071211, FBpp0305783	YOR278W_mRNA
OG0000762	FBpp0302752, FBpp0073119	YDR164C_mRNA
OG0000766	FBpp0079697	YDR019C_mRNA
OG0000768	FBpp0087724, FBpp0311417, FBpp0308410, FBpp0087723	YDL195W_mRNA
OG0000769	FBpp0086807, FBpp0086806, FBpp0289430, FBpp0289429, FBpp0086805, FBpp0086801, FBpp0086803, FBpp0086802, FBpp0112362, FBpp0086804	YJR049C_mRNA, YEL041W_mRNA
OG0000770	FBpp0082089, FBpp0084753, FBpp0099920, FBpp0099919, FBpp0083616, FBpp0083618, FBpp0083617	YKL152C_mRNA, YDL021W_mRNA, YOL056W_mRNA
OG0000771	FBpp0074585, FBpp0300889, FBpp0074584, FBpp0074586	YLR038C_mRNA
OG0000773	FBpp0084411, FBpp0084409, FBpp0084410	YNL263C_mRNA
OG0000775	FBpp0079041	YLR069C_mRNA
OG0000775	FBpp0083663, FBpp0310632	YJL102W_mRNA
OG0000776	FBpp0074237	YMR236W_mRNA
OG0000777	FBpp0302004, FBpp0085711, FBpp0085712, FBpp0306126, FBpp0087017, FBpp0087016, FBpp0087018, FBpp0304543, FBpp0304544, FBpp0087022, FBpp0085709, FBpp0306127, FBpp0085739, FBpp0085707, FBpp0085708, FBpp0300747, FBpp0306125, FBpp0306124, FBpp0085710	YBR074W_mRNA
OG0000781	FBpp0310242, FBpp0073525, FBpp0312048	YGL161C_mRNA
OG0000785	FBpp0072612, FBpp0072611	YPR147C_mRNA
OG0000788	FBpp0074501, FBpp0074500, FBpp0300512, FBpp0310720, FBpp0084564	YOR293W_mRNA, YMR230W_mRNA
OG0000790	FBpp0099390, FBpp0304563, FBpp0099391	YNL138W_mRNA
OG0000794	FBpp0071670, FBpp0071671, FBpp0300559	YNL106C_mRNA, YOR109W_mRNA, YIL002C_mRNA
OG0000795	FBpp0300890, FBpp0072340, FBpp0072339, FBpp0072338	YNL084C_mRNA, YBL047C_mRNA
OG0000796	FBpp0304418, FBpp0293868, FBpp0304419, FBpp0304420, FBpp0072420	YOR093C_mRNA
OG0000799	FBpp0305007, FBpp0074599, FBpp0290037, FBpp0290348	YGR167W_mRNA
OG0000800	FBpp0303934, FBpp0303935, FBpp0075836, FBpp0075835, FBpp0075834	YLR118C_mRNA
OG0000802	FBpp0081601, FBpp0293226	YCL011C_mRNA, YNL004W_mRNA
OG0000805	FBpp0086181, FBpp0086180, FBpp0086177, FBpp0086182, FBpp0086178, FBpp0086179	YLR310C_mRNA
OG0000824	FBpp0078077	YLR350W_mRNA, YGR038W_mRNA
OG0000830	FBpp0290362, FBpp0290363, FBpp0076241, FBpp0076240	YDR084C_mRNA
OG0000832	FBpp0076232	YGL237C_mRNA
OG0000836	FBpp0301727, FBpp0087984	YLL040C_mRNA
OG0000837	FBpp0291159, FBpp0078299, FBpp0078300, FBpp0078298, FBpp0078303, FBpp0291753, FBpp0078302, FBpp0290159	YNL112W_mRNA
OG0000841	FBpp0081996, FBpp0081995, FBpp0081994, FBpp0081993	YJL060W_mRNA
OG0000842	FBpp0088498, FBpp0311249, FBpp0088955, FBpp0088954, FBpp0297363	YFL016C_mRNA
OG0000845	FBpp0076078, FBpp0076079, FBpp0076080, FBpp0076081, FBpp0076077	YHR013C_mRNA
OG0000846	FBpp0304824, FBpp0077618	YNL223W_mRNA
OG0000849	FBpp0081288	YIL113W_mRNA, YNL053W_mRNA
OG0000850	FBpp0306041, FBpp0306042, FBpp0306043, FBpp0110505	YER129W_mRNA, YGL179C_mRNA
OG0000851	FBpp0305906, FBpp0305908, FBpp0305907, FBpp0305909	YCR033W_mRNA
OG0000853	FBpp0297127, FBpp0072250, FBpp0271761	YBR011C_mRNA, YMR267W_mRNA
OG0000855	FBpp0071071, FBpp0077075, FBpp0081035, FBpp0303796, FBpp0303795, FBpp0303794	YLR426W_mRNA, YDL114W_mRNA
