Orthogroup	fly	neurospora
OG0000273	FBpp0085714, FBpp0111782, FBpp0309435, FBpp0085715, FBpp0076072, FBpp0293217	EAA31822, EAA28486, EAA27228
OG0000278	FBpp0087507, FBpp0087508, FBpp0087506, FBpp0305281, FBpp0293464	EAA36533
OG0000283	FBpp0076339	EAA33446
OG0000284	FBpp0070122, FBpp0070124, FBpp0070119, FBpp0070118, FBpp0070121, FBpp0070120, FBpp0311474, FBpp0099971, FBpp0070123, FBpp0087127, FBpp0074575, FBpp0074565, FBpp0074566, FBpp0071931	ESA43406
OG0000285	FBpp0312160, FBpp0076287, FBpp0086848, FBpp0086847, FBpp0305353	EAA35093
OG0000286	FBpp0288398, FBpp0089258, FBpp0088319, FBpp0088318, FBpp0088320, FBpp0089257, FBpp0308813	ESA44376, ESA43991
OG0000288	FBpp0112201, FBpp0084275, FBpp0112203, FBpp0112202, FBpp0083588, FBpp0290012	EAA35695
OG0000288	FBpp0074549, FBpp0300338, FBpp0307649, FBpp0076311	EAA33047
OG0000292	FBpp0081335, FBpp0081336, FBpp0081334, FBpp0297370	EAA31679
OG0000296	FBpp0082964, FBpp0076678	EAA29668
OG0000296	FBpp0076122	EAA33987
OG0000299	FBpp0073120	EDO65226
OG0000299	FBpp0079609	EAA34161
OG0000299	FBpp0074246	EAA36224
OG0000301	FBpp0305120, FBpp0305119, FBpp0305121, FBpp0071416, FBpp0111887, FBpp0099522	ESA43231
OG0000302	FBpp0070478, FBpp0311754, FBpp0271784	EAA30954
OG0000303	FBpp0070351, FBpp0070352	EAA36111
OG0000310	FBpp0080707, FBpp0312093, FBpp0080708	EAA31577
OG0000310	FBpp0111775, FBpp0085797, FBpp0085798, FBpp0111776, FBpp0085796, FBpp0111774	EAA35251
OG0000312	FBpp0304267, FBpp0075314, FBpp0297286, FBpp0297284, FBpp0297285	EAA33666
OG0000313	FBpp0074240, FBpp0084314, FBpp0307245, FBpp0289199, FBpp0289198, FBpp0290285, FBpp0289196, FBpp0079407, FBpp0292900, FBpp0292899	EAA31330, EAA29262, EAA27863, EAA27703, EAA30359, EAA33200, EAA29734, EAA34842, EAA26599, EAA28691
OG0000315	FBpp0083502	EAA33423
OG0000315	FBpp0307231, FBpp0293577, FBpp0293576, FBpp0083884	EDO65136
OG0000316	FBpp0078460, FBpp0078458, FBpp0078457, FBpp0305848, FBpp0078456, FBpp0271939, FBpp0089229, FBpp0110232, FBpp0078455, FBpp0300804, FBpp0297634, FBpp0271940, FBpp0271941, FBpp0099567, FBpp0300805, FBpp0078454, FBpp0078453, FBpp0099569, FBpp0110233, FBpp0297633, FBpp0271942, FBpp0078459, FBpp0271938	EAA30478
OG0000318	FBpp0071620, FBpp0309697, FBpp0309698, FBpp0289626, FBpp0297155, FBpp0081899	EAA30274, EAA32060
OG0000318	FBpp0085703	EAA26908
OG0000319	FBpp0304299, FBpp0085398	ESA42216
OG0000321	FBpp0070750, FBpp0070751	EAA35478, EAA32291
OG0000325	FBpp0086883, FBpp0291264, FBpp0291263, FBpp0291262, FBpp0302636, FBpp0301578, FBpp0087961	EAA26571
OG0000326	FBpp0297739, FBpp0309549, FBpp0288925, FBpp0305257, FBpp0288926, FBpp0288924, FBpp0309855, FBpp0088584, FBpp0309854, FBpp0311098	EAA36410
OG0000328	FBpp0308020, FBpp0308021, FBpp0297137, FBpp0308019, FBpp0308018, FBpp0308017	EAA31780
OG0000339	FBpp0111550, FBpp0297429, FBpp0297431, FBpp0111553, FBpp0111551, FBpp0304682	ESA43042
OG0000342	FBpp0081217, FBpp0081218, FBpp0081219, FBpp0112110	EAA36447
OG0000343	FBpp0310102, FBpp0310101, FBpp0072276	EAA26929
OG0000344	FBpp0084278, FBpp0291175	EAA28982
OG0000345	FBpp0072587, FBpp0305594, FBpp0072589, FBpp0072588, FBpp0305593	EAA33060
OG0000348	FBpp0306055, FBpp0290294	EAA28527
OG0000358	FBpp0075080	ESA43275
OG0000359	FBpp0300171, FBpp0088815, FBpp0301213, FBpp0088813, FBpp0301212, FBpp0305105, FBpp0088817, FBpp0088816, FBpp0088814, FBpp0088812, FBpp0086927, FBpp0305107, FBpp0305106, FBpp0086926, FBpp0082367, FBpp0293655	EAA35821
OG0000360	FBpp0073608	EAA31846, EAA31051
OG0000361	FBpp0077792, FBpp0305600	ESA44077
OG0000363	FBpp0078984, FBpp0312327	ESA43995
OG0000364	FBpp0084956, FBpp0084955	EAA35890
OG0000365	FBpp0074365, FBpp0305939, FBpp0305940, FBpp0305938	EAA30025
OG0000367	FBpp0304377, FBpp0304376, FBpp0304375, FBpp0076716	EAA35318
OG0000370	FBpp0292008, FBpp0080745, FBpp0306281, FBpp0306282, FBpp0292064, FBpp0301587	EAA31697
OG0000371	FBpp0076635	EAA34393
OG0000378	FBpp0077438, FBpp0077435, FBpp0077434, FBpp0291567, FBpp0081179	EAA35828, EAA30878
OG0000379	FBpp0083564	EAA32552
OG0000380	FBpp0310605, FBpp0071491, FBpp0309638, FBpp0288534, FBpp0293460, FBpp0308809, FBpp0293462, FBpp0071811	ESA43440, EAA30703
OG0000381	FBpp0301150, FBpp0301149, FBpp0292904, FBpp0079486, FBpp0301148, FBpp0303021	EAA33051
OG0000382	FBpp0080687, FBpp0088864, FBpp0088862, FBpp0088863, FBpp0088859, FBpp0088861, FBpp0292153, FBpp0292151, FBpp0292152, FBpp0088860	EAA32982
OG0000383	FBpp0077571, FBpp0077572, FBpp0077573, FBpp0077574, FBpp0077575, FBpp0291325	EAA36265, ESA44169
OG0000384	FBpp0311359, FBpp0110433, FBpp0311229, FBpp0311360, FBpp0070041, FBpp0070042, FBpp0070043	EAA35747
OG0000388	FBpp0308291, FBpp0311978, FBpp0312191	ESA42670
OG0000389	FBpp0072854, FBpp0073346, FBpp0073347	ESA42798
OG0000390	FBpp0072567, FBpp0072568, FBpp0072565, FBpp0072566	EAA34869
OG0000391	FBpp0074446	EAA28170
OG0000392	FBpp0310409, FBpp0081018, FBpp0080751, FBpp0297553, FBpp0080753, FBpp0080754, FBpp0306284, FBpp0306283, FBpp0099871, FBpp0080752, FBpp0080755	EAA36226
OG0000393	FBpp0310844, FBpp0082709	EAA27717
OG0000394	FBpp0293271, FBpp0083850, FBpp0303337, FBpp0307741, FBpp0307742, FBpp0303335, FBpp0303336	ESA43744
OG0000400	FBpp0074378, FBpp0072097	ESA43659
OG0000402	FBpp0087658, FBpp0291667, FBpp0087656, FBpp0087655, FBpp0087657, FBpp0291668, FBpp0087651, FBpp0291669, FBpp0297644, FBpp0087652, FBpp0310445, FBpp0087653, FBpp0087659, FBpp0087654	ESA43205
OG0000403	FBpp0078137, FBpp0307363, FBpp0077637, FBpp0297899, FBpp0297900, FBpp0076829, FBpp0076830, FBpp0071393	EAA32272
OG0000405	FBpp0311276, FBpp0076859, FBpp0076860	EDO65150
OG0000406	FBpp0075044	EAA36230
OG0000407	FBpp0076849	EAA30155
OG0000408	FBpp0311457, FBpp0078854, FBpp0111853, FBpp0071937, FBpp0071938	ESA43397
OG0000409	FBpp0088092, FBpp0311524	EAA26920
OG0000410	FBpp0311400, FBpp0083624, FBpp0307973	EAA27280
OG0000411	FBpp0304343, FBpp0100039, FBpp0079772, FBpp0293784, FBpp0079771, FBpp0304344, FBpp0079773	EAA31714
OG0000413	FBpp0084420, FBpp0290515, FBpp0089030, FBpp0089028, FBpp0089027, FBpp0089025, FBpp0302738, FBpp0307777, FBpp0089026, FBpp0307776, FBpp0307775	ESA44062
OG0000419	FBpp0077910, FBpp0077911, FBpp0077912	ESA42451
OG0000421	FBpp0099768, FBpp0075457, FBpp0075458	ESA43524
OG0000421	FBpp0081910	EAA34794
OG0000422	FBpp0087320, FBpp0087319, FBpp0309163, FBpp0080578, FBpp0071954	EAA34715
OG0000423	FBpp0311089, FBpp0289500, FBpp0075790, FBpp0075792, FBpp0075791	EAA29793
OG0000424	FBpp0085915, FBpp0085917, FBpp0085919	EAA31189
OG0000425	FBpp0081768, FBpp0271855, FBpp0081769, FBpp0081771, FBpp0081772, FBpp0271853, FBpp0271854, FBpp0297596	EAA28294
OG0000426	FBpp0084809, FBpp0084810, FBpp0084808, FBpp0084811, FBpp0084812, FBpp0301180, FBpp0084399, FBpp0072956, FBpp0072955, FBpp0072452	ESA42411
OG0000429	FBpp0304111, FBpp0073638, FBpp0300867, FBpp0309341	EAA31251
OG0000431	FBpp0288894, FBpp0289736, FBpp0289735, FBpp0289737, FBpp0309627	EAA33897
OG0000432	FBpp0082433	EAA35085
OG0000434	FBpp0290546, FBpp0290545, FBpp0310069, FBpp0079115, FBpp0310068	EAA34502
OG0000436	FBpp0306611, FBpp0081213, FBpp0306606, FBpp0081212, FBpp0081211, FBpp0306608, FBpp0306607, FBpp0306610, FBpp0306609	ESA42235, EAA28056
OG0000445	FBpp0306049, FBpp0082579	EAA34392
OG0000446	FBpp0070935	ESA43266
OG0000448	FBpp0077350, FBpp0080405, FBpp0308005, FBpp0080406	ESA41841
OG0000449	FBpp0305402, FBpp0083976, FBpp0305403, FBpp0305404, FBpp0083977, FBpp0083979	EAA33487
OG0000450	FBpp0291655, FBpp0075270, FBpp0075269, FBpp0305752, FBpp0075268, FBpp0075271, FBpp0305753, FBpp0078071, FBpp0296988, FBpp0078069	EAA30376, EAA33146
OG0000453	FBpp0082953	ESA44382, EAA27144
OG0000454	FBpp0306666, FBpp0083989	EAA34551
OG0000454	FBpp0072389, FBpp0072388	EAA32327
OG0000455	FBpp0084623, FBpp0072904, FBpp0305095	EAA32062
OG0000457	FBpp0303207, FBpp0303206, FBpp0303208, FBpp0078192, FBpp0078191, FBpp0112099, FBpp0304160	EAA32762
OG0000458	FBpp0076502, FBpp0289513, FBpp0089088, FBpp0305157, FBpp0085464, FBpp0085463, FBpp0085461, FBpp0271746	EAA28478
OG0000459	FBpp0087761, FBpp0087762, FBpp0087760	EAA32899
OG0000462	FBpp0307210, FBpp0289713, FBpp0082248	EAA30450, EAA32507
OG0000462	FBpp0075736, FBpp0075735, FBpp0305575, FBpp0086361, FBpp0070594, FBpp0401489, FBpp0071604	ESA42776
OG0000463	FBpp0297943, FBpp0074441, FBpp0086055, FBpp0086056, FBpp0077134, FBpp0081494, FBpp0079252, FBpp0079251, FBpp0301605, FBpp0291019, FBpp0071221	ESA44145
OG0000464	FBpp0305846, FBpp0074933	EAA34044
OG0000465	FBpp0081031, FBpp0290491, FBpp0305299, FBpp0297159, FBpp0081032, FBpp0305300	EAA33504
OG0000469	FBpp0291628	EAA33466
OG0000477	FBpp0087897, FBpp0290569	EAA28507
OG0000477	FBpp0291368, FBpp0291367, FBpp0291366, FBpp0291369	EAA35856
OG0000478	FBpp0071503	EAA27300
OG0000481	FBpp0085145, FBpp0089161, FBpp0291178, FBpp0291395, FBpp0089158, FBpp0089159, FBpp0070449, FBpp0070450, FBpp0070453, FBpp0070451, FBpp0070452, FBpp0089162, FBpp0304141, FBpp0089160	ESA42667
OG0000482	FBpp0305265, FBpp0075514, FBpp0075515, FBpp0075513, FBpp0292998, FBpp0292997, FBpp0293000, FBpp0292999	ESA43073
OG0000484	FBpp0077714	EAA35588
OG0000484	FBpp0087085	EAA27959
OG0000484	FBpp0310926, FBpp0082353	EAA27870
OG0000485	FBpp0075176, FBpp0075175, FBpp0075178, FBpp0300976, FBpp0075177, FBpp0075180, FBpp0075179, FBpp0303599	EAA28956
OG0000486	FBpp0300841, FBpp0300842, FBpp0310124	ESA44053
OG0000488	FBpp0075810, FBpp0291346, FBpp0075811, FBpp0290358, FBpp0110168, FBpp0110169, FBpp0310443	EAA27365, EAA35955
OG0000490	FBpp0302777, FBpp0070330, FBpp0292167, FBpp0302778, FBpp0305936, FBpp0302779, FBpp0070331, FBpp0070329, FBpp0305935	EAA28084
OG0000492	FBpp0422971, FBpp0422972, FBpp0073267, FBpp0081102	EAA34785
OG0000494	FBpp0088460, FBpp0088459, FBpp0088461, FBpp0088464, FBpp0112329, FBpp0089013, FBpp0088462, FBpp0088463, FBpp0305364	EDO65436
OG0000508	FBpp0081592	EAA31384
OG0000508	FBpp0083646, FBpp0083645, FBpp0291080	EAA31527
OG0000510	FBpp0081664, FBpp0081665, FBpp0311386, FBpp0081667, FBpp0081669, FBpp0081668, FBpp0081671, FBpp0081670, FBpp0081666	ESA43982
OG0000511	FBpp0082202, FBpp0401591	EAA28510
OG0000512	FBpp0081799, FBpp0083746, FBpp0083745, FBpp0083744, FBpp0307956, FBpp0083743, FBpp0307955, FBpp0310704, FBpp0083742, FBpp0083741, FBpp0310703	EAA30404
OG0000513	FBpp0305539, FBpp0305540, FBpp0271755, FBpp0271758, FBpp0271756, FBpp0289556, FBpp0290667	EAA27536
OG0000514	FBpp0076937, FBpp0076938, FBpp0309380	EAA36459, EAA28107, EAA30070
OG0000515	FBpp0084671, FBpp0084672, FBpp0084668	ESA44356, EAA34626
OG0000516	FBpp0075395	EAA35865
OG0000517	FBpp0070891, FBpp0309042, FBpp0080787	EAA27155
OG0000518	FBpp0307729, FBpp0081440	ESA43889
OG0000519	FBpp0310178, FBpp0288798, FBpp0310177, FBpp0310176, FBpp0288797, FBpp0288799, FBpp0310179, FBpp0288801, FBpp0310180, FBpp0288800	ESA43044
OG0000520	FBpp0087517	EAA33433
OG0000522	FBpp0300332, FBpp0300334, FBpp0300333, FBpp0289604, FBpp0073511, FBpp0309352, FBpp0309353	ESA41804
OG0000525	FBpp0300875, FBpp0070146	EAA33797
OG0000526	FBpp0074405, FBpp0298028, FBpp0298027	EAA36586
OG0000526	FBpp0075284, FBpp0079448, FBpp0089382, FBpp0307466	EAA33855
OG0000527	FBpp0305482, FBpp0290814, FBpp0305484, FBpp0305483, FBpp0076877, FBpp0076876, FBpp0301014, FBpp0076875	EAA35208
OG0000528	FBpp0308388, FBpp0087828, FBpp0290175, FBpp0087827, FBpp0087837, FBpp0312227, FBpp0271830, FBpp0087831, FBpp0087836, FBpp0311600, FBpp0087838, FBpp0087826, FBpp0292313, FBpp0292312, FBpp0079860, FBpp0079859	EAA33885, EAA32559
OG0000542	FBpp0083414, FBpp0083413	EAA27736, EAA32663
OG0000543	FBpp0309946, FBpp0072124, FBpp0072121, FBpp0072120, FBpp0072123, FBpp0072122, FBpp0072125, FBpp0072127, FBpp0072126	EAA35246
OG0000544	FBpp0311361, FBpp0078391, FBpp0078390, FBpp0080292	ESA42861
OG0000546	FBpp0074665, FBpp0304185	EAA33032
OG0000548	FBpp0072082, FBpp0072081	EAA32675
OG0000549	FBpp0074663, FBpp0303214	EAA28811
OG0000550	FBpp0086993	EAA29326
OG0000550	FBpp0086770, FBpp0086769	EAA28103
OG0000551	FBpp0293653, FBpp0085134, FBpp0085135, FBpp0293652, FBpp0297347, FBpp0085136	AGG16016
OG0000554	FBpp0089304, FBpp0089305, FBpp0076902, FBpp0300180, FBpp0300182, FBpp0300181, FBpp0089306, FBpp0300184, FBpp0076904, FBpp0300179, FBpp0300183, FBpp0076905, FBpp0076903, FBpp0076906	EAA36382
OG0000555	FBpp0085117	EAA29450
OG0000555	FBpp0072636, FBpp0072631, FBpp0072635, FBpp0072633, FBpp0290113, FBpp0290114, FBpp0075023, FBpp0075028, FBpp0075026, FBpp0075024, FBpp0305416, FBpp0111773, FBpp0075029, FBpp0075027	EAA34012
OG0000556	FBpp0087867, FBpp0303797	ESA42873
OG0000557	FBpp0081156	EAA29186
OG0000558	FBpp0072060	EAA33765
OG0000559	FBpp0072572	ESA42329
OG0000560	FBpp0307689, FBpp0078620, FBpp0308701, FBpp0290937, FBpp0290936, FBpp0290938, FBpp0308702, FBpp0082027, FBpp0309742, FBpp0074439, FBpp0303582, FBpp0074440, FBpp0305761, FBpp0290319, FBpp0305760, FBpp0311132, FBpp0290318, FBpp0290320, FBpp0305762, FBpp0293525, FBpp0290317	EAA27599
OG0000563	FBpp0309321, FBpp0309323, FBpp0309325, FBpp0080662, FBpp0080661, FBpp0309708, FBpp0073013, FBpp0303104, FBpp0303103, FBpp0073014, FBpp0305971, FBpp0075685, FBpp0301569, FBpp0301567, FBpp0080712, FBpp0301566, FBpp0302972, FBpp0301568, FBpp0080713	EAA35183
OG0000565	FBpp0085914, FBpp0303033	EAA32915
OG0000583	FBpp0083503	EAA33910
OG0000583	FBpp0074690, FBpp0300990, FBpp0077029	EAA33006
OG0000587	FBpp0311231, FBpp0084900	EAA29046
OG0000590	FBpp0076433, FBpp0293170	ESA43800
OG0000591	FBpp0072000, FBpp0311636	EAA35450
OG0000592	FBpp0088216, FBpp0088215, FBpp0088214, FBpp0088213, FBpp0300567, FBpp0088217	EAA34693
OG0000592	FBpp0307155, FBpp0074564, FBpp0307154, FBpp0307156	EAA27938
OG0000593	FBpp0084842, FBpp0083105	EAA27132
OG0000594	FBpp0072931, FBpp0072930, FBpp0072932, FBpp0085780	EAA28683
OG0000595	FBpp0310095, FBpp0072227	EAA32014
OG0000597	FBpp0303850, FBpp0071083	EAA26815
OG0000598	FBpp0082025	ESA43894
OG0000598	FBpp0070871, FBpp0070872	EAA27662
OG0000599	FBpp0076338, FBpp0076337	EAA35193
OG0000599	FBpp0078881, FBpp0078880, FBpp0303666, FBpp0303665	EAA32237, EAA28456, EAA35207
OG0000600	FBpp0083612, FBpp0077406, FBpp0083610, FBpp0083611	ESA41917
OG0000601	FBpp0073173	EAA35131
OG0000601	FBpp0078414	EAA35215
OG0000602	FBpp0081704	EAA26533
OG0000602	FBpp0074756, FBpp0311247, FBpp0304236	EAA34092
OG0000603	FBpp0082758, FBpp0077489, FBpp0306799	EAA27423
OG0000604	FBpp0087141, FBpp0074126	EAA31915
OG0000605	FBpp0308265, FBpp0087910, FBpp0311746, FBpp0087912, FBpp0087911, FBpp0308264, FBpp0087913	EAA33358
OG0000606	FBpp0304400, FBpp0075714, FBpp0304399, FBpp0075715	EAA26965
OG0000607	FBpp0300834, FBpp0079071, FBpp0304793	EAA30995
OG0000607	FBpp0070636, FBpp0305387, FBpp0305388	EAA32981
OG0000608	FBpp0078755, FBpp0078756, FBpp0078754	EAA35657
OG0000611	FBpp0074067, FBpp0305092, FBpp0293728, FBpp0074068, FBpp0294044, FBpp0074069, FBpp0301546, FBpp0085094, FBpp0306613, FBpp0293124	ESA42472
OG0000613	FBpp0089129, FBpp0086353, FBpp0086354, FBpp0089130, FBpp0086356, FBpp0086355	ESA43505, EAA27525, EAA32796, ESA43610
OG0000623	FBpp0308238, FBpp0308233, FBpp0308237, FBpp0308236, FBpp0308235, FBpp0308234	ESA42597
OG0000627	FBpp0079147, FBpp0079146, FBpp0303678, FBpp0303677, FBpp0303676	EAA27462
OG0000629	FBpp0084785	EAA35037
OG0000630	FBpp0311740, FBpp0310804, FBpp0310803	EAA28496
OG0000631	FBpp0089139, FBpp0089137, FBpp0089138, FBpp0089136, FBpp0073947, FBpp0073948, FBpp0089140	EAA28016
OG0000632	FBpp0082460, FBpp0082459	EAA36444
OG0000632	FBpp0087958	EAA33638
OG0000634	FBpp0089421, FBpp0310418, FBpp0082994	EAA35388
OG0000635	FBpp0086516, FBpp0086515, FBpp0306790, FBpp0292632, FBpp0306789, FBpp0297552, FBpp0297549, FBpp0078148, FBpp0306791	ESA44159
OG0000636	FBpp0085476, FBpp0085475, FBpp0304256, FBpp0087422, FBpp0311591, FBpp0304257, FBpp0080697, FBpp0080698, FBpp0288730, FBpp0080709, FBpp0080710	EAA32667
OG0000640	FBpp0308261, FBpp0308260, FBpp0308259, FBpp0088001, FBpp0088002, FBpp0088003	EAA36202
OG0000641	FBpp0309273, FBpp0298004	ESA42020
OG0000642	FBpp0074558	EAA32656, EAA29724
OG0000643	FBpp0084782	ESA42241
OG0000646	FBpp0308470, FBpp0081806, FBpp0081807, FBpp0308469	EAA36080
OG0000646	FBpp0072072	EAA27017
OG0000647	FBpp0297555, FBpp0291344, FBpp0112349, FBpp0304415, FBpp0078184, FBpp0078185, FBpp0078183	EAA34982
OG0000652	FBpp0308677, FBpp0081297, FBpp0081295, FBpp0311482	EAA35244
OG0000653	FBpp0085264	EAA30233, ESA42621
OG0000654	FBpp0085526, FBpp0085527, FBpp0307640, FBpp0307638, FBpp0307639, FBpp0307637, FBpp0089194	EAA27351
OG0000669	FBpp0085214, FBpp0300204, FBpp0085215, FBpp0300203	ESA44309
OG0000671	FBpp0304882, FBpp0304887, FBpp0304883, FBpp0304888, FBpp0304886, FBpp0304884, FBpp0075691, FBpp0304881, FBpp0304885	EAA27065
OG0000673	FBpp0305700	EAA29567
OG0000674	FBpp0078997	EAA27607
OG0000674	FBpp0083625	EAA28813
OG0000675	FBpp0073572	EAA26775
OG0000676	FBpp0111655, FBpp0079303, FBpp0305611, FBpp0307833	EDO65159
OG0000677	FBpp0071123	EAA30969
OG0000678	FBpp0071026, FBpp0304122, FBpp0293664	EAA32044
OG0000680	FBpp0082223, FBpp0082222, FBpp0082221, FBpp0082220, FBpp0082219	ESA43387, EDO64988, EAA29179
OG0000682	FBpp0086006, FBpp0293275	EAA32912
OG0000684	FBpp0291808, FBpp0291810, FBpp0297589, FBpp0291809, FBpp0291807, FBpp0297588, FBpp0292619, FBpp0291813, FBpp0291806	EAA35175
OG0000685	FBpp0309916, FBpp0078714, FBpp0081311, FBpp0300420, FBpp0307218, FBpp0300421, FBpp0290227, FBpp0290228, FBpp0111267, FBpp0310260, FBpp0080132, FBpp0082628, FBpp0306658, FBpp0086725	ESA43975
OG0000686	FBpp0305993, FBpp0305992, FBpp0297350, FBpp0297352, FBpp0290650, FBpp0297351, FBpp0076146, FBpp0305991	EAA35206
OG0000706	FBpp0311796, FBpp0077904	EAA30394
OG0000707	FBpp0088446, FBpp0088445, FBpp0088450, FBpp0088449, FBpp0088448, FBpp0088926, FBpp0088451, FBpp0088447, FBpp0088452	ESA43946
OG0000712	FBpp0080733, FBpp0309711	EAA35250
OG0000713	FBpp0099914, FBpp0087977, FBpp0073922, FBpp0304864, FBpp0086215	EAA27741
OG0000714	FBpp0070578, FBpp0080847, FBpp0074305, FBpp0309975, FBpp0074304, FBpp0309976, FBpp0076785	EAA31925
OG0000717	FBpp0303097, FBpp0303096, FBpp0303094, FBpp0076658, FBpp0303095, FBpp0303098	EAA33425
OG0000718	FBpp0311459, FBpp0070943, FBpp0070940, FBpp0070942, FBpp0070941	EAA32243
OG0000719	FBpp0290436, FBpp0076623, FBpp0076634, FBpp0311659, FBpp0076622, FBpp0076318	EAA27950
OG0000719	FBpp0076624, FBpp0076625	EAA33144
OG0000721	FBpp0075111, FBpp0075112, FBpp0075110	EAA36433
OG0000722	FBpp0271765, FBpp0306530	EAA36008
OG0000723	FBpp0072858, FBpp0072857, FBpp0072859, FBpp0072856, FBpp0072428, FBpp0072429, FBpp0072652, FBpp0311803, FBpp0072650, FBpp0072651, FBpp0072654, FBpp0072653	EAA29577
OG0000725	FBpp0089217, FBpp0070336	EAA30360
OG0000726	FBpp0111932	EAA32710
OG0000727	FBpp0308320, FBpp0081235, FBpp0074507, FBpp0074506, FBpp0074508, FBpp0310500	EAA34536
OG0000729	FBpp0072886, FBpp0089085, FBpp0082821, FBpp0304841, FBpp0073847, FBpp0312000	ESA42803
OG0000731	FBpp0303520, FBpp0077470, FBpp0077471, FBpp0077475, FBpp0303518, FBpp0303519, FBpp0077472, FBpp0077473, FBpp0077474	EAA35575, EAA26716
OG0000734	FBpp0300655, FBpp0291015, FBpp0300653, FBpp0112467, FBpp0112466, FBpp0300654, FBpp0112465, FBpp0300652	EAA27963
OG0000735	FBpp0311513, FBpp0085374	EAA28142
OG0000736	FBpp0085460	EAA35049
OG0000738	FBpp0075276, FBpp0305756	ESA44134
OG0000739	FBpp0073133, FBpp0073132, FBpp0305196, FBpp0073131, FBpp0077837, FBpp0304204, FBpp0304203, FBpp0309589, FBpp0080119, FBpp0301687	EAA30738
OG0000741	FBpp0082627, FBpp0071211, FBpp0305783	EAA30479
OG0000746	FBpp0083931	ESA42867
OG0000762	FBpp0302752, FBpp0073119	EAA33289
OG0000763	FBpp0297713, FBpp0074127, FBpp0074128	EAA27090
OG0000766	FBpp0079697	EAA35876
OG0000768	FBpp0087724, FBpp0311417, FBpp0308410, FBpp0087723	EAA34274
OG0000769	FBpp0086807, FBpp0086806, FBpp0289430, FBpp0289429, FBpp0086805, FBpp0086801, FBpp0086803, FBpp0086802, FBpp0112362, FBpp0086804	EAA32281, EAA35184
OG0000770	FBpp0082089, FBpp0084753, FBpp0099920, FBpp0099919, FBpp0083616, FBpp0083618, FBpp0083617	EAA33977
OG0000771	FBpp0074585, FBpp0300889, FBpp0074584, FBpp0074586	EAA34277
OG0000773	FBpp0084411, FBpp0084409, FBpp0084410	EAA36528
OG0000774	FBpp0309599, FBpp0301966, FBpp0301965, FBpp0070229, FBpp0292356, FBpp0070231	EAA26755
OG0000775	FBpp0079041	EAA36106
OG0000775	FBpp0083663, FBpp0310632	EAA32924
OG0000776	FBpp0074237	EAA34951
OG0000777	FBpp0302004, FBpp0085711, FBpp0085712, FBpp0306126, FBpp0087017, FBpp0087016, FBpp0087018, FBpp0304543, FBpp0304544, FBpp0087022, FBpp0085709, FBpp0306127, FBpp0085739, FBpp0085707, FBpp0085708, FBpp0300747, FBpp0306125, FBpp0306124, FBpp0085710	EAA32053
OG0000780	FBpp0087367, FBpp0291024	ESA43970
OG0000781	FBpp0310242, FBpp0073525, FBpp0312048	EAA32677
OG0000785	FBpp0072612, FBpp0072611	EAA28700
OG0000786	FBpp0078405, FBpp0308602	EAA26831
OG0000788	FBpp0074501, FBpp0074500, FBpp0300512, FBpp0310720, FBpp0084564	EAA34279
OG0000790	FBpp0099390, FBpp0304563, FBpp0099391	EAA33442
OG0000791	FBpp0071129, FBpp0071128	EAA27952
OG0000794	FBpp0071670, FBpp0071671, FBpp0300559	EAA35239
OG0000795	FBpp0300890, FBpp0072340, FBpp0072339, FBpp0072338	EAA33988
OG0000796	FBpp0304418, FBpp0293868, FBpp0304419, FBpp0304420, FBpp0072420	ESA43316
OG0000798	FBpp0304936, FBpp0074588	ESA42646
OG0000799	FBpp0305007, FBpp0074599, FBpp0290037, FBpp0290348	EAA32035
OG0000800	FBpp0303934, FBpp0303935, FBpp0075836, FBpp0075835, FBpp0075834	EAA35413
OG0000801	FBpp0079912	ESA44079
OG0000802	FBpp0081601, FBpp0293226	ESA41963
OG0000807	FBpp0288985, FBpp0288983, FBpp0311781, FBpp0289765, FBpp0288984, FBpp0289766, FBpp0289768, FBpp0297580	ESA41907
OG0000824	FBpp0078077	EDO65135
OG0000830	FBpp0290362, FBpp0290363, FBpp0076241, FBpp0076240	ESA43966
OG0000831	FBpp0307980, FBpp0081718	EAA30029
OG0000832	FBpp0076232	EAA36183
OG0000833	FBpp0083935, FBpp0292386, FBpp0310125, FBpp0300995, FBpp0073789	EAA34985, EAA36581, EAA30606, EAA31676, EAA35843
OG0000835	FBpp0310472, FBpp0085295, FBpp0085296	EDO65286
OG0000836	FBpp0301727, FBpp0087984	EAA30861
OG0000837	FBpp0291159, FBpp0078299, FBpp0078300, FBpp0078298, FBpp0078303, FBpp0291753, FBpp0078302, FBpp0290159	EAA33724
OG0000840	FBpp0084636, FBpp0307022	EAA34880
OG0000841	FBpp0081996, FBpp0081995, FBpp0081994, FBpp0081993	EAA27220
OG0000842	FBpp0088498, FBpp0311249, FBpp0088955, FBpp0088954, FBpp0297363	ESA43095
OG0000845	FBpp0076078, FBpp0076079, FBpp0076080, FBpp0076081, FBpp0076077	ESA42702
OG0000846	FBpp0304824, FBpp0077618	EAA30202
OG0000849	FBpp0081288	EAA33620, EAA27187
OG0000850	FBpp0306041, FBpp0306042, FBpp0306043, FBpp0110505	EAA33753, EAA27566
OG0000851	FBpp0305906, FBpp0305908, FBpp0305907, FBpp0305909	ESA43548
OG0000852	FBpp0073640, FBpp0309343	EAA31139
