Orthogroup	fly	human
OG0000320	FBpp0290402	ENSP00000460037
OG0000321	FBpp0070750, FBpp0070751	ENSP00000398326, ENSP00000486515, ENSP00000386849, ENSP00000387425, ENSP00000394284, ENSP00000406337, ENSP00000392603, ENSP00000295497, ENSP00000409798, ENSP00000410496, ENSP00000396867, ENSP00000411911, ENSP00000386322, ENSP00000386469, ENSP00000386470, ENSP00000386741, ENSP00000495614, ENSP00000222792
OG0000322	FBpp0308592, FBpp0088249	ENSP00000368427, ENSP00000368403, ENSP00000491295, ENSP00000492822, ENSP00000492315, ENSP00000368406, ENSP00000491862, ENSP00000431585, ENSP00000492802, ENSP00000491779, ENSP00000491948, ENSP00000492397, ENSP00000491492, ENSP00000491679, ENSP00000492409
OG0000322	FBpp0071889	ENSP00000492316, ENSP00000491210
OG0000323	FBpp0304842, FBpp0073895, FBpp0304843	ENSP00000481022, ENSP00000480865, ENSP00000478292, ENSP00000458542, ENSP00000347540, ENSP00000461521, ENSP00000307275, ENSP00000454464, ENSP00000455377, ENSP00000268099, ENSP00000457890, ENSP00000454741, ENSP00000457564, ENSP00000355387, ENSP00000454602, ENSP00000406547, ENSP00000455313, ENSP00000455039, ENSP00000454860, ENSP00000456505, ENSP00000454766, ENSP00000456991, ENSP00000457121, ENSP00000388185, ENSP00000479672, ENSP00000386865, ENSP00000316007, ENSP00000479083
OG0000324	FBpp0074693	ENSP00000438545, ENSP00000266503, ENSP00000312247, ENSP00000442438, ENSP00000379238, ENSP00000261178, ENSP00000400185, ENSP00000445836, ENSP00000374357, ENSP00000384517, ENSP00000385915, ENSP00000385581, ENSP00000385897, ENSP00000436442, ENSP00000436313
OG0000324	FBpp0307731, FBpp0081483	ENSP00000346372, ENSP00000423851, ENSP00000351407, ENSP00000427571, ENSP00000425899, ENSP00000479393, ENSP00000453651, ENSP00000453792, ENSP00000307479
OG0000325	FBpp0086883, FBpp0291264, FBpp0291263, FBpp0291262, FBpp0302636, FBpp0301578, FBpp0087961	ENSP00000404756, ENSP00000371178, ENSP00000383990, ENSP00000468514, ENSP00000493741, ENSP00000494063, ENSP00000370707, ENSP00000370710, ENSP00000405739, ENSP00000400127, ENSP00000440656, ENSP00000445427, ENSP00000480642, ENSP00000440495, ENSP00000467678, ENSP00000159111, ENSP00000361473, ENSP00000491279, ENSP00000397239, ENSP00000334181, ENSP00000482224, ENSP00000460897
OG0000326	FBpp0297739, FBpp0309549, FBpp0288925, FBpp0305257, FBpp0288926, FBpp0288924, FBpp0309855, FBpp0088584, FBpp0309854	ENSP00000188790, ENSP00000485844, ENSP00000411391, ENSP00000353731
OG0000326	FBpp0311098	ENSP00000328226, ENSP00000397303, ENSP00000489584, ENSP00000488956, ENSP00000489259, ENSP00000385578, ENSP00000367001, ENSP00000489137, ENSP00000402499, ENSP00000391092, ENSP00000376854, ENSP00000386565, ENSP00000309066, ENSP00000387038, ENSP00000376855
OG0000327	FBpp0302889, FBpp0302890, FBpp0302891, FBpp0111548	ENSP00000440006, ENSP00000403956, ENSP00000444646, ENSP00000440226, ENSP00000441059, ENSP00000438631, ENSP00000394530, ENSP00000264644, ENSP00000479735, ENSP00000343656, ENSP00000415664, ENSP00000479340, ENSP00000384044, ENSP00000448619, ENSP00000373864, ENSP00000378764, ENSP00000448480, ENSP00000395708, ENSP00000384521, ENSP00000447691, ENSP00000380274, ENSP00000387104, ENSP00000380271, ENSP00000380276, ENSP00000440250, ENSP00000440135, ENSP00000438011
OG0000328	FBpp0308020, FBpp0308021, FBpp0297137, FBpp0308019, FBpp0308018, FBpp0308017	ENSP00000350552, ENSP00000473326, ENSP00000448694, ENSP00000444163, ENSP00000447423, ENSP00000465122, ENSP00000467736, ENSP00000468036, ENSP00000465135, ENSP00000468561, ENSP00000464826, ENSP00000466890, ENSP00000467979, ENSP00000352076, ENSP00000466028, ENSP00000466177, ENSP00000306335, ENSP00000467166, ENSP00000254325, ENSP00000371434, ENSP00000482598, ENSP00000351574, ENSP00000400026, ENSP00000415594
OG0000329	FBpp0298330, FBpp0298328, FBpp0298327, FBpp0298329	ENSP00000391276, ENSP00000318676, ENSP00000387650, ENSP00000265440, ENSP00000377125, ENSP00000417432, ENSP00000384203, ENSP00000362124, ENSP00000406491, ENSP00000410391, ENSP00000343948, ENSP00000351742, ENSP00000230323, ENSP00000412551, ENSP00000383998, ENSP00000398639, ENSP00000411389, ENSP00000327867, ENSP00000324443, ENSP00000418845, ENSP00000494105, ENSP00000295600, ENSP00000391803, ENSP00000435909, ENSP00000377880, ENSP00000324246, ENSP00000407620
OG0000339	FBpp0111550, FBpp0297429, FBpp0297431, FBpp0111553, FBpp0111551, FBpp0304682	ENSP00000488382, ENSP00000490920, ENSP00000325628, ENSP00000436500, ENSP00000402457, ENSP00000489896, ENSP00000494891, ENSP00000388458, ENSP00000432987, ENSP00000490062, ENSP00000434214, ENSP00000488714, ENSP00000488613, ENSP00000471290, ENSP00000474401, ENSP00000441032, ENSP00000439267, ENSP00000470220
OG0000340	FBpp0076222, FBpp0301283	ENSP00000491579, ENSP00000426000, ENSP00000426731, ENSP00000424089, ENSP00000274056, ENSP00000427223, ENSP00000317087, ENSP00000379116, ENSP00000379118, ENSP00000411848, ENSP00000345676
OG0000340	FBpp0085553	ENSP00000370423
OG0000342	FBpp0081217, FBpp0081218, FBpp0081219, FBpp0112110	ENSP00000341361, ENSP00000417294, ENSP00000376628, ENSP00000420667, ENSP00000418863, ENSP00000420510, ENSP00000355268, ENSP00000418308, ENSP00000460024, ENSP00000458189, ENSP00000262482, ENSP00000459324, ENSP00000460190, ENSP00000460991, ENSP00000459581, ENSP00000458375, ENSP00000458905, ENSP00000458794
OG0000343	FBpp0310102, FBpp0310101, FBpp0072276	ENSP00000219689
OG0000344	FBpp0087109, FBpp0087110, FBpp0311269, FBpp0293503, FBpp0293502	ENSP00000451646, ENSP00000406112, ENSP00000272298, ENSP00000291295, ENSP00000472141, ENSP00000349467, ENSP00000411440, ENSP00000403491
OG0000344	FBpp0084278, FBpp0291175	ENSP00000361638, ENSP00000361636
OG0000345	FBpp0072587, FBpp0305594, FBpp0072589, FBpp0072588, FBpp0305593	ENSP00000494372, ENSP00000495371, ENSP00000494714, ENSP00000496532, ENSP00000383101, ENSP00000494484, ENSP00000496158, ENSP00000495338, ENSP00000496278, ENSP00000496281, ENSP00000496395, ENSP00000495496, ENSP00000494662, ENSP00000496630, ENSP00000371545, ENSP00000494879, ENSP00000410544, ENSP00000371546, ENSP00000383105, ENSP00000493489, ENSP00000494406, ENSP00000383108, ENSP00000496252, ENSP00000495917, ENSP00000383107, ENSP00000495544, ENSP00000496724, ENSP00000495655, ENSP00000440210, ENSP00000494700
OG0000346	FBpp0079546, FBpp0079545, FBpp0310202	ENSP00000359573, ENSP00000359575
OG0000346	FBpp0309322, FBpp0309324	ENSP00000312856, ENSP00000446115, ENSP00000444393, ENSP00000440099, ENSP00000412479, ENSP00000445751, ENSP00000413703, ENSP00000442786, ENSP00000439275, ENSP00000346689, ENSP00000446463, ENSP00000261169, ENSP00000338207, ENSP00000404538, ENSP00000435456, ENSP00000445193, ENSP00000443807, ENSP00000442713, ENSP00000441360, ENSP00000439989, ENSP00000444269, ENSP00000445504
OG0000347	FBpp0308697, FBpp0087053, FBpp0087056, FBpp0087055, FBpp0087054	ENSP00000476174, ENSP00000452878, ENSP00000453773, ENSP00000481787, ENSP00000362981, ENSP00000362979, ENSP00000448934
OG0000348	FBpp0306055, FBpp0290294	ENSP00000494046, ENSP00000412638, ENSP00000493620, ENSP00000495194, ENSP00000379196, ENSP00000492198, ENSP00000305288, ENSP00000461168, ENSP00000492323, ENSP00000392500, ENSP00000354541, ENSP00000385750, ENSP00000372325, ENSP00000370485, ENSP00000370482, ENSP00000370483, ENSP00000275857, ENSP00000439203, ENSP00000348169, ENSP00000342535, ENSP00000372320, ENSP00000496594, ENSP00000445298, ENSP00000351591, ENSP00000363163, ENSP00000479877, ENSP00000410374, ENSP00000492025, ENSP00000461092
OG0000358	FBpp0075080	ENSP00000445419, ENSP00000343490
OG0000359	FBpp0088815, FBpp0301213, FBpp0088813, FBpp0301212, FBpp0305105, FBpp0088817, FBpp0088816, FBpp0088814, FBpp0088812, FBpp0086927, FBpp0305107, FBpp0305106, FBpp0086926, FBpp0082367	ENSP00000431217, ENSP00000432095, ENSP00000378507, ENSP00000314380, ENSP00000432706, ENSP00000435901
OG0000359	FBpp0293655	ENSP00000449957, ENSP00000446771, ENSP00000450132, ENSP00000447715, ENSP00000449360, ENSP00000449711, ENSP00000321951
OG0000360	FBpp0073608	ENSP00000438593, ENSP00000261192, ENSP00000440817, ENSP00000443459, ENSP00000339805, ENSP00000440827, ENSP00000481749, ENSP00000440973, ENSP00000470680, ENSP00000469139, ENSP00000470216, ENSP00000322991, ENSP00000385161, ENSP00000469651
OG0000361	FBpp0077792, FBpp0305600	ENSP00000369629, ENSP00000482964, ENSP00000291552, ENSP00000381205, ENSP00000485382, ENSP00000418705, ENSP00000492069, ENSP00000485022, ENSP00000368258, ENSP00000397645, ENSP00000480611, ENSP00000420672, ENSP00000469891
OG0000362	FBpp0078861, FBpp0304852, FBpp0081961	ENSP00000382333, ENSP00000305920, ENSP00000306920, ENSP00000411769, ENSP00000411813
OG0000363	FBpp0078984, FBpp0312327	ENSP00000376077, ENSP00000387204, ENSP00000386296, ENSP00000386753, ENSP00000376076, ENSP00000376075, ENSP00000386267, ENSP00000386472, ENSP00000405965, ENSP00000318635, ENSP00000409666, ENSP00000330343, ENSP00000380990, ENSP00000380995, ENSP00000400886, ENSP00000461997
OG0000364	FBpp0084956, FBpp0084955	ENSP00000216024, ENSP00000412703, ENSP00000391385, ENSP00000477737, ENSP00000410808, ENSP00000433924, ENSP00000372088, ENSP00000454176, ENSP00000431864, ENSP00000432759, ENSP00000406602, ENSP00000493712, ENSP00000267868
OG0000364	FBpp0084486	ENSP00000407282, ENSP00000482326, ENSP00000464056, ENSP00000336701, ENSP00000463121, ENSP00000401741
OG0000365	FBpp0074365, FBpp0305939, FBpp0305940, FBpp0305938	ENSP00000407105, ENSP00000424516, ENSP00000493630, ENSP00000494569, ENSP00000494296, ENSP00000230771, ENSP00000494965, ENSP00000493571, ENSP00000423616, ENSP00000495350, ENSP00000496011, ENSP00000425695, ENSP00000494140, ENSP00000494742, ENSP00000430063, ENSP00000425889, ENSP00000411085, ENSP00000393244, ENSP00000304668, ENSP00000411511, ENSP00000387893, ENSP00000495156, ENSP00000425634
OG0000367	FBpp0304377, FBpp0304376, FBpp0304375, FBpp0076716	ENSP00000379385, ENSP00000497202, ENSP00000379386, ENSP00000229319, ENSP00000406172, ENSP00000445331, ENSP00000368722, ENSP00000395337, ENSP00000445175, ENSP00000379524, ENSP00000227157, ENSP00000280704, ENSP00000439555, ENSP00000437783, ENSP00000439060, ENSP00000443414, ENSP00000379516, ENSP00000280706, ENSP00000478764, ENSP00000302393
OG0000368	FBpp0291119, FBpp0291120, FBpp0291121, FBpp0078671, FBpp0305719, FBpp0078669, FBpp0078670	ENSP00000470540, ENSP00000270645, ENSP00000436422, ENSP00000054950, ENSP00000438248, ENSP00000408838, ENSP00000442110, ENSP00000249364, ENSP00000420381, ENSP00000417973
OG0000370	FBpp0292008, FBpp0080745, FBpp0306281, FBpp0306282, FBpp0292064, FBpp0301587	ENSP00000413068
OG0000370	FBpp0085095, FBpp0085096, FBpp0311651, FBpp0071694, FBpp0071695, FBpp0071696, FBpp0073864, FBpp0081538, FBpp0087603, FBpp0076835, FBpp0083450, FBpp0311826, FBpp0076794, FBpp0078050, FBpp0304205	ENSP00000437674, ENSP00000363963, ENSP00000442672, ENSP00000363965, ENSP00000363973, ENSP00000295453, ENSP00000375881, ENSP00000295463
OG0000371	FBpp0076635	ENSP00000496997, ENSP00000498069, ENSP00000497399, ENSP00000497936, ENSP00000496974, ENSP00000498117, ENSP00000497779, ENSP00000497600, ENSP00000497278, ENSP00000496861, ENSP00000381538, ENSP00000497949, ENSP00000312244, ENSP00000497615, ENSP00000370067, ENSP00000497799, ENSP00000401809, ENSP00000370068, ENSP00000498062, ENSP00000496803, ENSP00000497132, ENSP00000338078, ENSP00000497753, ENSP00000496967, ENSP00000496838, ENSP00000498064, ENSP00000498017, ENSP00000370069, ENSP00000498168, ENSP00000497518, ENSP00000497137, ENSP00000354562, ENSP00000497496, ENSP00000496944, ENSP00000498026, ENSP00000418673, ENSP00000498088
OG0000378	FBpp0077438, FBpp0077435, FBpp0077434, FBpp0291567, FBpp0081179	ENSP00000367195, ENSP00000367196, ENSP00000478768
OG0000379	FBpp0083564	ENSP00000414720, ENSP00000407715, ENSP00000393236, ENSP00000394779, ENSP00000412369, ENSP00000399966, ENSP00000387914, ENSP00000399302, ENSP00000407364, ENSP00000410530, ENSP00000383501, ENSP00000395065, ENSP00000352333, ENSP00000410954, ENSP00000396661, ENSP00000373108, ENSP00000405264, ENSP00000365978, ENSP00000365981, ENSP00000413265, ENSP00000383503, ENSP00000383500, ENSP00000397636, ENSP00000410127, ENSP00000416599, ENSP00000331111, ENSP00000391809, ENSP00000402198, ENSP00000405636, ENSP00000414110, ENSP00000395397, ENSP00000396922
OG0000380	FBpp0310605, FBpp0071491, FBpp0309638, FBpp0288534, FBpp0293460, FBpp0308809, FBpp0293462, FBpp0071811	ENSP00000357883, ENSP00000386432, ENSP00000415648, ENSP00000271663, ENSP00000357885, ENSP00000445992, ENSP00000444779, ENSP00000335333, ENSP00000466363, ENSP00000265382, ENSP00000438082, ENSP00000435778
OG0000381	FBpp0311521, FBpp0112035, FBpp0072629, FBpp0072628	ENSP00000413955, ENSP00000403499, ENSP00000389092, ENSP00000326348, ENSP00000398382, ENSP00000325945, ENSP00000297477, ENSP00000488878, ENSP00000354441, ENSP00000355210
OG0000381	FBpp0301150, FBpp0301149, FBpp0292904, FBpp0079486, FBpp0301148, FBpp0303021	ENSP00000421159, ENSP00000425940, ENSP00000296582
OG0000382	FBpp0080687	ENSP00000390246, ENSP00000404101, ENSP00000416566, ENSP00000400978, ENSP00000411819, ENSP00000403686, ENSP00000372700, ENSP00000407093, ENSP00000391735, ENSP00000372701, ENSP00000410656, ENSP00000363809, ENSP00000363807, ENSP00000413027, ENSP00000414145, ENSP00000389623, ENSP00000403583, ENSP00000416439
OG0000382	FBpp0088864, FBpp0088862, FBpp0088863, FBpp0088859, FBpp0088861, FBpp0292153, FBpp0292151, FBpp0292152, FBpp0088860	ENSP00000434290, ENSP00000434684, ENSP00000346956, ENSP00000354689
OG0000383	FBpp0077571, FBpp0077572, FBpp0077573, FBpp0077574, FBpp0077575, FBpp0291325	ENSP00000431087, ENSP00000430636, ENSP00000324105, ENSP00000430055, ENSP00000495530, ENSP00000493526, ENSP00000234590, ENSP00000438873, ENSP00000437402, ENSP00000229277, ENSP00000438062, ENSP00000441490
OG0000384	FBpp0311359, FBpp0110433, FBpp0311229, FBpp0311360, FBpp0070041, FBpp0070042, FBpp0070043	ENSP00000262506, ENSP00000456606, ENSP00000457911, ENSP00000494038, ENSP00000494288, ENSP00000383086, ENSP00000473553, ENSP00000495912, ENSP00000217244, ENSP00000495422, ENSP00000496569, ENSP00000495414, ENSP00000493791, ENSP00000493931, ENSP00000495902, ENSP00000494370, ENSP00000496146, ENSP00000495248, ENSP00000383076, ENSP00000495998, ENSP00000473256
OG0000385	FBpp0297250, FBpp0078963, FBpp0078964	ENSP00000349986, ENSP00000395427, ENSP00000333640, ENSP00000321590, ENSP00000483392, ENSP00000417105, ENSP00000496702, ENSP00000373394, ENSP00000496255, ENSP00000494438, ENSP00000342626, ENSP00000410176, ENSP00000494568, ENSP00000496188, ENSP00000495390, ENSP00000303221, ENSP00000373395, ENSP00000373393, ENSP00000373392, ENSP00000404558, ENSP00000347294, ENSP00000347434, ENSP00000356870, ENSP00000432770, ENSP00000395916, ENSP00000388670, ENSP00000433219
OG0000386	FBpp0113058, FBpp0089006, FBpp0088430	ENSP00000459790, ENSP00000459084, ENSP00000459750, ENSP00000458928, ENSP00000497988, ENSP00000393224, ENSP00000459057, ENSP00000497411, ENSP00000458667, ENSP00000401237, ENSP00000459055, ENSP00000458575, ENSP00000354108, ENSP00000385903
OG0000387	FBpp0082927	ENSP00000298510
OG0000387	FBpp0072853, FBpp0072852, FBpp0304422	ENSP00000413736, ENSP00000368654, ENSP00000368635, ENSP00000368646
OG0000388	FBpp0308291, FBpp0311978, FBpp0312191	ENSP00000372398, ENSP00000479681, ENSP00000219479, ENSP00000395605, ENSP00000405925, ENSP00000455435, ENSP00000219302, ENSP00000425581, ENSP00000426901, ENSP00000421064, ENSP00000376886, ENSP00000426976, ENSP00000365572, ENSP00000451932, ENSP00000376889, ENSP00000429318, ENSP00000412039, ENSP00000387682, ENSP00000376880, ENSP00000435498, ENSP00000428553, ENSP00000376892, ENSP00000013034, ENSP00000337060
OG0000389	FBpp0072854, FBpp0073346, FBpp0073347	ENSP00000469448, ENSP00000341091, ENSP00000470092, ENSP00000469158, ENSP00000245222, ENSP00000471205, ENSP00000472983, ENSP00000471111, ENSP00000471180, ENSP00000470679, ENSP00000468547, ENSP00000376285, ENSP00000465726, ENSP00000440970, ENSP00000313681, ENSP00000465002, ENSP00000466422
OG0000390	FBpp0072567, FBpp0072568, FBpp0072565, FBpp0072566	ENSP00000344871, ENSP00000481682, ENSP00000494550, ENSP00000288235, ENSP00000393392, ENSP00000300119, ENSP00000452229, ENSP00000451033, ENSP00000341903, ENSP00000444076, ENSP00000439182, ENSP00000496954, ENSP00000352834, ENSP00000412197, ENSP00000496799, ENSP00000354283, ENSP00000459174, ENSP00000493973, ENSP00000459271
OG0000391	FBpp0074446	ENSP00000325662, ENSP00000352182, ENSP00000391329, ENSP00000434799, ENSP00000436598, ENSP00000423511, ENSP00000432416, ENSP00000464781, ENSP00000467790, ENSP00000494768, ENSP00000496002, ENSP00000495290, ENSP00000496528, ENSP00000464773, ENSP00000432250, ENSP00000473457, ENSP00000473414, ENSP00000436024, ENSP00000433972, ENSP00000433147, ENSP00000342610, ENSP00000431362, ENSP00000436338, ENSP00000432790, ENSP00000435201, ENSP00000432931, ENSP00000262365, ENSP00000494953, ENSP00000494637, ENSP00000389710, ENSP00000468599, ENSP00000432491, ENSP00000407067, ENSP00000311330, ENSP00000398502
OG0000392	FBpp0310409, FBpp0081018, FBpp0080751, FBpp0297553, FBpp0080753, FBpp0080754, FBpp0306284, FBpp0306283, FBpp0099871, FBpp0080752, FBpp0080755	ENSP00000355117, ENSP00000378327, ENSP00000457586, ENSP00000455709, ENSP00000456783, ENSP00000456482, ENSP00000378332, ENSP00000395536, ENSP00000443887, ENSP00000267257, ENSP00000443745, ENSP00000391283, ENSP00000228307, ENSP00000461855, ENSP00000431284, ENSP00000378512
OG0000393	FBpp0310844, FBpp0082709	ENSP00000477646, ENSP00000419252, ENSP00000392438, ENSP00000419624, ENSP00000477155, ENSP00000370524, ENSP00000320768, ENSP00000370527, ENSP00000417926, ENSP00000382214, ENSP00000305223, ENSP00000360425, ENSP00000329454, ENSP00000384317, ENSP00000479300, ENSP00000445401, ENSP00000414447, ENSP00000486836, ENSP00000478174, ENSP00000484519, ENSP00000437338, ENSP00000409540, ENSP00000363516
OG0000394	FBpp0293271, FBpp0083850	ENSP00000485033, ENSP00000280333, ENSP00000387036, ENSP00000429737, ENSP00000276440, ENSP00000414125, ENSP00000256935, ENSP00000429283, ENSP00000428850
OG0000394	FBpp0303337, FBpp0307741, FBpp0307742, FBpp0303335, FBpp0303336	ENSP00000412834, ENSP00000440944, ENSP00000404179, ENSP00000410746, ENSP00000397412, ENSP00000266037
OG0000395	FBpp0308932, FBpp0084336, FBpp0084337, FBpp0084339, FBpp0084338, FBpp0292077, FBpp0292078, FBpp0089115, FBpp0307986, FBpp0293584	ENSP00000454029, ENSP00000442594, ENSP00000454141, ENSP00000394717, ENSP00000415057, ENSP00000453107, ENSP00000453083, ENSP00000452871, ENSP00000453435, ENSP00000319233, ENSP00000453081, ENSP00000468279, ENSP00000392869, ENSP00000466542, ENSP00000262953, ENSP00000365682, ENSP00000365735
OG0000396	FBpp0112103	ENSP00000388879, ENSP00000401012, ENSP00000382888, ENSP00000403402, ENSP00000400861, ENSP00000364678, ENSP00000399344, ENSP00000372863, ENSP00000400838, ENSP00000364680, ENSP00000411035, ENSP00000401424, ENSP00000413358, ENSP00000392305, ENSP00000372864, ENSP00000406110, ENSP00000416957, ENSP00000396119, ENSP00000364687, ENSP00000379078, ENSP00000398286, ENSP00000408583, ENSP00000414377, ENSP00000382886, ENSP00000397323, ENSP00000408266, ENSP00000412353, ENSP00000416771, ENSP00000392520, ENSP00000401785, ENSP00000392729, ENSP00000401428
OG0000400	FBpp0074378, FBpp0072097	ENSP00000409326, ENSP00000298159, ENSP00000452451, ENSP00000452188, ENSP00000340635, ENSP00000434355, ENSP00000246069, ENSP00000476975, ENSP00000432153, ENSP00000433308, ENSP00000436899, ENSP00000432226, ENSP00000433910, ENSP00000432155, ENSP00000433131, ENSP00000431696, ENSP00000436431, ENSP00000309629, ENSP00000432660
OG0000402	FBpp0087658, FBpp0291667, FBpp0087656, FBpp0087655, FBpp0087657, FBpp0291668, FBpp0087651, FBpp0291669, FBpp0297644, FBpp0087652, FBpp0310445, FBpp0087653, FBpp0087659, FBpp0087654	ENSP00000262971, ENSP00000358304, ENSP00000376765, ENSP00000376766, ENSP00000438574, ENSP00000249636, ENSP00000479025, ENSP00000317163, ENSP00000443238, ENSP00000465676
OG0000403	FBpp0078137, FBpp0307363, FBpp0077637, FBpp0297899, FBpp0297900, FBpp0076829, FBpp0076830, FBpp0071393	ENSP00000399494, ENSP00000359799, ENSP00000254322, ENSP00000404079, ENSP00000413684, ENSP00000441999, ENSP00000312517, ENSP00000344431
OG0000404	FBpp0088507, FBpp0290692, FBpp0290693, FBpp0303079, FBpp0297444, FBpp0297443	ENSP00000446914, ENSP00000494744, ENSP00000496105, ENSP00000262052, ENSP00000493633, ENSP00000444542, ENSP00000449200, ENSP00000378364, ENSP00000442810, ENSP00000449008, ENSP00000494107, ENSP00000262051, ENSP00000446769, ENSP00000233202
OG0000405	FBpp0311276, FBpp0076859, FBpp0076860	ENSP00000430491
OG0000406	FBpp0075044	ENSP00000396266, ENSP00000359297, ENSP00000391854, ENSP00000435999, ENSP00000388292, ENSP00000358424, ENSP00000445122, ENSP00000358421, ENSP00000432268, ENSP00000297679
OG0000407	FBpp0076849	ENSP00000491283, ENSP00000492275, ENSP00000492146, ENSP00000492278, ENSP00000394559, ENSP00000492830, ENSP00000492669, ENSP00000491432, ENSP00000458154, ENSP00000492736, ENSP00000491253, ENSP00000491785, ENSP00000491266, ENSP00000491399, ENSP00000225567, ENSP00000492206, ENSP00000461784, ENSP00000461460, ENSP00000491100, ENSP00000491135, ENSP00000492544, ENSP00000461673, ENSP00000491979, ENSP00000491946, ENSP00000492524, ENSP00000492751, ENSP00000491961, ENSP00000492548, ENSP00000491361, ENSP00000492139, ENSP00000492565, ENSP00000491859, ENSP00000492607
OG0000408	FBpp0311457, FBpp0078854	ENSP00000345752, ENSP00000343737, ENSP00000376915, ENSP00000386882, ENSP00000396020, ENSP00000434105, ENSP00000434514, ENSP00000414178, ENSP00000359417, ENSP00000359423
OG0000408	FBpp0111853, FBpp0071937, FBpp0071938	ENSP00000180173, ENSP00000429733, ENSP00000363985, ENSP00000371221
OG0000409	FBpp0088092, FBpp0311524	ENSP00000431894, ENSP00000411558, ENSP00000437087, ENSP00000350267, ENSP00000413022, ENSP00000436504, ENSP00000345419, ENSP00000434501, ENSP00000416842, ENSP00000398863, ENSP00000373340, ENSP00000410210, ENSP00000402485, ENSP00000410042, ENSP00000385858, ENSP00000388027, ENSP00000216267, ENSP00000384076
OG0000410	FBpp0079573	ENSP00000466249, ENSP00000349575, ENSP00000262244, ENSP00000361008, ENSP00000315113, ENSP00000271139
OG0000410	FBpp0311400, FBpp0083624, FBpp0307973	ENSP00000427216, ENSP00000379366, ENSP00000310189, ENSP00000379364
OG0000411	FBpp0304343, FBpp0100039, FBpp0079772, FBpp0293784, FBpp0079771, FBpp0304344, FBpp0079773	ENSP00000430373, ENSP00000389551, ENSP00000430908, ENSP00000428029, ENSP00000429006, ENSP00000428519, ENSP00000428977, ENSP00000428845, ENSP00000022615, ENSP00000298468, ENSP00000443092, ENSP00000361686, ENSP00000361635, ENSP00000344876, ENSP00000401492, ENSP00000378484, ENSP00000378487, ENSP00000265333, ENSP00000390129
OG0000412	FBpp0079801	ENSP00000416505, ENSP00000398462, ENSP00000372789, ENSP00000408703, ENSP00000447926, ENSP00000448392, ENSP00000448877, ENSP00000447973, ENSP00000447950, ENSP00000433696, ENSP00000412827, ENSP00000411007, ENSP00000382748, ENSP00000389930, ENSP00000382750, ENSP00000382749, ENSP00000411625, ENSP00000399879, ENSP00000392885, ENSP00000406566, ENSP00000406496, ENSP00000395242, ENSP00000403820, ENSP00000388341, ENSP00000406219, ENSP00000320528, ENSP00000364285, ENSP00000378894, ENSP00000364279, ENSP00000354608
OG0000413	FBpp0084420	ENSP00000367131, ENSP00000437458, ENSP00000262545
OG0000413	FBpp0290515	ENSP00000365958
OG0000413	FBpp0089030, FBpp0089028, FBpp0089027, FBpp0089025, FBpp0302738, FBpp0307777, FBpp0089026, FBpp0307776, FBpp0307775	ENSP00000465102, ENSP00000466742, ENSP00000300954, ENSP00000483552, ENSP00000484952, ENSP00000268171
OG0000419	FBpp0077910, FBpp0077911, FBpp0077912	ENSP00000455355, ENSP00000380511, ENSP00000380514, ENSP00000455970, ENSP00000455422, ENSP00000374353, ENSP00000456390, ENSP00000341952, ENSP00000456978
OG0000421	FBpp0099768, FBpp0075457, FBpp0075458	ENSP00000462547, ENSP00000341983, ENSP00000462248, ENSP00000414933, ENSP00000317636, ENSP00000394820, ENSP00000463701, ENSP00000463099
OG0000421	FBpp0081910	ENSP00000395449, ENSP00000416739
OG0000422	FBpp0087320, FBpp0087319, FBpp0309163, FBpp0080578, FBpp0071954	ENSP00000355325, ENSP00000392693, ENSP00000408825, ENSP00000412618, ENSP00000364015, ENSP00000407539, ENSP00000414731, ENSP00000397057, ENSP00000372725, ENSP00000364016, ENSP00000404585, ENSP00000394155, ENSP00000402406, ENSP00000406797, ENSP00000414770, ENSP00000378748, ENSP00000404615, ENSP00000406913, ENSP00000410205, ENSP00000382538, ENSP00000394090, ENSP00000401868, ENSP00000396430, ENSP00000406878, ENSP00000372723
OG0000423	FBpp0311089, FBpp0289500, FBpp0075790, FBpp0075792, FBpp0075791	ENSP00000355279, ENSP00000429093, ENSP00000430215, ENSP00000428090, ENSP00000429108, ENSP00000428576, ENSP00000428550, ENSP00000430160, ENSP00000428147, ENSP00000384747, ENSP00000429394, ENSP00000430833, ENSP00000430493, ENSP00000285896, ENSP00000428305, ENSP00000428565, ENSP00000431034, ENSP00000429576, ENSP00000429882, ENSP00000428359
OG0000424	FBpp0085915, FBpp0085917, FBpp0085919	ENSP00000463233, ENSP00000308012, ENSP00000361949, ENSP00000361948, ENSP00000361947, ENSP00000361953, ENSP00000281589, ENSP00000429594, ENSP00000429395, ENSP00000313007, ENSP00000478108, ENSP00000217074, ENSP00000445661, ENSP00000217073, ENSP00000255136
OG0000425	FBpp0081768, FBpp0271855, FBpp0081769, FBpp0081771, FBpp0081772, FBpp0271853, FBpp0271854, FBpp0297596	ENSP00000441650, ENSP00000494941, ENSP00000312274, ENSP00000481483, ENSP00000437623, ENSP00000440722, ENSP00000404903, ENSP00000496162, ENSP00000442620, ENSP00000445843, ENSP00000496008, ENSP00000494265, ENSP00000347324
OG0000426	FBpp0085427, FBpp0085428	ENSP00000342778
