Orthogroup	arabidopsis	human
OG0000405	AT1G48570.1, AT1G55040.1, AT5G17790.1	ENSP00000430741
OG0000405	AT1G53460.1	ENSP00000421351
OG0000406	AT2G43420.1, AT2G26260.1, AT1G47290.2	ENSP00000396266, ENSP00000359297, ENSP00000391854, ENSP00000435999, ENSP00000388292, ENSP00000358424, ENSP00000445122, ENSP00000358421, ENSP00000432268, ENSP00000297679
OG0000407	AT2G36900.1, AT5G50440.1	ENSP00000491283, ENSP00000492275, ENSP00000492146, ENSP00000492278, ENSP00000394559, ENSP00000492830, ENSP00000492669, ENSP00000491432, ENSP00000458154, ENSP00000492736, ENSP00000491253, ENSP00000491785, ENSP00000491266, ENSP00000491399, ENSP00000225567, ENSP00000492206, ENSP00000461784, ENSP00000461460, ENSP00000491100, ENSP00000491135, ENSP00000492544, ENSP00000461673, ENSP00000491979, ENSP00000491946, ENSP00000492524, ENSP00000492751, ENSP00000491961, ENSP00000492548, ENSP00000491361, ENSP00000492139, ENSP00000492565, ENSP00000491859, ENSP00000492607
OG0000408	AT3G10550.1, AT5G04540.1	ENSP00000345752, ENSP00000343737, ENSP00000376915, ENSP00000386882, ENSP00000396020, ENSP00000434105, ENSP00000434514, ENSP00000414178, ENSP00000359417, ENSP00000359423, ENSP00000180173, ENSP00000429733, ENSP00000363985, ENSP00000371221
OG0000409	AT3G14740.2	ENSP00000431894, ENSP00000411558, ENSP00000437087, ENSP00000350267, ENSP00000413022, ENSP00000436504, ENSP00000345419, ENSP00000434501, ENSP00000416842, ENSP00000398863, ENSP00000373340, ENSP00000410210, ENSP00000402485, ENSP00000410042, ENSP00000385858, ENSP00000388027, ENSP00000216267, ENSP00000384076
OG0000410	AT5G20430.1, AT5G20440.1	ENSP00000328694, ENSP00000479647
OG0000410	AT4G19045.1, AT5G45550.1	ENSP00000466249, ENSP00000349575, ENSP00000262244, ENSP00000361008, ENSP00000315113, ENSP00000271139, ENSP00000427216, ENSP00000379366, ENSP00000310189, ENSP00000379364
OG0000419	AT3G10850.1	ENSP00000455355, ENSP00000380511, ENSP00000380514, ENSP00000455970, ENSP00000455422, ENSP00000374353, ENSP00000456390, ENSP00000341952, ENSP00000456978
OG0000419	AT2G31350.1, AT1G06130.1, AT2G43430.1	ENSP00000258362, ENSP00000414400, ENSP00000273077
OG0000421	AT4G35740.1	ENSP00000462547, ENSP00000341983, ENSP00000462248, ENSP00000414933, ENSP00000317636, ENSP00000394820, ENSP00000463701, ENSP00000463099
OG0000421	AT3G05740.1, AT1G10930.1, AT1G31360.3	ENSP00000395449, ENSP00000416739
OG0000422	AT3G26340.1, AT1G13060.2	ENSP00000355325, ENSP00000392693, ENSP00000408825, ENSP00000412618, ENSP00000364015, ENSP00000407539, ENSP00000414731, ENSP00000397057, ENSP00000372725, ENSP00000364016, ENSP00000404585, ENSP00000394155, ENSP00000402406, ENSP00000406797, ENSP00000414770, ENSP00000378748, ENSP00000404615, ENSP00000406913, ENSP00000410205, ENSP00000382538, ENSP00000394090, ENSP00000401868, ENSP00000396430, ENSP00000406878, ENSP00000372723
OG0000423	AT5G10960.1, AT1G80780.3, AT2G32070.1, AT1G15920.1, AT5G22250.1, AT3G44260.1	ENSP00000355279, ENSP00000429093, ENSP00000430215, ENSP00000428090, ENSP00000429108, ENSP00000428576, ENSP00000428550, ENSP00000430160, ENSP00000428147, ENSP00000384747, ENSP00000429394, ENSP00000430833, ENSP00000430493, ENSP00000285896, ENSP00000428305, ENSP00000428565, ENSP00000431034, ENSP00000429576, ENSP00000429882, ENSP00000428359
OG0000424	AT1G49760.1, AT2G15500.1, AT4G34110.1, AT2G23350.1, AT1G22760.1, AT1G71770.1, AT2G36660.1	ENSP00000463233, ENSP00000308012, ENSP00000361949, ENSP00000361948, ENSP00000361947, ENSP00000361953, ENSP00000281589, ENSP00000429594, ENSP00000429395, ENSP00000313007, ENSP00000478108, ENSP00000217074, ENSP00000445661, ENSP00000217073, ENSP00000255136
OG0000425	AT1G53670.1	ENSP00000365693
OG0000425	AT4G04800.1, AT4G21860.1, AT4G04810.1, AT4G04830.1, AT4G21850.1, AT4G21830.1, AT4G21840.1, AT4G04840.1	ENSP00000441650, ENSP00000494941, ENSP00000312274, ENSP00000481483, ENSP00000437623, ENSP00000440722, ENSP00000404903, ENSP00000496162, ENSP00000442620, ENSP00000445843, ENSP00000496008, ENSP00000494265, ENSP00000347324
OG0000426	AT4G31860.1, AT2G25070.1	ENSP00000342778, ENSP00000378514, ENSP00000327255, ENSP00000314850, ENSP00000390087, ENSP00000387287, ENSP00000497083, ENSP00000386982, ENSP00000326089, ENSP00000282412, ENSP00000367813
OG0000427	AT4G26530.1, AT4G26520.1, AT3G52930.1, AT2G36460.1, AT5G03690.1	ENSP00000497731, ENSP00000497767, ENSP00000497990, ENSP00000363988, ENSP00000226253, ENSP00000378731, ENSP00000494188, ENSP00000455917, ENSP00000485952, ENSP00000378661, ENSP00000455700, ENSP00000455800, ENSP00000400452, ENSP00000496166, ENSP00000457468
OG0000428	AT4G29720.1	ENSP00000278060, ENSP00000349847
OG0000429	AT4G38260.1	ENSP00000411602, ENSP00000402926, ENSP00000332721, ENSP00000384827, ENSP00000403645, ENSP00000391262, ENSP00000382706, ENSP00000389797, ENSP00000381122, ENSP00000385662, ENSP00000415450, ENSP00000395816, ENSP00000403432, ENSP00000396182, ENSP00000402966, ENSP00000413850
OG0000430	AT5G12200.1	ENSP00000339850, ENSP00000357616, ENSP00000425742, ENSP00000380987, ENSP00000321606, ENSP00000343690, ENSP00000430267, ENSP00000381526, ENSP00000427985, ENSP00000431117, ENSP00000309539, ENSP00000276651, ENSP00000430246, ENSP00000385549, ENSP00000481305, ENSP00000288699
OG0000431	AT5G35980.1	ENSP00000381929, ENSP00000494897, ENSP00000494536, ENSP00000494544, ENSP00000495571, ENSP00000496748, ENSP00000494572, ENSP00000493627, ENSP00000495908, ENSP00000340373, ENSP00000381932, ENSP00000495632, ENSP00000342690, ENSP00000495596, ENSP00000493653, ENSP00000487539, ENSP00000403182, ENSP00000486839, ENSP00000487313, ENSP00000472941, ENSP00000221803, ENSP00000486377, ENSP00000469863, ENSP00000485915, ENSP00000312789
OG0000432	AT5G66130.1	ENSP00000423060, ENSP00000426191, ENSP00000480786, ENSP00000482371, ENSP00000479160, ENSP00000478167, ENSP00000484854, ENSP00000477996, ENSP00000346938, ENSP00000303134, ENSP00000482775, ENSP00000311227, ENSP00000355226, ENSP00000346271, ENSP00000427743, ENSP00000350725, ENSP00000481388, ENSP00000480230, ENSP00000425005, ENSP00000482765, ENSP00000282891, ENSP00000483115, ENSP00000477962, ENSP00000484227, ENSP00000370151, ENSP00000483809, ENSP00000424696, ENSP00000481820, ENSP00000424289, ENSP00000427673, ENSP00000480453, ENSP00000478321
OG0000445	AT1G02740.1, AT4G37280.1	ENSP00000454191, ENSP00000453351, ENSP00000453738, ENSP00000453432, ENSP00000453625, ENSP00000494546, ENSP00000492191, ENSP00000453231, ENSP00000408880, ENSP00000453972, ENSP00000331310, ENSP00000368850, ENSP00000452717, ENSP00000452808, ENSP00000416120, ENSP00000410532, ENSP00000394417, ENSP00000415476, ENSP00000353643, ENSP00000391969, ENSP00000454030
OG0000446	AT5G50490.1, AT5G27910.1, AT5G50470.1, AT5G50480.1, AT5G38140.1, AT1G08970.1, AT1G54830.1, AT1G56170.1, AT3G48590.1, AT5G63470.1	ENSP00000397647, ENSP00000436710, ENSP00000409219, ENSP00000361754, ENSP00000434404, ENSP00000433820, ENSP00000408315, ENSP00000416403, ENSP00000408867, ENSP00000361737, ENSP00000414299, ENSP00000404427, ENSP00000361738, ENSP00000361734, ENSP00000396620, ENSP00000312617, ENSP00000361736, ENSP00000433413
OG0000448	AT1G12390.1, AT1G12340.1, AT1G62880.1, AT4G12090.1, AT3G12180.1	ENSP00000355823, ENSP00000355822, ENSP00000355821, ENSP00000420443, ENSP00000452466, ENSP00000433896, ENSP00000435537, ENSP00000451640, ENSP00000432177, ENSP00000310003, ENSP00000272133, ENSP00000378940, ENSP00000452457, ENSP00000451852, ENSP00000216416, ENSP00000451142
OG0000449	AT1G54080.2, AT1G17370.1, AT3G14100.1	ENSP00000403573, ENSP00000431009, ENSP00000358082, ENSP00000430969, ENSP00000354838, ENSP00000413751, ENSP00000399567, ENSP00000358089, ENSP00000394902, ENSP00000401371, ENSP00000282574, ENSP00000404023
OG0000450	AT4G39120.2, AT1G31190.1, AT3G02870.1	ENSP00000269159, ENSP00000408526, ENSP00000429735, ENSP00000430283, ENSP00000429322, ENSP00000430081, ENSP00000311803, ENSP00000429516, ENSP00000428425, ENSP00000428812, ENSP00000428594, ENSP00000256108
OG0000453	AT1G54390.2	ENSP00000437198
OG0000453	AT3G24010.1	ENSP00000328436, ENSP00000345202, ENSP00000364929, ENSP00000364930, ENSP00000410291, ENSP00000307183, ENSP00000473635, ENSP00000322142, ENSP00000385937, ENSP00000416878, ENSP00000490767, ENSP00000397343, ENSP00000412705, ENSP00000415903, ENSP00000380024, ENSP00000343396
OG0000454	AT5G02250.1	ENSP00000392754, ENSP00000401700, ENSP00000408764
OG0000454	AT2G17510.2	ENSP00000436350, ENSP00000440058, ENSP00000367011, ENSP00000366997
OG0000454	AT1G77680.1	ENSP00000415419, ENSP00000315569, ENSP00000374655, ENSP00000273009, ENSP00000386799
OG0000455	AT2G04030.1, AT3G07770.1, AT4G24190.1	ENSP00000299767
OG0000455	AT5G56010.1, AT5G56030.2, AT5G56000.1, AT5G52640.1	ENSP00000335153, ENSP00000216281, ENSP00000481908, ENSP00000360609, ENSP00000325875, ENSP00000360709
OG0000457	AT5G46750.1, AT4G17890.1, AT2G35210.1	ENSP00000407734, ENSP00000432978, ENSP00000433108, ENSP00000486229, ENSP00000433210, ENSP00000437070, ENSP00000437305, ENSP00000434433, ENSP00000486339, ENSP00000434022, ENSP00000400226, ENSP00000434442, ENSP00000403520, ENSP00000263245, ENSP00000403995, ENSP00000388791, ENSP00000435488, ENSP00000437194, ENSP00000431939, ENSP00000431684, ENSP00000434809, ENSP00000434487
OG0000458	AT5G62500.1, AT3G47690.1, AT5G67270.1	ENSP00000364721, ENSP00000466871, ENSP00000468904, ENSP00000468588, ENSP00000300249, ENSP00000407723, ENSP00000396074, ENSP00000464921, ENSP00000446343, ENSP00000465939, ENSP00000468216, ENSP00000391705, ENSP00000383915, ENSP00000497057, ENSP00000385715, ENSP00000233121
OG0000459	AT5G42740.1	ENSP00000467590, ENSP00000488174, ENSP00000488465, ENSP00000466851, ENSP00000487801, ENSP00000495129, ENSP00000488493, ENSP00000487666, ENSP00000488850, ENSP00000488295, ENSP00000465858, ENSP00000405573, ENSP00000467670, ENSP00000493517, ENSP00000348877
OG0000460	AT5G08230.1, AT5G23150.1	ENSP00000482480, ENSP00000465267, ENSP00000477592, ENSP00000455388, ENSP00000299633, ENSP00000370109, ENSP00000370114, ENSP00000370092, ENSP00000380653, ENSP00000370091, ENSP00000471276, ENSP00000483702, ENSP00000468175, ENSP00000467513, ENSP00000483345, ENSP00000442129, ENSP00000357189, ENSP00000357192, ENSP00000443120, ENSP00000349878, ENSP00000480754
OG0000461	AT5G41210.1, AT5G41220.1, AT5G41240.1	ENSP00000486937, ENSP00000485976, ENSP00000485765, ENSP00000479871, ENSP00000485987, ENSP00000486973, ENSP00000486820, ENSP00000485775, ENSP00000486732, ENSP00000478389, ENSP00000290765, ENSP00000385765, ENSP00000385116, ENSP00000488993, ENSP00000481555, ENSP00000477540, ENSP00000481741, ENSP00000492273, ENSP00000491805, ENSP00000492227
OG0000477	AT5G46210.1	ENSP00000384109, ENSP00000360373, ENSP00000338919, ENSP00000364590, ENSP00000389118, ENSP00000322132, ENSP00000481782, ENSP00000364589
OG0000477	AT1G69670.1, AT1G26830.1	ENSP00000264414, ENSP00000400935, ENSP00000387200, ENSP00000386525, ENSP00000477851, ENSP00000343601
OG0000478	AT1G79950.1	ENSP00000457428, ENSP00000349265, ENSP00000457868, ENSP00000424307, ENSP00000425576, ENSP00000388063, ENSP00000322287, ENSP00000353332, ENSP00000359035
OG0000478	AT1G03190.1	ENSP00000464887, ENSP00000431229, ENSP00000375809, ENSP00000375805, ENSP00000465593, ENSP00000375808
OG0000479	AT2G38840.1	ENSP00000454978, ENSP00000415087
OG0000479	AT1G03830.2, AT5G46070.1	ENSP00000359490, ENSP00000496924, ENSP00000294671, ENSP00000359485, ENSP00000455317, ENSP00000437168, ENSP00000235878, ENSP00000359504, ENSP00000359512, ENSP00000359488, ENSP00000403010, ENSP00000434282, ENSP00000359497
OG0000481	AT3G61160.2, AT4G00720.1, AT1G09840.10, AT1G57870.3, AT2G30980.1, AT1G06390.1, AT4G18710.1, AT5G14640.1, AT5G26751.1, AT3G05840.1	ENSP00000381301, ENSP00000222330, ENSP00000412663, ENSP00000497956, ENSP00000324806, ENSP00000264235
OG0000482	AT1G11660.1, AT1G79920.1, AT1G79930.1	ENSP00000318687, ENSP00000396090, ENSP00000408991, ENSP00000487365, ENSP00000369768, ENSP00000427305, ENSP00000422482, ENSP00000425645, ENSP00000296464, ENSP00000478102, ENSP00000481686, ENSP00000302961
OG0000483	AT1G25540.1	ENSP00000469838, ENSP00000326767, ENSP00000470027, ENSP00000479851, ENSP00000482155, ENSP00000478074, ENSP00000482659, ENSP00000480731, ENSP00000484882, ENSP00000437496, ENSP00000471458, ENSP00000469541, ENSP00000469128, ENSP00000375717, ENSP00000472816, ENSP00000470007, ENSP00000469839, ENSP00000470439
OG0000484	AT1G29940.1	ENSP00000437914, ENSP00000394408, ENSP00000405358, ENSP00000444136, ENSP00000387143, ENSP00000263331
OG0000484	AT5G45140.1	ENSP00000445721, ENSP00000448398, ENSP00000228347
OG0000484	AT4G21710.1	ENSP00000491706, ENSP00000391096, ENSP00000391452, ENSP00000370625, ENSP00000312735
OG0000485	AT3G57650.1, AT1G51260.1	ENSP00000412079, ENSP00000414440, ENSP00000413906, ENSP00000443510, ENSP00000381135, ENSP00000381138, ENSP00000381140, ENSP00000332989, ENSP00000291572, ENSP00000355872, ENSP00000413901, ENSP00000314036, ENSP00000400211
OG0000486	AT1G74320.1, AT1G71697.1, AT4G09760.1, AT2G26830.1	ENSP00000457031, ENSP00000265689, ENSP00000348454, ENSP00000439614, ENSP00000410580, ENSP00000356165, ENSP00000398091, ENSP00000405497, ENSP00000406241, ENSP00000356169, ENSP00000356170, ENSP00000266517, ENSP00000334041, ENSP00000446292
OG0000487	AT2G47600.1	ENSP00000472208, ENSP00000472233, ENSP00000384908, ENSP00000385678, ENSP00000332931, ENSP00000384763, ENSP00000236877, ENSP00000377863, ENSP00000216568, ENSP00000437536, ENSP00000370669, ENSP00000349392, ENSP00000433531, ENSP00000350560, ENSP00000436332, ENSP00000436688
OG0000488	AT5G17770.1	ENSP00000299498, ENSP00000437041, ENSP00000432482, ENSP00000392777, ENSP00000433856, ENSP00000434969, ENSP00000435916, ENSP00000385679, ENSP00000384457, ENSP00000384834, ENSP00000354468, ENSP00000338461, ENSP00000403439, ENSP00000396382, ENSP00000356218
OG0000505	AT1G01160.2, AT4G00850.1, AT5G28640.1	ENSP00000398634, ENSP00000463586, ENSP00000462766, ENSP00000463943, ENSP00000463933, ENSP00000414516, ENSP00000438066, ENSP00000269137, ENSP00000464609, ENSP00000463802, ENSP00000464673, ENSP00000462363, ENSP00000462104, ENSP00000462838, ENSP00000464664, ENSP00000464556, ENSP00000464049, ENSP00000463928, ENSP00000269138, ENSP00000401115, ENSP00000011691
OG0000507	AT1G09810.1, AT1G79270.1, AT3G17330.1, AT1G48110.1, AT1G55500.5, AT3G13460.1, AT5G61020.1, AT3G03950.3, AT3G13060.2, AT1G27960.1, AT5G58190.2	ENSP00000478398, ENSP00000480086, ENSP00000481497, ENSP00000478825, ENSP00000485046, ENSP00000481476, ENSP00000478490, ENSP00000483580, ENSP00000473496, ENSP00000439394, ENSP00000444660, ENSP00000362918, ENSP00000359364
OG0000508	AT1G60780.1, AT1G10730.1	ENSP00000465685, ENSP00000250244, ENSP00000465193, ENSP00000467498, ENSP00000465224, ENSP00000291439, ENSP00000388996, ENSP00000411498
OG0000508	AT5G46630.2	ENSP00000481563, ENSP00000292807, ENSP00000395438, ENSP00000402051, ENSP00000404031, ENSP00000404326, ENSP00000402592, ENSP00000403362, ENSP00000371894, ENSP00000409081
OG0000510	AT1G17720.1	ENSP00000377935, ENSP00000377936, ENSP00000377933, ENSP00000377931, ENSP00000431320, ENSP00000398779, ENSP00000336591, ENSP00000421396, ENSP00000425247, ENSP00000423649, ENSP00000335083, ENSP00000422374, ENSP00000372042, ENSP00000325074, ENSP00000370113, ENSP00000399970
OG0000511	AT1G74990.1, AT1G19310.1, AT2G23780.1, AT2G44410.1, AT2G42030.1, AT3G58030.1, AT4G28270.1, AT4G03510.1, AT4G27470.1	ENSP00000320508, ENSP00000427755, ENSP00000266252, ENSP00000410916, ENSP00000434880, ENSP00000415127, ENSP00000388795, ENSP00000415784, ENSP00000364235, ENSP00000413131, ENSP00000387879, ENSP00000401172
OG0000512	AT1G44820.1, AT1G44180.1, AT4G38220.2	ENSP00000418683, ENSP00000490434, ENSP00000490353, ENSP00000419830, ENSP00000417618, ENSP00000417056, ENSP00000490007, ENSP00000420487, ENSP00000490744, ENSP00000490149, ENSP00000384296, ENSP00000419262, ENSP00000489688, ENSP00000490497
OG0000513	AT1G79610.1, AT1G54370.1	ENSP00000320246, ENSP00000480916, ENSP00000330320, ENSP00000490527, ENSP00000490648, ENSP00000490731, ENSP00000359735, ENSP00000490406, ENSP00000487486, ENSP00000490330, ENSP00000359729, ENSP00000359732, ENSP00000416418, ENSP00000354966
OG0000514	AT1G55880.1, AT3G22460.1, AT4G14880.1, AT3G61440.1, AT2G43750.1, AT3G59760.1, AT5G28020.1, AT5G28030.1, AT3G04940.1, AT3G03630.1	ENSP00000381225, ENSP00000479559, ENSP00000481719, ENSP00000485669, ENSP00000352643, ENSP00000381231, ENSP00000381234, ENSP00000344460, ENSP00000485527
OG0000515	AT1G60000.1, AT3G52150.1, AT3G52380.1, AT3G53460.4, AT2G37220.1, AT4G24770.1, AT5G50250.1	ENSP00000447782, ENSP00000448917, ENSP00000493805, ENSP00000350090, ENSP00000447260, ENSP00000448617, ENSP00000449913, ENSP00000341826, ENSP00000333504, ENSP00000346694, ENSP00000354021, ENSP00000478691
OG0000516	AT1G70400.3, AT1G60170.1	ENSP00000375635, ENSP00000479035, ENSP00000480434, ENSP00000480726, ENSP00000482626, ENSP00000483929, ENSP00000480725, ENSP00000324122, ENSP00000485017, ENSP00000484896, ENSP00000481201, ENSP00000481654, ENSP00000478804, ENSP00000480636, ENSP00000405166, ENSP00000483382, ENSP00000484151, ENSP00000481708, ENSP00000477787, ENSP00000484834, ENSP00000479700, ENSP00000483982, ENSP00000395894, ENSP00000483828, ENSP00000395089, ENSP00000478554, ENSP00000478043, ENSP00000408980
OG0000517	AT2G32000.1	ENSP00000381773, ENSP00000349705, ENSP00000416451, ENSP00000408282
OG0000517	AT5G63920.1	ENSP00000442336, ENSP00000491689, ENSP00000492229, ENSP00000321636, ENSP00000462790, ENSP00000491260, ENSP00000491577, ENSP00000466641
OG0000518	AT3G56440.1, AT2G40810.1, AT5G05150.1, AT3G62770.1, AT2G47720.1	ENSP00000489128, ENSP00000418919, ENSP00000417211, ENSP00000488972, ENSP00000365551, ENSP00000365543, ENSP00000489268, ENSP00000365546, ENSP00000348848, ENSP00000419897, ENSP00000356345, ENSP00000461355, ENSP00000458738, ENSP00000461488, ENSP00000460297, ENSP00000376139
OG0000519	AT3G01310.1, AT5G15070.2	ENSP00000422525, ENSP00000371309, ENSP00000371303, ENSP00000400887, ENSP00000380129, ENSP00000334779, ENSP00000353446, ENSP00000353253, ENSP00000308773.10, ENSP00000486357, ENSP00000482907, ENSP00000351126, ENSP00000313070, ENSP00000416016
OG0000520	AT3G01380.2	ENSP00000491111, ENSP00000492804, ENSP00000465506, ENSP00000466035, ENSP00000491318, ENSP00000491963, ENSP00000350263, ENSP00000491628, ENSP00000492592, ENSP00000491415, ENSP00000491459, ENSP00000492474, ENSP00000491850, ENSP00000491022, ENSP00000491010, ENSP00000490970, ENSP00000491475, ENSP00000492051, ENSP00000383188, ENSP00000491811, ENSP00000491549, ENSP00000491525, ENSP00000492233, ENSP00000490965, ENSP00000491620, ENSP00000492783, ENSP00000491013, ENSP00000465241
OG0000521	AT3G08650.2	ENSP00000487926, ENSP00000463083, ENSP00000495494, ENSP00000464302, ENSP00000494259, ENSP00000496463, ENSP00000463467, ENSP00000488364, ENSP00000488593, ENSP00000488068, ENSP00000488858, ENSP00000488656, ENSP00000462332, ENSP00000495634, ENSP00000488585, ENSP00000463822, ENSP00000494786, ENSP00000488612, ENSP00000445829, ENSP00000496413, ENSP00000494287, ENSP00000255559, ENSP00000496640, ENSP00000464525, ENSP00000494754, ENSP00000462200, ENSP00000463462, ENSP00000495149
OG0000522	AT4G35560.2, AT5G05570.1	ENSP00000464483, ENSP00000464451, ENSP00000419404, ENSP00000441479, ENSP00000420666, ENSP00000419627, ENSP00000420287, ENSP00000420019, ENSP00000273666, ENSP00000420167, ENSP00000356451, ENSP00000356450, ENSP00000321826, ENSP00000420642
OG0000523	AT4G35890.1, AT5G66100.1	ENSP00000423686
OG0000523	AT5G21160.3	ENSP00000431072, ENSP00000430438, ENSP00000429904, ENSP00000429710, ENSP00000427731, ENSP00000428589, ENSP00000336721, ENSP00000422850, ENSP00000424383, ENSP00000427281, ENSP00000497192, ENSP00000321997, ENSP00000377829, ENSP00000390395, ENSP00000497514, ENSP00000497312
OG0000524	AT5G67320.1	ENSP00000490514, ENSP00000413251, ENSP00000405574, ENSP00000486324, ENSP00000370348, ENSP00000394097, ENSP00000493782, ENSP00000385988, ENSP00000217964, ENSP00000495556, ENSP00000496215, ENSP00000495467, ENSP00000328879, ENSP00000372499, ENSP00000347289, ENSP00000398477, ENSP00000396120, ENSP00000397450, ENSP00000406297, ENSP00000486082, ENSP00000490246, ENSP00000392180, ENSP00000263964.10, ENSP00000495835, ENSP00000486866, ENSP00000486235
OG0000541	AT1G02305.1, AT1G02300.1, AT4G01610.1	ENSP00000432408, ENSP00000432077, ENSP00000433379, ENSP00000436122, ENSP00000434725, ENSP00000435074, ENSP00000433995, ENSP00000436159, ENSP00000436627, ENSP00000431518, ENSP00000496778, ENSP00000494728, ENSP00000436456, ENSP00000435650, ENSP00000436074, ENSP00000435886, ENSP00000431143, ENSP00000435260, ENSP00000433929, ENSP00000494729, ENSP00000493857, ENSP00000473301, ENSP00000433215, ENSP00000432244, ENSP00000342070, ENSP00000435105, ENSP00000409917, ENSP00000345672, ENSP00000434217
OG0000542	AT3G46830.1, AT5G59150.1, AT1G07410.1, AT1G09630.1, AT5G65270.1, AT4G39990.1, AT3G12160.1, AT5G47960.1, AT3G15060.1, AT5G60860.1, AT1G28550.1, AT2G33870.1, AT4G18430.1, AT5G45750.1, AT4G18800.1, AT1G06400.1, AT1G16920.1	ENSP00000456420, ENSP00000454381, ENSP00000471148, ENSP00000333547, ENSP00000261890, ENSP00000456638
OG0000543	AT4G00900.1, AT1G07670.1, AT1G07810.1, AT1G10130.1	ENSP00000353072, ENSP00000380229, ENSP00000312577, ENSP00000301387, ENSP00000380234, ENSP00000380236, ENSP00000443101, ENSP00000349595, ENSP00000378879, ENSP00000440045, ENSP00000449454, ENSP00000311186
OG0000544	AT1G07705.2, AT5G59710.1	ENSP00000447813, ENSP00000449446, ENSP00000449577, ENSP00000483096, ENSP00000450090, ENSP00000229195, ENSP00000448298, ENSP00000446507, ENSP00000448808, ENSP00000448883, ENSP00000447808, ENSP00000448024, ENSP00000449659, ENSP00000412091, ENSP00000449260, ENSP00000447497, ENSP00000448490, ENSP00000450077, ENSP00000450318, ENSP00000449801, ENSP00000449917
OG0000545	AT1G52760.1, AT5G14980.1, AT5G19290.1, AT1G11090.1, AT5G16120.4, AT1G77420.1, AT3G55180.1, AT2G39400.1, AT2G39420.1, AT2G39410.2, AT3G55190.1, AT2G47630.1, AT3G62860.1, AT1G18360.1, AT1G73480.1, AT5G11650.1	ENSP00000417489, ENSP00000497905, ENSP00000402798, ENSP00000381176, ENSP00000265052, ENSP00000404146, ENSP00000420125, ENSP00000417689, ENSP00000381173, ENSP00000417060, ENSP00000419340
OG0000546	AT3G07880.1, AT1G12070.1, AT1G62450.1	ENSP00000228945, ENSP00000440560, ENSP00000444860, ENSP00000445263, ENSP00000437454, ENSP00000445450, ENSP00000445185, ENSP00000219409, ENSP00000410541, ENSP00000464205, ENSP00000461956, ENSP00000462323, ENSP00000463530, ENSP00000462209, ENSP00000383556, ENSP00000462960, ENSP00000463939, ENSP00000269321, ENSP00000441348
OG0000548	AT1G26630.1, AT1G69410.1, AT1G13950.1	ENSP00000418305, ENSP00000418370, ENSP00000461688, ENSP00000460284, ENSP00000336702, ENSP00000336776, ENSP00000390677, ENSP00000459611, ENSP00000430706, ENSP00000458269, ENSP00000459196, ENSP00000396073, ENSP00000417133, ENSP00000295822
OG0000549	AT1G29990.1	ENSP00000363735, ENSP00000363734, ENSP00000382316, ENSP00000382314, ENSP00000402212, ENSP00000448607, ENSP00000412319, ENSP00000400152, ENSP00000378563, ENSP00000404773, ENSP00000398171, ENSP00000448784, ENSP00000447540, ENSP00000449925, ENSP00000403771, ENSP00000402553, ENSP00000372694, ENSP00000395462, ENSP00000415678, ENSP00000363738, ENSP00000419351, ENSP00000420135, ENSP00000420209, ENSP00000418433, ENSP00000419277
OG0000550	AT4G16800.1	ENSP00000351125, ENSP00000439264, ENSP00000441962, ENSP00000360577, ENSP00000364883, ENSP00000307334
OG0000550	AT4G16210.1	ENSP00000438535
OG0000551	ATMG01080.1, AT2G07671.1	ENSP00000387317, ENSP00000376324, ENSP00000284727, ENSP00000377878, ENSP00000448801, ENSP00000447317, ENSP00000473535, ENSP00000340315, ENSP00000422950, ENSP00000348205, ENSP00000458423, ENSP00000422086, ENSP00000377033, ENSP00000426094
OG0000552	AT2G18030.1	ENSP00000494822, ENSP00000428214, ENSP00000435644, ENSP00000495616, ENSP00000493962, ENSP00000427725, ENSP00000495285, ENSP00000429461, ENSP00000410912, ENSP00000495223, ENSP00000493848, ENSP00000313921, ENSP00000496174, ENSP00000436839, ENSP00000493922, ENSP00000371930
OG0000553	AT2G25970.1	ENSP00000402630, ENSP00000359803, ENSP00000294623, ENSP00000359804, ENSP00000381216, ENSP00000478033, ENSP00000471262, ENSP00000469431, ENSP00000469830, ENSP00000318177
OG0000554	AT5G38710.1, AT3G30775.1	ENSP00000396806, ENSP00000410805, ENSP00000334726, ENSP00000482462, ENSP00000480347, ENSP00000349577, ENSP00000481127
OG0000555	AT3G55410.1, AT5G65750.1	ENSP00000398482, ENSP00000388163, ENSP00000263035, ENSP00000363216, ENSP00000222673, ENSP00000388183, ENSP00000392878
OG0000556	AT4G09140.1	ENSP00000398392, ENSP00000416476, ENSP00000480669, ENSP00000443665, ENSP00000398272, ENSP00000444286, ENSP00000402667, ENSP00000402564, ENSP00000231790, ENSP00000416687
OG0000557	AT5G02530.1, AT5G59950.5	ENSP00000421592
OG0000558	AT5G04620.2	ENSP00000309259, ENSP00000418779, ENSP00000378416, ENSP00000417719, ENSP00000495662, ENSP00000337131, ENSP00000407204, ENSP00000496725, ENSP00000332369, ENSP00000495814, ENSP00000495713, ENSP00000497236, ENSP00000379501, ENSP00000388151, ENSP00000406719, ENSP00000402213, ENSP00000371110, ENSP00000248924
