Orthogroup	mouse	yeast
OG0000548	ENSMUSP00000123402, ENSMUSP00000067077, ENSMUSP00000068651, ENSMUSP00000104252, ENSMUSP00000104253, ENSMUSP00000104248, ENSMUSP00000104250, ENSMUSP00000104249, ENSMUSP00000104251, ENSMUSP00000104247, ENSMUSP00000047008, ENSMUSP00000132717, ENSMUSP00000050289	YEL034W_mRNA, YJR047C_mRNA
OG0000549	ENSMUSP00000134069, ENSMUSP00000025163, ENSMUSP00000137072, ENSMUSP00000133656, ENSMUSP00000156997	YLR200W_mRNA
OG0000551	ENSMUSP00000018914, ENSMUSP00000107627, ENSMUSP00000075057, ENSMUSP00000140414, ENSMUSP00000140323, ENSMUSP00000137633, ENSMUSP00000103314, ENSMUSP00000103312, ENSMUSP00000088029	Q0130_mRNA
OG0000554	ENSMUSP00000122889, ENSMUSP00000149538	YLR142W_mRNA
OG0000555	ENSMUSP00000026924, ENSMUSP00000092769, ENSMUSP00000154185, ENSMUSP00000022480, ENSMUSP00000003461, ENSMUSP00000099090, ENSMUSP00000080569, ENSMUSP00000091041	YIL125W_mRNA
OG0000556	ENSMUSP00000142563, ENSMUSP00000035079	YMR167W_mRNA
OG0000558	ENSMUSP00000073725, ENSMUSP00000151891, ENSMUSP00000122117, ENSMUSP00000108143, ENSMUSP00000117014, ENSMUSP00000066040, ENSMUSP00000108335	YDR232W_mRNA
OG0000559	ENSMUSP00000095166, ENSMUSP00000150138, ENSMUSP00000076575	YDL205C_mRNA
OG0000566	ENSMUSP00000150240, ENSMUSP00000155681, ENSMUSP00000046532, ENSMUSP00000117539, ENSMUSP00000004959, ENSMUSP00000102104, ENSMUSP00000021090, ENSMUSP00000102108, ENSMUSP00000102106	YPR154W_mRNA, YGR136W_mRNA
OG0000583	ENSMUSP00000025804, ENSMUSP00000020358, ENSMUSP00000127330	YFL038C_mRNA
OG0000583	ENSMUSP00000070588, ENSMUSP00000041857, ENSMUSP00000003121, ENSMUSP00000021001	YFL005W_mRNA
OG0000587	ENSMUSP00000134572, ENSMUSP00000077984, ENSMUSP00000110001	YPR141C_mRNA
OG0000591	ENSMUSP00000021790, ENSMUSP00000027064, ENSMUSP00000027065	YJR085C_mRNA
OG0000592	ENSMUSP00000110105, ENSMUSP00000002084, ENSMUSP00000068940	YPL147W_mRNA
OG0000592	ENSMUSP00000142387, ENSMUSP00000029770	YKL188C_mRNA
OG0000593	ENSMUSP00000030901, ENSMUSP00000112656, ENSMUSP00000068148, ENSMUSP00000152703, ENSMUSP00000152222, ENSMUSP00000152325, ENSMUSP00000152651	YLR277C_mRNA
OG0000593	ENSMUSP00000152447	YOR179C_mRNA
OG0000594	ENSMUSP00000139335, ENSMUSP00000030332, ENSMUSP00000101011, ENSMUSP00000138186, ENSMUSP00000094863	YKL026C_mRNA, YIR037W_mRNA, YBR244W_mRNA
OG0000595	ENSMUSP00000127254, ENSMUSP00000098724, ENSMUSP00000152821	YLR253W_mRNA
OG0000596	ENSMUSP00000001884, ENSMUSP00000148062, ENSMUSP00000102611, ENSMUSP00000121861	YLL026W_mRNA, YDR258C_mRNA
OG0000597	ENSMUSP00000012262, ENSMUSP00000116098, ENSMUSP00000101511, ENSMUSP00000101509, ENSMUSP00000101510, ENSMUSP00000101512	YMR101C_mRNA, YBR002C_mRNA
OG0000598	ENSMUSP00000052373, ENSMUSP00000005826	YNR001C_mRNA, YCR005C_mRNA
OG0000599	ENSMUSP00000123247, ENSMUSP00000125018, ENSMUSP00000123958, ENSMUSP00000125259, ENSMUSP00000097903, ENSMUSP00000109989, ENSMUSP00000154261	YPR048W_mRNA
OG0000599	ENSMUSP00000112924, ENSMUSP00000005651	YFR030W_mRNA, YHR042W_mRNA
OG0000600	ENSMUSP00000128770, ENSMUSP00000034834, ENSMUSP00000103106, ENSMUSP00000035417	YAL038W_mRNA, YOR347C_mRNA
OG0000601	ENSMUSP00000019911, ENSMUSP00000099657, ENSMUSP00000101149	YNL330C_mRNA
OG0000601	ENSMUSP00000085226	YGL194C_mRNA
OG0000602	ENSMUSP00000117925, ENSMUSP00000032165	YDR190C_mRNA
OG0000602	ENSMUSP00000103400, ENSMUSP00000147502	YPL235W_mRNA
OG0000603	ENSMUSP00000104163, ENSMUSP00000127568, ENSMUSP00000117052, ENSMUSP00000136261, ENSMUSP00000009236, ENSMUSP00000151623, ENSMUSP00000022993	YBR201W_mRNA, YDR411C_mRNA
OG0000604	ENSMUSP00000134332, ENSMUSP00000134583, ENSMUSP00000047018, ENSMUSP00000133587, ENSMUSP00000137234, ENSMUSP00000133376, ENSMUSP00000133448, ENSMUSP00000134164, ENSMUSP00000134653	YGL246C_mRNA
OG0000605	ENSMUSP00000143600	YLR099C_mRNA, YDR125C_mRNA
OG0000605	ENSMUSP00000142607, ENSMUSP00000122939, ENSMUSP00000122274, ENSMUSP00000107123, ENSMUSP00000142423, ENSMUSP00000142722, ENSMUSP00000044134, ENSMUSP00000137214	YGR110W_mRNA
OG0000606	ENSMUSP00000029477, ENSMUSP00000029478, ENSMUSP00000132169, ENSMUSP00000040198, ENSMUSP00000108932, ENSMUSP00000108933, ENSMUSP00000060581, ENSMUSP00000108936, ENSMUSP00000028160	YNL083W_mRNA
OG0000607	ENSMUSP00000109271	YOR244W_mRNA
OG0000608	ENSMUSP00000070682, ENSMUSP00000133428, ENSMUSP00000134178, ENSMUSP00000019576, ENSMUSP00000148329, ENSMUSP00000132222, ENSMUSP00000105435	YDL084W_mRNA
OG0000609	ENSMUSP00000129046, ENSMUSP00000134677, ENSMUSP00000134086, ENSMUSP00000134620, ENSMUSP00000133392, ENSMUSP00000133327, ENSMUSP00000027475, ENSMUSP00000134077, ENSMUSP00000134193, ENSMUSP00000143670, ENSMUSP00000031727, ENSMUSP00000134660	YBR172C_mRNA
OG0000611	ENSMUSP00000077532, ENSMUSP00000153725, ENSMUSP00000071040, ENSMUSP00000053101, ENSMUSP00000125630, ENSMUSP00000125722, ENSMUSP00000022355, ENSMUSP00000125582	YLR433C_mRNA, YML057W_mRNA
OG0000613	ENSMUSP00000045487, ENSMUSP00000067013, ENSMUSP00000007959, ENSMUSP00000142697, ENSMUSP00000102399, ENSMUSP00000002303, ENSMUSP00000141967, ENSMUSP00000142855, ENSMUSP00000135659	YPR165W_mRNA, YNL090W_mRNA
OG0000623	ENSMUSP00000136035, ENSMUSP00000138949, ENSMUSP00000114019	YJL137C_mRNA, YKR058W_mRNA
OG0000627	ENSMUSP00000029355	YDL006W_mRNA
OG0000627	ENSMUSP00000027373	YBR125C_mRNA
OG0000628	ENSMUSP00000030069, ENSMUSP00000114559, ENSMUSP00000114766, ENSMUSP00000119981, ENSMUSP00000115704	YML131W_mRNA
OG0000629	ENSMUSP00000036996, ENSMUSP00000114989	YJR131W_mRNA
OG0000630	ENSMUSP00000098656, ENSMUSP00000107921, ENSMUSP00000033727, ENSMUSP00000107919, ENSMUSP00000107922, ENSMUSP00000107920, ENSMUSP00000030381	YBL039C_mRNA, YJR103W_mRNA
OG0000631	ENSMUSP00000152507, ENSMUSP00000152531, ENSMUSP00000152300, ENSMUSP00000152534, ENSMUSP00000152459, ENSMUSP00000152221, ENSMUSP00000126825, ENSMUSP00000152791, ENSMUSP00000061616	YPR041W_mRNA
OG0000632	ENSMUSP00000141435, ENSMUSP00000144565, ENSMUSP00000026743, ENSMUSP00000144124, ENSMUSP00000030882	YLR163C_mRNA, YBL045C_mRNA
OG0000632	ENSMUSP00000075762, ENSMUSP00000109727	YHR024C_mRNA
OG0000634	ENSMUSP00000105780, ENSMUSP00000136709, ENSMUSP00000152437, ENSMUSP00000152828, ENSMUSP00000137563, ENSMUSP00000132993, ENSMUSP00000105776, ENSMUSP00000136486, ENSMUSP00000137317, ENSMUSP00000152354, ENSMUSP00000152416, ENSMUSP00000136949, ENSMUSP00000151971, ENSMUSP00000098728, ENSMUSP00000105774, ENSMUSP00000137146, ENSMUSP00000126351, ENSMUSP00000084387, ENSMUSP00000132018, ENSMUSP00000077223	YMR260C_mRNA
OG0000635	ENSMUSP00000002081, ENSMUSP00000085734, ENSMUSP00000156908, ENSMUSP00000116259	YMR216C_mRNA
OG0000637	ENSMUSP00000109376, ENSMUSP00000064413, ENSMUSP00000027362, ENSMUSP00000109378, ENSMUSP00000109379, ENSMUSP00000121732, ENSMUSP00000115322, ENSMUSP00000117455, ENSMUSP00000099366, ENSMUSP00000149813, ENSMUSP00000010804, ENSMUSP00000149676	YPL268W_mRNA
OG0000640	ENSMUSP00000036845, ENSMUSP00000094088, ENSMUSP00000128516, ENSMUSP00000033567, ENSMUSP00000033001, ENSMUSP00000064041, ENSMUSP00000123427, ENSMUSP00000116178, ENSMUSP00000117903, ENSMUSP00000012331, ENSMUSP00000109152	YOR245C_mRNA
OG0000641	ENSMUSP00000147200, ENSMUSP00000117102, ENSMUSP00000146387, ENSMUSP00000146704, ENSMUSP00000026823, ENSMUSP00000094981, ENSMUSP00000122239, ENSMUSP00000146634, ENSMUSP00000119772, ENSMUSP00000115447, ENSMUSP00000146785, ENSMUSP00000118632, ENSMUSP00000119871	YGR216C_mRNA
OG0000642	ENSMUSP00000135445, ENSMUSP00000018875, ENSMUSP00000134779, ENSMUSP00000070714, ENSMUSP00000009234, ENSMUSP00000105523, ENSMUSP00000099134	YKL135C_mRNA
OG0000643	ENSMUSP00000142956, ENSMUSP00000068403, ENSMUSP00000126052, ENSMUSP00000130514, ENSMUSP00000033643, ENSMUSP00000131622, ENSMUSP00000131340, ENSMUSP00000143124	YGL047W_mRNA
OG0000646	ENSMUSP00000025696, ENSMUSP00000115454, ENSMUSP00000102558, ENSMUSP00000102559, ENSMUSP00000115456, ENSMUSP00000099841	YER170W_mRNA
OG0000646	ENSMUSP00000030583, ENSMUSP00000099664	YDR226W_mRNA
OG0000647	ENSMUSP00000092794, ENSMUSP00000135802, ENSMUSP00000134764, ENSMUSP00000108177, ENSMUSP00000039103, ENSMUSP00000082220, ENSMUSP00000135646, ENSMUSP00000129617	YGL167C_mRNA
OG0000652	ENSMUSP00000117353	YMR067C_mRNA
OG0000653	ENSMUSP00000118805, ENSMUSP00000097756, ENSMUSP00000101912, ENSMUSP00000017276, ENSMUSP00000101909, ENSMUSP00000042698, ENSMUSP00000152189, ENSMUSP00000051423, ENSMUSP00000103357, ENSMUSP00000147706, ENSMUSP00000106355, ENSMUSP00000112157, ENSMUSP00000147451	YBL060W_mRNA, YPR095C_mRNA
OG0000654	ENSMUSP00000008893, ENSMUSP00000137780, ENSMUSP00000004646, ENSMUSP00000056862, ENSMUSP00000078703, ENSMUSP00000021190, ENSMUSP00000099551, ENSMUSP00000104028, ENSMUSP00000101972, ENSMUSP00000032949	YLR429W_mRNA
OG0000671	ENSMUSP00000082723, ENSMUSP00000118766, ENSMUSP00000119461, ENSMUSP00000055036	YPR129W_mRNA
OG0000672	ENSMUSP00000147702	YOR022C_mRNA
OG0000673	ENSMUSP00000114180, ENSMUSP00000115578	YLL039C_mRNA
OG0000674	ENSMUSP00000141192, ENSMUSP00000141100, ENSMUSP00000027174, ENSMUSP00000140250	YOR310C_mRNA
OG0000674	ENSMUSP00000123879, ENSMUSP00000124616, ENSMUSP00000125305, ENSMUSP00000099487	YLR197W_mRNA
OG0000675	ENSMUSP00000155667	YNR023W_mRNA, YCR052W_mRNA
OG0000676	ENSMUSP00000097714, ENSMUSP00000026128	YDL008W_mRNA
OG0000677	ENSMUSP00000112577, ENSMUSP00000099390	YHR188C_mRNA
OG0000678	ENSMUSP00000135892, ENSMUSP00000135223, ENSMUSP00000135086, ENSMUSP00000135370, ENSMUSP00000004097, ENSMUSP00000134819, ENSMUSP00000135816, ENSMUSP00000135036, ENSMUSP00000135054, ENSMUSP00000135512, ENSMUSP00000135606	YKL179C_mRNA
OG0000680	ENSMUSP00000034138	YPR061C_mRNA
OG0000681	ENSMUSP00000115946, ENSMUSP00000144107, ENSMUSP00000116029, ENSMUSP00000144594, ENSMUSP00000111117, ENSMUSP00000111123, ENSMUSP00000111120, ENSMUSP00000117587, ENSMUSP00000047678, ENSMUSP00000111121, ENSMUSP00000073506, ENSMUSP00000144320	YGR162W_mRNA
OG0000684	ENSMUSP00000020411, ENSMUSP00000113362, ENSMUSP00000092948, ENSMUSP00000100911	YKR003W_mRNA
OG0000686	ENSMUSP00000115208, ENSMUSP00000084454, ENSMUSP00000143983, ENSMUSP00000143824, ENSMUSP00000144215, ENSMUSP00000144183, ENSMUSP00000092289, ENSMUSP00000098687, ENSMUSP00000119385	YIL129C_mRNA
OG0000698	ENSMUSP00000116041	YLR452C_mRNA
OG0000703	ENSMUSP00000109336, ENSMUSP00000039790, ENSMUSP00000133298, ENSMUSP00000091442	YOL054W_mRNA
OG0000706	ENSMUSP00000117905, ENSMUSP00000113884, ENSMUSP00000112389, ENSMUSP00000117652, ENSMUSP00000113811, ENSMUSP00000118860, ENSMUSP00000104023, ENSMUSP00000113613, ENSMUSP00000112967, ENSMUSP00000041196, ENSMUSP00000113276, ENSMUSP00000118311	YHR116W_mRNA
OG0000707	ENSMUSP00000152905, ENSMUSP00000153488, ENSMUSP00000044288, ENSMUSP00000145651, ENSMUSP00000145603, ENSMUSP00000145696, ENSMUSP00000145760, ENSMUSP00000145902, ENSMUSP00000146301, ENSMUSP00000087118, ENSMUSP00000142136	YLR180W_mRNA, YDR502C_mRNA
OG0000710	ENSMUSP00000111939, ENSMUSP00000109713, ENSMUSP00000050424, ENSMUSP00000056481, ENSMUSP00000055002	YNL024C_mRNA
OG0000712	ENSMUSP00000010520, ENSMUSP00000130492	YDR139C_mRNA
OG0000713	ENSMUSP00000138508, ENSMUSP00000148326, ENSMUSP00000138396, ENSMUSP00000073289, ENSMUSP00000113942, ENSMUSP00000113213, ENSMUSP00000074317, ENSMUSP00000138634	YGR192C_mRNA, YJR009C_mRNA, YJL052W_mRNA
OG0000714	ENSMUSP00000107404, ENSMUSP00000107405, ENSMUSP00000027741	YIL047C_mRNA
OG0000717	ENSMUSP00000034164	YNL265C_mRNA
OG0000718	ENSMUSP00000078654, ENSMUSP00000128489	YJL177W_mRNA, YKL180W_mRNA
OG0000721	ENSMUSP00000155674, ENSMUSP00000154922, ENSMUSP00000097738, ENSMUSP00000018816, ENSMUSP00000119593	YPL010W_mRNA
OG0000722	ENSMUSP00000106366, ENSMUSP00000006742, ENSMUSP00000058840, ENSMUSP00000109186	YDR270W_mRNA
OG0000723	ENSMUSP00000112717, ENSMUSP00000082313, ENSMUSP00000119564, ENSMUSP00000109611, ENSMUSP00000120754, ENSMUSP00000026039, ENSMUSP00000052226, ENSMUSP00000067598	YHL032C_mRNA
OG0000725	ENSMUSP00000003320, ENSMUSP00000155949, ENSMUSP00000121169	YDR211W_mRNA
OG0000726	ENSMUSP00000027394, ENSMUSP00000125086, ENSMUSP00000139757, ENSMUSP00000124552, ENSMUSP00000106475, ENSMUSP00000078910, ENSMUSP00000123097	YNL155W_mRNA
OG0000727	ENSMUSP00000121790, ENSMUSP00000102715, ENSMUSP00000018821, ENSMUSP00000115445, ENSMUSP00000115365, ENSMUSP00000115087, ENSMUSP00000116336, ENSMUSP00000120021, ENSMUSP00000130630, ENSMUSP00000067611, ENSMUSP00000143045, ENSMUSP00000142511	YGR257C_mRNA
OG0000729	ENSMUSP00000134827, ENSMUSP00000135518, ENSMUSP00000067638, ENSMUSP00000110893, ENSMUSP00000110897, ENSMUSP00000100060, ENSMUSP00000029490, ENSMUSP00000127198, ENSMUSP00000061851	YER043C_mRNA
OG0000731	ENSMUSP00000102987, ENSMUSP00000019317, ENSMUSP00000000727, ENSMUSP00000017975	YOR089C_mRNA
OG0000734	ENSMUSP00000108217, ENSMUSP00000078388, ENSMUSP00000079163, ENSMUSP00000098362, ENSMUSP00000119852	YMR121C_mRNA, YLR029C_mRNA
OG0000735	ENSMUSP00000025546, ENSMUSP00000128696, ENSMUSP00000069699	YFR044C_mRNA
OG0000738	ENSMUSP00000047543, ENSMUSP00000106203, ENSMUSP00000106207, ENSMUSP00000106201, ENSMUSP00000100890, ENSMUSP00000100891, ENSMUSP00000072852, ENSMUSP00000133755, ENSMUSP00000027367	YLL010C_mRNA, YLR019W_mRNA
OG0000741	ENSMUSP00000121763, ENSMUSP00000119179, ENSMUSP00000117187, ENSMUSP00000101750, ENSMUSP00000147433, ENSMUSP00000033276, ENSMUSP00000101752, ENSMUSP00000101751	YOR278W_mRNA
OG0000751	ENSMUSP00000132232	YJR060W_mRNA
OG0000762	ENSMUSP00000099681, ENSMUSP00000125405, ENSMUSP00000004745, ENSMUSP00000052440, ENSMUSP00000089051	YDR164C_mRNA
OG0000766	ENSMUSP00000035230	YDR019C_mRNA
OG0000768	ENSMUSP00000130598	YDL195W_mRNA
OG0000769	ENSMUSP00000101238, ENSMUSP00000030939, ENSMUSP00000101237	YJR049C_mRNA, YEL041W_mRNA
OG0000770	ENSMUSP00000011896, ENSMUSP00000020768, ENSMUSP00000047393, ENSMUSP00000121818, ENSMUSP00000120794, ENSMUSP00000115825	YKL152C_mRNA, YDL021W_mRNA, YOL056W_mRNA
OG0000771	ENSMUSP00000139239, ENSMUSP00000138744, ENSMUSP00000138708, ENSMUSP00000138288, ENSMUSP00000138911, ENSMUSP00000138765, ENSMUSP00000138709, ENSMUSP00000064988, ENSMUSP00000075150, ENSMUSP00000146959	YLR038C_mRNA
OG0000773	ENSMUSP00000025811, ENSMUSP00000117224, ENSMUSP00000146477, ENSMUSP00000103872, ENSMUSP00000103873, ENSMUSP00000032809	YNL263C_mRNA
OG0000775	ENSMUSP00000076503	YLR069C_mRNA
OG0000775	ENSMUSP00000125656, ENSMUSP00000048373, ENSMUSP00000022170, ENSMUSP00000125088, ENSMUSP00000124426, ENSMUSP00000125306, ENSMUSP00000124253	YJL102W_mRNA
OG0000776	ENSMUSP00000115178, ENSMUSP00000109123, ENSMUSP00000059751, ENSMUSP00000140051, ENSMUSP00000140244, ENSMUSP00000132143, ENSMUSP00000081772, ENSMUSP00000139407, ENSMUSP00000140423	YMR236W_mRNA
OG0000777	ENSMUSP00000124881, ENSMUSP00000057069, ENSMUSP00000124992	YBR074W_mRNA
OG0000778	ENSMUSP00000115153	YPR140W_mRNA
OG0000781	ENSMUSP00000114937, ENSMUSP00000119107	YGL161C_mRNA
OG0000783	ENSMUSP00000137716	YNL201C_mRNA
OG0000785	ENSMUSP00000151541, ENSMUSP00000151881, ENSMUSP00000151631, ENSMUSP00000129424, ENSMUSP00000151941, ENSMUSP00000151257, ENSMUSP00000151802, ENSMUSP00000151852, ENSMUSP00000151612, ENSMUSP00000042285, ENSMUSP00000151309, ENSMUSP00000151289, ENSMUSP00000151362	YPR147C_mRNA
OG0000787	ENSMUSP00000102892, ENSMUSP00000001824, ENSMUSP00000128674, ENSMUSP00000001826, ENSMUSP00000130752	YJR126C_mRNA
OG0000788	ENSMUSP00000156346, ENSMUSP00000156878, ENSMUSP00000110532, ENSMUSP00000110531, ENSMUSP00000136042, ENSMUSP00000025052, ENSMUSP00000156208	YOR293W_mRNA, YMR230W_mRNA
OG0000789	ENSMUSP00000020169, ENSMUSP00000151540, ENSMUSP00000114273, ENSMUSP00000101159, ENSMUSP00000133877, ENSMUSP00000122767, ENSMUSP00000024756, ENSMUSP00000114429, ENSMUSP00000024757, ENSMUSP00000101880, ENSMUSP00000090027, ENSMUSP00000115049	YEL016C_mRNA, YCR026C_mRNA
OG0000790	ENSMUSP00000068260, ENSMUSP00000101862, ENSMUSP00000101864, ENSMUSP00000112952, ENSMUSP00000021802, ENSMUSP00000153125, ENSMUSP00000153072	YNL138W_mRNA
OG0000794	ENSMUSP00000111452, ENSMUSP00000120006, ENSMUSP00000060382, ENSMUSP00000111456, ENSMUSP00000079164, ENSMUSP00000115371, ENSMUSP00000122316, ENSMUSP00000111451, ENSMUSP00000111457, ENSMUSP00000119712, ENSMUSP00000113518, ENSMUSP00000128997, ENSMUSP00000113308	YNL106C_mRNA, YOR109W_mRNA, YIL002C_mRNA
OG0000795	ENSMUSP00000135755	YBL047C_mRNA
OG0000796	ENSMUSP00000125184, ENSMUSP00000043710, ENSMUSP00000101057, ENSMUSP00000023768, ENSMUSP00000097777, ENSMUSP00000131238, ENSMUSP00000133806, ENSMUSP00000126827, ENSMUSP00000152159, ENSMUSP00000125614, ENSMUSP00000125744	YOR093C_mRNA
OG0000799	ENSMUSP00000122336, ENSMUSP00000053371, ENSMUSP00000089198, ENSMUSP00000103478, ENSMUSP00000103477, ENSMUSP00000127344, ENSMUSP00000103481, ENSMUSP00000103483, ENSMUSP00000103479	YGR167W_mRNA
OG0000800	ENSMUSP00000118453, ENSMUSP00000027036, ENSMUSP00000137248, ENSMUSP00000137104, ENSMUSP00000111191, ENSMUSP00000137647, ENSMUSP00000119456, ENSMUSP00000064204, ENSMUSP00000101478	YLR118C_mRNA
OG0000802	ENSMUSP00000115787, ENSMUSP00000110027, ENSMUSP00000120115, ENSMUSP00000084864, ENSMUSP00000157373, ENSMUSP00000123580, ENSMUSP00000087258, ENSMUSP00000106127, ENSMUSP00000066312, ENSMUSP00000114817, ENSMUSP00000115519, ENSMUSP00000123088, ENSMUSP00000058811, ENSMUSP00000123222	YCL011C_mRNA, YNL004W_mRNA
OG0000805	ENSMUSP00000140342, ENSMUSP00000140230, ENSMUSP00000027886, ENSMUSP00000132533, ENSMUSP00000063872, ENSMUSP00000139645, ENSMUSP00000130581, ENSMUSP00000139618, ENSMUSP00000140055, ENSMUSP00000118363, ENSMUSP00000048451, ENSMUSP00000088563, ENSMUSP00000108790	YLR310C_mRNA
OG0000824	ENSMUSP00000026409, ENSMUSP00000151335, ENSMUSP00000151697, ENSMUSP00000027266, ENSMUSP00000141087, ENSMUSP00000053056, ENSMUSP00000151644	YLR350W_mRNA, YGR038W_mRNA
OG0000830	ENSMUSP00000052922, ENSMUSP00000014321	YDR084C_mRNA
OG0000832	ENSMUSP00000124965, ENSMUSP00000154883, ENSMUSP00000155687, ENSMUSP00000077853, ENSMUSP00000043909, ENSMUSP00000155053, ENSMUSP00000124245, ENSMUSP00000154920, ENSMUSP00000155735, ENSMUSP00000125034, ENSMUSP00000124115, ENSMUSP00000155383, ENSMUSP00000124404, ENSMUSP00000155070, ENSMUSP00000123785, ENSMUSP00000155458	YGL237C_mRNA
OG0000836	ENSMUSP00000149945, ENSMUSP00000149778, ENSMUSP00000077040, ENSMUSP00000150974, ENSMUSP00000068716, ENSMUSP00000153129, ENSMUSP00000152909	YLL040C_mRNA
OG0000837	ENSMUSP00000138237, ENSMUSP00000021062, ENSMUSP00000155737, ENSMUSP00000155365, ENSMUSP00000055535, ENSMUSP00000155307	YNL112W_mRNA
OG0000840	ENSMUSP00000142553	YJL168C_mRNA
OG0000841	ENSMUSP00000109289, ENSMUSP00000038612, ENSMUSP00000109290, ENSMUSP00000109292, ENSMUSP00000109291, ENSMUSP00000109293, ENSMUSP00000101825, ENSMUSP00000041675	YJL060W_mRNA
OG0000842	ENSMUSP00000053842, ENSMUSP00000155588, ENSMUSP00000111520	YFL016C_mRNA
OG0000845	ENSMUSP00000094040, ENSMUSP00000110031, ENSMUSP00000110029	YHR013C_mRNA
OG0000846	ENSMUSP00000123383, ENSMUSP00000139541, ENSMUSP00000140758, ENSMUSP00000139463, ENSMUSP00000027502, ENSMUSP00000143291, ENSMUSP00000155310, ENSMUSP00000108595	YNL223W_mRNA
OG0000850	ENSMUSP00000143732, ENSMUSP00000107297, ENSMUSP00000142896, ENSMUSP00000123441, ENSMUSP00000090613	YER129W_mRNA, YGL179C_mRNA
OG0000851	ENSMUSP00000068974, ENSMUSP00000122647, ENSMUSP00000125317, ENSMUSP00000098628, ENSMUSP00000121806, ENSMUSP00000123822	YCR033W_mRNA
OG0000853	ENSMUSP00000020286, ENSMUSP00000101922, ENSMUSP00000113369, ENSMUSP00000029644	YBR011C_mRNA, YMR267W_mRNA
OG0000855	ENSMUSP00000101370, ENSMUSP00000126154, ENSMUSP00000108422, ENSMUSP00000046772, ENSMUSP00000113599, ENSMUSP00000113455, ENSMUSP00000031251, ENSMUSP00000027053, ENSMUSP00000092773, ENSMUSP00000104020, ENSMUSP00000046298	YLR426W_mRNA, YDL114W_mRNA
OG0000862	ENSMUSP00000115185, ENSMUSP00000098375, ENSMUSP00000037210, ENSMUSP00000118812, ENSMUSP00000122302, ENSMUSP00000107801, ENSMUSP00000136796, ENSMUSP00000039718, ENSMUSP00000107803, ENSMUSP00000083754, ENSMUSP00000115988	YLR313C_mRNA
OG0000880	ENSMUSP00000092230, ENSMUSP00000108356, ENSMUSP00000034388	YPR173C_mRNA
OG0000880	ENSMUSP00000127489, ENSMUSP00000105290, ENSMUSP00000126340, ENSMUSP00000036932	YER047C_mRNA
OG0000882	ENSMUSP00000147807	YGL092W_mRNA
OG0000883	ENSMUSP00000105383, ENSMUSP00000114431, ENSMUSP00000003911, ENSMUSP00000115664, ENSMUSP00000030134	YEL037C_mRNA
OG0000884	ENSMUSP00000099802, ENSMUSP00000099800, ENSMUSP00000099801, ENSMUSP00000152074, ENSMUSP00000099803, ENSMUSP00000022163, ENSMUSP00000115500, ENSMUSP00000118093	YPL037C_mRNA, YDR252W_mRNA
OG0000887	ENSMUSP00000134318, ENSMUSP00000018744, ENSMUSP00000134269, ENSMUSP00000026470, ENSMUSP00000151616	YBR263W_mRNA, YLR058C_mRNA
OG0000888	ENSMUSP00000141631	YPL165C_mRNA
OG0000892	ENSMUSP00000135338, ENSMUSP00000049490	YHR193C_mRNA
OG0000893	ENSMUSP00000117422, ENSMUSP00000098610, ENSMUSP00000104337, ENSMUSP00000071788	YKR079C_mRNA
OG0000895	ENSMUSP00000109692, ENSMUSP00000109691, ENSMUSP00000033547, ENSMUSP00000109693, ENSMUSP00000118995, ENSMUSP00000116271, ENSMUSP00000117137, ENSMUSP00000121201, ENSMUSP00000091317	YDR129C_mRNA
OG0000896	ENSMUSP00000123765, ENSMUSP00000022706, ENSMUSP00000078774, ENSMUSP00000144827	YGR244C_mRNA
OG0000898	ENSMUSP00000144352, ENSMUSP00000110640, ENSMUSP00000110645, ENSMUSP00000044137, ENSMUSP00000144409	YER068W_mRNA
OG0000899	ENSMUSP00000135700, ENSMUSP00000135479, ENSMUSP00000134867, ENSMUSP00000134857, ENSMUSP00000135159, ENSMUSP00000119196, ENSMUSP00000121761, ENSMUSP00000119758, ENSMUSP00000114845, ENSMUSP00000108261	YMR192W_mRNA, YPL249C_mRNA
OG0000901	ENSMUSP00000106431, ENSMUSP00000051845	YGL150C_mRNA
OG0000901	ENSMUSP00000140036, ENSMUSP00000139536, ENSMUSP00000139644, ENSMUSP00000139399, ENSMUSP00000063817, ENSMUSP00000140395	YDR334W_mRNA
OG0000903	ENSMUSP00000098576, ENSMUSP00000073175, ENSMUSP00000129072, ENSMUSP00000119329	YLR344W_mRNA, YGR034W_mRNA
OG0000904	ENSMUSP00000009157, ENSMUSP00000119655, ENSMUSP00000020775, ENSMUSP00000136241, ENSMUSP00000103556, ENSMUSP00000107720, ENSMUSP00000077564	YDR424C_mRNA
OG0000907	ENSMUSP00000003038, ENSMUSP00000127842, ENSMUSP00000082519, ENSMUSP00000146814, ENSMUSP00000103489, ENSMUSP00000127497, ENSMUSP00000146338	YBL037W_mRNA
OG0000908	ENSMUSP00000135392, ENSMUSP00000135319, ENSMUSP00000078630	YOL049W_mRNA
OG0000909	ENSMUSP00000118094	YPL215W_mRNA
OG0000910	ENSMUSP00000127593, ENSMUSP00000023043, ENSMUSP00000132423, ENSMUSP00000129601, ENSMUSP00000143188, ENSMUSP00000131998	YLR359W_mRNA
OG0000912	ENSMUSP00000038722	YJR143C_mRNA
