Orthogroup	mouse	neurospora
OG0000511	ENSMUSP00000015622	EAA28510
OG0000512	ENSMUSP00000139953, ENSMUSP00000150039, ENSMUSP00000149516, ENSMUSP00000149636, ENSMUSP00000149789, ENSMUSP00000024031, ENSMUSP00000149394	EAA30404
OG0000513	ENSMUSP00000033463, ENSMUSP00000153063, ENSMUSP00000072274, ENSMUSP00000111051, ENSMUSP00000076922, ENSMUSP00000110432, ENSMUSP00000044185, ENSMUSP00000073536, ENSMUSP00000104841	EAA27536
OG0000514	ENSMUSP00000113209, ENSMUSP00000077597, ENSMUSP00000066878	EAA36459, EAA28107, EAA30070
OG0000515	ENSMUSP00000107593, ENSMUSP00000126069, ENSMUSP00000128163, ENSMUSP00000155833, ENSMUSP00000084609, ENSMUSP00000042658, ENSMUSP00000154865, ENSMUSP00000155311, ENSMUSP00000145383, ENSMUSP00000067491, ENSMUSP00000145245	ESA44356, EAA34626
OG0000516	ENSMUSP00000136031, ENSMUSP00000104276, ENSMUSP00000008517	EAA35865
OG0000517	ENSMUSP00000156239, ENSMUSP00000156132, ENSMUSP00000023465, ENSMUSP00000156322, ENSMUSP00000155905, ENSMUSP00000155903, ENSMUSP00000002891, ENSMUSP00000099729, ENSMUSP00000113057, ENSMUSP00000113653	EAA27155
OG0000518	ENSMUSP00000147232, ENSMUSP00000112332, ENSMUSP00000111352, ENSMUSP00000112333, ENSMUSP00000111351, ENSMUSP00000041456, ENSMUSP00000111353, ENSMUSP00000147110, ENSMUSP00000119591, ENSMUSP00000101716, ENSMUSP00000026173	ESA43889
OG0000519	ENSMUSP00000057632, ENSMUSP00000106258, ENSMUSP00000106256, ENSMUSP00000106255, ENSMUSP00000106257, ENSMUSP00000043401, ENSMUSP00000132889, ENSMUSP00000108466	ESA43044
OG0000520	ENSMUSP00000139638, ENSMUSP00000069969, ENSMUSP00000140020, ENSMUSP00000140844	EAA33433
OG0000522	ENSMUSP00000119675, ENSMUSP00000117649, ENSMUSP00000110423, ENSMUSP00000110435, ENSMUSP00000110430, ENSMUSP00000110429, ENSMUSP00000110428, ENSMUSP00000044535, ENSMUSP00000123253, ENSMUSP00000121507	ESA41804
OG0000525	ENSMUSP00000134897, ENSMUSP00000135004, ENSMUSP00000135590, ENSMUSP00000119323, ENSMUSP00000114445, ENSMUSP00000096452, ENSMUSP00000104224, ENSMUSP00000104223, ENSMUSP00000060162, ENSMUSP00000109603, ENSMUSP00000135756, ENSMUSP00000109607, ENSMUSP00000109610, ENSMUSP00000135563, ENSMUSP00000109605, ENSMUSP00000109606, ENSMUSP00000109601, ENSMUSP00000005518, ENSMUSP00000115984	EAA33797
OG0000526	ENSMUSP00000045304, ENSMUSP00000005164, ENSMUSP00000101744, ENSMUSP00000101743, ENSMUSP00000099573, ENSMUSP00000005606, ENSMUSP00000147256	EAA33855
OG0000527	ENSMUSP00000131371, ENSMUSP00000066735, ENSMUSP00000107403, ENSMUSP00000107402, ENSMUSP00000133621, ENSMUSP00000039706, ENSMUSP00000089664, ENSMUSP00000096742, ENSMUSP00000028347, ENSMUSP00000131306, ENSMUSP00000108128, ENSMUSP00000134528	EAA35208
OG0000528	ENSMUSP00000024944	EAA33885, EAA32559
OG0000542	ENSMUSP00000129729, ENSMUSP00000133921, ENSMUSP00000004892, ENSMUSP00000134448, ENSMUSP00000110021, ENSMUSP00000129163	EAA27736, EAA32663
OG0000543	ENSMUSP00000104125, ENSMUSP00000104124, ENSMUSP00000021142, ENSMUSP00000104126, ENSMUSP00000127036, ENSMUSP00000032974, ENSMUSP00000135935, ENSMUSP00000031423, ENSMUSP00000136104	EAA35246
OG0000544	ENSMUSP00000128837, ENSMUSP00000100900, ENSMUSP00000132315, ENSMUSP00000127830, ENSMUSP00000132152, ENSMUSP00000100902	ESA42861
OG0000545	ENSMUSP00000145068, ENSMUSP00000086872, ENSMUSP00000109211, ENSMUSP00000109212, ENSMUSP00000109215, ENSMUSP00000127374	EAA31779
OG0000546	ENSMUSP00000120047, ENSMUSP00000032344, ENSMUSP00000107522, ENSMUSP00000107523, ENSMUSP00000113186, ENSMUSP00000025019, ENSMUSP00000145103, ENSMUSP00000101803, ENSMUSP00000063714	EAA33032
OG0000548	ENSMUSP00000123402, ENSMUSP00000067077, ENSMUSP00000068651, ENSMUSP00000104252, ENSMUSP00000104253, ENSMUSP00000104248, ENSMUSP00000104250, ENSMUSP00000104249, ENSMUSP00000104251, ENSMUSP00000104247, ENSMUSP00000047008, ENSMUSP00000132717, ENSMUSP00000050289	EAA32675
OG0000549	ENSMUSP00000134069, ENSMUSP00000025163, ENSMUSP00000137072, ENSMUSP00000133656, ENSMUSP00000156997	EAA28811
OG0000550	ENSMUSP00000102302, ENSMUSP00000112009, ENSMUSP00000124746, ENSMUSP00000114371, ENSMUSP00000112011, ENSMUSP00000051268, ENSMUSP00000121852, ENSMUSP00000116179, ENSMUSP00000021913	EAA29326
OG0000550	ENSMUSP00000123913, ENSMUSP00000026538	EAA28103
OG0000551	ENSMUSP00000141008	EAA30658
OG0000551	ENSMUSP00000018914, ENSMUSP00000107627, ENSMUSP00000075057, ENSMUSP00000140414, ENSMUSP00000140323, ENSMUSP00000137633, ENSMUSP00000103314, ENSMUSP00000103312, ENSMUSP00000088029	AGG16016
OG0000553	ENSMUSP00000123589	EAA29695
OG0000554	ENSMUSP00000156163, ENSMUSP00000156221, ENSMUSP00000150544, ENSMUSP00000121736, ENSMUSP00000149004, ENSMUSP00000117597, ENSMUSP00000149861, ENSMUSP00000003620, ENSMUSP00000122889, ENSMUSP00000149538	EAA36382
OG0000555	ENSMUSP00000026924, ENSMUSP00000092769	EAA29450
OG0000555	ENSMUSP00000154185, ENSMUSP00000022480, ENSMUSP00000003461, ENSMUSP00000099090, ENSMUSP00000080569, ENSMUSP00000091041	EAA34012
OG0000556	ENSMUSP00000142563, ENSMUSP00000035079	ESA42873
OG0000556	ENSMUSP00000115352, ENSMUSP00000122418, ENSMUSP00000120670, ENSMUSP00000106337	EAA34508
OG0000557	ENSMUSP00000135905, ENSMUSP00000156852, ENSMUSP00000156897, ENSMUSP00000139433, ENSMUSP00000156551, ENSMUSP00000131605, ENSMUSP00000151319, ENSMUSP00000151398, ENSMUSP00000140999, ENSMUSP00000139588, ENSMUSP00000137984, ENSMUSP00000137742, ENSMUSP00000138043, ENSMUSP00000137711, ENSMUSP00000127137, ENSMUSP00000137866, ENSMUSP00000137878, ENSMUSP00000137776, ENSMUSP00000137929, ENSMUSP00000137961, ENSMUSP00000136519, ENSMUSP00000137930, ENSMUSP00000137128, ENSMUSP00000137957, ENSMUSP00000137824, ENSMUSP00000137740, ENSMUSP00000138007, ENSMUSP00000130793, ENSMUSP00000026125, ENSMUSP00000080242	EAA29186
OG0000558	ENSMUSP00000073725, ENSMUSP00000151891, ENSMUSP00000122117, ENSMUSP00000108143, ENSMUSP00000117014, ENSMUSP00000066040, ENSMUSP00000108335	EAA33765
OG0000559	ENSMUSP00000095166, ENSMUSP00000150138, ENSMUSP00000076575	ESA42329
OG0000560	ENSMUSP00000027896, ENSMUSP00000141328, ENSMUSP00000029307, ENSMUSP00000028241	EAA27599
OG0000563	ENSMUSP00000139485, ENSMUSP00000044879, ENSMUSP00000135567, ENSMUSP00000034869, ENSMUSP00000028302, ENSMUSP00000056822, ENSMUSP00000141662, ENSMUSP00000027740	EAA35183
OG0000565	ENSMUSP00000126452, ENSMUSP00000073402, ENSMUSP00000137843, ENSMUSP00000121697, ENSMUSP00000130536, ENSMUSP00000080278, ENSMUSP00000108245, ENSMUSP00000028232	EAA32915
OG0000583	ENSMUSP00000025804, ENSMUSP00000020358, ENSMUSP00000127330	EAA33910
OG0000583	ENSMUSP00000070588, ENSMUSP00000041857, ENSMUSP00000003121, ENSMUSP00000021001	EAA33006
OG0000587	ENSMUSP00000134572, ENSMUSP00000077984, ENSMUSP00000110001	EAA29046
OG0000590	ENSMUSP00000135550, ENSMUSP00000134823, ENSMUSP00000068408, ENSMUSP00000135136, ENSMUSP00000135150, ENSMUSP00000038958	ESA43800
OG0000591	ENSMUSP00000021790, ENSMUSP00000027064, ENSMUSP00000027065	EAA35450
OG0000592	ENSMUSP00000110105, ENSMUSP00000002084, ENSMUSP00000068940	EAA34693
OG0000592	ENSMUSP00000142387, ENSMUSP00000029770	EAA27938
OG0000593	ENSMUSP00000030901, ENSMUSP00000112656, ENSMUSP00000068148, ENSMUSP00000152703, ENSMUSP00000152222, ENSMUSP00000152325, ENSMUSP00000152651	EAA27132
OG0000594	ENSMUSP00000139335, ENSMUSP00000030332, ENSMUSP00000101011, ENSMUSP00000138186, ENSMUSP00000094863	EAA28683
OG0000595	ENSMUSP00000127254, ENSMUSP00000098724, ENSMUSP00000152821	EAA32014
OG0000596	ENSMUSP00000001884, ENSMUSP00000148062, ENSMUSP00000102611, ENSMUSP00000121861	EAA27992, EAA34819
OG0000597	ENSMUSP00000012262, ENSMUSP00000116098, ENSMUSP00000101511, ENSMUSP00000101509, ENSMUSP00000101510, ENSMUSP00000101512	EAA26815
OG0000598	ENSMUSP00000052373, ENSMUSP00000005826	EAA27662
OG0000599	ENSMUSP00000123247, ENSMUSP00000125018, ENSMUSP00000123958, ENSMUSP00000125259, ENSMUSP00000097903, ENSMUSP00000109989, ENSMUSP00000154261	EAA35193
OG0000599	ENSMUSP00000112924, ENSMUSP00000005651	EAA32237, EAA28456, EAA35207
OG0000600	ENSMUSP00000128770, ENSMUSP00000034834, ENSMUSP00000103106, ENSMUSP00000035417	ESA41917
OG0000601	ENSMUSP00000019911, ENSMUSP00000099657, ENSMUSP00000101149	EAA35131
OG0000601	ENSMUSP00000085226	EAA35215
OG0000602	ENSMUSP00000117925, ENSMUSP00000032165	EAA26533
OG0000602	ENSMUSP00000103400, ENSMUSP00000147502	EAA34092
OG0000603	ENSMUSP00000104163, ENSMUSP00000127568, ENSMUSP00000117052, ENSMUSP00000136261, ENSMUSP00000009236, ENSMUSP00000151623, ENSMUSP00000022993	EAA27423
OG0000604	ENSMUSP00000134332, ENSMUSP00000134583, ENSMUSP00000047018, ENSMUSP00000133587, ENSMUSP00000137234, ENSMUSP00000133376, ENSMUSP00000133448, ENSMUSP00000134164, ENSMUSP00000134653	EAA31915
OG0000605	ENSMUSP00000142607, ENSMUSP00000122939, ENSMUSP00000122274, ENSMUSP00000107123, ENSMUSP00000142423, ENSMUSP00000142722, ENSMUSP00000044134, ENSMUSP00000137214	EAA33358
OG0000606	ENSMUSP00000029477, ENSMUSP00000029478, ENSMUSP00000132169, ENSMUSP00000040198, ENSMUSP00000108932, ENSMUSP00000108933, ENSMUSP00000060581, ENSMUSP00000108936, ENSMUSP00000028160	EAA26965
OG0000607	ENSMUSP00000099448, ENSMUSP00000103362, ENSMUSP00000090441, ENSMUSP00000072416, ENSMUSP00000103361	EAA30995
OG0000607	ENSMUSP00000109271	EAA32981
OG0000608	ENSMUSP00000070682, ENSMUSP00000133428, ENSMUSP00000134178, ENSMUSP00000019576, ENSMUSP00000148329, ENSMUSP00000132222, ENSMUSP00000105435	EAA35657
OG0000609	ENSMUSP00000129046, ENSMUSP00000134677, ENSMUSP00000134086, ENSMUSP00000134620, ENSMUSP00000133392, ENSMUSP00000133327, ENSMUSP00000027475, ENSMUSP00000134077, ENSMUSP00000134193, ENSMUSP00000143670, ENSMUSP00000031727, ENSMUSP00000134660	EAA29487
OG0000611	ENSMUSP00000077532, ENSMUSP00000153725, ENSMUSP00000071040, ENSMUSP00000053101, ENSMUSP00000125630, ENSMUSP00000125722, ENSMUSP00000022355, ENSMUSP00000125582	ESA42472
OG0000613	ENSMUSP00000045487, ENSMUSP00000067013, ENSMUSP00000007959, ENSMUSP00000142697, ENSMUSP00000102399, ENSMUSP00000002303, ENSMUSP00000141967, ENSMUSP00000142855, ENSMUSP00000135659	ESA43505, EAA27525, EAA32796, ESA43610
OG0000623	ENSMUSP00000136035, ENSMUSP00000138949, ENSMUSP00000114019	ESA42597
OG0000627	ENSMUSP00000029355	EAA27462
OG0000628	ENSMUSP00000030069, ENSMUSP00000114559, ENSMUSP00000114766, ENSMUSP00000119981, ENSMUSP00000115704	EAA29751, EAA30707
OG0000629	ENSMUSP00000036996, ENSMUSP00000114989	EAA35037
OG0000630	ENSMUSP00000098656, ENSMUSP00000107921, ENSMUSP00000033727, ENSMUSP00000107919, ENSMUSP00000107922, ENSMUSP00000107920, ENSMUSP00000030381	EAA28496
OG0000631	ENSMUSP00000152507, ENSMUSP00000152531, ENSMUSP00000152300, ENSMUSP00000152534, ENSMUSP00000152459, ENSMUSP00000152221, ENSMUSP00000126825, ENSMUSP00000152791, ENSMUSP00000061616	EAA28016
OG0000632	ENSMUSP00000141435, ENSMUSP00000144565, ENSMUSP00000026743, ENSMUSP00000144124, ENSMUSP00000030882	EAA36444
OG0000632	ENSMUSP00000075762, ENSMUSP00000109727	EAA33638
OG0000634	ENSMUSP00000105780, ENSMUSP00000136709, ENSMUSP00000152437, ENSMUSP00000152828, ENSMUSP00000137563, ENSMUSP00000132993, ENSMUSP00000105776, ENSMUSP00000136486, ENSMUSP00000137317, ENSMUSP00000152354, ENSMUSP00000152416, ENSMUSP00000136949, ENSMUSP00000151971, ENSMUSP00000098728, ENSMUSP00000105774, ENSMUSP00000137146, ENSMUSP00000126351, ENSMUSP00000084387, ENSMUSP00000132018, ENSMUSP00000077223	EAA35388
OG0000635	ENSMUSP00000002081, ENSMUSP00000085734, ENSMUSP00000156908, ENSMUSP00000116259	ESA44159
OG0000636	ENSMUSP00000028838, ENSMUSP00000068525, ENSMUSP00000105286, ENSMUSP00000136467, ENSMUSP00000121096	EAA32667
OG0000637	ENSMUSP00000109376, ENSMUSP00000064413, ENSMUSP00000027362, ENSMUSP00000109378, ENSMUSP00000109379, ENSMUSP00000121732, ENSMUSP00000115322, ENSMUSP00000117455, ENSMUSP00000099366, ENSMUSP00000149813, ENSMUSP00000010804, ENSMUSP00000149676	EAA35009, EAA33860, EDO64907
OG0000640	ENSMUSP00000036845, ENSMUSP00000094088, ENSMUSP00000128516, ENSMUSP00000033567, ENSMUSP00000033001, ENSMUSP00000064041, ENSMUSP00000123427, ENSMUSP00000116178, ENSMUSP00000117903, ENSMUSP00000012331, ENSMUSP00000109152	EAA36202
OG0000641	ENSMUSP00000147200, ENSMUSP00000117102, ENSMUSP00000146387, ENSMUSP00000146704, ENSMUSP00000026823, ENSMUSP00000094981, ENSMUSP00000122239, ENSMUSP00000146634, ENSMUSP00000119772, ENSMUSP00000115447, ENSMUSP00000146785, ENSMUSP00000118632, ENSMUSP00000119871	ESA42020
OG0000642	ENSMUSP00000135445, ENSMUSP00000018875, ENSMUSP00000134779, ENSMUSP00000070714, ENSMUSP00000009234, ENSMUSP00000105523, ENSMUSP00000099134	EAA29724
OG0000643	ENSMUSP00000142956, ENSMUSP00000068403, ENSMUSP00000126052, ENSMUSP00000130514, ENSMUSP00000033643, ENSMUSP00000131622, ENSMUSP00000131340, ENSMUSP00000143124	ESA42241
OG0000644	ENSMUSP00000143311	EAA26870
OG0000644	ENSMUSP00000141246, ENSMUSP00000142105, ENSMUSP00000142101, ENSMUSP00000029850, ENSMUSP00000139387, ENSMUSP00000121269, ENSMUSP00000122619, ENSMUSP00000118449, ENSMUSP00000115146	EAA30306, EAA30642
OG0000646	ENSMUSP00000025696, ENSMUSP00000115454, ENSMUSP00000102558, ENSMUSP00000102559, ENSMUSP00000115456, ENSMUSP00000099841	EAA36080
OG0000646	ENSMUSP00000030583, ENSMUSP00000099664	EAA27017
OG0000647	ENSMUSP00000092794, ENSMUSP00000135802, ENSMUSP00000134764, ENSMUSP00000108177, ENSMUSP00000039103, ENSMUSP00000082220, ENSMUSP00000135646, ENSMUSP00000129617	EAA34982
OG0000652	ENSMUSP00000123650	EAA35244
OG0000653	ENSMUSP00000118805, ENSMUSP00000097756, ENSMUSP00000101912, ENSMUSP00000017276, ENSMUSP00000101909, ENSMUSP00000042698, ENSMUSP00000152189, ENSMUSP00000051423, ENSMUSP00000103357, ENSMUSP00000147706, ENSMUSP00000106355, ENSMUSP00000112157, ENSMUSP00000147451	EAA30233, ESA42621
OG0000654	ENSMUSP00000008893, ENSMUSP00000137780, ENSMUSP00000004646, ENSMUSP00000056862, ENSMUSP00000078703, ENSMUSP00000021190, ENSMUSP00000099551, ENSMUSP00000104028, ENSMUSP00000101972, ENSMUSP00000032949	EAA27351
OG0000669	ENSMUSP00000029259, ENSMUSP00000143039	ESA44309
OG0000669	ENSMUSP00000123422, ENSMUSP00000120027	EAA27877
OG0000671	ENSMUSP00000082723, ENSMUSP00000118766, ENSMUSP00000119461, ENSMUSP00000055036	EAA27065
OG0000672	ENSMUSP00000147702	ESA42252, ESA43575
OG0000673	ENSMUSP00000104347, ENSMUSP00000117361, ENSMUSP00000019649	EAA29567
OG0000674	ENSMUSP00000141192, ENSMUSP00000141100, ENSMUSP00000027174, ENSMUSP00000140250	EAA27607
OG0000674	ENSMUSP00000123879, ENSMUSP00000124616, ENSMUSP00000125305, ENSMUSP00000099487	EAA28813
OG0000675	ENSMUSP00000102456, ENSMUSP00000021052, ENSMUSP00000133629, ENSMUSP00000030791, ENSMUSP00000143437, ENSMUSP00000155750, ENSMUSP00000155619, ENSMUSP00000155667, ENSMUSP00000154932, ENSMUSP00000023759	EAA26775
OG0000676	ENSMUSP00000097714, ENSMUSP00000026128	EDO65159
OG0000677	ENSMUSP00000112577, ENSMUSP00000099390	EAA30969
OG0000678	ENSMUSP00000135892, ENSMUSP00000135223, ENSMUSP00000135086, ENSMUSP00000135370, ENSMUSP00000004097, ENSMUSP00000134819, ENSMUSP00000135816, ENSMUSP00000135036, ENSMUSP00000135054, ENSMUSP00000135512, ENSMUSP00000135606	EAA32044
OG0000680	ENSMUSP00000034138, ENSMUSP00000070413, ENSMUSP00000112520, ENSMUSP00000119602, ENSMUSP00000116601, ENSMUSP00000121461, ENSMUSP00000118294, ENSMUSP00000030118, ENSMUSP00000129730	EAA29179
OG0000681	ENSMUSP00000115946, ENSMUSP00000144107, ENSMUSP00000116029, ENSMUSP00000144594, ENSMUSP00000111117, ENSMUSP00000111123, ENSMUSP00000111120, ENSMUSP00000117587, ENSMUSP00000047678, ENSMUSP00000111121, ENSMUSP00000073506, ENSMUSP00000144320	ESA43153
OG0000682	ENSMUSP00000034226, ENSMUSP00000148506, ENSMUSP00000148524, ENSMUSP00000148543, ENSMUSP00000148547, ENSMUSP00000148379, ENSMUSP00000148342, ENSMUSP00000148325, ENSMUSP00000148497, ENSMUSP00000148392, ENSMUSP00000148606	EAA32912
OG0000684	ENSMUSP00000020411, ENSMUSP00000113362, ENSMUSP00000092948, ENSMUSP00000100911	EAA35175
OG0000685	ENSMUSP00000074195, ENSMUSP00000008966, ENSMUSP00000113161, ENSMUSP00000112609, ENSMUSP00000070555	ESA43975
OG0000686	ENSMUSP00000115208, ENSMUSP00000084454, ENSMUSP00000143983, ENSMUSP00000143824, ENSMUSP00000144215, ENSMUSP00000144183, ENSMUSP00000092289, ENSMUSP00000098687, ENSMUSP00000119385	EAA35206
OG0000698	ENSMUSP00000116041	ESA42871
OG0000702	ENSMUSP00000076739, ENSMUSP00000025319, ENSMUSP00000133400	EAA35658
OG0000706	ENSMUSP00000117905, ENSMUSP00000113884, ENSMUSP00000112389, ENSMUSP00000117652, ENSMUSP00000113811, ENSMUSP00000118860, ENSMUSP00000104023, ENSMUSP00000113613, ENSMUSP00000112967, ENSMUSP00000041196, ENSMUSP00000113276, ENSMUSP00000118311	EAA30394
OG0000707	ENSMUSP00000152905, ENSMUSP00000153488, ENSMUSP00000044288, ENSMUSP00000145651, ENSMUSP00000145603, ENSMUSP00000145696, ENSMUSP00000145760, ENSMUSP00000145902, ENSMUSP00000146301, ENSMUSP00000087118, ENSMUSP00000142136	ESA43946
OG0000710	ENSMUSP00000111939, ENSMUSP00000109713, ENSMUSP00000050424, ENSMUSP00000056481, ENSMUSP00000055002	ESA42409
OG0000712	ENSMUSP00000010520, ENSMUSP00000130492	EAA35250
OG0000713	ENSMUSP00000138508, ENSMUSP00000148326, ENSMUSP00000138396, ENSMUSP00000073289, ENSMUSP00000113942, ENSMUSP00000113213, ENSMUSP00000074317, ENSMUSP00000138634	EAA27741
OG0000714	ENSMUSP00000107404, ENSMUSP00000107405, ENSMUSP00000027741	EAA31925
OG0000717	ENSMUSP00000034164	EAA33425
OG0000718	ENSMUSP00000078654, ENSMUSP00000128489	EAA32243
OG0000719	ENSMUSP00000039763, ENSMUSP00000138014, ENSMUSP00000108267, ENSMUSP00000114705, ENSMUSP00000027634	EAA27950
OG0000721	ENSMUSP00000155674, ENSMUSP00000154922, ENSMUSP00000097738, ENSMUSP00000018816, ENSMUSP00000119593	EAA36433
OG0000722	ENSMUSP00000106366, ENSMUSP00000006742, ENSMUSP00000058840, ENSMUSP00000109186	EAA36008
OG0000723	ENSMUSP00000112717, ENSMUSP00000082313, ENSMUSP00000119564, ENSMUSP00000109611, ENSMUSP00000120754, ENSMUSP00000026039, ENSMUSP00000052226, ENSMUSP00000067598	EAA29577
OG0000725	ENSMUSP00000003320, ENSMUSP00000155949, ENSMUSP00000121169	EAA30360
OG0000726	ENSMUSP00000027394, ENSMUSP00000125086, ENSMUSP00000139757, ENSMUSP00000124552, ENSMUSP00000106475, ENSMUSP00000078910, ENSMUSP00000123097	EAA32710
OG0000727	ENSMUSP00000121790, ENSMUSP00000102715, ENSMUSP00000018821, ENSMUSP00000115445, ENSMUSP00000115365, ENSMUSP00000115087, ENSMUSP00000116336, ENSMUSP00000120021, ENSMUSP00000130630, ENSMUSP00000067611, ENSMUSP00000143045, ENSMUSP00000142511	EAA34536
OG0000728	ENSMUSP00000134065, ENSMUSP00000134426, ENSMUSP00000007250, ENSMUSP00000094951	EAA34594
OG0000729	ENSMUSP00000134827, ENSMUSP00000135518, ENSMUSP00000067638, ENSMUSP00000110893, ENSMUSP00000110897, ENSMUSP00000100060, ENSMUSP00000029490, ENSMUSP00000127198, ENSMUSP00000061851	ESA42803
OG0000731	ENSMUSP00000102987, ENSMUSP00000019317, ENSMUSP00000000727, ENSMUSP00000017975	EAA35575, EAA26716
OG0000734	ENSMUSP00000108217, ENSMUSP00000078388, ENSMUSP00000079163, ENSMUSP00000098362, ENSMUSP00000119852	EAA27963
OG0000735	ENSMUSP00000025546, ENSMUSP00000128696, ENSMUSP00000069699	EAA28142
OG0000736	ENSMUSP00000022148, ENSMUSP00000152781	EAA35049
OG0000738	ENSMUSP00000047543, ENSMUSP00000106203, ENSMUSP00000106207, ENSMUSP00000106201, ENSMUSP00000100890, ENSMUSP00000100891, ENSMUSP00000072852, ENSMUSP00000133755, ENSMUSP00000027367	ESA44134
OG0000739	ENSMUSP00000092539, ENSMUSP00000028123, ENSMUSP00000155492, ENSMUSP00000023805, ENSMUSP00000112433, ENSMUSP00000077694, ENSMUSP00000113240	EAA30738
OG0000741	ENSMUSP00000121763, ENSMUSP00000119179, ENSMUSP00000117187, ENSMUSP00000101750, ENSMUSP00000147433, ENSMUSP00000033276, ENSMUSP00000101752, ENSMUSP00000101751	EAA30479
OG0000746	ENSMUSP00000109498, ENSMUSP00000109500, ENSMUSP00000109501, ENSMUSP00000028155, ENSMUSP00000120888, ENSMUSP00000115380	ESA42867
OG0000751	ENSMUSP00000132232	ESA43416
OG0000751	ENSMUSP00000124000, ENSMUSP00000125729, ENSMUSP00000128913, ENSMUSP00000125363, ENSMUSP00000132021, ENSMUSP00000132833, ENSMUSP00000125520, ENSMUSP00000130298, ENSMUSP00000132256	EAA35868, EAA34280
OG0000762	ENSMUSP00000099681, ENSMUSP00000125405, ENSMUSP00000004745, ENSMUSP00000052440, ENSMUSP00000089051	EAA33289
OG0000763	ENSMUSP00000030760, ENSMUSP00000121918, ENSMUSP00000032477	EAA27090
OG0000766	ENSMUSP00000035230	EAA35876
OG0000768	ENSMUSP00000064900, ENSMUSP00000107616, ENSMUSP00000138571, ENSMUSP00000092157, ENSMUSP00000138213, ENSMUSP00000130598	EAA34274
OG0000769	ENSMUSP00000101238, ENSMUSP00000030939, ENSMUSP00000101237	EAA32281, EAA35184
OG0000770	ENSMUSP00000011896, ENSMUSP00000020768, ENSMUSP00000047393, ENSMUSP00000121818, ENSMUSP00000120794, ENSMUSP00000115825	EAA33977
OG0000771	ENSMUSP00000139239, ENSMUSP00000138744, ENSMUSP00000138708, ENSMUSP00000138288, ENSMUSP00000138911, ENSMUSP00000138765, ENSMUSP00000138709, ENSMUSP00000064988, ENSMUSP00000075150, ENSMUSP00000146959	EAA34277
OG0000773	ENSMUSP00000025811, ENSMUSP00000117224, ENSMUSP00000146477, ENSMUSP00000103872, ENSMUSP00000103873, ENSMUSP00000032809	EAA36528
OG0000774	ENSMUSP00000152532, ENSMUSP00000152564, ENSMUSP00000082406, ENSMUSP00000153095, ENSMUSP00000052085	EAA26755
OG0000775	ENSMUSP00000076503	EAA36106
OG0000775	ENSMUSP00000125656, ENSMUSP00000048373, ENSMUSP00000022170, ENSMUSP00000125088, ENSMUSP00000124426, ENSMUSP00000125306, ENSMUSP00000124253	EAA32924
OG0000776	ENSMUSP00000115178, ENSMUSP00000109123, ENSMUSP00000059751, ENSMUSP00000140051, ENSMUSP00000140244, ENSMUSP00000132143, ENSMUSP00000081772, ENSMUSP00000139407, ENSMUSP00000140423	EAA34951
OG0000777	ENSMUSP00000124881, ENSMUSP00000057069, ENSMUSP00000124992	EAA32053
OG0000778	ENSMUSP00000115153	EAA29034
OG0000780	ENSMUSP00000086165, ENSMUSP00000112638, ENSMUSP00000030563, ENSMUSP00000152458, ENSMUSP00000022060	ESA43970
OG0000781	ENSMUSP00000114937, ENSMUSP00000119107, ENSMUSP00000149626, ENSMUSP00000136463, ENSMUSP00000077649, ENSMUSP00000034700, ENSMUSP00000114898, ENSMUSP00000075113, ENSMUSP00000115626	EAA32677
OG0000783	ENSMUSP00000137716	ESA42893
OG0000785	ENSMUSP00000151541, ENSMUSP00000151881, ENSMUSP00000151631	EAA28700
OG0000786	ENSMUSP00000155103, ENSMUSP00000124100, ENSMUSP00000124932, ENSMUSP00000155545, ENSMUSP00000123866, ENSMUSP00000154823, ENSMUSP00000155391, ENSMUSP00000125144, ENSMUSP00000123758, ENSMUSP00000155628, ENSMUSP00000155203, ENSMUSP00000124246	EAA26831
OG0000787	ENSMUSP00000102892, ENSMUSP00000001824, ENSMUSP00000128674, ENSMUSP00000001826, ENSMUSP00000130752	EAA33311, EAA35731
OG0000788	ENSMUSP00000156346, ENSMUSP00000156878, ENSMUSP00000110532, ENSMUSP00000110531, ENSMUSP00000136042, ENSMUSP00000025052, ENSMUSP00000156208	EAA34279
OG0000790	ENSMUSP00000068260, ENSMUSP00000101862, ENSMUSP00000101864, ENSMUSP00000112952, ENSMUSP00000021802, ENSMUSP00000153125, ENSMUSP00000153072	EAA33442
OG0000791	ENSMUSP00000140307, ENSMUSP00000140467, ENSMUSP00000139664, ENSMUSP00000027111, ENSMUSP00000126621	EAA27952
OG0000794	ENSMUSP00000111452, ENSMUSP00000120006, ENSMUSP00000060382, ENSMUSP00000111456, ENSMUSP00000079164, ENSMUSP00000115371, ENSMUSP00000122316, ENSMUSP00000111451, ENSMUSP00000111457, ENSMUSP00000119712, ENSMUSP00000113518, ENSMUSP00000128997, ENSMUSP00000113308	EAA35239
OG0000795	ENSMUSP00000135755	EAA33988
OG0000796	ENSMUSP00000125184, ENSMUSP00000043710, ENSMUSP00000101057, ENSMUSP00000023768, ENSMUSP00000097777, ENSMUSP00000131238, ENSMUSP00000133806, ENSMUSP00000126827, ENSMUSP00000152159, ENSMUSP00000125614, ENSMUSP00000125744	ESA43316
