Orthogroup	human	mouse
OG0001928	ENSP00000448614	ENSMUSP00000138006, ENSMUSP00000048285, ENSMUSP00000138083
OG0001929	ENSP00000427692, ENSP00000439479, ENSP00000309690	ENSMUSP00000137871, ENSMUSP00000045559
OG0001929	ENSP00000251076	ENSMUSP00000113705, ENSMUSP00000122293, ENSMUSP00000113693
OG0001929	ENSP00000400855	ENSMUSP00000119959
OG0001930	ENSP00000411108, ENSP00000445598, ENSP00000446606, ENSP00000443272	ENSMUSP00000107931, ENSMUSP00000107930
OG0001930	ENSP00000310623	ENSMUSP00000026937
OG0001931	ENSP00000420907, ENSP00000419973, ENSP00000264990	ENSMUSP00000043424, ENSMUSP00000141064
OG0001931	ENSP00000423796	ENSMUSP00000112994
OG0001931	ENSP00000449097	ENSMUSP00000107406, ENSMUSP00000046497
OG0001931	ENSP00000325137, ENSP00000446959, ENSP00000389813	ENSMUSP00000107400, ENSMUSP00000031412
OG0001932	ENSP00000354314, ENSP00000393955, ENSP00000483507, ENSP00000316339	ENSMUSP00000029464
OG0001932	ENSP00000368066	ENSMUSP00000028704
OG0001933	ENSP00000359481, ENSP00000359484, ENSP00000484538, ENSP00000313382	ENSMUSP00000117875, ENSMUSP00000027339
OG0001933	ENSP00000389895, ENSP00000361793, ENSP00000442835, ENSP00000479285, ENSP00000361803	ENSMUSP00000035800
OG0001935	ENSP00000336606, ENSP00000483397	ENSMUSP00000066977
OG0001935	ENSP00000476642, ENSP00000361043, ENSP00000396113	ENSMUSP00000099766, ENSMUSP00000099765
OG0001936	ENSP00000382507, ENSP00000428314, ENSP00000492780, ENSP00000428241	ENSMUSP00000029907
OG0001936	ENSP00000338643	ENSMUSP00000099449
OG0001936	ENSP00000418529, ENSP00000216879	ENSMUSP00000086542, ENSMUSP00000028949
OG0001937	ENSP00000349053, ENSP00000340466	ENSMUSP00000093965
OG0001937	ENSP00000326227	ENSMUSP00000116898
OG0001938	ENSP00000432748	ENSMUSP00000134951, ENSMUSP00000135416
OG0001938	ENSP00000367129	ENSMUSP00000010254
OG0001938	ENSP00000414289	ENSMUSP00000134794
OG0001939	ENSP00000331384, ENSP00000338348	ENSMUSP00000133515
OG0001939	ENSP00000380178	ENSMUSP00000021148
OG0001940	ENSP00000470023	ENSMUSP00000147368
OG0001940	ENSP00000468952, ENSP00000385077, ENSP00000471006	ENSMUSP00000147682, ENSMUSP00000147400, ENSMUSP00000147636
OG0001940	ENSP00000468828	ENSMUSP00000148112, ENSMUSP00000147375
OG0001941	ENSP00000425877, ENSP00000368645, ENSP00000418603, ENSP00000330898, ENSP00000477228, ENSP00000483328, ENSP00000419145, ENSP00000419082, ENSP00000351218, ENSP00000482932, ENSP00000377383	ENSMUSP00000106757
OG0001941	ENSP00000292614	ENSMUSP00000038505, ENSMUSP00000106759
OG0001942	ENSP00000463310	ENSMUSP00000157244
OG0001942	ENSP00000354024, ENSP00000323050, ENSP00000382630, ENSP00000464691, ENSP00000382628, ENSP00000382627	ENSMUSP00000046255, ENSMUSP00000111527, ENSMUSP00000157008
OG0001942	ENSP00000463439	ENSMUSP00000157079
OG0001942	ENSP00000463544	ENSMUSP00000157098
OG0001943	ENSP00000497840	ENSMUSP00000125337
OG0001943	ENSP00000336911	ENSMUSP00000123961
OG0001943	ENSP00000487338, ENSP00000484404	ENSMUSP00000156876
OG0001943	ENSP00000351141, ENSP00000479438	ENSMUSP00000007007, ENSMUSP00000124205
OG0001944	ENSP00000427512, ENSP00000426966, ENSP00000421644, ENSP00000427460	ENSMUSP00000144584
OG0001944	ENSP00000422215, ENSP00000264750, ENSP00000302830, ENSP00000424436, ENSP00000426807	ENSMUSP00000110093
OG0001945	ENSP00000366225	ENSMUSP00000120979
OG0001945	ENSP00000482826	ENSMUSP00000028926
OG0001945	ENSP00000471520, ENSP00000263354, ENSP00000471261, ENSP00000472667, ENSP00000470946, ENSP00000471018	ENSMUSP00000006181
OG0001946	ENSP00000385283, ENSP00000379680, ENSP00000384603	ENSMUSP00000155445, ENSMUSP00000155159, ENSMUSP00000155062, ENSMUSP00000154927, ENSMUSP00000155110, ENSMUSP00000155808, ENSMUSP00000023088
OG0001946	ENSP00000218516, ENSP00000498186	ENSMUSP00000033621
OG0001947	ENSP00000400542	ENSMUSP00000120441
OG0001947	ENSP00000407325	ENSMUSP00000121957, ENSMUSP00000117706
OG0001947	ENSP00000358563, ENSP00000478387, ENSP00000407253	ENSMUSP00000033776
OG0001948	ENSP00000495415, ENSP00000380142	ENSMUSP00000113620
OG0001948	ENSP00000494282, ENSP00000452898, ENSP00000415556, ENSP00000495416, ENSP00000493711, ENSP00000380146	ENSMUSP00000072344, ENSMUSP00000113014, ENSMUSP00000114211, ENSMUSP00000113202
OG0001949	ENSP00000379650, ENSP00000494300, ENSP00000496488, ENSP00000379652, ENSP00000495217, ENSP00000495447, ENSP00000494599, ENSP00000493770, ENSP00000419243, ENSP00000496143, ENSP00000418015, ENSP00000366482	ENSMUSP00000117047, ENSMUSP00000080081
OG0001950	ENSP00000497306, ENSP00000497330, ENSP00000497535, ENSP00000497047, ENSP00000498157, ENSP00000383989, ENSP00000215956, ENSP00000347401, ENSP00000383949, ENSP00000497142	ENSMUSP00000091840
OG0001951	ENSP00000216254, ENSP00000379769	ENSMUSP00000023116
OG0001952	ENSP00000423348, ENSP00000426634, ENSP00000423623, ENSP00000426895, ENSP00000422542, ENSP00000284440	ENSMUSP00000031131
OG0001952	ENSP00000477746, ENSP00000398189	ENSMUSP00000154032
OG0001952	ENSP00000366819	ENSMUSP00000045208
OG0001953	ENSP00000493723, ENSP00000494205, ENSP00000356071, ENSP00000356068, ENSP00000475808, ENSP00000493559, ENSP00000496451, ENSP00000496731, ENSP00000493554	ENSMUSP00000095043, ENSMUSP00000024570
OG0001954	ENSP00000399010, ENSP00000409960, ENSP00000399909, ENSP00000486221, ENSP00000396592, ENSP00000395420, ENSP00000488507, ENSP00000481735, ENSP00000405626, ENSP00000371544, ENSP00000324318, ENSP00000401013, ENSP00000396407	ENSMUSP00000020954, ENSMUSP00000132009, ENSMUSP00000127752
OG0001955	ENSP00000498090, ENSP00000242257, ENSP00000384423, ENSP00000392343	ENSMUSP00000031536
OG0001955	ENSP00000326948, ENSP00000380103, ENSP00000019019	ENSMUSP00000111257, ENSMUSP00000111258, ENSMUSP00000033513
OG0001956	ENSP00000378740, ENSP00000307188, ENSP00000370219	ENSMUSP00000125143
OG0001956	ENSP00000378741	ENSMUSP00000123799, ENSMUSP00000124274, ENSMUSP00000124579
OG0001956	ENSP00000354710	ENSMUSP00000124487, ENSMUSP00000123861
OG0001957	ENSP00000436720, ENSP00000318604, ENSP00000436030, ENSP00000433979	ENSMUSP00000125387, ENSMUSP00000023212, ENSMUSP00000124893
OG0001957	ENSP00000431907	ENSMUSP00000124242, ENSMUSP00000124110
OG0001958	ENSP00000435692, ENSP00000437239	ENSMUSP00000141471
OG0001958	ENSP00000436228, ENSP00000295702, ENSP00000434306	ENSMUSP00000141441, ENSMUSP00000141922, ENSMUSP00000141325, ENSMUSP00000045456
OG0001958	ENSP00000432831, ENSP00000436201	ENSMUSP00000141389
OG0001959	ENSP00000312074, ENSP00000480442, ENSP00000407845, ENSP00000480101, ENSP00000477991, ENSP00000391074, ENSP00000481723, ENSP00000401560	ENSMUSP00000120605
OG0001959	ENSP00000386609, ENSP00000488468	ENSMUSP00000113939, ENSMUSP00000134266
OG0001960	ENSP00000376174, ENSP00000446215	ENSMUSP00000129559, ENSMUSP00000106975
OG0001960	ENSP00000376176	ENSMUSP00000031383
OG0001961	ENSP00000424713	ENSMUSP00000145181
OG0001961	ENSP00000261424, ENSP00000371321	ENSMUSP00000134444, ENSMUSP00000145385, ENSMUSP00000144954, ENSMUSP00000144980
OG0001962	ENSP00000447719, ENSP00000447451, ENSP00000447031, ENSP00000413112, ENSP00000389632, ENSP00000447866, ENSP00000257966, ENSP00000450010, ENSP00000318165, ENSP00000373798, ENSP00000373794, ENSP00000407360	ENSMUSP00000079770, ENSMUSP00000128914
OG0001962	ENSP00000447163	ENSMUSP00000151466
OG0001963	ENSP00000494012, ENSP00000496684, ENSP00000494116, ENSP00000494526, ENSP00000494889, ENSP00000494545, ENSP00000408901, ENSP00000496038, ENSP00000495619, ENSP00000285398, ENSP00000495336	ENSMUSP00000025241
OG0001964	ENSP00000472378, ENSP00000488977, ENSP00000470839, ENSP00000489283, ENSP00000489296, ENSP00000469354, ENSP00000489301, ENSP00000471738, ENSP00000489574, ENSP00000472322, ENSP00000470809, ENSP00000489400, ENSP00000489530, ENSP00000221418	ENSMUSP00000066092, ENSMUSP00000116992
OG0001965	ENSP00000448182, ENSP00000318262, ENSP00000418091, ENSP00000449643, ENSP00000420678	ENSMUSP00000020339
OG0001965	ENSP00000481003, ENSP00000469747, ENSP00000446323, ENSP00000472647, ENSP00000221543	ENSMUSP00000048260, ENSMUSP00000121546
OG0001966	ENSP00000492312, ENSP00000460820, ENSP00000491775, ENSP00000490961, ENSP00000460126, ENSP00000491052, ENSP00000440227, ENSP00000219599, ENSP00000492104, ENSP00000491368, ENSP00000461904, ENSP00000492884, ENSP00000459982, ENSP00000460510	ENSMUSP00000033198
OG0001967	ENSP00000311202, ENSP00000455785	ENSMUSP00000032924
OG0001967	ENSP00000466301, ENSP00000440749, ENSP00000454282, ENSP00000226225	ENSMUSP00000017759, ENSMUSP00000103912
OG0001967	ENSP00000445129, ENSP00000437348, ENSP00000441672, ENSP00000228495	ENSMUSP00000001125, ENSMUSP00000099641
OG0001970	ENSP00000351695, ENSP00000431406, ENSP00000437263, ENSP00000433785, ENSP00000431207, ENSP00000436123, ENSP00000433933, ENSP00000434159	ENSMUSP00000045465
OG0001970	ENSP00000358223	ENSMUSP00000056377
OG0001970	ENSP00000468117, ENSP00000463502, ENSP00000480815	ENSMUSP00000026081
OG0001971	ENSP00000484840, ENSP00000401244, ENSP00000368308, ENSP00000368314, ENSP00000325269, ENSP00000368310, ENSP00000407858	ENSMUSP00000020939, ENSMUSP00000151844, ENSMUSP00000106376
OG0001973	ENSP00000367471, ENSP00000384545, ENSP00000376337, ENSP00000443091, ENSP00000446223, ENSP00000368713, ENSP00000419382, ENSP00000418201, ENSP00000328328, ENSP00000386211, ENSP00000386121, ENSP00000415365, ENSP00000323408, ENSP00000497066, ENSP00000418751	ENSMUSP00000127300, ENSMUSP00000078845
OG0001976	ENSP00000384498, ENSP00000265992, ENSP00000435373	ENSMUSP00000113712, ENSMUSP00000112643, ENSMUSP00000025983
OG0001976	ENSP00000428836, ENSP00000427960, ENSP00000257536, ENSP00000446367, ENSP00000377547, ENSP00000493837	ENSMUSP00000058111
OG0001977	ENSP00000307843, ENSP00000385639, ENSP00000360763, ENSP00000360764	ENSMUSP00000134503, ENSMUSP00000123465, ENSMUSP00000118924, ENSMUSP00000097863, ENSMUSP00000115482, ENSMUSP00000099971, ENSMUSP00000128741, ENSMUSP00000134034
OG0001977	ENSP00000473338	ENSMUSP00000121896
OG0001978	ENSP00000392715	ENSMUSP00000142609, ENSMUSP00000142778, ENSMUSP00000142392
OG0001978	ENSP00000394232, ENSP00000416658, ENSP00000399582, ENSP00000440286, ENSP00000496560, ENSP00000493725, ENSP00000494272, ENSP00000414842, ENSP00000406642, ENSP00000392352, ENSP00000495130, ENSP00000411116	ENSMUSP00000035053, ENSMUSP00000143021
OG0001979	ENSP00000481916, ENSP00000343966	ENSMUSP00000022507
OG0001979	ENSP00000436038, ENSP00000435921	ENSMUSP00000133038
OG0001979	ENSP00000406673, ENSP00000413350, ENSP00000362947, ENSP00000276079, ENSP00000362963, ENSP00000409773, ENSP00000441364	ENSMUSP00000033673
OG0001980	ENSP00000405976, ENSP00000392993, ENSP00000395241, ENSP00000411104, ENSP00000403167, ENSP00000392020, ENSP00000403552, ENSP00000313869, ENSP00000419123, ENSP00000395709	ENSMUSP00000035099
OG0001980	ENSP00000234160	ENSMUSP00000028509, ENSMUSP00000107820, ENSMUSP00000107824, ENSMUSP00000121549
OG0001981	ENSP00000444137, ENSP00000440785	ENSMUSP00000072165, ENSMUSP00000107195
OG0001981	ENSP00000449139, ENSP00000443353, ENSP00000403876, ENSP00000443145, ENSP00000441005, ENSP00000442295	ENSMUSP00000121685
OG0001982	ENSP00000454885	ENSMUSP00000123317
OG0001982	ENSP00000457156	ENSMUSP00000123505
OG0001982	ENSP00000455580	ENSMUSP00000049146
OG0001983	ENSP00000493719, ENSP00000495947, ENSP00000457227, ENSP00000495542, ENSP00000494718, ENSP00000493669, ENSP00000496696, ENSP00000455397, ENSP00000401362, ENSP00000342433, ENSP00000496325, ENSP00000454334, ENSP00000457854, ENSP00000456736, ENSP00000454831, ENSP00000456477	ENSMUSP00000106543, ENSMUSP00000126772
OG0001984	ENSP00000475477	ENSMUSP00000148119
OG0001984	ENSP00000368199, ENSP00000437560, ENSP00000490927	ENSMUSP00000032770, ENSMUSP00000146996
OG0001984	ENSP00000252813	ENSMUSP00000147879
OG0001984	ENSP00000269919	ENSMUSP00000070778
OG0001984	ENSP00000475867, ENSP00000473772	ENSMUSP00000148141
OG0001985	ENSP00000400304, ENSP00000377890, ENSP00000337146, ENSP00000478608, ENSP00000359965, ENSP00000359973	ENSMUSP00000110564, ENSMUSP00000033437, ENSMUSP00000128885, ENSMUSP00000110568, ENSMUSP00000110561, ENSMUSP00000110562
OG0001985	ENSP00000261488	ENSMUSP00000154296, ENSMUSP00000022589, ENSMUSP00000154512
OG0001986	ENSP00000414280	ENSMUSP00000144392
OG0001986	ENSP00000410300, ENSP00000336747, ENSP00000484528	ENSMUSP00000148842, ENSMUSP00000144429, ENSMUSP00000144086, ENSMUSP00000059033
OG0001986	ENSP00000446236, ENSP00000253083	ENSMUSP00000130766, ENSMUSP00000143309, ENSMUSP00000000939
OG0001988	ENSP00000450905, ENSP00000451034, ENSP00000450951, ENSP00000450993, ENSP00000370031, ENSP00000298324, ENSP00000445067, ENSP00000452354, ENSP00000351439, ENSP00000451955, ENSP00000346427, ENSP00000337653, ENSP00000482306, ENSP00000482721, ENSP00000339486	ENSMUSP00000115828, ENSMUSP00000078148, ENSMUSP00000082190
OG0001990	ENSP00000366236, ENSP00000486016, ENSP00000487003, ENSP00000312834	ENSMUSP00000107223, ENSMUSP00000064943
OG0001990	ENSP00000402615	ENSMUSP00000121668
OG0001991	ENSP00000462664, ENSP00000462681, ENSP00000217800, ENSP00000385196	ENSMUSP00000124877, ENSMUSP00000123964, ENSMUSP00000039869, ENSMUSP00000112563
OG0001991	ENSP00000463071, ENSP00000464025, ENSP00000461983	ENSMUSP00000125467
OG0001992	ENSP00000251900, ENSP00000318094, ENSP00000380359, ENSP00000479881, ENSP00000361676, ENSP00000386079, ENSP00000354656, ENSP00000380356, ENSP00000361677, ENSP00000337352, ENSP00000361678, ENSP00000354996, ENSP00000403974	ENSMUSP00000000087, ENSMUSP00000101905, ENSMUSP00000069813, ENSMUSP00000101908
OG0001993	ENSP00000286650	ENSMUSP00000105849
OG0001993	ENSP00000451946, ENSP00000452524	ENSMUSP00000039939, ENSMUSP00000048809, ENSMUSP00000135730, ENSMUSP00000134874, ENSMUSP00000135712, ENSMUSP00000134934
OG0001993	ENSP00000298832	ENSMUSP00000105853
OG0001995	ENSP00000472043, ENSP00000472087, ENSP00000472731, ENSP00000472643, ENSP00000476767, ENSP00000471700, ENSP00000472302, ENSP00000222308, ENSP00000441267, ENSP00000475588	ENSMUSP00000114069, ENSMUSP00000074935, ENSMUSP00000112527
OG0001995	ENSP00000472921	ENSMUSP00000113528
OG0001996	ENSP00000319814	ENSMUSP00000029017
OG0001996	ENSP00000453444, ENSP00000495677	ENSMUSP00000154736
OG0001996	ENSP00000494919, ENSP00000216780	ENSMUSP00000154245, ENSMUSP00000154072, ENSMUSP00000038555, ENSMUSP00000153733, ENSMUSP00000154762
OG0001997	ENSP00000164024	ENSMUSP00000144254, ENSMUSP00000024238, ENSMUSP00000151109, ENSMUSP00000150759
OG0001997	ENSP00000262738	ENSMUSP00000016172, ENSMUSP00000153927, ENSMUSP00000154168
OG0001997	ENSP00000271332	ENSMUSP00000088046, ENSMUSP00000122329
OG0001998	ENSP00000222256	ENSMUSP00000105720, ENSMUSP00000105717, ENSMUSP00000105719, ENSMUSP00000034301, ENSMUSP00000150125, ENSMUSP00000155513
OG0001998	ENSP00000282878	ENSMUSP00000153347, ENSMUSP00000132945
OG0001998	ENSP00000360718	ENSMUSP00000102261, ENSMUSP00000003502
OG0001998	ENSP00000222120, ENSP00000466000	ENSMUSP00000113322, ENSMUSP00000111008
OG0001999	ENSP00000011619	ENSMUSP00000130636, ENSMUSP00000152620
OG0001999	ENSP00000316589, ENSP00000486026, ENSP00000392808, ENSP00000473396	ENSMUSP00000040045
OG0002000	ENSP00000377530, ENSP00000377527, ENSP00000377532	ENSMUSP00000063825, ENSMUSP00000109456, ENSMUSP00000153479
OG0002001	ENSP00000407131, ENSP00000391712, ENSP00000387171, ENSP00000352047, ENSP00000386289, ENSP00000386867, ENSP00000386732, ENSP00000387144, ENSP00000387013, ENSP00000386402, ENSP00000386809	ENSMUSP00000074115, ENSMUSP00000124756, ENSMUSP00000125506
OG0002002	ENSP00000294737	ENSMUSP00000143783
OG0002002	ENSP00000356366	ENSMUSP00000142738
OG0002002	ENSP00000479816	ENSMUSP00000092082, ENSMUSP00000127580
OG0002003	ENSP00000379328	ENSMUSP00000107377
OG0002003	ENSP00000437487, ENSP00000443520, ENSP00000398273	ENSMUSP00000047567, ENSMUSP00000114602, ENSMUSP00000122786
OG0002003	ENSP00000439832	ENSMUSP00000107378, ENSMUSP00000076403, ENSMUSP00000133041
OG0002004	ENSP00000402954, ENSP00000400179, ENSP00000408170, ENSP00000388159, ENSP00000394185, ENSP00000386344, ENSP00000342306, ENSP00000409177, ENSP00000233156, ENSP00000376172	ENSMUSP00000107346, ENSMUSP00000107343, ENSMUSP00000088235, ENSMUSP00000122776, ENSMUSP00000107340, ENSMUSP00000028487, ENSMUSP00000107347, ENSMUSP00000107351
OG0002005	ENSP00000377020, ENSP00000377021, ENSP00000322909, ENSP00000386633, ENSP00000386665	ENSMUSP00000141170, ENSMUSP00000008280
OG0002006	ENSP00000497385	ENSMUSP00000102540
OG0002006	ENSP00000483521	ENSMUSP00000030254
OG0002006	ENSP00000429656, ENSP00000429155, ENSP00000497088, ENSP00000429398, ENSP00000428281, ENSP00000412803, ENSP00000314625, ENSP00000428196, ENSP00000430702	ENSMUSP00000033910
OG0002007	ENSP00000352413, ENSP00000452681	ENSMUSP00000130348, ENSMUSP00000046028
OG0002007	ENSP00000495303, ENSP00000351732	ENSMUSP00000125843, ENSMUSP00000077139
OG0002007	ENSP00000493816, ENSP00000493838, ENSP00000496159, ENSP00000493726, ENSP00000493698, ENSP00000494684, ENSP00000297784, ENSP00000341433	ENSMUSP00000040859
OG0002008	ENSP00000399482	ENSMUSP00000123715, ENSMUSP00000125282, ENSMUSP00000123883
OG0002008	ENSP00000412233, ENSP00000408271, ENSP00000405276, ENSP00000412326, ENSP00000187397	ENSMUSP00000125684, ENSMUSP00000107503, ENSMUSP00000069264, ENSMUSP00000035085, ENSMUSP00000125862, ENSMUSP00000124502, ENSMUSP00000125095
OG0002009	ENSP00000492149, ENSP00000352704, ENSP00000478146	ENSMUSP00000105407
OG0002009	ENSP00000483523	ENSMUSP00000036571
OG0002009	ENSP00000465450, ENSP00000467629	ENSMUSP00000095256, ENSMUSP00000127870
OG0002009	ENSP00000467015, ENSP00000445733	ENSMUSP00000064166, ENSMUSP00000089642
OG0002009	ENSP00000443472	ENSMUSP00000080150
OG0002010	ENSP00000328547, ENSP00000313397, ENSP00000412305, ENSP00000403169, ENSP00000337764, ENSP00000201963	ENSMUSP00000105393, ENSMUSP00000051830, ENSMUSP00000072761, ENSMUSP00000105396, ENSMUSP00000086370, ENSMUSP00000105394, ENSMUSP00000099440, ENSMUSP00000099439, ENSMUSP00000105395, ENSMUSP00000080334, ENSMUSP00000134496, ENSMUSP00000134492, ENSMUSP00000153622
OG0002011	ENSP00000309826, ENSP00000342351	ENSMUSP00000110863, ENSMUSP00000114451, ENSMUSP00000110860, ENSMUSP00000065568, ENSMUSP00000110858, ENSMUSP00000132637, ENSMUSP00000004761, ENSMUSP00000110853, ENSMUSP00000067447, ENSMUSP00000110854
OG0002011	ENSP00000223190, ENSP00000376924, ENSP00000376922	ENSMUSP00000130108, ENSMUSP00000110866, ENSMUSP00000110867, ENSMUSP00000110864
OG0002012	ENSP00000405875, ENSP00000225235	ENSMUSP00000037884
OG0002012	ENSP00000388886	ENSMUSP00000131876, ENSMUSP00000114508
OG0002012	ENSP00000386343, ENSP00000404041, ENSP00000386921	ENSMUSP00000121516, ENSMUSP00000117414, ENSMUSP00000116519, ENSMUSP00000115467, ENSMUSP00000031094, ENSMUSP00000121816
OG0002012	ENSP00000389082	ENSMUSP00000115926
OG0002013	ENSP00000404990, ENSP00000443309, ENSP00000366359, ENSP00000404163, ENSP00000407363, ENSP00000493269, ENSP00000450230, ENSP00000230223, ENSP00000383534, ENSP00000446579, ENSP00000404109, ENSP00000449041, ENSP00000415545, ENSP00000412591	ENSMUSP00000150585, ENSMUSP00000094933, ENSMUSP00000150806, ENSMUSP00000149213, ENSMUSP00000131089
OG0002014	ENSP00000442464, ENSP00000392934	ENSMUSP00000088829
OG0002014	ENSP00000418571	ENSMUSP00000045864
OG0002014	ENSP00000419620, ENSP00000232892	ENSMUSP00000029325
OG0002014	ENSP00000348911	ENSMUSP00000129444
OG0002016	ENSP00000330512, ENSP00000380718	ENSMUSP00000131784, ENSMUSP00000074707
OG0002016	ENSP00000340908, ENSP00000394076, ENSP00000394740, ENSP00000354799, ENSP00000371844, ENSP00000372319, ENSP00000250838, ENSP00000303178, ENSP00000302968, ENSP00000402280, ENSP00000441273, ENSP00000456934, ENSP00000454546, ENSP00000455111	ENSMUSP00000153274
OG0002017	ENSP00000450346, ENSP00000449031, ENSP00000448645, ENSP00000449772, ENSP00000450274, ENSP00000447168, ENSP00000378935, ENSP00000479913, ENSP00000338510, ENSP00000477681, ENSP00000393965, ENSP00000256678, ENSP00000322048, ENSP00000449331, ENSP00000351066, ENSP00000378947, ENSP00000390681, ENSP00000478872	ENSMUSP00000155236
OG0002019	ENSP00000262995, ENSP00000262994, ENSP00000424554	ENSMUSP00000034150, ENSMUSP00000147784
OG0002019	ENSP00000426668, ENSP00000426297, ENSP00000427435, ENSP00000425921, ENSP00000420867, ENSP00000431868, ENSP00000433762, ENSP00000428584, ENSP00000495950, ENSP00000383431, ENSP00000343959, ENSP00000354952	ENSMUSP00000004622, ENSMUSP00000146200
OG0002020	ENSP00000345463, ENSP00000346129, ENSP00000352760	ENSMUSP00000005406.10
OG0002020	ENSP00000396923, ENSP00000406539	ENSMUSP00000154401
OG0002020	ENSP00000497691, ENSP00000263574, ENSP00000278756	ENSMUSP00000154097, ENSMUSP00000153907
OG0002020	ENSP00000351796, ENSP00000284981, ENSP00000398879, ENSP00000387483, ENSP00000350578	ENSMUSP00000154389
OG0002022	ENSP00000387675, ENSP00000432564, ENSP00000412777, ENSP00000497013, ENSP00000413914, ENSP00000394996, ENSP00000410834, ENSP00000390080, ENSP00000399396, ENSP00000401128, ENSP00000414609, ENSP00000396064, ENSP00000395315, ENSP00000295981, ENSP00000384969, ENSP00000407894, ENSP00000373323, ENSP00000497825	ENSMUSP00000145420
OG0002025	ENSP00000410145, ENSP00000405859, ENSP00000401382, ENSP00000412067, ENSP00000388833, ENSP00000415321, ENSP00000387859	ENSMUSP00000141385, ENSMUSP00000141921
OG0002025	ENSP00000439334, ENSP00000312435, ENSP00000440705, ENSP00000438421, ENSP00000442600, ENSP00000440590	ENSMUSP00000142109, ENSMUSP00000128531, ENSMUSP00000079294, ENSMUSP00000130626
OG0002026	ENSP00000391805, ENSP00000405039, ENSP00000318217, ENSP00000372868, ENSP00000414285, ENSP00000449190, ENSP00000448377, ENSP00000365752, ENSP00000449255, ENSP00000449611, ENSP00000397769, ENSP00000383265, ENSP00000383339, ENSP00000383338, ENSP00000401397	ENSMUSP00000113062, ENSMUSP00000112570, ENSMUSP00000133047, ENSMUSP00000003628
OG0002027	ENSP00000457315, ENSP00000457724, ENSP00000455236, ENSP00000440354, ENSP00000438784, ENSP00000455534, ENSP00000454601, ENSP00000352232, ENSP00000337163, ENSP00000378903, ENSP00000321221, ENSP00000481709	ENSMUSP00000032978, ENSMUSP00000146121, ENSMUSP00000145754, ENSMUSP00000145554, ENSMUSP00000145953, ENSMUSP00000146282, ENSMUSP00000145842
OG0002028	ENSP00000397262	ENSMUSP00000121619, ENSMUSP00000121235, ENSMUSP00000117544, ENSMUSP00000118160, ENSMUSP00000147462, ENSMUSP00000119539, ENSMUSP00000123503, ENSMUSP00000118353, ENSMUSP00000123250
OG0002028	ENSP00000409158, ENSP00000322182, ENSP00000377162, ENSP00000321983, ENSP00000396008, ENSP00000389995, ENSP00000391940, ENSP00000401818	ENSMUSP00000120487
OG0002029	ENSP00000326500, ENSP00000394391, ENSP00000450565, ENSP00000473647, ENSP00000450707, ENSP00000432263, ENSP00000451553, ENSP00000451447, ENSP00000450543, ENSP00000450640, ENSP00000452207	ENSMUSP00000103675, ENSMUSP00000103677, ENSMUSP00000103676, ENSMUSP00000095736, ENSMUSP00000136024, ENSMUSP00000103641, ENSMUSP00000137393, ENSMUSP00000095725
OG0002030	ENSP00000488070, ENSP00000395138, ENSP00000487770, ENSP00000412376, ENSP00000419188, ENSP00000488504, ENSP00000407112, ENSP00000481285, ENSP00000340093, ENSP00000392775, ENSP00000488648, ENSP00000482162, ENSP00000488410	ENSMUSP00000054458, ENSMUSP00000110872
OG0002031	ENSP00000346791, ENSP00000393681, ENSP00000347889, ENSP00000381981	ENSMUSP00000156151, ENSMUSP00000117530, ENSMUSP00000156057, ENSMUSP00000156020, ENSMUSP00000156137, ENSMUSP00000112801, ENSMUSP00000156023
OG0002031	ENSP00000391891, ENSP00000408456, ENSP00000403943	ENSMUSP00000122724, ENSMUSP00000121349, ENSMUSP00000116097, ENSMUSP00000123037, ENSMUSP00000116896
OG0002032	ENSP00000414315	ENSMUSP00000121538
OG0002032	ENSP00000402509, ENSP00000404038	ENSMUSP00000115838
OG0002032	ENSP00000416711, ENSP00000386843, ENSP00000354791, ENSP00000377571, ENSP00000387327, ENSP00000487279	ENSMUSP00000109552, ENSMUSP00000109546, ENSMUSP00000109551
OG0002034	ENSP00000411474, ENSP00000382862, ENSP00000391902, ENSP00000388352, ENSP00000411515, ENSP00000413351, ENSP00000414341, ENSP00000414889, ENSP00000416561, ENSP00000401719, ENSP00000389604, ENSP00000417793, ENSP00000420090, ENSP00000364604, ENSP00000364592	ENSMUSP00000119977, ENSMUSP00000025229, ENSMUSP00000135660, ENSMUSP00000120990
OG0002035	ENSP00000439397, ENSP00000365433, ENSP00000365431, ENSP00000383252, ENSP00000373018, ENSP00000393007, ENSP00000399388, ENSP00000414980, ENSP00000393300, ENSP00000397160, ENSP00000401548, ENSP00000414076, ENSP00000399189, ENSP00000393875, ENSP00000414466	ENSMUSP00000125310, ENSMUSP00000125167, ENSMUSP00000124449, ENSMUSP00000125659
OG0002036	ENSP00000394405, ENSP00000498167, ENSP00000485968, ENSP00000477600, ENSP00000413218, ENSP00000462185, ENSP00000487007, ENSP00000487590, ENSP00000463127, ENSP00000367684, ENSP00000367681, ENSP00000485959, ENSP00000485906, ENSP00000443605, ENSP00000497960, ENSP00000487468, ENSP00000479869, ENSP00000367682	ENSMUSP00000030935
