Orthogroup	arabidopsis	mouse
OG0000516	AT1G70400.3, AT1G60170.1	ENSMUSP00000136031, ENSMUSP00000104276, ENSMUSP00000008517
OG0000517	AT2G32000.1	ENSMUSP00000156132, ENSMUSP00000023465, ENSMUSP00000156322
OG0000517	AT5G63920.1	ENSMUSP00000002891, ENSMUSP00000099729, ENSMUSP00000113057, ENSMUSP00000113653
OG0000518	AT3G56440.1, AT2G40810.1, AT5G05150.1, AT3G62770.1, AT2G47720.1	ENSMUSP00000147232, ENSMUSP00000112332, ENSMUSP00000111352, ENSMUSP00000112333, ENSMUSP00000111351, ENSMUSP00000041456, ENSMUSP00000111353, ENSMUSP00000147110, ENSMUSP00000119591, ENSMUSP00000101716, ENSMUSP00000026173
OG0000519	AT3G01310.1, AT5G15070.2	ENSMUSP00000057632, ENSMUSP00000106258, ENSMUSP00000106256, ENSMUSP00000106255, ENSMUSP00000106257, ENSMUSP00000043401, ENSMUSP00000132889, ENSMUSP00000108466
OG0000520	AT3G01380.2	ENSMUSP00000139638, ENSMUSP00000069969, ENSMUSP00000140020, ENSMUSP00000140844
OG0000521	AT3G08650.2	ENSMUSP00000102244, ENSMUSP00000037331, ENSMUSP00000071469, ENSMUSP00000120929, ENSMUSP00000115472
OG0000522	AT4G35560.2, AT5G05570.1	ENSMUSP00000119675, ENSMUSP00000117649, ENSMUSP00000110423, ENSMUSP00000110435, ENSMUSP00000110430, ENSMUSP00000110429, ENSMUSP00000110428, ENSMUSP00000044535, ENSMUSP00000123253, ENSMUSP00000121507
OG0000523	AT5G21160.3	ENSMUSP00000136673, ENSMUSP00000071421, ENSMUSP00000037127, ENSMUSP00000141487, ENSMUSP00000142020, ENSMUSP00000142106
OG0000524	AT5G67320.1	ENSMUSP00000141363, ENSMUSP00000142184, ENSMUSP00000144436, ENSMUSP00000067164, ENSMUSP00000144547, ENSMUSP00000085549, ENSMUSP00000144138
OG0000541	AT1G02305.1, AT1G02300.1, AT4G01610.1	ENSMUSP00000006235
OG0000542	AT3G46830.1, AT5G59150.1, AT1G07410.1, AT1G09630.1, AT5G65270.1, AT4G39990.1, AT3G12160.1, AT5G47960.1, AT3G15060.1, AT5G60860.1, AT1G28550.1, AT2G33870.1, AT4G18430.1, AT5G45750.1, AT4G18800.1, AT1G06400.1, AT1G16920.1	ENSMUSP00000129729, ENSMUSP00000133921, ENSMUSP00000004892, ENSMUSP00000134448, ENSMUSP00000110021, ENSMUSP00000129163
OG0000543	AT4G00900.1, AT1G07670.1, AT1G07810.1, AT1G10130.1	ENSMUSP00000104125, ENSMUSP00000104124, ENSMUSP00000021142, ENSMUSP00000104126, ENSMUSP00000127036, ENSMUSP00000032974, ENSMUSP00000135935, ENSMUSP00000031423, ENSMUSP00000136104
OG0000544	AT1G07705.2, AT5G59710.1	ENSMUSP00000128837, ENSMUSP00000100900, ENSMUSP00000132315, ENSMUSP00000127830, ENSMUSP00000132152, ENSMUSP00000100902
OG0000545	AT1G52760.1, AT5G14980.1, AT5G19290.1, AT1G11090.1, AT5G16120.4, AT1G77420.1, AT3G55180.1, AT2G39400.1, AT2G39420.1, AT2G39410.2, AT3G55190.1, AT2G47630.1, AT3G62860.1, AT1G18360.1, AT1G73480.1, AT5G11650.1	ENSMUSP00000145068, ENSMUSP00000086872, ENSMUSP00000109211, ENSMUSP00000109212, ENSMUSP00000109215, ENSMUSP00000127374
OG0000546	AT3G07880.1, AT1G12070.1, AT1G62450.1	ENSMUSP00000120047, ENSMUSP00000032344, ENSMUSP00000107522, ENSMUSP00000107523, ENSMUSP00000113186, ENSMUSP00000025019, ENSMUSP00000145103, ENSMUSP00000101803, ENSMUSP00000063714
OG0000548	AT1G26630.1, AT1G69410.1, AT1G13950.1	ENSMUSP00000123402, ENSMUSP00000067077, ENSMUSP00000068651, ENSMUSP00000104252, ENSMUSP00000104253, ENSMUSP00000104248, ENSMUSP00000104250, ENSMUSP00000104249, ENSMUSP00000104251, ENSMUSP00000104247, ENSMUSP00000047008, ENSMUSP00000132717, ENSMUSP00000050289
OG0000549	AT1G29990.1	ENSMUSP00000134069, ENSMUSP00000025163, ENSMUSP00000137072, ENSMUSP00000133656, ENSMUSP00000156997
OG0000550	AT4G16800.1	ENSMUSP00000102302, ENSMUSP00000112009, ENSMUSP00000124746, ENSMUSP00000114371, ENSMUSP00000112011, ENSMUSP00000051268, ENSMUSP00000121852, ENSMUSP00000116179, ENSMUSP00000021913
OG0000551	ATMG01080.1, AT2G07671.1	ENSMUSP00000141008, ENSMUSP00000018914, ENSMUSP00000107627, ENSMUSP00000075057, ENSMUSP00000140414, ENSMUSP00000140323, ENSMUSP00000137633, ENSMUSP00000103314, ENSMUSP00000103312, ENSMUSP00000088029
OG0000552	AT2G18030.1	ENSMUSP00000148189, ENSMUSP00000065754, ENSMUSP00000147689
OG0000553	AT2G25970.1	ENSMUSP00000141386, ENSMUSP00000123589, ENSMUSP00000143204, ENSMUSP00000143370, ENSMUSP00000101727, ENSMUSP00000143019, ENSMUSP00000130145, ENSMUSP00000143729, ENSMUSP00000143618, ENSMUSP00000143354, ENSMUSP00000143101, ENSMUSP00000156463, ENSMUSP00000007814, ENSMUSP00000143718, ENSMUSP00000143478, ENSMUSP00000156771, ENSMUSP00000141283, ENSMUSP00000117970, ENSMUSP00000053474, ENSMUSP00000109110
OG0000554	AT5G38710.1, AT3G30775.1	ENSMUSP00000156163, ENSMUSP00000156221, ENSMUSP00000150544, ENSMUSP00000121736, ENSMUSP00000149004, ENSMUSP00000117597, ENSMUSP00000149861, ENSMUSP00000003620, ENSMUSP00000122889, ENSMUSP00000149538
OG0000555	AT3G55410.1, AT5G65750.1	ENSMUSP00000026924, ENSMUSP00000092769, ENSMUSP00000154185, ENSMUSP00000022480, ENSMUSP00000003461, ENSMUSP00000099090, ENSMUSP00000080569, ENSMUSP00000091041
OG0000556	AT4G09140.1	ENSMUSP00000142563, ENSMUSP00000035079
OG0000557	AT5G02530.1, AT5G59950.5	ENSMUSP00000135905, ENSMUSP00000156852, ENSMUSP00000156897, ENSMUSP00000139433, ENSMUSP00000156551, ENSMUSP00000131605, ENSMUSP00000151319, ENSMUSP00000151398, ENSMUSP00000140999, ENSMUSP00000139588, ENSMUSP00000137984, ENSMUSP00000137742, ENSMUSP00000138043, ENSMUSP00000137711, ENSMUSP00000127137, ENSMUSP00000137866, ENSMUSP00000137878, ENSMUSP00000137776, ENSMUSP00000137929, ENSMUSP00000137961, ENSMUSP00000136519, ENSMUSP00000137930, ENSMUSP00000137128, ENSMUSP00000137957, ENSMUSP00000137824, ENSMUSP00000137740, ENSMUSP00000138007, ENSMUSP00000130793, ENSMUSP00000026125, ENSMUSP00000080242
OG0000558	AT5G04620.2	ENSMUSP00000073725, ENSMUSP00000151891, ENSMUSP00000122117, ENSMUSP00000108143, ENSMUSP00000117014, ENSMUSP00000066040, ENSMUSP00000108335, ENSMUSP00000150950, ENSMUSP00000155003, ENSMUSP00000006544, ENSMUSP00000131649
OG0000559	AT5G08280.1	ENSMUSP00000095166, ENSMUSP00000150138, ENSMUSP00000076575
OG0000583	AT5G47200.1, AT4G17530.1, AT1G02130.1, AT3G11730.1	ENSMUSP00000025804, ENSMUSP00000020358, ENSMUSP00000127330
OG0000583	AT3G46060.1, AT5G59840.1, AT3G53610.1, AT3G09900.1, AT5G03520.1	ENSMUSP00000070588, ENSMUSP00000041857, ENSMUSP00000003121, ENSMUSP00000021001
OG0000587	AT2G22610.3, AT1G72250.3, AT5G41310.1, AT1G63640.3, AT1G73860.1, AT1G18410.4, AT3G10310.2, AT3G44730.2, AT2G47500.1, AT1G09170.5, AT5G27000.1, AT4G05190.1, AT4G21270.1, AT5G54670.1, AT4G27180.1	ENSMUSP00000134572, ENSMUSP00000077984, ENSMUSP00000110001
OG0000587	AT5G65930.3	ENSMUSP00000133520, ENSMUSP00000133758
OG0000590	AT1G13190.1, AT5G55670.1	ENSMUSP00000135550, ENSMUSP00000134823, ENSMUSP00000068408, ENSMUSP00000135136, ENSMUSP00000135150, ENSMUSP00000038958
OG0000591	AT2G26240.1, AT3G43520.1, AT3G57280.1, AT1G50740.1, AT3G20510.1	ENSMUSP00000021790, ENSMUSP00000027064, ENSMUSP00000027065
OG0000592	AT4G39850.3	ENSMUSP00000110105, ENSMUSP00000002084, ENSMUSP00000068940, ENSMUSP00000142387, ENSMUSP00000029770
OG0000592	AT1G54350.1	ENSMUSP00000152881, ENSMUSP00000152556, ENSMUSP00000152694, ENSMUSP00000021666, ENSMUSP00000152519
OG0000593	AT2G01730.1	ENSMUSP00000030901, ENSMUSP00000112656
OG0000593	AT1G61010.1	ENSMUSP00000068148, ENSMUSP00000152703, ENSMUSP00000152222, ENSMUSP00000152325, ENSMUSP00000152651
OG0000594	AT2G48150.1, AT3G63080.1, AT1G63460.1, AT4G11600.1, AT2G31570.1, AT2G43350.1, AT2G25080.1, AT4G31870.1	ENSMUSP00000139335, ENSMUSP00000030332, ENSMUSP00000101011, ENSMUSP00000138186, ENSMUSP00000094863
OG0000595	AT2G40090.1	ENSMUSP00000127254, ENSMUSP00000098724, ENSMUSP00000152821
OG0000595	AT1G65950.1	ENSMUSP00000124666, ENSMUSP00000125055
OG0000596	AT5G50920.1, AT3G48870.1, AT1G74310.1, AT4G14670.1, AT5G15450.1, AT2G25140.1, AT5G51070.1, AT3G45450.1, AT4G14675.1	ENSMUSP00000001884, ENSMUSP00000148062, ENSMUSP00000102611, ENSMUSP00000121861
OG0000597	AT5G60500.1, AT5G60510.1, AT2G17570.1	ENSMUSP00000012262, ENSMUSP00000116098, ENSMUSP00000101511, ENSMUSP00000101509, ENSMUSP00000101510, ENSMUSP00000101512
OG0000598	AT3G60100.2, AT2G44350.2	ENSMUSP00000052373, ENSMUSP00000005826
OG0000599	AT3G02280.1	ENSMUSP00000123247, ENSMUSP00000125018, ENSMUSP00000123958, ENSMUSP00000125259, ENSMUSP00000097903, ENSMUSP00000109989, ENSMUSP00000154261
OG0000599	AT3G24710.1, AT4G24520.1, AT4G30210.3	ENSMUSP00000112924, ENSMUSP00000005651
OG0000600	AT4G26390.1, AT5G56350.1, AT5G63680.1, AT5G08570.1, AT3G04050.1, AT3G25960.1, AT3G55650.1, AT3G55810.1	ENSMUSP00000128770, ENSMUSP00000034834, ENSMUSP00000103106, ENSMUSP00000035417
OG0000601	AT5G35600.1, AT5G63110.1, AT4G38130.1	ENSMUSP00000019911, ENSMUSP00000099657, ENSMUSP00000101149
OG0000601	AT3G44680.1	ENSMUSP00000085226, ENSMUSP00000037981
OG0000602	AT5G22330.1	ENSMUSP00000117925, ENSMUSP00000032165
OG0000602	AT5G67630.1, AT3G49830.1	ENSMUSP00000103400, ENSMUSP00000147502
OG0000603	AT4G29330.1, AT4G21810.1, AT4G04860.1	ENSMUSP00000104163, ENSMUSP00000127568, ENSMUSP00000117052, ENSMUSP00000136261, ENSMUSP00000009236, ENSMUSP00000151623, ENSMUSP00000022993
OG0000604	AT4G17620.1	ENSMUSP00000134332, ENSMUSP00000134583, ENSMUSP00000047018, ENSMUSP00000133587, ENSMUSP00000137234, ENSMUSP00000133376, ENSMUSP00000133448, ENSMUSP00000134164, ENSMUSP00000134653
OG0000605	AT4G24160.1	ENSMUSP00000143600, ENSMUSP00000142607, ENSMUSP00000122939, ENSMUSP00000122274, ENSMUSP00000107123, ENSMUSP00000142423, ENSMUSP00000142722, ENSMUSP00000044134, ENSMUSP00000137214
OG0000606	AT5G07320.1, AT5G61810.1, AT5G51050.1	ENSMUSP00000029477, ENSMUSP00000029478, ENSMUSP00000132169, ENSMUSP00000040198, ENSMUSP00000108932, ENSMUSP00000108933, ENSMUSP00000060581, ENSMUSP00000108936, ENSMUSP00000028160
OG0000607	AT5G09740.1, AT5G64610.1	ENSMUSP00000033070, ENSMUSP00000099448, ENSMUSP00000103362, ENSMUSP00000090441, ENSMUSP00000072416, ENSMUSP00000103361, ENSMUSP00000109271
OG0000608	AT5G11170.1, AT5G11200.2	ENSMUSP00000070682, ENSMUSP00000133428, ENSMUSP00000134178, ENSMUSP00000019576, ENSMUSP00000148329, ENSMUSP00000132222, ENSMUSP00000105435
OG0000609	AT5G42950.1	ENSMUSP00000129046, ENSMUSP00000134677, ENSMUSP00000134086, ENSMUSP00000134620, ENSMUSP00000133392, ENSMUSP00000133327, ENSMUSP00000027475, ENSMUSP00000134077, ENSMUSP00000134193, ENSMUSP00000143670, ENSMUSP00000031727, ENSMUSP00000134660
OG0000623	AT1G08990.1, AT1G54940.1, AT4G33330.2, AT1G77130.1, AT3G18660.2, AT5G18480.1	ENSMUSP00000136035, ENSMUSP00000138949, ENSMUSP00000114019
OG0000624	AT1G09000.1, AT1G54960.1, AT3G06030.1	ENSMUSP00000140449, ENSMUSP00000141029
OG0000624	AT5G66850.1, AT1G63700.1, AT1G53570.1	ENSMUSP00000094326, ENSMUSP00000002044
OG0000625	AT3G56540.1, AT3G52020.1, AT1G61130.1, AT4G15100.1, AT1G11080.2, AT3G17180.1, AT5G08260.1, AT5G23210.1, AT3G07990.1, AT2G35780.1, AT2G35770.1, AT4G30810.1, AT3G02110.1, AT2G24010.2, AT2G24000.1, AT4G30610.1, AT3G63470.1, AT3G52000.1, AT3G52010.1, AT2G05850.1	ENSMUSP00000123413, ENSMUSP00000099381, ENSMUSP00000099382, ENSMUSP00000115514, ENSMUSP00000116210
OG0000626	AT5G61210.1, AT5G07880.1, AT1G13890.1	ENSMUSP00000119652, ENSMUSP00000121509, ENSMUSP00000116935, ENSMUSP00000106339, ENSMUSP00000028743, ENSMUSP00000112138, ENSMUSP00000028727, ENSMUSP00000105725
OG0000627	AT5G10740.1, AT5G24940.1, AT4G31750.1, AT1G43900.1, AT5G53140.1, AT4G28400.1, AT2G20630.2, AT3G15260.1, AT2G34740.1, AT1G34750.1, AT1G22280.3, AT1G78200.1	ENSMUSP00000029355
OG0000627	AT2G40860.1	ENSMUSP00000027373
OG0000628	AT5G16980.2, AT5G37960.1, AT3G03080.1, AT5G16990.1, AT5G17000.1, AT5G16970.1, AT1G26320.1, AT5G16960.1, AT5G37940.1, AT5G38000.1, AT5G37980.1, AT3G59845.1, AT1G65560.1	ENSMUSP00000030069, ENSMUSP00000114559, ENSMUSP00000114766, ENSMUSP00000119981, ENSMUSP00000115704
OG0000629	AT1G51590.1, AT3G21160.1	ENSMUSP00000116489, ENSMUSP00000008907, ENSMUSP00000151568, ENSMUSP00000151328, ENSMUSP00000003843, ENSMUSP00000101110
OG0000629	AT1G30000.2	ENSMUSP00000036996, ENSMUSP00000114989
OG0000630	AT4G20320.1, AT1G30820.1, AT2G34890.1, AT3G12670.1, AT4G02120.2	ENSMUSP00000098656, ENSMUSP00000107921, ENSMUSP00000033727, ENSMUSP00000107919, ENSMUSP00000107922, ENSMUSP00000107920, ENSMUSP00000030381
OG0000631	AT1G77840.1, AT1G36730.1	ENSMUSP00000152507, ENSMUSP00000152531, ENSMUSP00000152300, ENSMUSP00000152534, ENSMUSP00000152459, ENSMUSP00000152221, ENSMUSP00000126825, ENSMUSP00000152791, ENSMUSP00000061616
OG0000631	AT5G01940.3	ENSMUSP00000152135
OG0000632	AT3G02090.2	ENSMUSP00000141435, ENSMUSP00000144565, ENSMUSP00000026743, ENSMUSP00000144124, ENSMUSP00000030882
OG0000632	AT1G51980.1, AT3G16480.1	ENSMUSP00000075762, ENSMUSP00000109727
OG0000633	AT1G72040.1	ENSMUSP00000148384, ENSMUSP00000148642, ENSMUSP00000053616, ENSMUSP00000148733, ENSMUSP00000146160, ENSMUSP00000109520, ENSMUSP00000014698, ENSMUSP00000031311
OG0000634	AT5G35680.3, AT2G04520.1	ENSMUSP00000105780, ENSMUSP00000136709, ENSMUSP00000152437, ENSMUSP00000152828, ENSMUSP00000137563, ENSMUSP00000132993, ENSMUSP00000105776, ENSMUSP00000136486, ENSMUSP00000137317, ENSMUSP00000152354, ENSMUSP00000152416, ENSMUSP00000136949, ENSMUSP00000151971, ENSMUSP00000098728, ENSMUSP00000105774, ENSMUSP00000137146, ENSMUSP00000126351, ENSMUSP00000084387, ENSMUSP00000132018, ENSMUSP00000077223
OG0000635	AT3G53030.1, AT3G44850.1, AT5G22840.1, AT2G17530.1, AT4G35500.2	ENSMUSP00000002081, ENSMUSP00000085734, ENSMUSP00000156908, ENSMUSP00000116259
OG0000636	AT4G28680.5, AT2G20340.1	ENSMUSP00000028838, ENSMUSP00000068525, ENSMUSP00000105286, ENSMUSP00000136467, ENSMUSP00000121096
OG0000637	AT5G58670.1, AT4G38530.1, AT2G40116.1, AT5G58700.1, AT3G47220.1, AT3G47290.2, AT5G58690.1, AT3G08510.1, AT3G55940.1	ENSMUSP00000109376, ENSMUSP00000064413, ENSMUSP00000027362, ENSMUSP00000109378, ENSMUSP00000109379, ENSMUSP00000121732, ENSMUSP00000115322, ENSMUSP00000117455, ENSMUSP00000099366, ENSMUSP00000149813, ENSMUSP00000010804, ENSMUSP00000149676
OG0000638	AT2G42240.4, AT3G21215.1	ENSMUSP00000055813, ENSMUSP00000138483, ENSMUSP00000140387, ENSMUSP00000033995, ENSMUSP00000138420, ENSMUSP00000033994, ENSMUSP00000057600, ENSMUSP00000131076, ENSMUSP00000151192, ENSMUSP00000149535
OG0000639	AT3G48195.1	ENSMUSP00000090737, ENSMUSP00000001522, ENSMUSP00000104460, ENSMUSP00000104458, ENSMUSP00000070579, ENSMUSP00000115137, ENSMUSP00000148280, ENSMUSP00000148360, ENSMUSP00000120265, ENSMUSP00000122532, ENSMUSP00000148771
OG0000640	AT3G51520.1	ENSMUSP00000036845, ENSMUSP00000094088, ENSMUSP00000128516, ENSMUSP00000033567, ENSMUSP00000033001, ENSMUSP00000064041, ENSMUSP00000123427, ENSMUSP00000116178, ENSMUSP00000117903, ENSMUSP00000012331, ENSMUSP00000109152
OG0000641	AT3G57170.1	ENSMUSP00000147200, ENSMUSP00000117102, ENSMUSP00000146387, ENSMUSP00000146704, ENSMUSP00000026823, ENSMUSP00000094981, ENSMUSP00000122239, ENSMUSP00000146634, ENSMUSP00000119772, ENSMUSP00000115447, ENSMUSP00000146785, ENSMUSP00000118632, ENSMUSP00000119871
OG0000642	AT4G11380.2, AT4G23460.1	ENSMUSP00000135445, ENSMUSP00000018875, ENSMUSP00000134779, ENSMUSP00000070714, ENSMUSP00000009234, ENSMUSP00000105523, ENSMUSP00000099134
OG0000643	AT4G16710.1	ENSMUSP00000142956, ENSMUSP00000068403, ENSMUSP00000126052, ENSMUSP00000130514, ENSMUSP00000033643, ENSMUSP00000131622, ENSMUSP00000131340, ENSMUSP00000143124
OG0000645	AT5G40290.1, AT5G40270.1	ENSMUSP00000124935, ENSMUSP00000085880, ENSMUSP00000105176, ENSMUSP00000059717, ENSMUSP00000124599
OG0000646	AT5G63400.1, AT5G50370.1	ENSMUSP00000025696, ENSMUSP00000115454, ENSMUSP00000102558, ENSMUSP00000102559, ENSMUSP00000115456, ENSMUSP00000099841, ENSMUSP00000030583, ENSMUSP00000099664
OG0000669	AT1G03090.2	ENSMUSP00000029259, ENSMUSP00000143039
OG0000669	AT3G08840.7	ENSMUSP00000123422, ENSMUSP00000120027
OG0000671	AT1G26110.1, AT5G45330.1	ENSMUSP00000082723, ENSMUSP00000118766, ENSMUSP00000119461, ENSMUSP00000055036
OG0000671	AT4G19360.1	ENSMUSP00000145883
OG0000672	AT1G31480.1	ENSMUSP00000133358, ENSMUSP00000147702, ENSMUSP00000148084, ENSMUSP00000147769, ENSMUSP00000035610, ENSMUSP00000147859, ENSMUSP00000033975
OG0000673	AT4G05320.2, AT3G09790.1, AT5G20620.1	ENSMUSP00000114180, ENSMUSP00000115578
OG0000673	AT1G55060.1, AT4G05050.1	ENSMUSP00000104347, ENSMUSP00000117361
OG0000673	AT5G37640.1	ENSMUSP00000019649
OG0000674	AT3G05060.1, AT5G27120.1, AT5G27140.2	ENSMUSP00000141192, ENSMUSP00000141100, ENSMUSP00000027174, ENSMUSP00000140250
OG0000674	AT1G56110.1, AT3G12860.1	ENSMUSP00000123879, ENSMUSP00000124616, ENSMUSP00000125305, ENSMUSP00000099487
OG0000675	AT5G14170.1, AT3G01890.1	ENSMUSP00000102456, ENSMUSP00000021052, ENSMUSP00000133629, ENSMUSP00000030791, ENSMUSP00000143437, ENSMUSP00000155750, ENSMUSP00000155619, ENSMUSP00000155667, ENSMUSP00000154932, ENSMUSP00000023759
OG0000676	AT5G26640.1, AT3G05870.3	ENSMUSP00000097714, ENSMUSP00000026128
OG0000677	AT3G07140.1	ENSMUSP00000112577, ENSMUSP00000099390
OG0000678	AT3G18480.1	ENSMUSP00000135892, ENSMUSP00000135223, ENSMUSP00000135086, ENSMUSP00000135370, ENSMUSP00000004097, ENSMUSP00000134819, ENSMUSP00000135816, ENSMUSP00000135036, ENSMUSP00000135054, ENSMUSP00000135512, ENSMUSP00000135606
OG0000679	AT5G27660.2	ENSMUSP00000081044, ENSMUSP00000006367, ENSMUSP00000109871, ENSMUSP00000084910, ENSMUSP00000118234, ENSMUSP00000138148, ENSMUSP00000115547, ENSMUSP00000087073, ENSMUSP00000138153, ENSMUSP00000109596, ENSMUSP00000109595
OG0000680	AT5G22060.1, AT3G44110.1	ENSMUSP00000034138, ENSMUSP00000070413, ENSMUSP00000112520, ENSMUSP00000119602, ENSMUSP00000116601, ENSMUSP00000121461, ENSMUSP00000118294, ENSMUSP00000030118, ENSMUSP00000129730
OG0000681	AT3G60240.4	ENSMUSP00000115946, ENSMUSP00000144107, ENSMUSP00000116029, ENSMUSP00000144594, ENSMUSP00000111117, ENSMUSP00000111123, ENSMUSP00000111120, ENSMUSP00000117587, ENSMUSP00000047678, ENSMUSP00000111121, ENSMUSP00000073506, ENSMUSP00000144320
OG0000682	AT3G62140.1	ENSMUSP00000034226, ENSMUSP00000148506, ENSMUSP00000148524, ENSMUSP00000148543, ENSMUSP00000148547, ENSMUSP00000148379, ENSMUSP00000148342, ENSMUSP00000148325, ENSMUSP00000148497, ENSMUSP00000148392, ENSMUSP00000148606
OG0000683	AT5G47130.2, AT5G47120.1, AT4G17580.1	ENSMUSP00000125091, ENSMUSP00000155580, ENSMUSP00000023749, ENSMUSP00000124651, ENSMUSP00000125563, ENSMUSP00000125318, ENSMUSP00000125117, ENSMUSP00000124805, ENSMUSP00000155747
OG0000684	AT4G25845.1, AT4G25850.2, AT5G57240.3, AT4G25860.1, AT5G57400.2	ENSMUSP00000020411, ENSMUSP00000113362, ENSMUSP00000092948, ENSMUSP00000100911
OG0000685	AT5G03370.1	ENSMUSP00000074195, ENSMUSP00000008966, ENSMUSP00000113161, ENSMUSP00000112609, ENSMUSP00000070555
OG0000686	AT5G15680.1	ENSMUSP00000115208, ENSMUSP00000084454, ENSMUSP00000143983, ENSMUSP00000143824, ENSMUSP00000144215, ENSMUSP00000144183, ENSMUSP00000092289, ENSMUSP00000098687, ENSMUSP00000119385
OG0000706	AT1G02160.2	ENSMUSP00000117905, ENSMUSP00000113884, ENSMUSP00000112389, ENSMUSP00000117652, ENSMUSP00000113811, ENSMUSP00000118860, ENSMUSP00000104023, ENSMUSP00000113613, ENSMUSP00000112967, ENSMUSP00000041196, ENSMUSP00000113276, ENSMUSP00000118311
OG0000707	AT2G36880.1, AT4G01850.1, AT1G02500.1, AT3G17390.1	ENSMUSP00000152905, ENSMUSP00000153488, ENSMUSP00000044288, ENSMUSP00000145651, ENSMUSP00000145603, ENSMUSP00000145696, ENSMUSP00000145760, ENSMUSP00000145902, ENSMUSP00000146301, ENSMUSP00000087118, ENSMUSP00000142136
OG0000708	AT5G47040.1	ENSMUSP00000113834, ENSMUSP00000118737, ENSMUSP00000034141, ENSMUSP00000127938, ENSMUSP00000113381
OG0000708	AT3G05775.1	ENSMUSP00000041814
OG0000710	AT3G50850.1, AT5G49560.1, AT1G08125.2, AT5G44170.1, AT1G73320.1	ENSMUSP00000111939, ENSMUSP00000109713, ENSMUSP00000050424, ENSMUSP00000056481, ENSMUSP00000055002
OG0000712	AT1G31340.1, AT2G35635.1	ENSMUSP00000141419, ENSMUSP00000122797
OG0000712	AT1G11970.1, AT1G11980.1	ENSMUSP00000010520, ENSMUSP00000130492
OG0000713	AT1G79530.1, AT1G16300.1, AT1G13440.1, AT3G04120.1	ENSMUSP00000138508, ENSMUSP00000148326, ENSMUSP00000138396, ENSMUSP00000073289, ENSMUSP00000113942, ENSMUSP00000113213, ENSMUSP00000074317, ENSMUSP00000138634
OG0000714	AT2G03260.1, AT2G03240.1, AT1G14040.1, AT2G03250.1, AT4G25350.1, AT1G35350.1, AT1G26730.1, AT1G69480.1, AT3G29060.1, AT3G23430.1, AT1G68740.1	ENSMUSP00000107404, ENSMUSP00000107405, ENSMUSP00000027741
OG0000716	AT4G31580.1, AT2G24590.1, AT1G23860.1	ENSMUSP00000049025, ENSMUSP00000100538, ENSMUSP00000117045, ENSMUSP00000157383, ENSMUSP00000070983, ENSMUSP00000157263, ENSMUSP00000157265
OG0000717	AT1G25420.1, AT1G34220.1	ENSMUSP00000034164
OG0000718	AT1G67430.1, AT1G27400.1	ENSMUSP00000078654, ENSMUSP00000128489
OG0000719	AT1G31812.1	ENSMUSP00000110741, ENSMUSP00000154392, ENSMUSP00000039763, ENSMUSP00000138014, ENSMUSP00000108267, ENSMUSP00000114705, ENSMUSP00000027634
OG0000721	AT4G08520.1, AT3G09800.6, AT1G60970.1	ENSMUSP00000155674, ENSMUSP00000154922, ENSMUSP00000097738, ENSMUSP00000018816, ENSMUSP00000119593
OG0000722	AT1G63440.1, AT5G44790.1	ENSMUSP00000106366, ENSMUSP00000006742, ENSMUSP00000058840, ENSMUSP00000109186
OG0000723	AT1G80460.1	ENSMUSP00000112717, ENSMUSP00000082313, ENSMUSP00000119564, ENSMUSP00000109611, ENSMUSP00000120754, ENSMUSP00000026039, ENSMUSP00000052226, ENSMUSP00000067598
OG0000724	AT2G22730.2, AT5G64500.1, AT5G65687.1	ENSMUSP00000021154, ENSMUSP00000090617, ENSMUSP00000044418, ENSMUSP00000112954, ENSMUSP00000032994, ENSMUSP00000112555, ENSMUSP00000115152, ENSMUSP00000145761, ENSMUSP00000117803, ENSMUSP00000146172
OG0000725	AT4G18300.1, AT2G34970.1, AT3G02270.1	ENSMUSP00000003320, ENSMUSP00000155949, ENSMUSP00000121169
OG0000726	AT3G57480.1, AT2G41835.1, AT5G48205.1, AT3G28210.1	ENSMUSP00000027394, ENSMUSP00000125086, ENSMUSP00000139757, ENSMUSP00000124552, ENSMUSP00000106475, ENSMUSP00000078910, ENSMUSP00000123097
OG0000727	AT4G27940.1, AT2G46320.1	ENSMUSP00000121790, ENSMUSP00000102715, ENSMUSP00000018821, ENSMUSP00000115445, ENSMUSP00000115365, ENSMUSP00000115087, ENSMUSP00000116336, ENSMUSP00000120021, ENSMUSP00000130630, ENSMUSP00000067611, ENSMUSP00000143045, ENSMUSP00000142511
OG0000728	AT3G20475.1	ENSMUSP00000134065, ENSMUSP00000134426, ENSMUSP00000007250, ENSMUSP00000094951
OG0000729	AT3G23810.1, AT4G13940.1	ENSMUSP00000134827, ENSMUSP00000135518, ENSMUSP00000067638, ENSMUSP00000110893, ENSMUSP00000110897, ENSMUSP00000100060, ENSMUSP00000029490, ENSMUSP00000127198, ENSMUSP00000061851
OG0000730	AT3G54230.2	ENSMUSP00000138379, ENSMUSP00000035199, ENSMUSP00000138526, ENSMUSP00000068188, ENSMUSP00000111032, ENSMUSP00000111033, ENSMUSP00000136209, ENSMUSP00000111031, ENSMUSP00000080738, ENSMUSP00000141829, ENSMUSP00000138380, ENSMUSP00000138294
OG0000731	AT3G54840.1, AT5G45130.2, AT4G19640.1	ENSMUSP00000102987, ENSMUSP00000019317, ENSMUSP00000000727, ENSMUSP00000017975
